publish_time,Video ID,Title,Comment,updatedAt,likeCount
2017-04-26T16:00:00.000Z,2LeOH9AGJQM,Cars 3 - Official US Trailer,Does Jackson want to bet against the thrust SSC?,2019-11-13T22:14:23.000Z,0
2017-04-26T16:00:00.000Z,2LeOH9AGJQM,Cars 3 - Official US Trailer,I  really hoped that someway McQueen would be upgraded or something. I think stronger engine would do the job.,2019-11-11T08:54:21.000Z,0
2017-04-26T16:00:00.000Z,2LeOH9AGJQM,Cars 3 - Official US Trailer,Omg it's Cayde - 6,2019-11-11T00:38:42.000Z,1
2017-04-26T16:00:00.000Z,2LeOH9AGJQM,Cars 3 - Official US Trailer,Now I need Cars 4 in 2022,2019-11-10T18:29:22.000Z,0
2017-04-26T16:00:00.000Z,2LeOH9AGJQM,Cars 3 - Official US Trailer,This movie was kinda a let down,2019-11-07T21:33:23.000Z,0
2017-04-26T16:00:00.000Z,2LeOH9AGJQM,Cars 3 - Official US Trailer,I love watching at 1:45 it brings me back to my childhood when i loved mcqueen alot 😢 brings back memories ( 2019 anyone),2019-11-05T23:31:44.000Z,1
2017-04-26T16:00:00.000Z,2LeOH9AGJQM,Cars 3 - Official US Trailer,"Just stop insulting CARS 2 come on CARS2 is just way better than those of cartoons coming on TV these days! 
MOVE LIKA A CADILLAC 
STING LIKE A BEAMER!",2019-11-02T16:52:00.000Z,3
2017-04-26T16:00:00.000Z,2LeOH9AGJQM,Cars 3 - Official US Trailer,“i used to watch you on TV” this hits me sooo harddd 😭😭😭❤️❤️❤️,2019-11-02T15:19:34.000Z,0
2017-04-26T16:00:00.000Z,2LeOH9AGJQM,Cars 3 - Official US Trailer,i love LIGHTNING MCQUEEN HE IS THE BEST 😭😭😭😭😭😭😭😭😭😭❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️,2019-11-02T15:05:50.000Z,0
2017-04-26T16:00:00.000Z,2LeOH9AGJQM,Cars 3 - Official US Trailer,McQueen is best,2019-11-01T16:34:37.000Z,1
2017-04-26T16:00:00.000Z,2LeOH9AGJQM,Cars 3 - Official US Trailer,"Feel free to add your opinions
I don't understand why lightning couldn't get some type of aftermarket mods to help him compete with the newer generation because don't all stock cars/ racecars have to be somewhat ""equal"" and of very similar hp and tq. (isn't that how homoglation rules work in motor sports?) Like why couldn't lightning replace his oem parts with full bolt ons and a tune or partial bolt ons and a tune? Or even just a upgraded tune itself would give him slightly more power. And if bolt ons and upgrades are illegal at least allow him to get a more modern engine that without any modification allows him to compete with the newer generation. Also id even go as far as saying lightning could use a newer transmission since he is an 06 model id say he has a 5 or 7 speed auto while storm probably had a 10 speed auto. Which is also unfair. Either make a new racing league for the new generation or allow the older generation to get the necessary aftermarket parts to compete 🤷🏾‍♂️",2019-11-01T12:22:14.000Z,1
2017-04-26T16:00:00.000Z,2LeOH9AGJQM,Cars 3 - Official US Trailer,"You don't always get to be number one. Sooner or later, they will forget your name but the legacy, the great memories you've left to the people (cars) will remain in our hearts forever. Thanks Pixar.",2019-10-30T03:23:51.000Z,0
2017-04-26T16:00:00.000Z,2LeOH9AGJQM,Cars 3 - Official US Trailer,Im still mad they made McQueen lose.,2019-10-27T20:58:03.000Z,0
2017-04-26T16:00:00.000Z,2LeOH9AGJQM,Cars 3 - Official US Trailer,The third film is more into the spirit of a sequel to Cars than the actual sequel.,2019-10-27T17:54:20.000Z,0
2017-04-26T16:00:00.000Z,2LeOH9AGJQM,Cars 3 - Official US Trailer,I hated this movie,2019-10-27T04:14:44.000Z,0
2017-04-26T16:00:00.000Z,2LeOH9AGJQM,Cars 3 - Official US Trailer,"Duh, remembering the first time I saw this, I was so hyped. Now, I can't believe it's already been 2 years. How fast?",2019-10-26T20:18:08.000Z,0
2017-04-26T16:00:00.000Z,2LeOH9AGJQM,Cars 3 - Official US Trailer,"Cars is my ENTIRE CHILDHOOD! It just breaks my heart seeing him crash! Plus, I played Cars MATERnational Racing on The PS2!",2019-10-26T12:24:19.000Z,0
