publish_time,Video ID,Title,Comment,updatedAt,likeCount
2009-10-13T22:26:06.000Z,JcpWXaA2qeg,Toy Story 3: Trailer,One of the few movies that can make me cry ,2014-03-03T22:39:09.000Z,983
2009-10-13T22:26:06.000Z,JcpWXaA2qeg,Toy Story 3: Trailer,Toy2,2014-03-02T14:45:01.000Z,167
2009-10-13T22:26:06.000Z,JcpWXaA2qeg,Toy Story 3: Trailer,Its really good. ,2014-02-24T03:11:12.000Z,122
2009-10-13T22:26:06.000Z,JcpWXaA2qeg,Toy Story 3: Trailer,I can't even think about this movie without crying. I miss being a kid so much! Time goes by way too fast. It felt like just yesterday I was at the toy store buying my first woody doll. I'm 18 but I still feel like a kid. I'm not ready to grow up yet!,2014-02-20T07:16:38.000Z,1469
2009-10-13T22:26:06.000Z,JcpWXaA2qeg,Toy Story 3: Trailer,Was fantastic- even shed a few tears at the end- which can't be right for a 27yr old :) always loved these movies... for everyone.,2011-10-28T17:19:38.000Z,228
2009-10-13T22:26:06.000Z,JcpWXaA2qeg,Toy Story 3: Trailer,I FRICKING LOVE PIXAR,2011-10-10T18:04:43.000Z,180
2009-10-13T22:26:06.000Z,JcpWXaA2qeg,Toy Story 3: Trailer,sadly i was a great big idiot and threw away my barbies and now i regret that i did,2011-09-21T19:13:44.000Z,161
2009-10-13T22:26:06.000Z,JcpWXaA2qeg,Toy Story 3: Trailer,"Hey, can I watch this movie without seeing Toy story 1 and 2?",2011-09-13T10:41:49.000Z,76
2009-10-13T22:26:06.000Z,JcpWXaA2qeg,Toy Story 3: Trailer,"this is one of those movies you expect to show your kids many years later...This does not deserve to be called just a ""movie"", this is a masterpiece of love, friendship and family. THANK YOU PIXAR :__",2011-09-01T03:04:59.000Z,371
2009-10-13T22:26:06.000Z,JcpWXaA2qeg,Toy Story 3: Trailer,Its like my childhood ended when toy story did :( ill miss these movies <3,2011-08-31T02:37:27.000Z,92
2009-10-13T22:26:06.000Z,JcpWXaA2qeg,Toy Story 3: Trailer,Does Buzz start speaking english in the spanish version?,2011-08-30T12:43:41.000Z,309
2009-10-13T22:26:06.000Z,JcpWXaA2qeg,Toy Story 3: Trailer,"@hakeemfb3 

I'd like a PREQUEL where we learn where Woody's origins and things.",2011-08-30T02:38:35.000Z,40
