publish_time,video_ID,Title,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
2018-12-07T13:01:21.000Z,hA6hldpSTF8,Marvel Studios&#39; Avengers - Official Trailer,99143403,3263027,50883,0,296671
2018-09-17T12:48:27.000Z,-3jsfXDZLIY,Mary Poppins Returns | Official Trailer,16004951,180333,9511,0,20590
2018-09-04T13:01:53.000Z,SYb-wkehT1g,THE FAVOURITE | Official Trailer | FOX Searchlight,9737469,33267,1302,0,2029
2018-06-27T15:59:13.000Z,rI054ow6KJk,MANDY - Official Trailer,3970505,21395,809,0,2623
2018-06-25T00:20:04.000Z,3MM8OkVT0hw,The Hate U Give | Official Trailer [HD] | 20th Century FOX,19207808,220799,9003,0,21209
2018-06-04T16:00:03.000Z,_BcYBFC6zfY,Ralph Breaks the Internet: Wreck-It Ralph 2 Official Trailer,18981005,238641,14952,0,38740
2018-04-26T16:27:01.000Z,_07ktacEGo8,LEAVE NO TRACE | Official Trailer,4509274,8134,441,0,1001
2018-04-24T03:45:03.000Z,u9Mv98Gr5pY,VENOM - Official Trailer (HD),79691518,1405670,51771,0,130150
2018-04-13T12:00:05.000Z,i5qOzqD9Rms,Incredibles 2 Official Trailer,128862297,428708,24995,0,28132
2018-04-09T00:45:48.000Z,jPEYpryMp2s,Solo: A Star Wars Story Official Trailer,18784904,215407,26946,0,31859
2018-03-29T13:00:04.000Z,hCF5Y8dQpR4,First Reformed | Official Trailer HD | A24,5687905,10577,558,0,1056
2018-03-22T12:59:16.000Z,D86RtevtfrA,Deadpool 2 | The Trailer,46899581,631193,16698,0,30981
2018-03-20T12:28:59.000Z,FhwktRDG_aQ,WON&#39;T YOU BE MY NEIGHBOR? - Official Trailer [HD] - In Select Theaters June 8,5450796,115784,2568,0,10007
2018-03-14T13:00:05.000Z,y8lFgF_IjPw,Eighth Grade | Official Trailer HD | A24,6169030,66901,5833,0,8618
2018-03-08T16:04:13.000Z,Bf6D-i8YpHg,THE GRINCH Official Trailer (2018),16012453,68542,8487,0,4429
2018-01-30T13:55:41.000Z,8_rTIAOohas,Marvel Studios&#39; Ant-Man and the Wasp - Official Trailer #1,16841315,350626,7053,0,26439
2017-12-13T14:00:03.000Z,89OP78l9oF0,Annihilation (2018) - Official Trailer - Paramount Pictures,18480389,70771,6330,0,12713
2017-12-08T01:44:25.000Z,vn9mMeWcgoM,Jurassic World: Fallen Kingdom - Official Trailer [HD],63567542,633307,34431,0,70032
2017-10-16T13:00:07.000Z,xjDjIWPwcPU,Marvel Studios&#39; Black Panther - Official Trailer,44747748,450130,17397,0,53621
2017-10-03T21:59:24.000Z,xNWSGRD5CzU,Toy Story 2 (1999) Trailer #1 | Movieclips Classic Trailers,154553,552,39,0,47
2017-10-03T07:57:49.000Z,52x5HJ9H8DM,PADDINGTON 2 - Official Film Trailer (International),5043918,12106,1045,0,695
2017-09-28T14:00:00.000Z,LtJ60u7SUSw,Darkest Hour - Official International Trailer (Universal Pictures) HD,5295278,13458,834,0,2480
2017-09-05T13:00:06.000Z,cNi_HC839Wo,Lady Bird | Official Trailer HD | A24,15544278,88248,2850,0,3281
2017-07-19T13:59:40.000Z,XFYWazblaUA,THE SHAPE OF WATER | Official Trailer | FOX Searchlight,23321741,117140,6942,0,9856
2017-06-28T13:00:13.000Z,AXCTMGYUg9A,The Greatest Showman | Official Trailer [HD] | 20th Century FOX,21138929,94923,2726,0,5321
2017-06-01T13:00:34.000Z,Mq4m3yAoW8E,Murder on the Orient Express | Official Trailer [HD] | 20th Century FOX,12997766,73365,5136,0,8637
2017-05-08T16:35:21.000Z,gCcx85zbxz4,BLADE RUNNER 2049 - Official Trailer,29284261,168911,9716,0,17892
2017-04-26T17:05:23.000Z,D4Q_XYVescc,Official Call of Duty®: WWII Reveal Trailer,23980093,1067302,103667,0,159502
2017-04-26T16:00:00.000Z,2LeOH9AGJQM,Cars 3 - Official US Trailer,22922899,143637,8533,0,13450
