publish_time,Video ID,Title,Comment,updatedAt,likeCount
2015-07-29T01:15:52.000Z,5MBjAN7jqsQ,13 Hours The Secret Soldiers of Benghazi Official Trailer #1 (2016) Michael Bay Movie HD,Have full movie?,2019-11-10T13:13:42.000Z,0
2015-07-29T01:15:52.000Z,5MBjAN7jqsQ,13 Hours The Secret Soldiers of Benghazi Official Trailer #1 (2016) Michael Bay Movie HD,1:43 is that Roy _and_ Jim on the same crew?,2019-11-06T23:18:12.000Z,0
2015-07-29T01:15:52.000Z,5MBjAN7jqsQ,13 Hours The Secret Soldiers of Benghazi Official Trailer #1 (2016) Michael Bay Movie HD,"In loving memory to those who served and to do what was right. My love and respect to these ""real heroes"". You will forever live in our hearts.",2019-11-03T23:12:04.000Z,0
2015-07-29T01:15:52.000Z,5MBjAN7jqsQ,13 Hours The Secret Soldiers of Benghazi Official Trailer #1 (2016) Michael Bay Movie HD,Awesome movie,2019-11-01T13:25:37.000Z,0
2015-07-29T01:15:52.000Z,5MBjAN7jqsQ,13 Hours The Secret Soldiers of Benghazi Official Trailer #1 (2016) Michael Bay Movie HD,Call Of Duty Modern Warfare - US Embassy mission in real life,2019-10-31T07:25:55.000Z,0
2015-07-29T01:15:52.000Z,5MBjAN7jqsQ,13 Hours The Secret Soldiers of Benghazi Official Trailer #1 (2016) Michael Bay Movie HD,"This movie actually made me cry, IT'S THAT HEARTBREAKING!!!!!!",2019-10-28T21:28:33.000Z,0
2015-07-29T01:15:52.000Z,5MBjAN7jqsQ,13 Hours The Secret Soldiers of Benghazi Official Trailer #1 (2016) Michael Bay Movie HD,call of duty : modern warfare brought me here :P ;),2019-10-27T15:49:20.000Z,1
2015-07-29T01:15:52.000Z,5MBjAN7jqsQ,13 Hours The Secret Soldiers of Benghazi Official Trailer #1 (2016) Michael Bay Movie HD,Whos here after playing the new Modern Warfare 2019? that compound scene(mission) is straight from this movie,2019-10-26T11:42:39.000Z,74
2015-07-29T01:15:52.000Z,5MBjAN7jqsQ,13 Hours The Secret Soldiers of Benghazi Official Trailer #1 (2016) Michael Bay Movie HD,Who's here because of Jim?,2019-10-20T03:16:30.000Z,0
2015-07-29T01:15:52.000Z,5MBjAN7jqsQ,13 Hours The Secret Soldiers of Benghazi Official Trailer #1 (2016) Michael Bay Movie HD,"MISTAKE;

 Playing Advanced Warfare on Xbox One in a movie set in 2012.

Not too bright Bay,
Not too fucking bright.",2019-10-14T11:00:15.000Z,0
2015-07-29T01:15:52.000Z,5MBjAN7jqsQ,13 Hours The Secret Soldiers of Benghazi Official Trailer #1 (2016) Michael Bay Movie HD,"I see there is no comment about Libya,

God bless Gaddafi.
I am happy he is not here to see this.",2019-10-14T10:58:27.000Z,0
2015-07-29T01:15:52.000Z,5MBjAN7jqsQ,13 Hours The Secret Soldiers of Benghazi Official Trailer #1 (2016) Michael Bay Movie HD,War is a business. This is true face of America where they killed their own men and blamed middle East.,2019-10-14T09:17:35.000Z,3
2015-07-29T01:15:52.000Z,5MBjAN7jqsQ,13 Hours The Secret Soldiers of Benghazi Official Trailer #1 (2016) Michael Bay Movie HD,jim halpert and  roy anderson.....damn..,2019-10-05T11:48:07.000Z,0
2015-07-29T01:15:52.000Z,5MBjAN7jqsQ,13 Hours The Secret Soldiers of Benghazi Official Trailer #1 (2016) Michael Bay Movie HD,Nice to see Jim and roy working together,2019-10-03T14:50:24.000Z,0
2015-07-29T01:15:52.000Z,5MBjAN7jqsQ,13 Hours The Secret Soldiers of Benghazi Official Trailer #1 (2016) Michael Bay Movie HD,Offices what can I say....,2019-10-02T22:03:33.000Z,0
2015-07-29T01:15:52.000Z,5MBjAN7jqsQ,13 Hours The Secret Soldiers of Benghazi Official Trailer #1 (2016) Michael Bay Movie HD,"Only Americans will invade your country, destroy your nation, murder your people and make a movie about how some of the shit went down while portraying themselves as the heroes and the locals violent war lords . Fucking warmongering bastards. Your days are numbered. Before the Roman Empire collapsed, they have gone through all the stages that the US is going through now
What have the Libyan people done to have deserved the destruction of their country? None of the 9/11 guys was Libyan, not a single one.",2019-09-29T13:59:51.000Z,1
2015-07-29T01:15:52.000Z,5MBjAN7jqsQ,13 Hours The Secret Soldiers of Benghazi Official Trailer #1 (2016) Michael Bay Movie HD,they were not soldiers they were marines fuck read the docs,2019-09-14T00:59:13.000Z,0
2015-07-29T01:15:52.000Z,5MBjAN7jqsQ,13 Hours The Secret Soldiers of Benghazi Official Trailer #1 (2016) Michael Bay Movie HD,"Hope you got a good night sleep that night, Hilary.",2019-09-08T22:07:29.000Z,3
2015-07-29T01:15:52.000Z,5MBjAN7jqsQ,13 Hours The Secret Soldiers of Benghazi Official Trailer #1 (2016) Michael Bay Movie HD,fuck u Americans madarfuckers...how much blood do u guys need? mother fuckers ...your own nation is controlled by ziaonists and Hollywood film? 😅😅😅😅 you show people 9/11😂😂😂😂jews fucked u and still fucking but no baby is yet born . but soon will born . brainwashed Americans... digging its own grave,2019-09-06T09:06:25.000Z,1
2015-07-29T01:15:52.000Z,5MBjAN7jqsQ,13 Hours The Secret Soldiers of Benghazi Official Trailer #1 (2016) Michael Bay Movie HD,This was heart breaking beyond word's...especially at the end when the Delta boy's were throwing the deceased off the roofs....and also enraging because they were fighting their own Government and that thing Hitlery was the instigator #clintonbodycount. This is when a soldier becomes a warrior a true warrior. This is just part of the US legacy and what happens when Paedophiles run governments . The people they were fighting ended up in Syria proxies of the US...... RIP brothers.,2019-09-04T10:05:16.000Z,2
2015-07-29T01:15:52.000Z,5MBjAN7jqsQ,13 Hours The Secret Soldiers of Benghazi Official Trailer #1 (2016) Michael Bay Movie HD,Highly recommended....when the 2 solders died I felt that shyt.,2019-09-02T02:22:51.000Z,0
2015-07-29T01:15:52.000Z,5MBjAN7jqsQ,13 Hours The Secret Soldiers of Benghazi Official Trailer #1 (2016) Michael Bay Movie HD,Daymmmmmnnn what a great movie...,2019-08-29T05:41:07.000Z,0
2015-07-29T01:15:52.000Z,5MBjAN7jqsQ,13 Hours The Secret Soldiers of Benghazi Official Trailer #1 (2016) Michael Bay Movie HD,i watched this before watching the office,2019-08-23T14:34:44.000Z,0
2015-07-29T01:15:52.000Z,5MBjAN7jqsQ,13 Hours The Secret Soldiers of Benghazi Official Trailer #1 (2016) Michael Bay Movie HD,My favorite film of all time I still remember watching it in theatres,2019-08-17T19:27:27.000Z,2
2015-07-29T01:15:52.000Z,5MBjAN7jqsQ,13 Hours The Secret Soldiers of Benghazi Official Trailer #1 (2016) Michael Bay Movie HD,Take 5he shot,2019-08-09T19:44:55.000Z,0
2015-07-29T01:15:52.000Z,5MBjAN7jqsQ,13 Hours The Secret Soldiers of Benghazi Official Trailer #1 (2016) Michael Bay Movie HD,1:49  jim and roy :D,2019-08-09T04:57:23.000Z,0
2015-07-29T01:15:52.000Z,5MBjAN7jqsQ,13 Hours The Secret Soldiers of Benghazi Official Trailer #1 (2016) Michael Bay Movie HD,Im greek and i have to say dat America is making the BEST warrior movies😍,2019-08-08T09:05:10.000Z,3
2015-07-29T01:15:52.000Z,5MBjAN7jqsQ,13 Hours The Secret Soldiers of Benghazi Official Trailer #1 (2016) Michael Bay Movie HD,"if the story is true, shame on all the people who didn´t send them any help...",2019-07-29T02:02:08.000Z,3
2015-07-29T01:15:52.000Z,5MBjAN7jqsQ,13 Hours The Secret Soldiers of Benghazi Official Trailer #1 (2016) Michael Bay Movie HD,"This movie really needs a sequel, with Hillary Clinton AND OTHERS, SWINGING FROM A ROPE!!",2019-07-27T17:19:11.000Z,2
2015-07-29T01:15:52.000Z,5MBjAN7jqsQ,13 Hours The Secret Soldiers of Benghazi Official Trailer #1 (2016) Michael Bay Movie HD,i watch this movie at least once a month,2019-07-23T14:48:29.000Z,0
2015-07-29T01:15:52.000Z,5MBjAN7jqsQ,13 Hours The Secret Soldiers of Benghazi Official Trailer #1 (2016) Michael Bay Movie HD,Seems like Jim got a little promotion to do business over seas... and still trolling Dwight,2019-07-22T00:34:01.000Z,0
2015-07-29T01:15:52.000Z,5MBjAN7jqsQ,13 Hours The Secret Soldiers of Benghazi Official Trailer #1 (2016) Michael Bay Movie HD,Awesome,2019-07-20T03:08:24.000Z,0
2015-07-29T01:15:52.000Z,5MBjAN7jqsQ,13 Hours The Secret Soldiers of Benghazi Official Trailer #1 (2016) Michael Bay Movie HD,look its jim,2019-07-17T06:52:14.000Z,0
2015-07-29T01:15:52.000Z,5MBjAN7jqsQ,13 Hours The Secret Soldiers of Benghazi Official Trailer #1 (2016) Michael Bay Movie HD,I want a movie that shows how really americans are in wars not this bullshit,2019-07-16T19:38:22.000Z,0
2015-07-29T01:15:52.000Z,5MBjAN7jqsQ,13 Hours The Secret Soldiers of Benghazi Official Trailer #1 (2016) Michael Bay Movie HD,Micheal bays finest,2019-07-08T17:49:36.000Z,0
2015-07-29T01:15:52.000Z,5MBjAN7jqsQ,13 Hours The Secret Soldiers of Benghazi Official Trailer #1 (2016) Michael Bay Movie HD,"I never ""killed the black man"" in this film.  Ever.",2019-07-05T03:59:22.000Z,0
2015-07-29T01:15:52.000Z,5MBjAN7jqsQ,13 Hours The Secret Soldiers of Benghazi Official Trailer #1 (2016) Michael Bay Movie HD,Jim and Roy became friends,2019-07-02T08:09:11.000Z,0
2015-07-29T01:15:52.000Z,5MBjAN7jqsQ,13 Hours The Secret Soldiers of Benghazi Official Trailer #1 (2016) Michael Bay Movie HD,"Just started watchimg the office, John Krasinski is an awesome actor. It blew me away when i noticed he was the actor in this movie.",2019-07-02T02:01:53.000Z,0
2015-07-29T01:15:52.000Z,5MBjAN7jqsQ,13 Hours The Secret Soldiers of Benghazi Official Trailer #1 (2016) Michael Bay Movie HD,متأكد بنغازي ولا اتخريط راني انا ليبي وبنغازي مش هكي.....,2019-06-25T17:34:31.000Z,0
2015-07-29T01:15:52.000Z,5MBjAN7jqsQ,13 Hours The Secret Soldiers of Benghazi Official Trailer #1 (2016) Michael Bay Movie HD,Great film..Thanks to mIchael Bay,2019-06-21T15:30:13.000Z,0
