publish_time,Video ID,Title,Comment,updatedAt,likeCount
2017-07-15T18:02:19.000Z,E4U3TeY2wtM,A Wrinkle In Time Official US Teaser Trailer,"Is this the huge flop ,I keep hearing about ?",2019-11-11T18:47:45.000Z,0
2017-07-15T18:02:19.000Z,E4U3TeY2wtM,A Wrinkle In Time Official US Teaser Trailer,Such a fantastic story ruined by the infection of social justice. Mrs. L'engle must be rolling in her grave. May the Gods grant her peace.,2019-11-11T03:01:05.000Z,0
2017-07-15T18:02:19.000Z,E4U3TeY2wtM,A Wrinkle In Time Official US Teaser Trailer,"Both this and Tomorrowland(2015) had amazing teaser trailers while the actual films lacked something. Still, I wouldn't mind seeing more of both. Maybe fan-films.",2019-10-31T17:30:44.000Z,0
2017-07-15T18:02:19.000Z,E4U3TeY2wtM,A Wrinkle In Time Official US Teaser Trailer,"Since this movie was a flop and was pure shit, that makes these comments even funnier.",2019-10-03T18:48:29.000Z,0
2017-07-15T18:02:19.000Z,E4U3TeY2wtM,A Wrinkle In Time Official US Teaser Trailer,The trailer feels different than the movie,2019-09-30T21:12:29.000Z,0
2017-07-15T18:02:19.000Z,E4U3TeY2wtM,A Wrinkle In Time Official US Teaser Trailer,Deric goes to my school,2019-09-18T04:41:05.000Z,1
2017-07-15T18:02:19.000Z,E4U3TeY2wtM,A Wrinkle In Time Official US Teaser Trailer,Am I the only person that thinks this movie was overly hated?,2019-08-20T18:49:25.000Z,0
2017-07-15T18:02:19.000Z,E4U3TeY2wtM,A Wrinkle In Time Official US Teaser Trailer,"What's the song in the background????
I want to listen to it",2019-08-09T15:38:59.000Z,0
2017-07-15T18:02:19.000Z,E4U3TeY2wtM,A Wrinkle In Time Official US Teaser Trailer,I remember reading the real book. Madeline L’Engle book was zeniths beyond where this movie will ever be. I am disgusted by the movie.,2019-07-29T02:33:59.000Z,1
2017-07-15T18:02:19.000Z,E4U3TeY2wtM,A Wrinkle In Time Official US Teaser Trailer,An amazing cast for this...,2019-07-09T05:41:18.000Z,1
2017-07-15T18:02:19.000Z,E4U3TeY2wtM,A Wrinkle In Time Official US Teaser Trailer,Umm this don’t look like normal Disney,2019-07-03T15:15:39.000Z,0
2017-07-15T18:02:19.000Z,E4U3TeY2wtM,A Wrinkle In Time Official US Teaser Trailer,should i watch this movie?,2019-06-16T19:40:39.000Z,0
2017-07-15T18:02:19.000Z,E4U3TeY2wtM,A Wrinkle In Time Official US Teaser Trailer,"¿ophrah? mmmm, no me parece...",2019-06-14T14:49:00.000Z,0
2017-07-15T18:02:19.000Z,E4U3TeY2wtM,A Wrinkle In Time Official US Teaser Trailer,"Me: This film is gonna be like awesome.
Andy Serkis: Yes. Like Chris Pine from Star Trek.
Me: Maybe it's same as Star Wars.
Luke Evans: I don't know.
David Cross: Well. Let's just see if we ask any questions that is same as Star Wars and the Avengers.",2019-06-06T21:47:48.000Z,0
2017-07-15T18:02:19.000Z,E4U3TeY2wtM,A Wrinkle In Time Official US Teaser Trailer,I saw the trailer for this a lot of times ❤,2019-05-22T13:21:09.000Z,0
2017-07-15T18:02:19.000Z,E4U3TeY2wtM,A Wrinkle In Time Official US Teaser Trailer,It was pretty nice but the ending sucked,2019-05-12T14:06:35.000Z,0
2017-07-15T18:02:19.000Z,E4U3TeY2wtM,A Wrinkle In Time Official US Teaser Trailer,I LOVE THIS MOVIE,2019-04-27T21:23:09.000Z,0
2017-07-15T18:02:19.000Z,E4U3TeY2wtM,A Wrinkle In Time Official US Teaser Trailer,The part that starts from 1:34 is probably my favorite,2019-04-25T17:48:13.000Z,0
2017-07-15T18:02:19.000Z,E4U3TeY2wtM,A Wrinkle In Time Official US Teaser Trailer,I'm sorry to disappoint ALL OF YOU! But I actually really enjoyed this movie. Seriously. I know it's not NEARLY as similar to the book. But it was REALLY good. And not just because the CGI was the best :3,2019-03-28T18:59:29.000Z,2
2017-07-15T18:02:19.000Z,E4U3TeY2wtM,A Wrinkle In Time Official US Teaser Trailer,Please tell me this back music,2019-03-16T04:04:38.000Z,0
2017-07-15T18:02:19.000Z,E4U3TeY2wtM,A Wrinkle In Time Official US Teaser Trailer,The trailer is better than the movie TBH,2019-03-10T13:56:00.000Z,1
2017-07-15T18:02:19.000Z,E4U3TeY2wtM,A Wrinkle In Time Official US Teaser Trailer,This movie Even didn't deserve to be pirate .,2019-03-10T13:20:33.000Z,0
2017-07-15T18:02:19.000Z,E4U3TeY2wtM,A Wrinkle In Time Official US Teaser Trailer,"""And the only one who can stop it is you"". OK enough with that bullshit. A kid? Across worlds, against the worst villain? Also, that script tho",2019-03-07T20:34:09.000Z,0
2017-07-15T18:02:19.000Z,E4U3TeY2wtM,A Wrinkle In Time Official US Teaser Trailer,you cant watch this if you are a white male...according to Brie Larson,2019-02-26T18:53:45.000Z,0
2017-07-15T18:02:19.000Z,E4U3TeY2wtM,A Wrinkle In Time Official US Teaser Trailer,"Wrinkle in Time? More like: ""A Waste of Time""

I believe that the kids in the audience got bored out of their minds

Mommy? Can we go home now?

Spring break wasn't a good time for cinema, and the other movies that were playing didn't seem very interesting to me",2019-02-17T19:32:35.000Z,1
2017-07-15T18:02:19.000Z,E4U3TeY2wtM,A Wrinkle In Time Official US Teaser Trailer,what song is this,2019-01-27T00:28:41.000Z,0
2017-07-15T18:02:19.000Z,E4U3TeY2wtM,A Wrinkle In Time Official US Teaser Trailer,"The only thing  faster than light is the darkness? 
That makes no sense at all since by definition darkness is the absence of light. It doesn't travel......They should have come up with something factual...or just something else....but anyway, the movie trailer is interesting.",2019-01-17T19:08:41.000Z,0
2017-07-15T18:02:19.000Z,E4U3TeY2wtM,A Wrinkle In Time Official US Teaser Trailer,This is awesome!!!,2019-01-13T04:24:50.000Z,2
2017-07-15T18:02:19.000Z,E4U3TeY2wtM,A Wrinkle In Time Official US Teaser Trailer,"Disney’s ‘A Wrinkle in Time’ Erases Book’s Bible Quotes, Cuts Jesus, Christian Figures From History by Tyler O'Neil-PJ Media. 
https://pjmedia.com/faith/disneys-wrinkle-time-erases-books-bible-quotes-cuts-jesus-christian-figures-history/?

""In the transition from book to movie, many aspects get left on the cutting-room floor. Even so, these omissions proved particularly egregious, partially because they involved rewriting history.""

I'm getting sick and tired of this new and improved PC Hollywood. 

Now movies are saturated and infested with this ""race"" ""gender"" and ""diversity"" shit from the fascist left that has taken over our whole society. 

Read FrontPage Magazine's articles and Gatestone Institute for the truth you won't hear from the lamestream media. 

Just going back and forth with a couple of leftists. One of whom hyped this Cuban ""workers paradise"" bullshit. 

I simply referred him to Humberto Fontova for a reality check. ""Che"" and Fidel were sadistic mass murderers and torturers. This idiot after my suggestion read a single article about that ""Che"" movie they put out. Total, unadulterated, BullShit. Pure Propaganda. 

""Che"" wasn't a ""freedom fighter"". He wasn't an ""intellectual genius"". He wasn't anything the left or media said he was. He was the worst kind of murdering terrorist scumbag. 

And now Disney is following right along.",2018-12-31T22:41:38.000Z,0
2017-07-15T18:02:19.000Z,E4U3TeY2wtM,A Wrinkle In Time Official US Teaser Trailer,How could such an incredible trailer promote such an awful film,2018-12-31T09:30:56.000Z,3
2017-07-15T18:02:19.000Z,E4U3TeY2wtM,A Wrinkle In Time Official US Teaser Trailer,I love so much this movie 💚💚💚💙,2018-12-30T03:01:50.000Z,0
2017-07-15T18:02:19.000Z,E4U3TeY2wtM,A Wrinkle In Time Official US Teaser Trailer,Very interesting movie I've seen it and Oprah is kinda cute,2018-12-20T18:41:08.000Z,0
2017-07-15T18:02:19.000Z,E4U3TeY2wtM,A Wrinkle In Time Official US Teaser Trailer,The film is just an utter mess. No more no less.,2018-12-01T23:03:14.000Z,1
2017-07-15T18:02:19.000Z,E4U3TeY2wtM,A Wrinkle In Time Official US Teaser Trailer,"What song is this, this has to become a soundtrack",2018-11-23T20:21:37.000Z,0
2017-07-15T18:02:19.000Z,E4U3TeY2wtM,A Wrinkle In Time Official US Teaser Trailer,"Film needed another 20 minutes for story details, etc. Would've helped. ☕🎄 _c.",2018-11-15T02:55:38.000Z,3
2017-07-15T18:02:19.000Z,E4U3TeY2wtM,A Wrinkle In Time Official US Teaser Trailer,nagy szar,2018-10-29T18:03:56.000Z,0
2017-07-15T18:02:19.000Z,E4U3TeY2wtM,A Wrinkle In Time Official US Teaser Trailer,<3,2018-10-26T22:05:10.000Z,0
2017-07-15T18:02:19.000Z,E4U3TeY2wtM,A Wrinkle In Time Official US Teaser Trailer,This is definitely not a Christian movie.,2018-10-19T10:33:42.000Z,0
2017-07-15T18:02:19.000Z,E4U3TeY2wtM,A Wrinkle In Time Official US Teaser Trailer,ローワンブランチャードどこや！,2018-10-15T20:58:48.000Z,0
2017-07-15T18:02:19.000Z,E4U3TeY2wtM,A Wrinkle In Time Official US Teaser Trailer,"Started watching this (Netflix) and it seemed pretty hopeful until they all went to another planet (or at least it seemed like something to that effect), and the special effects started taking over, and then me and my whole family, including my 13 year old daughter (who read the book), started to doze off and actually began to giggle over how stupid it became.  Snoozer/switched off!!  Maybe this is fun for little kids, but if you're over 13 you just can't take this seriously.  Don't waste your time and/or money.",2018-10-09T22:37:26.000Z,2
2017-07-15T18:02:19.000Z,E4U3TeY2wtM,A Wrinkle In Time Official US Teaser Trailer,I was a really good movie,2018-09-23T05:53:56.000Z,1
2017-07-15T18:02:19.000Z,E4U3TeY2wtM,A Wrinkle In Time Official US Teaser Trailer,"Name is shlomit, win",2018-09-15T15:16:28.000Z,0
2017-07-15T18:02:19.000Z,E4U3TeY2wtM,A Wrinkle In Time Official US Teaser Trailer,I do not think I would like this movie. It looks bad,2018-09-14T20:54:10.000Z,0
2017-07-15T18:02:19.000Z,E4U3TeY2wtM,A Wrinkle In Time Official US Teaser Trailer,MALÍSIMA...,2018-09-03T02:38:20.000Z,0
