publish_time,Video ID,Title,Comment,updatedAt,likeCount
2011-06-16T14:44:40.000Z,JgacDwgKiZg,Bridesmaids Official Trailer #1 - (2011) HD,The movie was much more fun than the trailer itself.,2019-10-25T14:55:51.000Z,0
2011-06-16T14:44:40.000Z,JgacDwgKiZg,Bridesmaids Official Trailer #1 - (2011) HD,american girls are nasty,2019-08-09T18:32:18.000Z,0
2011-06-16T14:44:40.000Z,JgacDwgKiZg,Bridesmaids Official Trailer #1 - (2011) HD,"Kristen Wiig and Ellie Kemper, both my favourite...",2019-07-24T03:46:35.000Z,0
2011-06-16T14:44:40.000Z,JgacDwgKiZg,Bridesmaids Official Trailer #1 - (2011) HD,Terrible film: I thought I was in for a hilariously bizarre treat but the only reason I'm halfway through it it's because I'm browsing on a window on the side.,2019-07-09T03:58:40.000Z,0
2011-06-16T14:44:40.000Z,JgacDwgKiZg,Bridesmaids Official Trailer #1 - (2011) HD,"I don’t think this trailer is as bad as people say. I agree it doesn’t come close to doing the movie justice, but the trailer is still absolutely hilarious.",2019-06-19T19:21:00.000Z,0
2011-06-16T14:44:40.000Z,JgacDwgKiZg,Bridesmaids Official Trailer #1 - (2011) HD,So happy for K Wiig and her upcoming role as Cheetah in Wonder woman 2.,2019-06-02T01:18:17.000Z,1
2011-06-16T14:44:40.000Z,JgacDwgKiZg,Bridesmaids Official Trailer #1 - (2011) HD,AC/DC Dirty Deeds Done Dirt Cheap,2018-12-02T01:35:05.000Z,0
2011-06-16T14:44:40.000Z,JgacDwgKiZg,Bridesmaids Official Trailer #1 - (2011) HD,This is a RARE instance where the trailer is worse than the movie.,2018-11-27T01:50:31.000Z,0
2011-06-16T14:44:40.000Z,JgacDwgKiZg,Bridesmaids Official Trailer #1 - (2011) HD,"I hated this movie when I first saw it
Now I love it",2018-08-14T13:48:24.000Z,1
2011-06-16T14:44:40.000Z,JgacDwgKiZg,Bridesmaids Official Trailer #1 - (2011) HD,plz tell me the last scene is in the movie xD,2018-06-28T04:11:49.000Z,0
2011-06-16T14:44:40.000Z,JgacDwgKiZg,Bridesmaids Official Trailer #1 - (2011) HD,Bridesmaids Is A Wonderful Movie,2018-05-10T02:01:06.000Z,1
2011-06-16T14:44:40.000Z,JgacDwgKiZg,Bridesmaids Official Trailer #1 - (2011) HD,I Love The Movie Bridesmaids,2018-05-10T02:00:53.000Z,1
2011-06-16T14:44:40.000Z,JgacDwgKiZg,Bridesmaids Official Trailer #1 - (2011) HD,"feels like a second hand movie to me....I love the cast, but...meh...melissa is always funny.",2017-12-24T02:05:16.000Z,0
2011-06-16T14:44:40.000Z,JgacDwgKiZg,Bridesmaids Official Trailer #1 - (2011) HD,Horrible movie,2017-12-05T13:22:58.000Z,0
2011-06-16T14:44:40.000Z,JgacDwgKiZg,Bridesmaids Official Trailer #1 - (2011) HD,This trailer doesn't do the movie justice.,2017-09-07T22:16:03.000Z,33
2011-06-16T14:44:40.000Z,JgacDwgKiZg,Bridesmaids Official Trailer #1 - (2011) HD,"""did you come from work?""
annie's face*

HAHAHAHAHAHA!!!!!!!!!!!!",2017-05-01T11:41:15.000Z,13
2011-06-16T14:44:40.000Z,JgacDwgKiZg,Bridesmaids Official Trailer #1 - (2011) HD,1:10 Am I the only one who saw Target Lady there?,2017-02-03T06:52:05.000Z,2
2011-06-16T14:44:40.000Z,JgacDwgKiZg,Bridesmaids Official Trailer #1 - (2011) HD,"so funny that they have used one of ACDC's old songs ""dirty deed done dirt cheap""😂😂in a romance/comedy movie",2016-11-14T16:12:43.000Z,4
2011-06-16T14:44:40.000Z,JgacDwgKiZg,Bridesmaids Official Trailer #1 - (2011) HD,this is one of my favorite chick flicks and I'm a metal head from hell,2016-10-09T00:44:26.000Z,14
2011-06-16T14:44:40.000Z,JgacDwgKiZg,Bridesmaids Official Trailer #1 - (2011) HD,This trailer is boring. The movie? So much fun! Watch it!,2016-10-01T14:53:16.000Z,7
2011-06-16T14:44:40.000Z,JgacDwgKiZg,Bridesmaids Official Trailer #1 - (2011) HD,GhostMaids.,2016-05-23T10:38:15.000Z,5
2011-06-16T14:44:40.000Z,JgacDwgKiZg,Bridesmaids Official Trailer #1 - (2011) HD,"This gives me hope for the new ghostbusters, in that this trailer makes this movie look terrible, but I actually really enjoyed it.",2016-05-19T08:59:13.000Z,25
2011-06-16T14:44:40.000Z,JgacDwgKiZg,Bridesmaids Official Trailer #1 - (2011) HD,A lot of the things in the trailer aren't in the movie... The movie is WAY different than the trailer. ,2015-05-18T20:17:07.000Z,40
2011-06-16T14:44:40.000Z,JgacDwgKiZg,Bridesmaids Official Trailer #1 - (2011) HD,"1:54 1:55 rose her face 
WHAHAHA ",2015-03-02T20:07:25.000Z,6
2011-06-16T14:44:40.000Z,JgacDwgKiZg,Bridesmaids Official Trailer #1 - (2011) HD,Great movie. Terrible trailer.,2015-02-20T08:02:03.000Z,49
2011-06-16T14:44:40.000Z,JgacDwgKiZg,Bridesmaids Official Trailer #1 - (2011) HD,@MnMS1904 ,2015-02-11T21:52:01.000Z,0
2011-06-16T14:44:40.000Z,JgacDwgKiZg,Bridesmaids Official Trailer #1 - (2011) HD,Rose is better :) ,2015-02-11T21:50:49.000Z,0
2011-06-16T14:44:40.000Z,JgacDwgKiZg,Bridesmaids Official Trailer #1 - (2011) HD,Maya Rudolph was a really good actor.,2015-01-14T05:24:46.000Z,2
2011-06-16T14:44:40.000Z,JgacDwgKiZg,Bridesmaids Official Trailer #1 - (2011) HD,Impossible don't fall in love with Kristen Wiig. She is amazing!!!!,2014-03-28T21:04:08.000Z,13
2011-06-16T14:44:40.000Z,JgacDwgKiZg,Bridesmaids Official Trailer #1 - (2011) HD,"epic
",2013-08-23T21:44:39.000Z,3
2011-06-16T14:44:40.000Z,JgacDwgKiZg,Bridesmaids Official Trailer #1 - (2011) HD,Really first comedy i laughed to from a veery long time. Big recommend!,2013-08-23T19:17:58.000Z,2
2011-06-16T14:44:40.000Z,JgacDwgKiZg,Bridesmaids Official Trailer #1 - (2011) HD,who clicked on this for 'fat amy' ,2013-08-02T09:31:58.000Z,3
2011-06-16T14:44:40.000Z,JgacDwgKiZg,Bridesmaids Official Trailer #1 - (2011) HD,kristen wigg was the greatest thing about this movie i don't know what you guys are talking about,2013-07-30T01:19:25.000Z,1
2011-06-16T14:44:40.000Z,JgacDwgKiZg,Bridesmaids Official Trailer #1 - (2011) HD,LOLOL,2013-07-25T06:22:55.000Z,2
2011-06-16T14:44:40.000Z,JgacDwgKiZg,Bridesmaids Official Trailer #1 - (2011) HD,"I'm not a fan of every minute of this movie, but I think Nathan Rhodes, the police officer, stole the show. I loved him.",2013-06-08T02:18:18.000Z,1
2011-06-16T14:44:40.000Z,JgacDwgKiZg,Bridesmaids Official Trailer #1 - (2011) HD,"meh, Kristen Wigg was so much better",2013-02-24T23:05:08.000Z,1
2011-06-16T14:44:40.000Z,JgacDwgKiZg,Bridesmaids Official Trailer #1 - (2011) HD,"Thenotbettermatt, I'm Megan and you'd better believe it and I know where you live",2013-01-06T09:15:56.000Z,0
2011-06-16T14:44:40.000Z,JgacDwgKiZg,Bridesmaids Official Trailer #1 - (2011) HD,"I wanna apologize,im not even confident on which end that came out of.",2012-11-15T03:38:57.000Z,1
2011-06-16T14:44:40.000Z,JgacDwgKiZg,Bridesmaids Official Trailer #1 - (2011) HD,The female version of the Hangover!!,2012-10-07T09:29:12.000Z,16
2011-06-16T14:44:40.000Z,JgacDwgKiZg,Bridesmaids Official Trailer #1 - (2011) HD,can't believe they compared dis movie to hangover which was really good...cant also believe they put dis movie up for an oscar..r u kidding me?!,2012-09-13T18:08:34.000Z,0
2011-06-16T14:44:40.000Z,JgacDwgKiZg,Bridesmaids Official Trailer #1 - (2011) HD,.that makes sense too.,2012-08-24T02:45:51.000Z,0
2011-06-16T14:44:40.000Z,JgacDwgKiZg,Bridesmaids Official Trailer #1 - (2011) HD,Yeah i kind of wondered about that. Maybe it was cause the pink really popped on the dvd but wasn't stylish/french enough for the wedding,2012-08-23T23:26:11.000Z,0
2011-06-16T14:44:40.000Z,JgacDwgKiZg,Bridesmaids Official Trailer #1 - (2011) HD,Some of theses parts weren't in the movie?,2012-08-23T03:41:30.000Z,4
2011-06-16T14:44:40.000Z,JgacDwgKiZg,Bridesmaids Official Trailer #1 - (2011) HD,"""At first I did not know it was your diary, I thought it was a very sad handwritten book. "" hahahahaha",2012-07-10T10:49:38.000Z,0
2011-06-16T14:44:40.000Z,JgacDwgKiZg,Bridesmaids Official Trailer #1 - (2011) HD,Megan MADE this movie. ,2012-06-19T02:54:55.000Z,1
2011-06-16T14:44:40.000Z,JgacDwgKiZg,Bridesmaids Official Trailer #1 - (2011) HD,.they should of actually wore the pink dresses to her wedding !! STILL my faave movie though =),2012-06-15T18:59:49.000Z,0
2011-06-16T14:44:40.000Z,JgacDwgKiZg,Bridesmaids Official Trailer #1 - (2011) HD,How do I love Bridesmaids?  Let me count the ways... :),2012-05-15T04:57:02.000Z,1
2011-06-16T14:44:40.000Z,JgacDwgKiZg,Bridesmaids Official Trailer #1 - (2011) HD,"""im glad hes single because im gonna climb that like a tree"" I LOVE HER!!!!",2012-04-24T01:49:22.000Z,4
2011-06-16T14:44:40.000Z,JgacDwgKiZg,Bridesmaids Official Trailer #1 - (2011) HD,Fuck yeah ACDC soundtrack,2012-04-03T20:28:28.000Z,0
2011-06-16T14:44:40.000Z,JgacDwgKiZg,Bridesmaids Official Trailer #1 - (2011) HD,Bahahaha this movie is amazing i loved it haha omg her fucking face 1:11 xD,2012-04-01T17:42:23.000Z,0
2011-06-16T14:44:40.000Z,JgacDwgKiZg,Bridesmaids Official Trailer #1 - (2011) HD,"I think if Melissa was not in this movie, it would have bombed in the box office. She was the one who brought the house down. One hell of a funny lady.",2012-03-06T13:47:54.000Z,2
2011-06-16T14:44:40.000Z,JgacDwgKiZg,Bridesmaids Official Trailer #1 - (2011) HD,@steppedat aaaw! :D,2012-03-02T14:50:32.000Z,0
2011-06-16T14:44:40.000Z,JgacDwgKiZg,Bridesmaids Official Trailer #1 - (2011) HD,@TheEngineerMaldita IT IS FUCKING AWESOME!!!!!!!!!!! I swear you will poop your pantaloons ,2012-02-27T10:11:43.000Z,0
2011-06-16T14:44:40.000Z,JgacDwgKiZg,Bridesmaids Official Trailer #1 - (2011) HD,"@zzzhuh FUCK YOU, TOO",2012-02-27T10:10:58.000Z,0
2011-06-16T14:44:40.000Z,JgacDwgKiZg,Bridesmaids Official Trailer #1 - (2011) HD,@CrazedPeeling FUCK YOU,2012-02-27T10:10:50.000Z,0
2011-06-16T14:44:40.000Z,JgacDwgKiZg,Bridesmaids Official Trailer #1 - (2011) HD,@TheEngineerMaldita It's a chick flick and isn't even really worth it.,2012-02-20T21:16:42.000Z,0
2011-06-16T14:44:40.000Z,JgacDwgKiZg,Bridesmaids Official Trailer #1 - (2011) HD,"@TheEngineerMaldita you're not missing anything, it's quite disappointing and unfunny.",2012-01-28T00:05:20.000Z,0
2011-06-16T14:44:40.000Z,JgacDwgKiZg,Bridesmaids Official Trailer #1 - (2011) HD,"haha kristens face at 1:11
and sadly @TheEngineerMaldita i havent either... =\",2012-01-20T04:25:56.000Z,0
2011-06-16T14:44:40.000Z,JgacDwgKiZg,Bridesmaids Official Trailer #1 - (2011) HD,"i haven't watch it yet :(
very sad :(",2012-01-19T12:21:00.000Z,0
2011-06-16T14:44:40.000Z,JgacDwgKiZg,Bridesmaids Official Trailer #1 - (2011) HD,Epic cuteness at 1:57,2012-01-16T03:16:35.000Z,0
2011-06-16T14:44:40.000Z,JgacDwgKiZg,Bridesmaids Official Trailer #1 - (2011) HD,"Some of the parts in the trailer don't occur in the actual movie! :P For example when she finds out that lilian is engaged, and she starts laughing she's not drinking the wine in the movie. ",2012-01-16T00:58:44.000Z,0
2011-06-16T14:44:40.000Z,JgacDwgKiZg,Bridesmaids Official Trailer #1 - (2011) HD,@calavera3326 what?! i thought it was hilarious!,2011-12-17T11:35:35.000Z,0
2011-06-16T14:44:40.000Z,JgacDwgKiZg,Bridesmaids Official Trailer #1 - (2011) HD,THE FUNNIEST MOVIE EVER!!!,2011-12-17T11:35:21.000Z,1
2011-06-16T14:44:40.000Z,JgacDwgKiZg,Bridesmaids Official Trailer #1 - (2011) HD,Ahahaha 0:22,2011-12-14T01:10:05.000Z,0
2011-06-16T14:44:40.000Z,JgacDwgKiZg,Bridesmaids Official Trailer #1 - (2011) HD,they didnt even play half of the lines in this trailer in the movie. ,2011-12-04T07:35:08.000Z,0
2011-06-16T14:44:40.000Z,JgacDwgKiZg,Bridesmaids Official Trailer #1 - (2011) HD,"I shouldn't have to watch an advertisement before I watch a movie trailer!  That's advertisement enough!
",2011-12-01T03:05:43.000Z,1
2011-06-16T14:44:40.000Z,JgacDwgKiZg,Bridesmaids Official Trailer #1 - (2011) HD,"Here you can download fo free Bridesmaids (2011)  BRRip.XviD-EM0C0RE 

htt p://w ww.wupload.com/file/245485637

File size: 697MB
Format: AVI at 748 Kb/s
Duration: 2h 10 min 
",2011-10-01T17:40:48.000Z,0
2011-06-16T14:44:40.000Z,JgacDwgKiZg,Bridesmaids Official Trailer #1 - (2011) HD,"Ive read the screenplay. Everyones mentioning how its impossible a few people can take over the world (or even america) and, yeh, it is. Course it is. Just see this movie on fillmsi.co.cc and enojoy it...",2011-08-12T22:28:00.000Z,0
2011-06-16T14:44:40.000Z,JgacDwgKiZg,Bridesmaids Official Trailer #1 - (2011) HD,looks good XD,2011-06-30T08:49:14.000Z,0
