publish_time,Video ID,Title,Comment,updatedAt,likeCount
2013-05-14T15:40:59.000Z,yM9sKpQOuEw,Despicable Me 2 - Trailer 2,0:52 yeeaaa Disco Fever XD,2019-11-23T14:55:04.000Z,1
2013-05-14T15:40:59.000Z,yM9sKpQOuEw,Despicable Me 2 - Trailer 2,Cc. Bang  v.        C c.   Cy hyuyhyhhyghhuyhgggvcx Xcode x x Xbox x x xxx,2019-11-15T13:29:21.000Z,0
2013-05-14T15:40:59.000Z,yM9sKpQOuEw,Despicable Me 2 - Trailer 2,Lucy is an example of fire when it gets tamed😂,2019-11-14T23:54:30.000Z,0
2013-05-14T15:40:59.000Z,yM9sKpQOuEw,Despicable Me 2 - Trailer 2,0:27 best seen in whole series 😊😊,2019-11-14T16:30:28.000Z,0
2013-05-14T15:40:59.000Z,yM9sKpQOuEw,Despicable Me 2 - Trailer 2,It’s so funny when he said never get older,2019-11-02T01:19:42.000Z,0
2013-05-14T15:40:59.000Z,yM9sKpQOuEw,Despicable Me 2 - Trailer 2,I’m trying to find a comment from 6 years ago,2019-10-31T23:25:29.000Z,0
2013-05-14T15:40:59.000Z,yM9sKpQOuEw,Despicable Me 2 - Trailer 2,When I first saw the evil minions in this movie IT SCARED ME TO DEATH,2019-10-25T14:43:00.000Z,0
2013-05-14T15:40:59.000Z,yM9sKpQOuEw,Despicable Me 2 - Trailer 2,frèche,2019-10-18T20:27:25.000Z,0
2013-05-14T15:40:59.000Z,yM9sKpQOuEw,Despicable Me 2 - Trailer 2,Why is this in my recommended it was 6 years ago,2019-10-13T06:07:14.000Z,0
2013-05-14T15:40:59.000Z,yM9sKpQOuEw,Despicable Me 2 - Trailer 2,When life was easy :(,2019-10-12T21:39:54.000Z,3
2013-05-14T15:40:59.000Z,yM9sKpQOuEw,Despicable Me 2 - Trailer 2,"It’s not 2013 Universal





It’s 2019",2019-10-09T20:17:25.000Z,1
2013-05-14T15:40:59.000Z,yM9sKpQOuEw,Despicable Me 2 - Trailer 2,In night she hole the phone,2019-10-09T15:10:25.000Z,0
2013-05-14T15:40:59.000Z,yM9sKpQOuEw,Despicable Me 2 - Trailer 2,Universal pictures more like universal Puntures! And that was a bad pun,2019-10-08T23:22:26.000Z,1
2013-05-14T15:40:59.000Z,yM9sKpQOuEw,Despicable Me 2 - Trailer 2,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 안녕하세요,2019-10-08T11:04:40.000Z,0
2013-05-14T15:40:59.000Z,yM9sKpQOuEw,Despicable Me 2 - Trailer 2,ㅋㅋㅋㅋㅋ,2019-10-08T11:04:18.000Z,0
2013-05-14T15:40:59.000Z,yM9sKpQOuEw,Despicable Me 2 - Trailer 2,ควย,2019-10-08T08:29:54.000Z,0
