publish_time,Video ID,Title,Comment,updatedAt,likeCount
2015-05-22T06:23:48.000Z,7YHFEsf0Y7s,Drunk Wedding Official Trailer 1 (2015) - Comedy HD,"Do I see fucking Sexy Vegan? omg, he looks so normal lol",2018-12-16T22:38:05.000Z,0
2015-05-22T06:23:48.000Z,7YHFEsf0Y7s,Drunk Wedding Official Trailer 1 (2015) - Comedy HD,do not waste your time watching this crap. it's total crap.,2018-08-10T21:40:48.000Z,0
2015-05-22T06:23:48.000Z,7YHFEsf0Y7s,Drunk Wedding Official Trailer 1 (2015) - Comedy HD,Stupid Movie Eveeeeeeeer .....!,2018-05-27T18:46:53.000Z,0
2015-05-22T06:23:48.000Z,7YHFEsf0Y7s,Drunk Wedding Official Trailer 1 (2015) - Comedy HD,"Wow, it's a comedy. Good to have that info in the title. I was a bit confused after watching it....",2018-05-19T16:40:58.000Z,0
2015-05-22T06:23:48.000Z,7YHFEsf0Y7s,Drunk Wedding Official Trailer 1 (2015) - Comedy HD,actually really funny movie but the trailer is bad,2017-04-14T14:49:20.000Z,0
2015-05-22T06:23:48.000Z,7YHFEsf0Y7s,Drunk Wedding Official Trailer 1 (2015) - Comedy HD,nice movie xdd,2016-09-17T07:58:37.000Z,0
2015-05-22T06:23:48.000Z,7YHFEsf0Y7s,Drunk Wedding Official Trailer 1 (2015) - Comedy HD,uninstalling internets after seeing this,2016-04-16T07:28:16.000Z,5
2015-05-22T06:23:48.000Z,7YHFEsf0Y7s,Drunk Wedding Official Trailer 1 (2015) - Comedy HD,good or no?,2016-03-11T19:01:42.000Z,0
2015-05-22T06:23:48.000Z,7YHFEsf0Y7s,Drunk Wedding Official Trailer 1 (2015) - Comedy HD,😳 I feel that Indie movies sucks so far I seen 2 and the acting is to f up!!  I m I the only one??,2016-02-22T03:09:36.000Z,0
2015-05-22T06:23:48.000Z,7YHFEsf0Y7s,Drunk Wedding Official Trailer 1 (2015) - Comedy HD,La Basura,2016-02-02T03:34:45.000Z,0
2015-05-22T06:23:48.000Z,7YHFEsf0Y7s,Drunk Wedding Official Trailer 1 (2015) - Comedy HD,Julia Roberts actually said she found this movie hilarious; maybe I'll give it a shot.,2016-01-18T15:44:14.000Z,1
2015-05-22T06:23:48.000Z,7YHFEsf0Y7s,Drunk Wedding Official Trailer 1 (2015) - Comedy HD,Julia Roberts brought me here,2016-01-15T01:10:17.000Z,2
2015-05-22T06:23:48.000Z,7YHFEsf0Y7s,Drunk Wedding Official Trailer 1 (2015) - Comedy HD,Best movie I've watched in 2016,2016-01-01T23:39:37.000Z,0
2015-05-22T06:23:48.000Z,7YHFEsf0Y7s,Drunk Wedding Official Trailer 1 (2015) - Comedy HD,"The result of an over-sexualised society, trying to force people into accepting how sexually free you are or some bullshit like that. Everybodt turns into sluts & nobody bats an eye.",2015-12-12T15:13:29.000Z,1
2015-05-22T06:23:48.000Z,7YHFEsf0Y7s,Drunk Wedding Official Trailer 1 (2015) - Comedy HD,What the fuck is this?  paranormal activity comedy version?,2015-12-06T10:09:21.000Z,0
2015-05-22T06:23:48.000Z,7YHFEsf0Y7s,Drunk Wedding Official Trailer 1 (2015) - Comedy HD,this looks horrible,2015-12-02T23:15:31.000Z,0
2015-05-22T06:23:48.000Z,7YHFEsf0Y7s,Drunk Wedding Official Trailer 1 (2015) - Comedy HD,"This still looks good though, dispite all the shit",2015-11-15T18:35:28.000Z,0
2015-05-22T06:23:48.000Z,7YHFEsf0Y7s,Drunk Wedding Official Trailer 1 (2015) - Comedy HD,Is that the guy from buzzfeed? :o :o :o,2015-11-12T12:55:58.000Z,19
2015-05-22T06:23:48.000Z,7YHFEsf0Y7s,Drunk Wedding Official Trailer 1 (2015) - Comedy HD,shittiest movie in history,2015-11-09T03:17:36.000Z,0
2015-05-22T06:23:48.000Z,7YHFEsf0Y7s,Drunk Wedding Official Trailer 1 (2015) - Comedy HD,song name?,2015-10-31T16:00:37.000Z,0
2015-05-22T06:23:48.000Z,7YHFEsf0Y7s,Drunk Wedding Official Trailer 1 (2015) - Comedy HD,who the fuck holded the camera..!!,2015-10-28T08:04:54.000Z,0
2015-05-22T06:23:48.000Z,7YHFEsf0Y7s,Drunk Wedding Official Trailer 1 (2015) - Comedy HD,"i laughed the entire movie, give it a chance",2015-10-18T06:30:43.000Z,1
2015-05-22T06:23:48.000Z,7YHFEsf0Y7s,Drunk Wedding Official Trailer 1 (2015) - Comedy HD,"yeahhhh,i wont be watching it",2015-10-14T16:29:17.000Z,0
2015-05-22T06:23:48.000Z,7YHFEsf0Y7s,Drunk Wedding Official Trailer 1 (2015) - Comedy HD,what's the name of the song that starts in 0:20 ??,2015-10-13T21:57:34.000Z,0
2015-05-22T06:23:48.000Z,7YHFEsf0Y7s,Drunk Wedding Official Trailer 1 (2015) - Comedy HD,Suddenly cable access is Citizen Kane,2015-10-11T06:12:44.000Z,0
2015-05-22T06:23:48.000Z,7YHFEsf0Y7s,Drunk Wedding Official Trailer 1 (2015) - Comedy HD,I love this country.  Land of the free. Home of the Brave.  Take that Talibans,2015-10-09T20:51:17.000Z,0
2015-05-22T06:23:48.000Z,7YHFEsf0Y7s,Drunk Wedding Official Trailer 1 (2015) - Comedy HD,when he punch her had me cracking up. oh lord.,2015-10-09T17:01:27.000Z,0
2015-05-22T06:23:48.000Z,7YHFEsf0Y7s,Drunk Wedding Official Trailer 1 (2015) - Comedy HD,Whats the of the Delivery Boy :3,2015-10-08T16:31:34.000Z,0
2015-05-22T06:23:48.000Z,7YHFEsf0Y7s,Drunk Wedding Official Trailer 1 (2015) - Comedy HD,Made with a calculator phone video camera.  One I will have to miss.,2015-09-26T23:52:29.000Z,0
2015-05-22T06:23:48.000Z,7YHFEsf0Y7s,Drunk Wedding Official Trailer 1 (2015) - Comedy HD,Lame,2015-09-25T13:14:38.000Z,0
2015-05-22T06:23:48.000Z,7YHFEsf0Y7s,Drunk Wedding Official Trailer 1 (2015) - Comedy HD,"After watching @1:09, I realize the feminists are coming, the feminists are coming!",2015-09-22T10:09:48.000Z,0
2015-05-22T06:23:48.000Z,7YHFEsf0Y7s,Drunk Wedding Official Trailer 1 (2015) - Comedy HD,WTF is this movie ?,2015-09-20T18:20:54.000Z,0
2015-05-22T06:23:48.000Z,7YHFEsf0Y7s,Drunk Wedding Official Trailer 1 (2015) - Comedy HD,Buzzfeed's run out of ideas,2015-09-19T18:40:19.000Z,1
2015-05-22T06:23:48.000Z,7YHFEsf0Y7s,Drunk Wedding Official Trailer 1 (2015) - Comedy HD,W....T......F??????,2015-09-05T03:56:06.000Z,0
2015-05-22T06:23:48.000Z,7YHFEsf0Y7s,Drunk Wedding Official Trailer 1 (2015) - Comedy HD,Buzfeed!!!,2015-09-02T12:37:38.000Z,0
2015-05-22T06:23:48.000Z,7YHFEsf0Y7s,Drunk Wedding Official Trailer 1 (2015) - Comedy HD,Hey that guy works at buzzfeed....,2015-08-27T21:47:17.000Z,0
2015-05-22T06:23:48.000Z,7YHFEsf0Y7s,Drunk Wedding Official Trailer 1 (2015) - Comedy HD,"I clicked on this video thinking there was going to be some sort of Horror twist.


I was met with...This.",2015-08-13T03:52:05.000Z,1
2015-05-22T06:23:48.000Z,7YHFEsf0Y7s,Drunk Wedding Official Trailer 1 (2015) - Comedy HD,Basically...whores.,2015-08-12T18:55:56.000Z,2
2015-05-22T06:23:48.000Z,7YHFEsf0Y7s,Drunk Wedding Official Trailer 1 (2015) - Comedy HD,the guy in buzzfeed is there!!!,2015-08-07T21:27:35.000Z,0
2015-05-22T06:23:48.000Z,7YHFEsf0Y7s,Drunk Wedding Official Trailer 1 (2015) - Comedy HD,"I hate movies that are made with hand held cameras!!! So cheaply made & make me want to puke. Fuck you, Blair witch project for bringing this on the world!!",2015-08-03T19:39:12.000Z,0
2015-05-22T06:23:48.000Z,7YHFEsf0Y7s,Drunk Wedding Official Trailer 1 (2015) - Comedy HD,THE BUZZFEED DDDUDDEE,2015-07-31T03:17:38.000Z,0
2015-05-22T06:23:48.000Z,7YHFEsf0Y7s,Drunk Wedding Official Trailer 1 (2015) - Comedy HD,Much Scarier than Paranormal Activity.,2015-07-30T11:01:58.000Z,0
2015-05-22T06:23:48.000Z,7YHFEsf0Y7s,Drunk Wedding Official Trailer 1 (2015) - Comedy HD,Can anyone tell me the name of the song playing in this trailer???,2015-07-27T17:39:12.000Z,1
2015-05-22T06:23:48.000Z,7YHFEsf0Y7s,Drunk Wedding Official Trailer 1 (2015) - Comedy HD,....... hmmm,2015-07-26T19:27:42.000Z,0
2015-05-22T06:23:48.000Z,7YHFEsf0Y7s,Drunk Wedding Official Trailer 1 (2015) - Comedy HD,This shit looks fucking awful.,2015-07-24T18:34:40.000Z,6
2015-05-22T06:23:48.000Z,7YHFEsf0Y7s,Drunk Wedding Official Trailer 1 (2015) - Comedy HD,"stupid punks, and disrespectful in Nicaragua, which has gone to shit anyway , I stand by my statement that ,most all I say 95% most my age say 99% under 30 in gringolandia are ABSOLUTELY WORTHLESS",2015-07-24T16:12:21.000Z,0
2015-05-22T06:23:48.000Z,7YHFEsf0Y7s,Drunk Wedding Official Trailer 1 (2015) - Comedy HD,"There are some kind of movies that just don't work with a shaky camera. Don't believe me, just look at the number of dislikes.",2015-07-21T11:34:01.000Z,4
2015-05-22T06:23:48.000Z,7YHFEsf0Y7s,Drunk Wedding Official Trailer 1 (2015) - Comedy HD,"Who's the Hollywood producer who green lights a movie like this and thinks to himself ""this is what people want to see""...? Insulting as well as cringe- and sigh-worthy.",2015-07-20T16:58:53.000Z,0
2015-05-22T06:23:48.000Z,7YHFEsf0Y7s,Drunk Wedding Official Trailer 1 (2015) - Comedy HD,I thought movie trailers were suppose to make you want to see the movie - not make you sick in your mouth...,2015-07-20T14:05:19.000Z,15
2015-05-22T06:23:48.000Z,7YHFEsf0Y7s,Drunk Wedding Official Trailer 1 (2015) - Comedy HD,"Best Man Goals: Going into the Grooms Room and Yelling ""IT'S YOUR WEDDING DAY!"" While he's fucking his Bride.",2015-07-20T01:54:40.000Z,3
2015-05-22T06:23:48.000Z,7YHFEsf0Y7s,Drunk Wedding Official Trailer 1 (2015) - Comedy HD,Bill Nye? Is that you? 0:56,2015-07-19T03:43:28.000Z,0
2015-05-22T06:23:48.000Z,7YHFEsf0Y7s,Drunk Wedding Official Trailer 1 (2015) - Comedy HD,"The trail doesn't do it justice, this movie was funny as shit..",2015-07-18T23:24:49.000Z,1
2015-05-22T06:23:48.000Z,7YHFEsf0Y7s,Drunk Wedding Official Trailer 1 (2015) - Comedy HD,"Boooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo boring
",2015-07-16T04:15:11.000Z,1
2015-05-22T06:23:48.000Z,7YHFEsf0Y7s,Drunk Wedding Official Trailer 1 (2015) - Comedy HD,What's the deal with that obvious movie title?,2015-07-12T14:31:09.000Z,1
2015-05-22T06:23:48.000Z,7YHFEsf0Y7s,Drunk Wedding Official Trailer 1 (2015) - Comedy HD,*BARF*,2015-07-07T16:12:25.000Z,0
2015-05-22T06:23:48.000Z,7YHFEsf0Y7s,Drunk Wedding Official Trailer 1 (2015) - Comedy HD,does the guy in 0:56 from buzzfeed,2015-07-04T00:36:18.000Z,0
2015-05-22T06:23:48.000Z,7YHFEsf0Y7s,Drunk Wedding Official Trailer 1 (2015) - Comedy HD,That bus boy looks like Fez from That 70's Show,2015-07-01T16:29:27.000Z,0
2015-05-22T06:23:48.000Z,7YHFEsf0Y7s,Drunk Wedding Official Trailer 1 (2015) - Comedy HD,"This is one sad piece of shitty movie. Hollywood, stop producing shit like this ffs!!",2015-07-01T04:26:22.000Z,4
2015-05-22T06:23:48.000Z,7YHFEsf0Y7s,Drunk Wedding Official Trailer 1 (2015) - Comedy HD,Just watching this trailer made me depressed. -_- The chances of me actually watching the movie are slim.,2015-07-01T01:54:18.000Z,1
