publish_time,Video ID,Title,Comment,updatedAt,likeCount
2016-09-27T13:31:40.000Z,jj-ZYPVRQbc,"Fences Official Trailer #1 (2016) Denzel Washington, Viola Davis Drama Movie HD",link to the movie  https://dausel.co/pahk3Y,2019-11-01T08:25:32.000Z,0
2016-09-27T13:31:40.000Z,jj-ZYPVRQbc,"Fences Official Trailer #1 (2016) Denzel Washington, Viola Davis Drama Movie HD","0:20

Thought my dad snuck up in my house uninvited and started lecturing me.
My PTSD kicked in and I instantly dropped to the ground and started doing pushups.",2019-11-03T17:10:30.000Z,1
2016-09-27T13:31:40.000Z,jj-ZYPVRQbc,"Fences Official Trailer #1 (2016) Denzel Washington, Viola Davis Drama Movie HD","I only have one word






""Wow""",2019-10-23T10:24:10.000Z,0
2016-09-27T13:31:40.000Z,jj-ZYPVRQbc,"Fences Official Trailer #1 (2016) Denzel Washington, Viola Davis Drama Movie HD",I don't know how to take that movie. Don't underestimate me. Daniel is one of my favourite actor and i have watch all of his movies since day one. But... why i didn't like that movie ?,2019-10-06T11:44:26.000Z,0
2016-09-27T13:31:40.000Z,jj-ZYPVRQbc,"Fences Official Trailer #1 (2016) Denzel Washington, Viola Davis Drama Movie HD",Awesome movie need more like this,2019-09-24T01:44:21.000Z,0
2016-09-27T13:31:40.000Z,jj-ZYPVRQbc,"Fences Official Trailer #1 (2016) Denzel Washington, Viola Davis Drama Movie HD","No matter how bad it seems, but this is real fatherly love. His son wouldn't have achieved what he achieved if it weren't for his father.",2019-09-21T10:28:42.000Z,0
2016-09-27T13:31:40.000Z,jj-ZYPVRQbc,"Fences Official Trailer #1 (2016) Denzel Washington, Viola Davis Drama Movie HD","Excellent play, and movie too",2019-09-18T05:16:47.000Z,0
2016-09-27T13:31:40.000Z,jj-ZYPVRQbc,"Fences Official Trailer #1 (2016) Denzel Washington, Viola Davis Drama Movie HD",Great movie with great cast. I love it. I was in tears at the end of it. Real life issues depicted here not some perfect nonsense.,2019-09-08T09:06:00.000Z,0
2016-09-27T13:31:40.000Z,jj-ZYPVRQbc,"Fences Official Trailer #1 (2016) Denzel Washington, Viola Davis Drama Movie HD",very good movie,2019-09-08T05:48:49.000Z,0
2016-09-27T13:31:40.000Z,jj-ZYPVRQbc,"Fences Official Trailer #1 (2016) Denzel Washington, Viola Davis Drama Movie HD","What a GREAT movie and story, just GREAT!!!👍👍👍🏆🏆🏆👏👏👏",2019-09-03T14:23:16.000Z,2
2016-09-27T13:31:40.000Z,jj-ZYPVRQbc,"Fences Official Trailer #1 (2016) Denzel Washington, Viola Davis Drama Movie HD",Name  of the movie  please,2019-08-21T22:24:16.000Z,0
2016-09-27T13:31:40.000Z,jj-ZYPVRQbc,"Fences Official Trailer #1 (2016) Denzel Washington, Viola Davis Drama Movie HD","this is such a very underrated movie, sadly...",2019-08-16T11:50:46.000Z,1
2016-09-27T13:31:40.000Z,jj-ZYPVRQbc,"Fences Official Trailer #1 (2016) Denzel Washington, Viola Davis Drama Movie HD",Love that movie!,2019-08-16T10:45:45.000Z,0
2016-09-27T13:31:40.000Z,jj-ZYPVRQbc,"Fences Official Trailer #1 (2016) Denzel Washington, Viola Davis Drama Movie HD","""Yes sir,
Yes sir,
Yes sir""


Cory's training before joining the Marine Corps",2019-08-14T18:30:59.000Z,0
2016-09-27T13:31:40.000Z,jj-ZYPVRQbc,"Fences Official Trailer #1 (2016) Denzel Washington, Viola Davis Drama Movie HD",Oscar for the trailer!,2019-08-09T13:33:03.000Z,0
2016-09-27T13:31:40.000Z,jj-ZYPVRQbc,"Fences Official Trailer #1 (2016) Denzel Washington, Viola Davis Drama Movie HD",Denzel Washington is best actor to learn acting .,2019-07-25T05:06:16.000Z,1
2016-09-27T13:31:40.000Z,jj-ZYPVRQbc,"Fences Official Trailer #1 (2016) Denzel Washington, Viola Davis Drama Movie HD",I can't find this movie anywhere.,2019-07-14T13:27:33.000Z,0
