publish_time,Video ID,Title,Comment,updatedAt,likeCount
2012-06-26T16:43:36.000Z,29vIJQohUWE,Frankenweenie Official Trailer #2 (2012) Tim Burton Movie HD,"*rages like heck when Frankenweenie wouldn’t come out on Disney+ until April 1st, 2020*",2019-11-13T14:35:33.000Z,0
2012-06-26T16:43:36.000Z,29vIJQohUWE,Frankenweenie Official Trailer #2 (2012) Tim Burton Movie HD,We all gasped when sparky died,2019-11-02T22:15:37.000Z,0
2012-06-26T16:43:36.000Z,29vIJQohUWE,Frankenweenie Official Trailer #2 (2012) Tim Burton Movie HD,**Nostalgia Intensifies**,2019-10-29T00:47:00.000Z,1
2012-06-26T16:43:36.000Z,29vIJQohUWE,Frankenweenie Official Trailer #2 (2012) Tim Burton Movie HD,2019 love this has such a weird vibe,2019-10-27T12:23:53.000Z,0
2012-06-26T16:43:36.000Z,29vIJQohUWE,Frankenweenie Official Trailer #2 (2012) Tim Burton Movie HD,I remember I saw this with my mother,2019-10-27T02:38:26.000Z,0
2012-06-26T16:43:36.000Z,29vIJQohUWE,Frankenweenie Official Trailer #2 (2012) Tim Burton Movie HD,Who's here waiting to watch this on hbo,2019-10-19T15:28:40.000Z,0
2012-06-26T16:43:36.000Z,29vIJQohUWE,Frankenweenie Official Trailer #2 (2012) Tim Burton Movie HD,2019 anyone?,2019-10-19T00:56:55.000Z,1
2012-06-26T16:43:36.000Z,29vIJQohUWE,Frankenweenie Official Trailer #2 (2012) Tim Burton Movie HD,❤️❤️❤️,2019-10-17T04:38:12.000Z,1
2012-06-26T16:43:36.000Z,29vIJQohUWE,Frankenweenie Official Trailer #2 (2012) Tim Burton Movie HD,How Long Is Frankenweenie 2: Bride of frankenweenie Comes Out I Can't Wait to see it For a Long Time?,2019-10-14T15:58:04.000Z,1
2012-06-26T16:43:36.000Z,29vIJQohUWE,Frankenweenie Official Trailer #2 (2012) Tim Burton Movie HD,Who's here 2019??😂,2019-10-14T07:03:51.000Z,52
2012-06-26T16:43:36.000Z,29vIJQohUWE,Frankenweenie Official Trailer #2 (2012) Tim Burton Movie HD,IT SAYS YOUNG VICTOR READ THE BIO,2019-10-13T11:50:37.000Z,0
2012-06-26T16:43:36.000Z,29vIJQohUWE,Frankenweenie Official Trailer #2 (2012) Tim Burton Movie HD,OMG THATS VICTOR YOUNGER BC IT WAS CALLED SPARKY,2019-10-13T11:49:03.000Z,2
2012-06-26T16:43:36.000Z,29vIJQohUWE,Frankenweenie Official Trailer #2 (2012) Tim Burton Movie HD,This is the only remake I approve of. Why? I’m glad you asked. The director of the original version is the same director of the remake: Tim Burton,2019-10-10T10:26:22.000Z,1
2012-06-26T16:43:36.000Z,29vIJQohUWE,Frankenweenie Official Trailer #2 (2012) Tim Burton Movie HD,That kid looks like Victor VanDort,2019-10-07T23:15:36.000Z,0
2012-06-26T16:43:36.000Z,29vIJQohUWE,Frankenweenie Official Trailer #2 (2012) Tim Burton Movie HD,This is the first Tim Burton movie that I have ever seen. I watched it when I was eight years old and it made me cry so much. But now I absolutely love Tim Burton movies,2019-09-27T01:43:57.000Z,3
2012-06-26T16:43:36.000Z,29vIJQohUWE,Frankenweenie Official Trailer #2 (2012) Tim Burton Movie HD,this is bit to dark for kids.,2019-09-11T14:51:08.000Z,0
2012-06-26T16:43:36.000Z,29vIJQohUWE,Frankenweenie Official Trailer #2 (2012) Tim Burton Movie HD,There should be a Tim Burton The Mummy where Nassor Becomes The Mummy Alive or when Victor Brings him back from the Dead and he is a Mummy,2019-09-04T01:29:06.000Z,0
2012-06-26T16:43:36.000Z,29vIJQohUWE,Frankenweenie Official Trailer #2 (2012) Tim Burton Movie HD,so spooky i almost died,2019-08-28T21:51:52.000Z,0
2012-06-26T16:43:36.000Z,29vIJQohUWE,Frankenweenie Official Trailer #2 (2012) Tim Burton Movie HD,"This was the first Tim burton movie I saw.
I was scarred for a long time.",2019-07-14T06:45:23.000Z,1
2012-06-26T16:43:36.000Z,29vIJQohUWE,Frankenweenie Official Trailer #2 (2012) Tim Burton Movie HD,"For all of you who are saying this is Victor from the Corpse Bride, remember Victor from this movie has an American accent, while Victor from the Corpse Bride has an English accent.",2019-07-09T12:39:31.000Z,18
2012-06-26T16:43:36.000Z,29vIJQohUWE,Frankenweenie Official Trailer #2 (2012) Tim Burton Movie HD,More like pet sematary,2019-07-07T14:28:38.000Z,1
2012-06-26T16:43:36.000Z,29vIJQohUWE,Frankenweenie Official Trailer #2 (2012) Tim Burton Movie HD,I hugged my dog and cried. I get mad at her sometimes .. but without her my life is nothing.. I love my dog so much.. that no one can understand. I would have died too if anything happened to my dog.,2019-05-21T21:04:57.000Z,2
2012-06-26T16:43:36.000Z,29vIJQohUWE,Frankenweenie Official Trailer #2 (2012) Tim Burton Movie HD,PLEASE BRING THIS MOVIES BACK!!😭😭,2019-03-18T07:26:53.000Z,5
2012-06-26T16:43:36.000Z,29vIJQohUWE,Frankenweenie Official Trailer #2 (2012) Tim Burton Movie HD,Sparky😭😭😭,2019-02-24T07:16:43.000Z,2
2012-06-26T16:43:36.000Z,29vIJQohUWE,Frankenweenie Official Trailer #2 (2012) Tim Burton Movie HD,Esta pelicula es la peor película del mundo el perro es una porqueria estupido por esta película hodio a tim burtum,2019-02-06T03:49:50.000Z,0
2012-06-26T16:43:36.000Z,29vIJQohUWE,Frankenweenie Official Trailer #2 (2012) Tim Burton Movie HD,"Ahh, this movie almost made me cry, I loved it!!",2019-01-12T09:14:43.000Z,3
2012-06-26T16:43:36.000Z,29vIJQohUWE,Frankenweenie Official Trailer #2 (2012) Tim Burton Movie HD,Frankenweenie 2: Bride Of Frankenweenie Comes Out October 2019?,2018-12-24T18:01:58.000Z,21
2012-06-26T16:43:36.000Z,29vIJQohUWE,Frankenweenie Official Trailer #2 (2012) Tim Burton Movie HD,When Is Frankenweenie 2 Bride of Frankenweenie Comes Out 2019?,2018-11-08T16:34:00.000Z,0
2012-06-26T16:43:36.000Z,29vIJQohUWE,Frankenweenie Official Trailer #2 (2012) Tim Burton Movie HD,my favourite part is when mr ryrfnfajyghvfjuski introduces himself,2018-10-29T20:06:52.000Z,0
2012-06-26T16:43:36.000Z,29vIJQohUWE,Frankenweenie Official Trailer #2 (2012) Tim Burton Movie HD,COMING SOON,2018-10-27T21:40:51.000Z,1
2012-06-26T16:43:36.000Z,29vIJQohUWE,Frankenweenie Official Trailer #2 (2012) Tim Burton Movie HD,Frankenweenie 2: Bride Of Frankenweenie Comes Out 2019!!,2018-10-21T17:59:43.000Z,1
2012-06-26T16:43:36.000Z,29vIJQohUWE,Frankenweenie Official Trailer #2 (2012) Tim Burton Movie HD,I cried so much when I watched this because dogs are amazing and just thinking the thought as if my dog had been runned over makes me cry,2018-10-21T00:14:18.000Z,1
2012-06-26T16:43:36.000Z,29vIJQohUWE,Frankenweenie Official Trailer #2 (2012) Tim Burton Movie HD,"I REMEMBER THIS MOVIE OMFG! I remember crying when Sparky died... I've searched for this movie for a very long time now, finally found it.",2018-10-19T14:56:07.000Z,3
2012-06-26T16:43:36.000Z,29vIJQohUWE,Frankenweenie Official Trailer #2 (2012) Tim Burton Movie HD,Tonto señor que mató a sparki,2018-09-08T14:43:19.000Z,0
2012-06-26T16:43:36.000Z,29vIJQohUWE,Frankenweenie Official Trailer #2 (2012) Tim Burton Movie HD,😟😭😭😭😭😭😭😭😭😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢,2018-09-08T14:42:53.000Z,1
2012-06-26T16:43:36.000Z,29vIJQohUWE,Frankenweenie Official Trailer #2 (2012) Tim Burton Movie HD,A mi me hizo llorar,2018-09-08T14:42:35.000Z,0
2012-06-26T16:43:36.000Z,29vIJQohUWE,Frankenweenie Official Trailer #2 (2012) Tim Burton Movie HD,dude.i love the voice of victor,2018-08-19T18:18:12.000Z,1
2012-06-26T16:43:36.000Z,29vIJQohUWE,Frankenweenie Official Trailer #2 (2012) Tim Burton Movie HD,My childhood movie,2018-07-22T04:28:14.000Z,5
2012-06-26T16:43:36.000Z,29vIJQohUWE,Frankenweenie Official Trailer #2 (2012) Tim Burton Movie HD,This movie is one of my favorite movie in the world,2018-06-07T05:18:12.000Z,4
2012-06-26T16:43:36.000Z,29vIJQohUWE,Frankenweenie Official Trailer #2 (2012) Tim Burton Movie HD,Is he like the younger version of Victor?,2018-05-16T15:40:39.000Z,159
2012-06-26T16:43:36.000Z,29vIJQohUWE,Frankenweenie Official Trailer #2 (2012) Tim Burton Movie HD,You lost the pink razor & coloring & wilsons walker & a smiley face 💺💺💺🗒🗒🖍🖍✂️✂️✂️,2017-11-10T22:51:06.000Z,0
2012-06-26T16:43:36.000Z,29vIJQohUWE,Frankenweenie Official Trailer #2 (2012) Tim Burton Movie HD,Hey they have Gamera in it!,2017-05-03T01:31:21.000Z,5
2012-06-26T16:43:36.000Z,29vIJQohUWE,Frankenweenie Official Trailer #2 (2012) Tim Burton Movie HD,is this really black and white movie?,2016-12-26T03:25:02.000Z,9
2012-06-26T16:43:36.000Z,29vIJQohUWE,Frankenweenie Official Trailer #2 (2012) Tim Burton Movie HD,good  evening  are   u  all  getting  interenet,2016-10-30T20:01:47.000Z,1
2012-06-26T16:43:36.000Z,29vIJQohUWE,Frankenweenie Official Trailer #2 (2012) Tim Burton Movie HD,thx for the trairler,2016-09-18T04:25:09.000Z,1
2012-06-26T16:43:36.000Z,29vIJQohUWE,Frankenweenie Official Trailer #2 (2012) Tim Burton Movie HD,poor sparky the dog,2016-07-15T12:27:25.000Z,28
2012-06-26T16:43:36.000Z,29vIJQohUWE,Frankenweenie Official Trailer #2 (2012) Tim Burton Movie HD,I think they are in zombie world,2016-07-04T15:54:08.000Z,2
2012-06-26T16:43:36.000Z,29vIJQohUWE,Frankenweenie Official Trailer #2 (2012) Tim Burton Movie HD,i love this movie ever!!!!,2015-06-15T06:19:51.000Z,64
2012-06-26T16:43:36.000Z,29vIJQohUWE,Frankenweenie Official Trailer #2 (2012) Tim Burton Movie HD,I swear I've seen this movie a couple years ago. Is this a remake or something?,2014-04-21T11:41:55.000Z,2
2012-06-26T16:43:36.000Z,29vIJQohUWE,Frankenweenie Official Trailer #2 (2012) Tim Burton Movie HD,"And I'm pretty sure Victor from the corpse bride had a dead dog, actually I'm 100% sure. ",2013-06-19T23:24:29.000Z,71
2012-06-26T16:43:36.000Z,29vIJQohUWE,Frankenweenie Official Trailer #2 (2012) Tim Burton Movie HD,I want this movie :D,2013-05-17T10:02:28.000Z,4
2012-06-26T16:43:36.000Z,29vIJQohUWE,Frankenweenie Official Trailer #2 (2012) Tim Burton Movie HD,victor also had a dead dog in c.b ,2013-02-19T08:05:15.000Z,5
2012-06-26T16:43:36.000Z,29vIJQohUWE,Frankenweenie Official Trailer #2 (2012) Tim Burton Movie HD,Someone plz explains me why is it black and white?,2012-12-26T07:15:13.000Z,0
2012-06-26T16:43:36.000Z,29vIJQohUWE,Frankenweenie Official Trailer #2 (2012) Tim Burton Movie HD,"No no, you misunderstand: the quality of the actual stop-motion is peerless, second-to-none. It's the subject matter, and the visual style that's fucked-up in Tim Burton animations.",2012-12-23T22:05:22.000Z,0
2012-06-26T16:43:36.000Z,29vIJQohUWE,Frankenweenie Official Trailer #2 (2012) Tim Burton Movie HD,Tim Burton Movies gives me the creeps,2012-11-27T10:26:28.000Z,2
2012-06-26T16:43:36.000Z,29vIJQohUWE,Frankenweenie Official Trailer #2 (2012) Tim Burton Movie HD,"""I knooooow"" haha",2012-11-18T04:18:49.000Z,1
2012-06-26T16:43:36.000Z,29vIJQohUWE,Frankenweenie Official Trailer #2 (2012) Tim Burton Movie HD,Victor looks like a younger version of Victor in Tim Burtons Corpse Bride...does anyone else think so?,2012-10-10T17:42:45.000Z,27
2012-06-26T16:43:36.000Z,29vIJQohUWE,Frankenweenie Official Trailer #2 (2012) Tim Burton Movie HD,that movie looks really poop. i for one is not going to see it.,2012-10-06T12:11:54.000Z,0
