publish_time,Video ID,Title,Comment,updatedAt,likeCount
2014-06-03T17:58:37.000Z,1L41RWI1oUg,"Hercules Official International Trailer #1 (2014) - Dwayne Johnson, Ian McShane Movie HD",lmao so back in 2014 they actually made 2 Hercules movies? they are nuts!,2019-09-24T19:09:05.000Z,0
2014-06-03T17:58:37.000Z,1L41RWI1oUg,"Hercules Official International Trailer #1 (2014) - Dwayne Johnson, Ian McShane Movie HD","RaginDXdemon...because they’re getting rid of most books if you haven’t noticed, and all these moves are just a way to change your knowledge of these events. Plain and simple. That’s why they’re remaking everything. If you pay attention to them you’ll notice how there are very important things left out of the movies or changed altogether..",2019-09-14T09:04:46.000Z,1
2014-06-03T17:58:37.000Z,1L41RWI1oUg,"Hercules Official International Trailer #1 (2014) - Dwayne Johnson, Ian McShane Movie HD","As much as I appreciated how they blurred the lines between myth and reality in this movie, I would really like seeing this style of Hercules in the actual realm of the Greek Mythos more.",2019-09-06T05:50:12.000Z,0
2014-06-03T17:58:37.000Z,1L41RWI1oUg,"Hercules Official International Trailer #1 (2014) - Dwayne Johnson, Ian McShane Movie HD",Thats andromeda from wrath of the titans right?,2019-08-27T16:30:02.000Z,0
2014-06-03T17:58:37.000Z,1L41RWI1oUg,"Hercules Official International Trailer #1 (2014) - Dwayne Johnson, Ian McShane Movie HD","This movie was quite disappointing considering they completely changed the actual story, who killed his family, how his family was killed, the reasons for the labors he performed, and worst of all there was no actual mythology whatsoever. And that whip that you see on fire in this trailer was not on fire in the movie & it was another man using it.",2019-08-12T07:30:15.000Z,0
2014-06-03T17:58:37.000Z,1L41RWI1oUg,"Hercules Official International Trailer #1 (2014) - Dwayne Johnson, Ian McShane Movie HD",Phil hay,2019-08-08T16:25:31.000Z,0
2014-06-03T17:58:37.000Z,1L41RWI1oUg,"Hercules Official International Trailer #1 (2014) - Dwayne Johnson, Ian McShane Movie HD",The man in green who got punch from herculese really have Waooo body just waooo what a height n body looks like just waooo,2019-08-06T06:00:34.000Z,0
2014-06-03T17:58:37.000Z,1L41RWI1oUg,"Hercules Official International Trailer #1 (2014) - Dwayne Johnson, Ian McShane Movie HD",Best,2019-08-06T05:59:46.000Z,0
2014-06-03T17:58:37.000Z,1L41RWI1oUg,"Hercules Official International Trailer #1 (2014) - Dwayne Johnson, Ian McShane Movie HD","Imagine if Arnold Schwarzenegger played this movie, ohhh man!!",2019-07-26T10:23:55.000Z,0
2014-06-03T17:58:37.000Z,1L41RWI1oUg,"Hercules Official International Trailer #1 (2014) - Dwayne Johnson, Ian McShane Movie HD","sorry Rock,Kevin Sorbo is still the best Hercules by far.",2019-07-09T11:04:45.000Z,0
