publish_time,Video ID,Title,Comment,updatedAt,likeCount
2011-03-05T00:39:13.000Z,FQ63rqSRrEI,Kung Fu Panda 2 | Official Trailer,Little did i know the Jack Black eyed peas trailer would make me cry,2019-09-17T04:47:16.000Z,2
2011-03-05T00:39:13.000Z,FQ63rqSRrEI,Kung Fu Panda 2 | Official Trailer,Villen is just a lit🔥🔥🔥🔥🔥,2019-09-06T19:08:33.000Z,2
2011-03-05T00:39:13.000Z,FQ63rqSRrEI,Kung Fu Panda 2 | Official Trailer,😂😂😂😂crazy,2019-07-22T13:52:30.000Z,2
2011-03-05T00:39:13.000Z,FQ63rqSRrEI,Kung Fu Panda 2 | Official Trailer,Still waiting for Kung Fu Panda 4!!!!,2019-07-20T15:31:53.000Z,22
2011-03-05T00:39:13.000Z,FQ63rqSRrEI,Kung Fu Panda 2 | Official Trailer,I love this trailer so much! It’s so awesome freakin awesome and this is my favorite movie!!!,2019-06-14T02:11:17.000Z,2
2011-03-05T00:39:13.000Z,FQ63rqSRrEI,Kung Fu Panda 2 | Official Trailer,What's The Music In Here Used? :),2019-05-26T03:50:32.000Z,4
2011-03-05T00:39:13.000Z,FQ63rqSRrEI,Kung Fu Panda 2 | Official Trailer,2025 anyone?,2019-05-10T18:58:54.000Z,2
2011-03-05T00:39:13.000Z,FQ63rqSRrEI,Kung Fu Panda 2 | Official Trailer,Are those the sounds of my childhood I hear???,2019-04-06T07:56:20.000Z,2
2011-03-05T00:39:13.000Z,FQ63rqSRrEI,Kung Fu Panda 2 | Official Trailer,There's so much stuff in this trailer that didn't get in the actual movie.,2019-04-05T11:39:46.000Z,0
2011-03-05T00:39:13.000Z,FQ63rqSRrEI,Kung Fu Panda 2 | Official Trailer,the 1st year of the 202nd decade.,2019-03-27T04:54:21.000Z,1
2011-03-05T00:39:13.000Z,FQ63rqSRrEI,Kung Fu Panda 2 | Official Trailer,In case u weren't aware LoA didn't happen before this,2019-03-01T10:40:14.000Z,0
2011-03-05T00:39:13.000Z,FQ63rqSRrEI,Kung Fu Panda 2 | Official Trailer,Much better then the 3 movie I love kung fu panda 2,2019-02-23T18:49:47.000Z,16
2011-03-05T00:39:13.000Z,FQ63rqSRrEI,Kung Fu Panda 2 | Official Trailer,Yee-Haw!,2019-01-31T21:47:56.000Z,1
2011-03-05T00:39:13.000Z,FQ63rqSRrEI,Kung Fu Panda 2 | Official Trailer,2019 ANYONE?,2019-03-13T22:57:28.000Z,108
2011-03-05T00:39:13.000Z,FQ63rqSRrEI,Kung Fu Panda 2 | Official Trailer,2019,2019-01-13T21:55:41.000Z,3
2011-03-05T00:39:13.000Z,FQ63rqSRrEI,Kung Fu Panda 2 | Official Trailer,Much better than the third movie.,2018-11-11T18:45:19.000Z,77
2011-03-05T00:39:13.000Z,FQ63rqSRrEI,Kung Fu Panda 2 | Official Trailer,"Broccoli 1:23 
Chips 1:24",2018-04-03T20:19:20.000Z,22
2011-03-05T00:39:13.000Z,FQ63rqSRrEI,Kung Fu Panda 2 | Official Trailer,When you finally taste what broccoli tastes like 1:23,2018-04-03T20:18:21.000Z,9
2011-03-05T00:39:13.000Z,FQ63rqSRrEI,Kung Fu Panda 2 | Official Trailer,"When I saw this trailer in the theater, 1:16 to 1:23 made me laugh so hard that it made the soda I was drinking go down the wrong pipe and thereby make me cough so hard that my eyes started to water.",2017-02-03T05:54:10.000Z,112
2011-03-05T00:39:13.000Z,FQ63rqSRrEI,Kung Fu Panda 2 | Official Trailer,whats the song?,2016-12-26T20:13:44.000Z,16
2011-03-05T00:39:13.000Z,FQ63rqSRrEI,Kung Fu Panda 2 | Official Trailer,Hahaha,2016-11-03T03:07:29.000Z,5
2011-03-05T00:39:13.000Z,FQ63rqSRrEI,Kung Fu Panda 2 | Official Trailer,"Before the movie came out, I thought Po and the Furious Five were gonna join forces with masters Rhino and Croc to defeat Lord Shen. Plus, there was supposed to be a skunk character.",2015-12-03T06:37:35.000Z,57
2011-03-05T00:39:13.000Z,FQ63rqSRrEI,Kung Fu Panda 2 | Official Trailer,this movie is darker than this trailer says,2015-08-31T05:00:44.000Z,363
2011-03-05T00:39:13.000Z,FQ63rqSRrEI,Kung Fu Panda 2 | Official Trailer,2015? Anyone? ;_;,2015-07-18T09:26:26.000Z,94
2011-03-05T00:39:13.000Z,FQ63rqSRrEI,Kung Fu Panda 2 | Official Trailer,Pump it by black eye pea.,2013-08-27T15:19:34.000Z,13
2011-03-05T00:39:13.000Z,FQ63rqSRrEI,Kung Fu Panda 2 | Official Trailer,Love it!,2012-06-27T09:08:11.000Z,5
2011-03-05T00:39:13.000Z,FQ63rqSRrEI,Kung Fu Panda 2 | Official Trailer,"The happy up beat music made the movie seem like it was going to be only childish jokes, but it was actually a really good movie that reminded me about my adoption.",2012-03-02T02:09:55.000Z,52
2011-03-05T00:39:13.000Z,FQ63rqSRrEI,Kung Fu Panda 2 | Official Trailer,"seen the movie, 5000000/1",2011-08-10T19:40:32.000Z,7
2011-03-05T00:39:13.000Z,FQ63rqSRrEI,Kung Fu Panda 2 | Official Trailer,"does anyone think this will win Best Animated Oscar? or will the academy say 'boo you critics' to those who disliked Cars 2... or will films like Rio (not seen yet), Rango, Winnie the Pooh, or even this fall's films beet both?!!",2011-08-05T22:53:37.000Z,10
2011-03-05T00:39:13.000Z,FQ63rqSRrEI,Kung Fu Panda 2 | Official Trailer,"Ooooh, my old enemy....STAAIRS^^",2011-08-02T04:11:38.000Z,54
2011-03-05T00:39:13.000Z,FQ63rqSRrEI,Kung Fu Panda 2 | Official Trailer,Lol this is so funny,2011-07-12T20:02:48.000Z,1
2011-03-05T00:39:13.000Z,FQ63rqSRrEI,Kung Fu Panda 2 | Official Trailer,Kung Fu Panda 2 was just as good as the first one.  I can't wait for number 3!,2011-07-10T11:34:58.000Z,16
2011-03-05T00:39:13.000Z,FQ63rqSRrEI,Kung Fu Panda 2 | Official Trailer,"Po, I just received a message.
From the Universe?
From the messenger. ",2011-06-28T12:21:59.000Z,40
2011-03-05T00:39:13.000Z,FQ63rqSRrEI,Kung Fu Panda 2 | Official Trailer,0:40 Lord Hen?,2011-06-18T19:42:01.000Z,6
2011-03-05T00:39:13.000Z,FQ63rqSRrEI,Kung Fu Panda 2 | Official Trailer,I love the slow motion :D,2011-06-16T01:22:10.000Z,3
