publish_time,Video ID,Title,Comment,updatedAt,likeCount
2016-08-23T13:20:05.000Z,DBUXcNTjviI,La La Land (2016 Movie) Official Teaser Trailer – &#39;Audition (The Fools Who Dream)&#39;,august 2019 and still can’t get over this movie.,2019-08-20T17:36:09.000Z,3
2016-08-23T13:20:05.000Z,DBUXcNTjviI,La La Land (2016 Movie) Official Teaser Trailer – &#39;Audition (The Fools Who Dream)&#39;,"*BEAUTIFUL, BEAUTIFUL, BEAUTIFUL*
Deeply in LOVE with this movie.",2019-07-12T16:58:01.000Z,3
2016-08-23T13:20:05.000Z,DBUXcNTjviI,La La Land (2016 Movie) Official Teaser Trailer – &#39;Audition (The Fools Who Dream)&#39;,"Good video. I talk about this good film in my own segment ""Life Lessons from Movies"", specifically regarding the topic of not judging your relationships based on the outcome. https://www.youtube.com/watch?v=xoh6DtoO3Vc  Facebook: https://www.facebook.com/TheZenOfHollywood/",2019-05-28T21:36:54.000Z,0
2016-08-23T13:20:05.000Z,DBUXcNTjviI,La La Land (2016 Movie) Official Teaser Trailer – &#39;Audition (The Fools Who Dream)&#39;,2019??,2019-05-14T04:20:21.000Z,2
2016-08-23T13:20:05.000Z,DBUXcNTjviI,La La Land (2016 Movie) Official Teaser Trailer – &#39;Audition (The Fools Who Dream)&#39;,Is it weird if I say I love this trailer even more than the movie?,2019-03-28T22:14:03.000Z,2
2016-08-23T13:20:05.000Z,DBUXcNTjviI,La La Land (2016 Movie) Official Teaser Trailer – &#39;Audition (The Fools Who Dream)&#39;,Your ending make me fuckin crazy,2019-03-12T17:07:09.000Z,1
2016-08-23T13:20:05.000Z,DBUXcNTjviI,La La Land (2016 Movie) Official Teaser Trailer – &#39;Audition (The Fools Who Dream)&#39;,Watched La La Land for the first time today. Cried so much in end as they never get to be together😕😔,2019-02-24T00:36:12.000Z,1
2016-08-23T13:20:05.000Z,DBUXcNTjviI,La La Land (2016 Movie) Official Teaser Trailer – &#39;Audition (The Fools Who Dream)&#39;,"I love the movie so much, but somehow this trailer is better. I love how the only sound in it is the song, and I like how the images are set to it. It's all very beautiful and relaxing",2019-02-02T09:02:09.000Z,2
2016-08-23T13:20:05.000Z,DBUXcNTjviI,La La Land (2016 Movie) Official Teaser Trailer – &#39;Audition (The Fools Who Dream)&#39;,2019??,2019-01-02T17:21:08.000Z,0
2016-08-23T13:20:05.000Z,DBUXcNTjviI,La La Land (2016 Movie) Official Teaser Trailer – &#39;Audition (The Fools Who Dream)&#39;,ROCIO LAZO ♡,2018-11-15T03:58:55.000Z,1
2016-08-23T13:20:05.000Z,DBUXcNTjviI,La La Land (2016 Movie) Official Teaser Trailer – &#39;Audition (The Fools Who Dream)&#39;,"Beutiful
Beutiful!!!!!",2018-11-12T22:23:38.000Z,0
2016-08-23T13:20:05.000Z,DBUXcNTjviI,La La Land (2016 Movie) Official Teaser Trailer – &#39;Audition (The Fools Who Dream)&#39;,Just love the shot of Emma Stone after her name is introduced at 1:01. Really just shows how her character is dreamy and longing. In that scene she is in awe of the celeb that walked in and eyed her until she exited the coffee shop and then the camera just goes back to her standing blankly ahead of her with that slight grin.,2018-11-10T17:19:19.000Z,1
2016-08-23T13:20:05.000Z,DBUXcNTjviI,La La Land (2016 Movie) Official Teaser Trailer – &#39;Audition (The Fools Who Dream)&#39;,"this trailer!!!! 
*forever a masterpiece* bravo to the people who made it! :)",2018-10-23T21:04:54.000Z,0
2016-08-23T13:20:05.000Z,DBUXcNTjviI,La La Land (2016 Movie) Official Teaser Trailer – &#39;Audition (The Fools Who Dream)&#39;,Still the best teaser... keep coming back to this,2018-10-01T15:41:13.000Z,0
2016-08-23T13:20:05.000Z,DBUXcNTjviI,La La Land (2016 Movie) Official Teaser Trailer – &#39;Audition (The Fools Who Dream)&#39;,"I remember seeing this trailer before Fantastic Beasts back in November of 2016 and being blown away by the beauty and simplicity of it, only to hear my cousin a few seats down whisper 'that is literally the dumbest thing I've ever seen'.",2018-05-29T23:06:18.000Z,0
2016-08-23T13:20:05.000Z,DBUXcNTjviI,La La Land (2016 Movie) Official Teaser Trailer – &#39;Audition (The Fools Who Dream)&#39;,0.23,2018-05-25T15:41:17.000Z,0
