publish_time,Video ID,Title,Comment,updatedAt,likeCount
2018-06-27T15:59:13.000Z,rI054ow6KJk,MANDY - Official Trailer,"I saw this for the first time last night. I bought it on blu ray when it was released. However, for some i decided to wait. My friend brought some acid and asked if i had heard the of the movie. This was last night, and now the rest is history...",2019-11-11T17:08:22.000Z,1
2018-06-27T15:59:13.000Z,rI054ow6KJk,MANDY - Official Trailer,after seeing Mandy I have full confidence in their ability to make a psychadelic devolvement into madness. jesus.,2019-11-10T21:09:56.000Z,1
2018-06-27T15:59:13.000Z,rI054ow6KJk,MANDY - Official Trailer,crasy acid movie,2019-11-09T00:00:46.000Z,0
2018-06-27T15:59:13.000Z,rI054ow6KJk,MANDY - Official Trailer,"Oh Mandy, you came and you gave without taking, and they set you ablaze! Oh Mandy!",2019-11-06T18:43:58.000Z,0
2018-06-27T15:59:13.000Z,rI054ow6KJk,MANDY - Official Trailer,I dont know if i can handle this....,2019-11-02T22:11:07.000Z,0
2018-06-27T15:59:13.000Z,rI054ow6KJk,MANDY - Official Trailer,Thats fucking awesome,2019-11-01T18:26:13.000Z,0
2018-06-27T15:59:13.000Z,rI054ow6KJk,MANDY - Official Trailer,A beautiful film indeed 👌🏾👌🏾,2019-11-01T11:17:35.000Z,0
2018-06-27T15:59:13.000Z,rI054ow6KJk,MANDY - Official Trailer,Ash,2019-10-30T09:16:44.000Z,0
2018-06-27T15:59:13.000Z,rI054ow6KJk,MANDY - Official Trailer,"I’ve lost count of how many times I’ve watched this trailer
And I’ve seen the movie 3 times already",2019-10-30T05:11:40.000Z,6
2018-06-27T15:59:13.000Z,rI054ow6KJk,MANDY - Official Trailer,This feels like a medium-budget student film.,2019-10-25T02:18:20.000Z,0
2018-06-27T15:59:13.000Z,rI054ow6KJk,MANDY - Official Trailer,"YOU RIPPED MY SHIRTT , YOUU RIPPPPED MYY SHIIIRRRRTTT !!!!",2019-10-23T06:59:22.000Z,0
2018-06-27T15:59:13.000Z,rI054ow6KJk,MANDY - Official Trailer,I LOVED THIS MOVIE.,2019-10-21T16:32:41.000Z,0
2018-06-27T15:59:13.000Z,rI054ow6KJk,MANDY - Official Trailer,"I watched this,...then IMMEDIATELY forgot everything! The affects of this film caused me to spontaneously overdose on every drug that will ever have existed; the disturbance in the force was SO POWERFUL it created a rift in space-time that triggered EVERY black-hole at the center of EVERY galaxy to implode & collapse the 11 dimensions of the universe back into the Big Bang on a continuously cyclical loop...

This is the 66,917th time I’ve typed this comment...",2019-10-21T03:32:18.000Z,0
2018-06-27T15:59:13.000Z,rI054ow6KJk,MANDY - Official Trailer,God I love this film,2019-10-15T23:54:42.000Z,1
2018-06-27T15:59:13.000Z,rI054ow6KJk,MANDY - Official Trailer,CRAZY EVIL!!!!!!,2019-10-13T11:35:59.000Z,1
2018-06-27T15:59:13.000Z,rI054ow6KJk,MANDY - Official Trailer,Watch it,2019-10-12T23:04:23.000Z,0
2018-06-27T15:59:13.000Z,rI054ow6KJk,MANDY - Official Trailer,Anyone After bill duke wishes from Twitter atlee For bigil  🔥 🔥 🔥,2019-10-11T10:27:58.000Z,0
2018-06-27T15:59:13.000Z,rI054ow6KJk,MANDY - Official Trailer,Does the blonde hair dude have an adams apple?,2019-10-11T00:59:11.000Z,1
2018-06-27T15:59:13.000Z,rI054ow6KJk,MANDY - Official Trailer,What the fuck,2019-10-09T02:21:03.000Z,0
2018-06-27T15:59:13.000Z,rI054ow6KJk,MANDY - Official Trailer,Sequel? THE SERPENT'S EYE. A third chapter connecting Beyond the Black Rainbow (2010) and Mandy (2018) together = Panos Cosmatos trilogy. ☕ _c.,2019-10-09T01:32:43.000Z,4
2018-06-27T15:59:13.000Z,rI054ow6KJk,MANDY - Official Trailer,I thought this film might have been about taking ecstasy..  But no :),2019-10-08T22:12:57.000Z,0
2018-06-27T15:59:13.000Z,rI054ow6KJk,MANDY - Official Trailer,"This movie deserves a Videogame.
Like a Hack N' Slash.",2019-10-08T17:58:31.000Z,2
2018-06-27T15:59:13.000Z,rI054ow6KJk,MANDY - Official Trailer,Way better than Joker,2019-10-08T17:21:16.000Z,0
2018-06-27T15:59:13.000Z,rI054ow6KJk,MANDY - Official Trailer,How does great horror like this struggle to do big at box-office while shitty horror makes big money at the box-office?,2019-10-07T06:22:55.000Z,0
2018-06-27T15:59:13.000Z,rI054ow6KJk,MANDY - Official Trailer,stupid movie,2019-10-06T21:52:05.000Z,1
2018-06-27T15:59:13.000Z,rI054ow6KJk,MANDY - Official Trailer,"Total Budget: $6,000,000
Cast: $2,000,000
Props/editing/production: 1,000,000
Redlights and gels: $3,000,000",2019-10-04T05:07:00.000Z,0
2018-06-27T15:59:13.000Z,rI054ow6KJk,MANDY - Official Trailer,wow screw this,2019-10-03T04:02:50.000Z,0
2018-06-27T15:59:13.000Z,rI054ow6KJk,MANDY - Official Trailer,This would make a perfect Far Cry game,2019-10-02T22:25:46.000Z,0
2018-06-27T15:59:13.000Z,rI054ow6KJk,MANDY - Official Trailer,Chg,2019-10-02T17:08:50.000Z,0
2018-06-27T15:59:13.000Z,rI054ow6KJk,MANDY - Official Trailer,"holy crap
this movie looks amazing!",2019-10-02T15:37:06.000Z,1
2018-06-27T15:59:13.000Z,rI054ow6KJk,MANDY - Official Trailer,What the fuck did I just watch,2019-09-30T07:03:11.000Z,0
2018-06-27T15:59:13.000Z,rI054ow6KJk,MANDY - Official Trailer,The best Horror since Kubricks The Shining,2019-09-28T18:02:35.000Z,0
2018-06-27T15:59:13.000Z,rI054ow6KJk,MANDY - Official Trailer,"Chainsaw Sword Fight? Did I see that right? Did I see that chainsaw fight? 

I want this. 

There's not enough chainsaw fights in films. We need more.",2019-09-28T02:26:47.000Z,0
2018-06-27T15:59:13.000Z,rI054ow6KJk,MANDY - Official Trailer,I made a top 10 list that year and Mandy was #6... I think I put it too low,2019-09-28T00:28:17.000Z,0
2018-06-27T15:59:13.000Z,rI054ow6KJk,MANDY - Official Trailer,"This film is utter shit, dont waste time youl never get back watching it",2019-09-26T16:16:33.000Z,0
2018-06-27T15:59:13.000Z,rI054ow6KJk,MANDY - Official Trailer,I fucking love this twisted shit fuck you pussies who didn't like this LSD murderfest,2019-09-22T03:17:13.000Z,2
2018-06-27T15:59:13.000Z,rI054ow6KJk,MANDY - Official Trailer,dude ok,2019-09-21T06:16:28.000Z,1
2018-06-27T15:59:13.000Z,rI054ow6KJk,MANDY - Official Trailer,True cult black metal,2019-09-20T17:19:41.000Z,0
2018-06-27T15:59:13.000Z,rI054ow6KJk,MANDY - Official Trailer,OUR PICK FOR BEST FILM OF 2018,2019-09-19T20:02:29.000Z,0
2018-06-27T15:59:13.000Z,rI054ow6KJk,MANDY - Official Trailer,"I am not into horror movies at all, got here because of Carpenter Brut and Blood Machines... But holy sh*t this looks disturbingly amazing",2019-09-19T14:30:53.000Z,0
2018-06-27T15:59:13.000Z,rI054ow6KJk,MANDY - Official Trailer,"Unfortunately - box office didn't give a f*ck, but the movie was good, however not for everyone. 
I miss those days when Cage played in movies that made a real deal.",2019-09-16T17:27:30.000Z,0
2018-06-27T15:59:13.000Z,rI054ow6KJk,MANDY - Official Trailer,I'm not really sure if I should take any of these comments seriously.,2019-09-15T10:44:45.000Z,0
2018-06-27T15:59:13.000Z,rI054ow6KJk,MANDY - Official Trailer,What did the director and actors take before making this movie? It was a stress test to watch the whole movie.,2019-09-15T07:38:58.000Z,0
2018-06-27T15:59:13.000Z,rI054ow6KJk,MANDY - Official Trailer,How did I not know about this gem 😍😍😍😱,2019-09-14T22:14:37.000Z,1
2018-06-27T15:59:13.000Z,rI054ow6KJk,MANDY - Official Trailer,I must add the to my collection,2019-09-14T17:51:06.000Z,1
2018-06-27T15:59:13.000Z,rI054ow6KJk,MANDY - Official Trailer,This movie was so beautiful in a so uinque way,2019-09-09T19:38:31.000Z,2
2018-06-27T15:59:13.000Z,rI054ow6KJk,MANDY - Official Trailer,best movie ever,2019-09-09T03:13:23.000Z,1
2018-06-27T15:59:13.000Z,rI054ow6KJk,MANDY - Official Trailer,How did this not go to theatre?,2019-09-01T09:59:54.000Z,1
2018-06-27T15:59:13.000Z,rI054ow6KJk,MANDY - Official Trailer,"Excellent movie, my favorite movie of 2018! a creative and unique artistic horror fantasy thriller grindhouse type film that is like David Lynch, Heavy Metal (1981 animated movie), Texas Chainsaw Massacre 1 and 2, Mother's Day (1980), Hills Have Eyes, Lucio Fulci, Dario Argento and Devil's Rejects with great performances (Nick's best comeback), excellent visuals, quality practical effects, good storytelling and all that.


This was refreshing from the mainstream horror genre except Quiet Place as that was also something as both are something different than another remake (despite i enjoyed Child's Play remake), another ghost film, another found footage movie or another reboot/sequel/prequel/remake to an already dead horse franchise that needs to die already like Saw or Elm Street or Hellraiser etc.",2019-08-24T02:46:03.000Z,0
2018-06-27T15:59:13.000Z,rI054ow6KJk,MANDY - Official Trailer,Where can I watch this for free?,2019-08-17T23:52:15.000Z,0
2018-06-27T15:59:13.000Z,rI054ow6KJk,MANDY - Official Trailer,"I Need a therapy, great movie !",2019-08-17T20:25:57.000Z,1
2018-06-27T15:59:13.000Z,rI054ow6KJk,MANDY - Official Trailer,I watched this really high. The highest I've ever been actually. No regrets would do it again.,2019-08-16T10:02:09.000Z,2
2018-06-27T15:59:13.000Z,rI054ow6KJk,MANDY - Official Trailer,What a trailer. What a film,2019-08-15T12:11:20.000Z,1
2018-06-27T15:59:13.000Z,rI054ow6KJk,MANDY - Official Trailer,"I Love nicholas cage! Heia my absolute favorite Male actor and  general out of all actors female or me, and I've grown up watching nicholas cage in movies my entire life and I'm 37, I cant tjink of an actor that is as good as nicholas cage! He is one of top of the best at what he does. Meryl Streep and him just the emotion I get at watching them on screen and their performance, i don't get from other actors quite the same!",2019-08-15T07:36:25.000Z,0
2018-06-27T15:59:13.000Z,rI054ow6KJk,MANDY - Official Trailer,"This movie changed me, watch it.",2019-08-15T05:38:42.000Z,1
2018-06-27T15:59:13.000Z,rI054ow6KJk,MANDY - Official Trailer,WORST MOVIE SINCE BARBARELLA!   Seriously--I'd rather watch Xanadu while having a root canal than see this movie again!  What a waste of an hour of my life (it was so bad I couldn't make it to the ending!).  Total Trash!,2019-08-13T21:18:22.000Z,1
2018-06-27T15:59:13.000Z,rI054ow6KJk,MANDY - Official Trailer,I've had this dream before,2019-08-11T23:35:18.000Z,0
2018-06-27T15:59:13.000Z,rI054ow6KJk,MANDY - Official Trailer,"Alright. Bought it third time yesterday from YouTube.

This is the Cage. This is the sheeat.",2019-08-08T02:12:02.000Z,1
2018-06-27T15:59:13.000Z,rI054ow6KJk,MANDY - Official Trailer,Americans and violence one day you will see what goes around comes around so look around. El Paso today where tomorrow maybe it's you.,2019-08-04T10:51:45.000Z,0
2018-06-27T15:59:13.000Z,rI054ow6KJk,MANDY - Official Trailer,I’m watching the movie right now. This whole trailer so far is showing the movie to the exact scenes from beginning to end.,2019-08-02T15:05:31.000Z,0
2018-06-27T15:59:13.000Z,rI054ow6KJk,MANDY - Official Trailer,"Love this movie and keep em coming. If you like your horror films to have some kick, I recently watched and recommend ""The Void""-great practical effects. Also check out this turkish film called ""Baskin"". Anyone with any other horror film suggestions worth checking out?",2019-08-02T04:31:48.000Z,0
2018-06-27T15:59:13.000Z,rI054ow6KJk,MANDY - Official Trailer,I just saw this movie and I might be high after watching it.,2019-07-31T11:38:31.000Z,0
2018-06-27T15:59:13.000Z,rI054ow6KJk,MANDY - Official Trailer,The perfect movie. Thank you Panos.,2019-07-28T18:53:02.000Z,2
2018-06-27T15:59:13.000Z,rI054ow6KJk,MANDY - Official Trailer,never thought i'd be hyped to watch a nic cage's movie.,2019-07-27T16:48:22.000Z,0
2018-06-27T15:59:13.000Z,rI054ow6KJk,MANDY - Official Trailer,I love this movie so hard.,2019-07-27T01:18:53.000Z,0
2018-06-27T15:59:13.000Z,rI054ow6KJk,MANDY - Official Trailer,soundtrack is gorgeous !!!,2019-07-24T06:29:18.000Z,0
2018-06-27T15:59:13.000Z,rI054ow6KJk,MANDY - Official Trailer,as if you've got a glimpse on what's going on inside his head,2019-07-22T02:59:42.000Z,0
2018-06-27T15:59:13.000Z,rI054ow6KJk,MANDY - Official Trailer,This movie is so goddamn good. Go see it right fucking now.,2019-07-20T18:51:48.000Z,0
2018-06-27T15:59:13.000Z,rI054ow6KJk,MANDY - Official Trailer,art!!!,2019-07-20T08:23:52.000Z,0
2018-06-27T15:59:13.000Z,rI054ow6KJk,MANDY - Official Trailer,Just watched this. Should be in the genre of psychedelic retro horror revenge.,2019-07-19T23:57:12.000Z,2
2018-06-27T15:59:13.000Z,rI054ow6KJk,MANDY - Official Trailer,"Guys in the comments I'll kill you, I saw the movie on your saying is good, guess what it's a piece of shit totally

if you are insisting to watch it for the eyes of Nicolas Cage
there's a little spoil in the reply can save some of your time.",2019-07-18T22:38:29.000Z,0
2018-06-27T15:59:13.000Z,rI054ow6KJk,MANDY - Official Trailer,"I bet the writer started with Nicolas Cage, then wrote the story/setting",2019-07-18T16:22:18.000Z,2
