publish_time,Video ID,Title,Comment,updatedAt,likeCount
2010-11-22T22:08:06.000Z,yBFUAW6jC_M,MARS NEEDS MOMS Trailer #1,"no nice animation.thanks for all.
",2011-08-07T09:15:58.000Z,98
2010-11-22T22:08:06.000Z,yBFUAW6jC_M,MARS NEEDS MOMS Trailer #1,Predictive Programming Duh !!,2011-08-04T12:19:47.000Z,27
2010-11-22T22:08:06.000Z,yBFUAW6jC_M,MARS NEEDS MOMS Trailer #1,Robert zemeckis made this . He was going to make a yellow submarine remake . The box office gross was 6 million the first week so he canceled the remake .....COME ON!!!!!,2011-07-20T20:31:27.000Z,56
2010-11-22T22:08:06.000Z,yBFUAW6jC_M,MARS NEEDS MOMS Trailer #1,"i've watched this, its amazin!:)",2011-07-08T13:53:52.000Z,93
2010-11-22T22:08:06.000Z,yBFUAW6jC_M,MARS NEEDS MOMS Trailer #1,looks REALLY boring,2011-07-03T12:03:07.000Z,114
2010-11-22T22:08:06.000Z,yBFUAW6jC_M,MARS NEEDS MOMS Trailer #1,"quite cool...
unless until i watch it...",2011-06-11T08:16:00.000Z,36
2010-11-22T22:08:06.000Z,yBFUAW6jC_M,MARS NEEDS MOMS Trailer #1,@samspotz8r8s how old r u,2011-05-02T20:24:11.000Z,2
2010-11-22T22:08:06.000Z,yBFUAW6jC_M,MARS NEEDS MOMS Trailer #1,worst movie ever!!,2011-05-02T04:24:53.000Z,42
2010-11-22T22:08:06.000Z,yBFUAW6jC_M,MARS NEEDS MOMS Trailer #1,disney's running out of new ideas.,2011-05-01T19:06:39.000Z,38
2010-11-22T22:08:06.000Z,yBFUAW6jC_M,MARS NEEDS MOMS Trailer #1,"I only like the background music
""I Know How To Say"" by 3OH!3 rox!!!!!!!!",2011-04-23T18:21:58.000Z,7
2010-11-22T22:08:06.000Z,yBFUAW6jC_M,MARS NEEDS MOMS Trailer #1,Am I the only one who thinks that Milo looks pretty ugly?,2011-04-22T19:08:08.000Z,78
2010-11-22T22:08:06.000Z,yBFUAW6jC_M,MARS NEEDS MOMS Trailer #1,@Mntndew52 They didn't cut his voice they just used someone elses. But they used his movements. I have seen the movie.,2011-03-14T00:55:32.000Z,3
2010-11-22T22:08:06.000Z,yBFUAW6jC_M,MARS NEEDS MOMS Trailer #1,AH!!! KILL IT!!! KILL IT WITH FIRE!!!,2011-03-13T03:12:33.000Z,15
2010-11-22T22:08:06.000Z,yBFUAW6jC_M,MARS NEEDS MOMS Trailer #1,LOL they cut Seth Green from the movie. im glad they did cuz his voice  wouldve gotten annoying,2011-03-09T22:58:11.000Z,10
2010-11-22T22:08:06.000Z,yBFUAW6jC_M,MARS NEEDS MOMS Trailer #1,"thats not his voice
",2011-03-09T22:40:08.000Z,5
2010-11-22T22:08:06.000Z,yBFUAW6jC_M,MARS NEEDS MOMS Trailer #1,I don't get what y'all are talking about. The animation is creepy because it's in outer space. Also everyone complained that Disney only makes Pixar movies and now y'all are saying Disney needs Pixar. Make up your mind. I think that you should watch the movie first then complain... ,2011-03-09T17:54:07.000Z,51
2010-11-22T22:08:06.000Z,yBFUAW6jC_M,MARS NEEDS MOMS Trailer #1,is this public conditioning to prepare for disclosure?,2011-03-09T04:56:52.000Z,6
2010-11-22T22:08:06.000Z,yBFUAW6jC_M,MARS NEEDS MOMS Trailer #1,His voice changed from the actual movie on the broccoli scene...,2011-03-08T22:33:29.000Z,16
2010-11-22T22:08:06.000Z,yBFUAW6jC_M,MARS NEEDS MOMS Trailer #1,Is that kid voiced by Seth Green?,2011-03-07T16:03:03.000Z,4
2010-11-22T22:08:06.000Z,yBFUAW6jC_M,MARS NEEDS MOMS Trailer #1,"""I'm on a spaceship.""

wow, great quote, more worked than ""I'm your father"" from Empire Strikes Back.

PD: God lord...",2011-03-06T18:02:19.000Z,3
2010-11-22T22:08:06.000Z,yBFUAW6jC_M,MARS NEEDS MOMS Trailer #1,The kid looks like the guy from MAD Magazine.,2011-03-03T18:14:24.000Z,34
2010-11-22T22:08:06.000Z,yBFUAW6jC_M,MARS NEEDS MOMS Trailer #1,@derubermax. I totally agree with you.,2011-03-03T17:34:56.000Z,2
2010-11-22T22:08:06.000Z,yBFUAW6jC_M,MARS NEEDS MOMS Trailer #1,They need to use this animation style for an Ender's Game movie. ,2011-03-02T21:37:08.000Z,3
2010-11-22T22:08:06.000Z,yBFUAW6jC_M,MARS NEEDS MOMS Trailer #1,This movie looks so bad.,2011-03-02T02:33:24.000Z,11
2010-11-22T22:08:06.000Z,yBFUAW6jC_M,MARS NEEDS MOMS Trailer #1,this movie looks ok. Not great but not bad either. ,2011-03-01T23:58:39.000Z,2
2010-11-22T22:08:06.000Z,yBFUAW6jC_M,MARS NEEDS MOMS Trailer #1,Disney Needs Pixar,2011-03-01T23:42:13.000Z,10
2010-11-22T22:08:06.000Z,yBFUAW6jC_M,MARS NEEDS MOMS Trailer #1,"Awesome animation and technology, but very stupid looking movie.",2011-02-28T18:17:59.000Z,6
2010-11-22T22:08:06.000Z,yBFUAW6jC_M,MARS NEEDS MOMS Trailer #1,The movie looks slow...,2011-02-19T16:51:48.000Z,4
2010-11-22T22:08:06.000Z,yBFUAW6jC_M,MARS NEEDS MOMS Trailer #1,@TheHdMeAndMyself I think so to,2011-02-18T00:51:07.000Z,0
2010-11-22T22:08:06.000Z,yBFUAW6jC_M,MARS NEEDS MOMS Trailer #1,Bleh.,2011-02-16T19:33:49.000Z,3
2010-11-22T22:08:06.000Z,yBFUAW6jC_M,MARS NEEDS MOMS Trailer #1,@all4athena so?,2011-02-15T00:31:46.000Z,1
2010-11-22T22:08:06.000Z,yBFUAW6jC_M,MARS NEEDS MOMS Trailer #1,This movie looks stupid. Come on disney the best you could do was this? I'm disappointed greatly.,2011-02-14T21:57:09.000Z,4
2010-11-22T22:08:06.000Z,yBFUAW6jC_M,MARS NEEDS MOMS Trailer #1,"@lagrtz 

more like avatar and jimmy neutron mixed together. ",2011-02-11T22:39:11.000Z,1
