publish_time,Video ID,Title,Comment,updatedAt,likeCount
2016-04-13T03:53:41.000Z,Lt-U_t2pUHI,Marvel&#39;s Doctor Strange Teaser Trailer,This movie is like watching a 2 hours Cyriak video.,2019-11-12T11:32:57.000Z,0
2016-04-13T03:53:41.000Z,Lt-U_t2pUHI,Marvel&#39;s Doctor Strange Teaser Trailer,Who here after endgame?,2019-11-09T16:27:56.000Z,0
2016-04-13T03:53:41.000Z,Lt-U_t2pUHI,Marvel&#39;s Doctor Strange Teaser Trailer,"I really like this movie but I’m hoping the sequel will deliver on the weird, terrifying aspects of the multiverse, seeing as how Scott Derrickson described it as the first scary film in the MCU.",2019-11-03T15:22:54.000Z,0
2016-04-13T03:53:41.000Z,Lt-U_t2pUHI,Marvel&#39;s Doctor Strange Teaser Trailer,1:08 best scene really,2019-11-01T02:43:16.000Z,0
2016-04-13T03:53:41.000Z,Lt-U_t2pUHI,Marvel&#39;s Doctor Strange Teaser Trailer,This movie was f*cking amazing!!!!!,2019-10-24T03:45:23.000Z,0
2016-04-13T03:53:41.000Z,Lt-U_t2pUHI,Marvel&#39;s Doctor Strange Teaser Trailer,Waiting for this,2019-10-23T16:46:34.000Z,0
2016-04-13T03:53:41.000Z,Lt-U_t2pUHI,Marvel&#39;s Doctor Strange Teaser Trailer,I want Doctor Strange In Multiverse Of The Madness,2019-10-21T09:16:19.000Z,0
2016-04-13T03:53:41.000Z,Lt-U_t2pUHI,Marvel&#39;s Doctor Strange Teaser Trailer,3 years later in my recommended? Anyone else?,2019-10-21T08:09:40.000Z,1
2016-04-13T03:53:41.000Z,Lt-U_t2pUHI,Marvel&#39;s Doctor Strange Teaser Trailer,*DOCTOR STRANGE Movie SHOWS HOLLYWOOD STRANGE* 👌👌👌,2019-10-05T08:10:50.000Z,1
2016-04-13T03:53:41.000Z,Lt-U_t2pUHI,Marvel&#39;s Doctor Strange Teaser Trailer,Is it just me who think that Doctor Strange had the most Amazing visual effect in MCU?,2019-10-04T00:02:33.000Z,1
2016-04-13T03:53:41.000Z,Lt-U_t2pUHI,Marvel&#39;s Doctor Strange Teaser Trailer,This is my favorite MCU trailer.,2019-10-01T20:24:04.000Z,0
2016-04-13T03:53:41.000Z,Lt-U_t2pUHI,Marvel&#39;s Doctor Strange Teaser Trailer,why is this trailer so similar to inception trailer style?,2019-09-21T10:34:14.000Z,1
2016-04-13T03:53:41.000Z,Lt-U_t2pUHI,Marvel&#39;s Doctor Strange Teaser Trailer,I saw this on my recommended,2019-09-04T21:56:48.000Z,0
2016-04-13T03:53:41.000Z,Lt-U_t2pUHI,Marvel&#39;s Doctor Strange Teaser Trailer,One of my favorite marvel movies!!,2019-09-02T23:52:51.000Z,1
2016-04-13T03:53:41.000Z,Lt-U_t2pUHI,Marvel&#39;s Doctor Strange Teaser Trailer,Esto me facina,2019-08-20T02:04:50.000Z,0
2016-04-13T03:53:41.000Z,Lt-U_t2pUHI,Marvel&#39;s Doctor Strange Teaser Trailer,I am some one who is looking the world through the keyhole,2019-08-16T21:08:44.000Z,0
2016-04-13T03:53:41.000Z,Lt-U_t2pUHI,Marvel&#39;s Doctor Strange Teaser Trailer,I hope doctor strange and spiderman team up in a movie.,2019-08-11T13:33:23.000Z,1
2016-04-13T03:53:41.000Z,Lt-U_t2pUHI,Marvel&#39;s Doctor Strange Teaser Trailer,Time stone: i miss this guy😪,2019-08-11T04:21:26.000Z,0
2016-04-13T03:53:41.000Z,Lt-U_t2pUHI,Marvel&#39;s Doctor Strange Teaser Trailer,You aren't the only one here after Endgame.,2019-08-09T18:52:57.000Z,0
2016-04-13T03:53:41.000Z,Lt-U_t2pUHI,Marvel&#39;s Doctor Strange Teaser Trailer,Ok.. So why recommended now youtube?,2019-08-09T15:14:52.000Z,0
2016-04-13T03:53:41.000Z,Lt-U_t2pUHI,Marvel&#39;s Doctor Strange Teaser Trailer,does anyone know why is this in my recommendation?,2019-08-09T10:57:52.000Z,0
2016-04-13T03:53:41.000Z,Lt-U_t2pUHI,Marvel&#39;s Doctor Strange Teaser Trailer,So this guy go to the future and dont tell anybody how to kill thanos ?,2019-08-09T02:48:45.000Z,0
2016-04-13T03:53:41.000Z,Lt-U_t2pUHI,Marvel&#39;s Doctor Strange Teaser Trailer,DOCTOR STRANGE: IN A MULTIVERSE OF MADNESS,2019-08-08T14:34:45.000Z,1
2016-04-13T03:53:41.000Z,Lt-U_t2pUHI,Marvel&#39;s Doctor Strange Teaser Trailer,I can see this movie thousand times❤️❤️❤️,2019-08-08T13:26:39.000Z,0
2016-04-13T03:53:41.000Z,Lt-U_t2pUHI,Marvel&#39;s Doctor Strange Teaser Trailer,Am really waiting DR STRANGE 2,2019-08-08T13:06:06.000Z,1
2016-04-13T03:53:41.000Z,Lt-U_t2pUHI,Marvel&#39;s Doctor Strange Teaser Trailer,It's weird i was thinking to watch doctor strange again on this weekend and i just saw this trailer on recommended list after three years.😱😨😵🤤😓,2019-08-07T09:28:20.000Z,0
2016-04-13T03:53:41.000Z,Lt-U_t2pUHI,Marvel&#39;s Doctor Strange Teaser Trailer,"""You're five years too early""",2019-08-06T18:40:35.000Z,0
2016-04-13T03:53:41.000Z,Lt-U_t2pUHI,Marvel&#39;s Doctor Strange Teaser Trailer,Who else thought this was the multiverse of madness trailer,2019-08-05T20:50:43.000Z,0
2016-04-13T03:53:41.000Z,Lt-U_t2pUHI,Marvel&#39;s Doctor Strange Teaser Trailer,who is here in 2025!?,2019-08-05T19:32:58.000Z,0
2016-04-13T03:53:41.000Z,Lt-U_t2pUHI,Marvel&#39;s Doctor Strange Teaser Trailer,who here after Endgame? ??,2019-08-05T18:54:46.000Z,1
2016-04-13T03:53:41.000Z,Lt-U_t2pUHI,Marvel&#39;s Doctor Strange Teaser Trailer,Trailers ruin a movie. Watched most MCU films before I watched the trailer. The experience was better.,2019-08-05T17:58:24.000Z,1
2016-04-13T03:53:41.000Z,Lt-U_t2pUHI,Marvel&#39;s Doctor Strange Teaser Trailer,Why is Sherlock's new season looking like Stranger Things?,2019-08-05T17:34:40.000Z,0
2016-04-13T03:53:41.000Z,Lt-U_t2pUHI,Marvel&#39;s Doctor Strange Teaser Trailer,who saw the thumbnail and thought it was for the new one,2019-08-05T13:55:19.000Z,0
2016-04-13T03:53:41.000Z,Lt-U_t2pUHI,Marvel&#39;s Doctor Strange Teaser Trailer,"Doctor strange saw 14M outcomes 😱😱😱😱
If u know what i mean !!",2019-08-07T05:41:24.000Z,5
2016-04-13T03:53:41.000Z,Lt-U_t2pUHI,Marvel&#39;s Doctor Strange Teaser Trailer,I thought this is the multiverse of madness but it's not,2019-08-05T10:57:19.000Z,0
2016-04-13T03:53:41.000Z,Lt-U_t2pUHI,Marvel&#39;s Doctor Strange Teaser Trailer,hands down one of the best marvel movies.  it continues to remain my favorite till this day.,2019-08-05T03:58:52.000Z,0
2016-04-13T03:53:41.000Z,Lt-U_t2pUHI,Marvel&#39;s Doctor Strange Teaser Trailer,I thought this was for the new one coming out at first and I clicked so fast.,2019-08-04T14:39:14.000Z,1
2016-04-13T03:53:41.000Z,Lt-U_t2pUHI,Marvel&#39;s Doctor Strange Teaser Trailer,Who is here after watching Endgame?,2019-08-03T23:44:09.000Z,1
2016-04-13T03:53:41.000Z,Lt-U_t2pUHI,Marvel&#39;s Doctor Strange Teaser Trailer,"I don't really like this movie tbh
Coulda been a lot better",2019-08-03T21:42:50.000Z,0
2016-04-13T03:53:41.000Z,Lt-U_t2pUHI,Marvel&#39;s Doctor Strange Teaser Trailer,One of the best MARVEL trailers 👌👌,2019-08-03T20:15:28.000Z,1
2016-04-13T03:53:41.000Z,Lt-U_t2pUHI,Marvel&#39;s Doctor Strange Teaser Trailer,And here i am after doctor strange helped the universe being saved through iron man,2019-08-03T20:07:38.000Z,1
2016-04-13T03:53:41.000Z,Lt-U_t2pUHI,Marvel&#39;s Doctor Strange Teaser Trailer,Sherlock's new season looks 'Strange'...,2019-08-03T14:53:15.000Z,1
2016-04-13T03:53:41.000Z,Lt-U_t2pUHI,Marvel&#39;s Doctor Strange Teaser Trailer,Anyone else think that this should've been the trailer for Doctor Strange?🤔,2019-08-03T14:16:57.000Z,0
