publish_time,Video ID,Title,Comment,updatedAt,likeCount
2016-02-08T06:16:09.000Z,33MtR-g4Jcg,Mike and Dave Need Wedding Dates | Official Trailer [HD] | 20th Century FOX,حلووو,2019-11-13T10:50:05.000Z,0
2016-02-08T06:16:09.000Z,33MtR-g4Jcg,Mike and Dave Need Wedding Dates | Official Trailer [HD] | 20th Century FOX,Watched this for 10 times and it still makes me laugh every single time,2019-11-10T14:30:01.000Z,0
2016-02-08T06:16:09.000Z,33MtR-g4Jcg,Mike and Dave Need Wedding Dates | Official Trailer [HD] | 20th Century FOX,Adam DeVine just got engaged and I think a lot of girls already want to be Zac Efron’s date to the wedding.,2019-10-29T07:35:50.000Z,0
2016-02-08T06:16:09.000Z,33MtR-g4Jcg,Mike and Dave Need Wedding Dates | Official Trailer [HD] | 20th Century FOX,موضي قطعه من ذهب الحلقه الحلقه ١٣,2019-10-29T04:22:50.000Z,0
2016-02-08T06:16:09.000Z,33MtR-g4Jcg,Mike and Dave Need Wedding Dates | Official Trailer [HD] | 20th Century FOX,موضي قطعه من ذهب الحلقه الحلقه ١٣,2019-10-29T04:21:39.000Z,0
2016-02-08T06:16:09.000Z,33MtR-g4Jcg,Mike and Dave Need Wedding Dates | Official Trailer [HD] | 20th Century FOX,Am I the only one that just watched the movie because Anna with bangs and bright hair is cute af,2019-10-09T19:53:47.000Z,0
2016-02-08T06:16:09.000Z,33MtR-g4Jcg,Mike and Dave Need Wedding Dates | Official Trailer [HD] | 20th Century FOX,@1:57 Whats the Name of this song?,2019-10-08T00:43:38.000Z,0
2016-02-08T06:16:09.000Z,33MtR-g4Jcg,Mike and Dave Need Wedding Dates | Official Trailer [HD] | 20th Century FOX,"I remember being surprised by really liking this movie! And I liked the soundtrack, too.",2019-10-04T19:42:47.000Z,0
2016-02-08T06:16:09.000Z,33MtR-g4Jcg,Mike and Dave Need Wedding Dates | Official Trailer [HD] | 20th Century FOX,Literally the whole movie.,2019-09-24T22:38:22.000Z,0
2016-02-08T06:16:09.000Z,33MtR-g4Jcg,Mike and Dave Need Wedding Dates | Official Trailer [HD] | 20th Century FOX,Anna Kendrick is the perfect date for someone like me,2019-09-20T17:16:08.000Z,1
2016-02-08T06:16:09.000Z,33MtR-g4Jcg,Mike and Dave Need Wedding Dates | Official Trailer [HD] | 20th Century FOX,0:05 song: on the wings of love (also name of a fillipino show that has that song),2019-09-13T12:57:06.000Z,0
2016-02-08T06:16:09.000Z,33MtR-g4Jcg,Mike and Dave Need Wedding Dates | Official Trailer [HD] | 20th Century FOX,This looks like the worst movie ever made.,2019-08-28T16:08:39.000Z,0
2016-02-08T06:16:09.000Z,33MtR-g4Jcg,Mike and Dave Need Wedding Dates | Official Trailer [HD] | 20th Century FOX,Anna Kendrick makes this movie 100x better 😂😍😂,2019-08-08T04:54:06.000Z,0
2016-02-08T06:16:09.000Z,33MtR-g4Jcg,Mike and Dave Need Wedding Dates | Official Trailer [HD] | 20th Century FOX,"2019 anyone 


.... just me k 😂🤷🏽‍♀️",2019-07-14T22:36:45.000Z,2
2016-02-08T06:16:09.000Z,33MtR-g4Jcg,Mike and Dave Need Wedding Dates | Official Trailer [HD] | 20th Century FOX,I thought that was Steven crowder in the Uncle Sam outfit,2019-07-12T18:13:55.000Z,0
2016-02-08T06:16:09.000Z,33MtR-g4Jcg,Mike and Dave Need Wedding Dates | Official Trailer [HD] | 20th Century FOX,1:09 that song name anyone??? plzz,2019-07-08T01:58:23.000Z,0
2016-02-08T06:16:09.000Z,33MtR-g4Jcg,Mike and Dave Need Wedding Dates | Official Trailer [HD] | 20th Century FOX,"1:00-1:05 Aubrey Plaza is sexy and Fiesty I came for her since childs play,  1:03, and 1:04 make to love her in her panties",2019-07-01T22:59:51.000Z,0
2016-02-08T06:16:09.000Z,33MtR-g4Jcg,Mike and Dave Need Wedding Dates | Official Trailer [HD] | 20th Century FOX,Black Ken lol,2019-06-20T20:49:52.000Z,0
2016-02-08T06:16:09.000Z,33MtR-g4Jcg,Mike and Dave Need Wedding Dates | Official Trailer [HD] | 20th Century FOX,I see this movie 1000 times this movie is awesome,2019-06-01T11:35:28.000Z,0
2016-02-08T06:16:09.000Z,33MtR-g4Jcg,Mike and Dave Need Wedding Dates | Official Trailer [HD] | 20th Century FOX,"This movie was great, just saw on TV",2019-05-29T03:28:54.000Z,0
2016-02-08T06:16:09.000Z,33MtR-g4Jcg,Mike and Dave Need Wedding Dates | Official Trailer [HD] | 20th Century FOX,Anna Kendrick is absolutely priceless!!🤣❤,2019-05-17T17:47:50.000Z,1
2016-02-08T06:16:09.000Z,33MtR-g4Jcg,Mike and Dave Need Wedding Dates | Official Trailer [HD] | 20th Century FOX,the bocce scene isn't in the movie,2019-04-27T12:38:07.000Z,0
2016-02-08T06:16:09.000Z,33MtR-g4Jcg,Mike and Dave Need Wedding Dates | Official Trailer [HD] | 20th Century FOX,Wtf did I just watch?! LMAO😂,2019-04-24T19:03:47.000Z,0
2016-02-08T06:16:09.000Z,33MtR-g4Jcg,Mike and Dave Need Wedding Dates | Official Trailer [HD] | 20th Century FOX,hate imbecility american comedies,2019-04-06T18:06:50.000Z,0
2016-02-08T06:16:09.000Z,33MtR-g4Jcg,Mike and Dave Need Wedding Dates | Official Trailer [HD] | 20th Century FOX,hows it???????????? good or boring?,2019-04-01T13:41:21.000Z,0
2016-02-08T06:16:09.000Z,33MtR-g4Jcg,Mike and Dave Need Wedding Dates | Official Trailer [HD] | 20th Century FOX,Is her name Thotiana,2019-03-27T02:48:07.000Z,1
2016-02-08T06:16:09.000Z,33MtR-g4Jcg,Mike and Dave Need Wedding Dates | Official Trailer [HD] | 20th Century FOX,what is the title of the wedding scene in the beginning of video,2019-02-19T11:28:11.000Z,0
2016-02-08T06:16:09.000Z,33MtR-g4Jcg,Mike and Dave Need Wedding Dates | Official Trailer [HD] | 20th Century FOX,buss down thotiana,2019-02-14T05:50:19.000Z,1
2016-02-08T06:16:09.000Z,33MtR-g4Jcg,Mike and Dave Need Wedding Dates | Official Trailer [HD] | 20th Century FOX,Zack Efron is such an amazing actor he doesn't have to do these shitty comedy movies .. I mean he is really good he just need to do a movie which get him an Oscar...,2019-02-13T20:07:29.000Z,0
2016-02-08T06:16:09.000Z,33MtR-g4Jcg,Mike and Dave Need Wedding Dates | Official Trailer [HD] | 20th Century FOX,Song on 1:10?,2019-01-27T16:10:31.000Z,0
2016-02-08T06:16:09.000Z,33MtR-g4Jcg,Mike and Dave Need Wedding Dates | Official Trailer [HD] | 20th Century FOX,2019? btw this is my fav movie!,2019-01-04T20:11:15.000Z,0
2016-02-08T06:16:09.000Z,33MtR-g4Jcg,Mike and Dave Need Wedding Dates | Official Trailer [HD] | 20th Century FOX,Do they really?.... I’ve seen waaaay too many reasons why they shouldn’t...,2019-01-04T01:21:31.000Z,1
2016-02-08T06:16:09.000Z,33MtR-g4Jcg,Mike and Dave Need Wedding Dates | Official Trailer [HD] | 20th Century FOX,What Is The Name Of The Song?,2018-12-30T01:06:50.000Z,1
2016-02-08T06:16:09.000Z,33MtR-g4Jcg,Mike and Dave Need Wedding Dates | Official Trailer [HD] | 20th Century FOX,"This could've been really good, but ended up being passable. Problem is, they don't know when to stop the joke. The worst kind of comedy are ones that run their good jokes into the ground. Example, My Best Friends Girl.",2018-12-01T09:06:55.000Z,1
2016-02-08T06:16:09.000Z,33MtR-g4Jcg,Mike and Dave Need Wedding Dates | Official Trailer [HD] | 20th Century FOX,Can anybody tell me which song is that in 1:10 ???,2018-11-27T05:58:13.000Z,0
2016-02-08T06:16:09.000Z,33MtR-g4Jcg,Mike and Dave Need Wedding Dates | Official Trailer [HD] | 20th Century FOX,Im so sorry Audrey Plaza that you were drugged into this piece of sh*t movie.  When I say drugged I mean someone actually gave you drugs.  You're better than this.  PS I think you're the best.  PSS dont do this again.,2018-11-19T02:15:15.000Z,0
2016-02-08T06:16:09.000Z,33MtR-g4Jcg,Mike and Dave Need Wedding Dates | Official Trailer [HD] | 20th Century FOX,That girl is Hazard from The Flash,2018-11-02T04:57:12.000Z,0
2016-02-08T06:16:09.000Z,33MtR-g4Jcg,Mike and Dave Need Wedding Dates | Official Trailer [HD] | 20th Century FOX,"Great fun and dont understand the complains...
Yes its silly and all that..",2018-10-07T15:42:21.000Z,0
2016-02-08T06:16:09.000Z,33MtR-g4Jcg,Mike and Dave Need Wedding Dates | Official Trailer [HD] | 20th Century FOX,This movie was hilarious,2018-09-22T21:30:52.000Z,0
2016-02-08T06:16:09.000Z,33MtR-g4Jcg,Mike and Dave Need Wedding Dates | Official Trailer [HD] | 20th Century FOX,😂,2018-09-14T14:22:38.000Z,0
2016-02-08T06:16:09.000Z,33MtR-g4Jcg,Mike and Dave Need Wedding Dates | Official Trailer [HD] | 20th Century FOX,so funny,2018-09-01T07:58:08.000Z,0
2016-02-08T06:16:09.000Z,33MtR-g4Jcg,Mike and Dave Need Wedding Dates | Official Trailer [HD] | 20th Century FOX,Being HAZARDOUS must run in the family,2018-08-11T09:50:29.000Z,0
2016-02-08T06:16:09.000Z,33MtR-g4Jcg,Mike and Dave Need Wedding Dates | Official Trailer [HD] | 20th Century FOX,Anna Kendrick always made my day,2018-08-03T12:59:32.000Z,0
2016-02-08T06:16:09.000Z,33MtR-g4Jcg,Mike and Dave Need Wedding Dates | Official Trailer [HD] | 20th Century FOX,My name is Tatiana wow,2018-07-27T08:23:54.000Z,0
2016-02-08T06:16:09.000Z,33MtR-g4Jcg,Mike and Dave Need Wedding Dates | Official Trailer [HD] | 20th Century FOX,0:57 what song is?,2018-07-23T21:38:12.000Z,0
2016-02-08T06:16:09.000Z,33MtR-g4Jcg,Mike and Dave Need Wedding Dates | Official Trailer [HD] | 20th Century FOX,I love u zac,2018-07-08T13:52:46.000Z,0
