publish_time,Video ID,Title,Comment,updatedAt,likeCount
2016-06-01T16:21:22.000Z,wQGawWqJdfs,"Monster Trucks Official Trailer #1 (2017) - Lucas Till, Jane Levy Movie HD",Awwww... Jane Levy is adorable & cute! I seriously love her... ❤️❤️💜,2019-10-20T14:04:16.000Z,0
2016-06-01T16:21:22.000Z,wQGawWqJdfs,"Monster Trucks Official Trailer #1 (2017) - Lucas Till, Jane Levy Movie HD",This movie trailer turned me on to The Black Keys. It holds a little place in my soul for that.,2019-10-04T04:22:08.000Z,0
2016-06-01T16:21:22.000Z,wQGawWqJdfs,"Monster Trucks Official Trailer #1 (2017) - Lucas Till, Jane Levy Movie HD","I was expecting that to be way, way stupider.  What the heck, if my kids want to see it I will let them.",2019-09-29T01:47:20.000Z,0
2016-06-01T16:21:22.000Z,wQGawWqJdfs,"Monster Trucks Official Trailer #1 (2017) - Lucas Till, Jane Levy Movie HD",The movie is VERY NICE,2019-08-16T06:00:30.000Z,1
2016-06-01T16:21:22.000Z,wQGawWqJdfs,"Monster Trucks Official Trailer #1 (2017) - Lucas Till, Jane Levy Movie HD",Mystery Science Theater 6000 watches this 2017 classic Monster Trucks,2019-07-26T14:14:12.000Z,0
2016-06-01T16:21:22.000Z,wQGawWqJdfs,"Monster Trucks Official Trailer #1 (2017) - Lucas Till, Jane Levy Movie HD",This was a cool and fun movie!,2019-07-25T15:01:49.000Z,0
2016-06-01T16:21:22.000Z,wQGawWqJdfs,"Monster Trucks Official Trailer #1 (2017) - Lucas Till, Jane Levy Movie HD",I wish I had kids to watch this movie with though lol,2019-06-28T13:31:50.000Z,0
2016-06-01T16:21:22.000Z,wQGawWqJdfs,"Monster Trucks Official Trailer #1 (2017) - Lucas Till, Jane Levy Movie HD",I just watched it today and it's so cute. I loved the movie. The creatures are so cute.,2019-06-26T14:10:24.000Z,0
2016-06-01T16:21:22.000Z,wQGawWqJdfs,"Monster Trucks Official Trailer #1 (2017) - Lucas Till, Jane Levy Movie HD",The Dukes of Hazzard fans watch this.,2019-06-26T00:22:34.000Z,0
2016-06-01T16:21:22.000Z,wQGawWqJdfs,"Monster Trucks Official Trailer #1 (2017) - Lucas Till, Jane Levy Movie HD",OMG IS THAT LISA?,2019-06-22T17:41:12.000Z,0
2016-06-01T16:21:22.000Z,wQGawWqJdfs,"Monster Trucks Official Trailer #1 (2017) - Lucas Till, Jane Levy Movie HD",How come I've never heard of this movie? Found out cause of lonely boy.,2019-06-19T20:26:20.000Z,0
2016-06-01T16:21:22.000Z,wQGawWqJdfs,"Monster Trucks Official Trailer #1 (2017) - Lucas Till, Jane Levy Movie HD",WTF The 2 min tralier discribed whole movie,2019-06-08T08:56:53.000Z,0
2016-06-01T16:21:22.000Z,wQGawWqJdfs,"Monster Trucks Official Trailer #1 (2017) - Lucas Till, Jane Levy Movie HD",2019?,2019-05-27T01:04:39.000Z,0
2016-06-01T16:21:22.000Z,wQGawWqJdfs,"Monster Trucks Official Trailer #1 (2017) - Lucas Till, Jane Levy Movie HD",2018,2019-05-27T01:04:32.000Z,0
2016-06-01T16:21:22.000Z,wQGawWqJdfs,"Monster Trucks Official Trailer #1 (2017) - Lucas Till, Jane Levy Movie HD",I like the truck its awsome,2019-05-27T01:04:02.000Z,0
