publish_time,Video ID,Title,Comment,updatedAt,likeCount
2015-02-11T16:17:44.000Z,OgPm-yaLoyo,Pitch Perfect 2 - Official Trailer 2 (HD),What song at 2:04????,2019-11-09T19:00:24.000Z,0
2015-02-11T16:17:44.000Z,OgPm-yaLoyo,Pitch Perfect 2 - Official Trailer 2 (HD),I love you,2019-11-02T14:27:09.000Z,0
2015-02-11T16:17:44.000Z,OgPm-yaLoyo,Pitch Perfect 2 - Official Trailer 2 (HD),Boring story,2019-10-28T13:22:52.000Z,0
2015-02-11T16:17:44.000Z,OgPm-yaLoyo,Pitch Perfect 2 - Official Trailer 2 (HD),2:05 THE... WORLD... GETS PITCH SLAPPED.,2019-09-27T22:11:58.000Z,1
2015-02-11T16:17:44.000Z,OgPm-yaLoyo,Pitch Perfect 2 - Official Trailer 2 (HD),I like rebeca,2019-07-27T22:27:15.000Z,0
2015-02-11T16:17:44.000Z,OgPm-yaLoyo,Pitch Perfect 2 - Official Trailer 2 (HD),Flula!!!!,2019-07-12T06:15:18.000Z,0
2015-02-11T16:17:44.000Z,OgPm-yaLoyo,Pitch Perfect 2 - Official Trailer 2 (HD),"i love this movie
fat ami you are the best girl",2019-07-01T14:28:17.000Z,1
2015-02-11T16:17:44.000Z,OgPm-yaLoyo,Pitch Perfect 2 - Official Trailer 2 (HD),i felt like this one was so rushed.,2019-06-25T16:06:01.000Z,1
2015-02-11T16:17:44.000Z,OgPm-yaLoyo,Pitch Perfect 2 - Official Trailer 2 (HD),massaginistic pig,2019-06-24T04:46:26.000Z,1
2015-02-11T16:17:44.000Z,OgPm-yaLoyo,Pitch Perfect 2 - Official Trailer 2 (HD),"i love pitch perfect movie
i want a full movie",2019-06-17T22:17:09.000Z,0
2015-02-11T16:17:44.000Z,OgPm-yaLoyo,Pitch Perfect 2 - Official Trailer 2 (HD),You now you have more country's in Europe than Germany,2019-06-05T00:34:25.000Z,1
2015-02-11T16:17:44.000Z,OgPm-yaLoyo,Pitch Perfect 2 - Official Trailer 2 (HD),Sometimes I really find beca similar to Laura Marano ( ally ),2019-05-17T16:24:42.000Z,0
2015-02-11T16:17:44.000Z,OgPm-yaLoyo,Pitch Perfect 2 - Official Trailer 2 (HD),Big Bang is life ❤️❤️❤️❤️ kpop fans,2019-05-01T19:43:39.000Z,0
2015-02-11T16:17:44.000Z,OgPm-yaLoyo,Pitch Perfect 2 - Official Trailer 2 (HD),2:03 thought she dumped him,2019-03-21T15:31:45.000Z,0
2015-02-11T16:17:44.000Z,OgPm-yaLoyo,Pitch Perfect 2 - Official Trailer 2 (HD),Songs here are boring even the male actors,2019-02-24T09:06:03.000Z,0
2015-02-11T16:17:44.000Z,OgPm-yaLoyo,Pitch Perfect 2 - Official Trailer 2 (HD),To be honest I hate the two hosts 😂😂😂,2019-02-09T17:15:27.000Z,0
2015-02-11T16:17:44.000Z,OgPm-yaLoyo,Pitch Perfect 2 - Official Trailer 2 (HD),pitch perfect 4 plz,2019-01-24T20:50:46.000Z,0
2015-02-11T16:17:44.000Z,OgPm-yaLoyo,Pitch Perfect 2 - Official Trailer 2 (HD),What is Big Bang,2019-01-04T05:40:55.000Z,0
2015-02-11T16:17:44.000Z,OgPm-yaLoyo,Pitch Perfect 2 - Official Trailer 2 (HD),Tell me any way to watch this movie in india,2018-09-24T20:04:57.000Z,0
2015-02-11T16:17:44.000Z,OgPm-yaLoyo,Pitch Perfect 2 - Official Trailer 2 (HD),ARGHHHHH WHY ARE WE THE CRAZY DUMP MACHINE IS IN THIS TRAILER?!?! WHY THEY REPLACE THE BELLAS DUMMY?!?!?! GRRRRR,2018-09-07T14:19:35.000Z,0
2015-02-11T16:17:44.000Z,OgPm-yaLoyo,Pitch Perfect 2 - Official Trailer 2 (HD),1:17 80fitz is there by the right side,2018-08-13T05:44:16.000Z,0
2015-02-11T16:17:44.000Z,OgPm-yaLoyo,Pitch Perfect 2 - Official Trailer 2 (HD),am I the only one who came here because I saw a video about bigbang’s song being in this trailer?,2018-07-23T23:42:50.000Z,0
2015-02-11T16:17:44.000Z,OgPm-yaLoyo,Pitch Perfect 2 - Official Trailer 2 (HD),"FANTASTIC BABY-BIG BANG
AAAAHHHH LIKE YOU LOVE",2018-07-15T18:13:19.000Z,0
2015-02-11T16:17:44.000Z,OgPm-yaLoyo,Pitch Perfect 2 - Official Trailer 2 (HD),FANTASTIC BABYYY,2018-07-14T02:35:09.000Z,0
2015-02-11T16:17:44.000Z,OgPm-yaLoyo,Pitch Perfect 2 - Official Trailer 2 (HD),BigBang?,2018-07-06T06:33:48.000Z,0
2015-02-11T16:17:44.000Z,OgPm-yaLoyo,Pitch Perfect 2 - Official Trailer 2 (HD),He win the world BOYS,2018-05-27T12:37:56.000Z,0
2015-02-11T16:17:44.000Z,OgPm-yaLoyo,Pitch Perfect 2 - Official Trailer 2 (HD),Triggered I came for fantastic baby...,2018-05-20T00:21:59.000Z,0
2015-02-11T16:17:44.000Z,OgPm-yaLoyo,Pitch Perfect 2 - Official Trailer 2 (HD),"“I’m not sapost to have any ideas I’m the hot one “.    
Amy”umm... I’m the hot one!😂",2018-05-17T05:16:25.000Z,0
2015-02-11T16:17:44.000Z,OgPm-yaLoyo,Pitch Perfect 2 - Official Trailer 2 (HD),Lol fat amy is right she is the hot one,2018-04-03T19:16:54.000Z,0
2015-02-11T16:17:44.000Z,OgPm-yaLoyo,Pitch Perfect 2 - Official Trailer 2 (HD),Bish I was only here for big bang fantastic baby part I JUST GOT TROLLED!!!!!!,2018-03-25T18:21:16.000Z,0
2015-02-11T16:17:44.000Z,OgPm-yaLoyo,Pitch Perfect 2 - Official Trailer 2 (HD),Was flula in this movie,2018-03-09T00:51:23.000Z,0
2015-02-11T16:17:44.000Z,OgPm-yaLoyo,Pitch Perfect 2 - Official Trailer 2 (HD),Only came for bigbang,2018-03-02T13:58:45.000Z,0
2015-02-11T16:17:44.000Z,OgPm-yaLoyo,Pitch Perfect 2 - Official Trailer 2 (HD),im calling 1m of these viewers were her for Big Bang,2018-03-01T10:51:49.000Z,41
2015-02-11T16:17:44.000Z,OgPm-yaLoyo,Pitch Perfect 2 - Official Trailer 2 (HD),Great trailer,2018-02-13T19:54:06.000Z,0
2015-02-11T16:17:44.000Z,OgPm-yaLoyo,Pitch Perfect 2 - Official Trailer 2 (HD),"0:48~ this wasn't in the movie
-1.21-",2018-01-21T14:00:07.000Z,0
2015-02-11T16:17:44.000Z,OgPm-yaLoyo,Pitch Perfect 2 - Official Trailer 2 (HD),and ugly,2017-12-27T01:00:20.000Z,0
2015-02-11T16:17:44.000Z,OgPm-yaLoyo,Pitch Perfect 2 - Official Trailer 2 (HD),why is she so fat,2017-12-27T01:00:07.000Z,0
2015-02-11T16:17:44.000Z,OgPm-yaLoyo,Pitch Perfect 2 - Official Trailer 2 (HD),"I was so disappointed with the sequel. The highlight was 'Das Sound Machine'. The trailers tone and pacing was better than the movie itself. I did not find the subplots compelling and actually detracted from the primary story. I also noted a majority of the dialgoue and humor written for the Bellas fell flat or did not quite execute well. Whereas Das Sound Machine had great timing and although they had less screen time seemed almost superior as characters to the Bellas. Elements from the first movie were incorporated with new ones and yet it all seemed a bit tired, especially with the girls. Anything newly tried for the sequel also came across as awkward or hit and miss. This cinematic follow-up could have been great but it ended up being so mediocre.",2017-12-20T20:17:24.000Z,0
2015-02-11T16:17:44.000Z,OgPm-yaLoyo,Pitch Perfect 2 - Official Trailer 2 (HD),I LUV YA FAT AMY/PATRICA,2017-12-06T21:26:00.000Z,0
2015-02-11T16:17:44.000Z,OgPm-yaLoyo,Pitch Perfect 2 - Official Trailer 2 (HD),Wait where's bigbang???,2017-10-31T20:13:30.000Z,11
2015-02-11T16:17:44.000Z,OgPm-yaLoyo,Pitch Perfect 2 - Official Trailer 2 (HD),YUSSS BIGBANG,2017-10-31T20:12:34.000Z,1
2015-02-11T16:17:44.000Z,OgPm-yaLoyo,Pitch Perfect 2 - Official Trailer 2 (HD),Omg Philharmonix from the Philippines,2017-09-30T13:15:46.000Z,0
2015-02-11T16:17:44.000Z,OgPm-yaLoyo,Pitch Perfect 2 - Official Trailer 2 (HD),Bechloe af!!!!!,2017-09-10T06:24:16.000Z,1
