publish_time,Video ID,Title,Comment,updatedAt,likeCount
2014-11-18T23:20:55.000Z,ZALqGuwI_DE,Project Almanac Official Trailer #2 (2015) - Sci-Fi Movie HD,"I miss this, I wish I could go back in time advice and warn my parents and my younger self.",2019-11-13T13:28:01.000Z,0
2014-11-18T23:20:55.000Z,ZALqGuwI_DE,Project Almanac Official Trailer #2 (2015) - Sci-Fi Movie HD,This movie shows you the danger of the butterfly effect when time travelling.,2019-11-06T00:42:44.000Z,0
2014-11-18T23:20:55.000Z,ZALqGuwI_DE,Project Almanac Official Trailer #2 (2015) - Sci-Fi Movie HD,Movie is awesome,2019-10-07T13:24:06.000Z,0
2014-11-18T23:20:55.000Z,ZALqGuwI_DE,Project Almanac Official Trailer #2 (2015) - Sci-Fi Movie HD,What pissed me off is that his life was going downhill and when he finally found a way to fix it and getting the girl he always wanted he ruined other peoples life,2019-09-30T05:03:17.000Z,0
2014-11-18T23:20:55.000Z,ZALqGuwI_DE,Project Almanac Official Trailer #2 (2015) - Sci-Fi Movie HD,"This makes me hate time travel tbh, actually not hate I guess but like makes me stay away from time travel stuff, cause I do *NOT* wanna mess up my life just like what happen to that guy, I mean yeah time travel is  impossible, but what makes you sure that it doesn't exist uwu",2019-09-27T18:12:57.000Z,0
2014-11-18T23:20:55.000Z,ZALqGuwI_DE,Project Almanac Official Trailer #2 (2015) - Sci-Fi Movie HD,Anyone come from *Smosh*,2019-09-22T04:11:59.000Z,1
2014-11-18T23:20:55.000Z,ZALqGuwI_DE,Project Almanac Official Trailer #2 (2015) - Sci-Fi Movie HD,Filmão!,2019-09-19T22:28:05.000Z,0
2014-11-18T23:20:55.000Z,ZALqGuwI_DE,Project Almanac Official Trailer #2 (2015) - Sci-Fi Movie HD,The fact that its actually future david that made his dad killed bugs me,2019-08-29T09:00:01.000Z,1
2014-11-18T23:20:55.000Z,ZALqGuwI_DE,Project Almanac Official Trailer #2 (2015) - Sci-Fi Movie HD,why did i watch a 2014 movie in 2019 on my tv..,2019-08-25T09:14:28.000Z,1
2014-11-18T23:20:55.000Z,ZALqGuwI_DE,Project Almanac Official Trailer #2 (2015) - Sci-Fi Movie HD,I know 1 of them was a filipino but I dont know who it is haha but Im proudly filipino😎,2019-08-07T00:07:38.000Z,0
2014-11-18T23:20:55.000Z,ZALqGuwI_DE,Project Almanac Official Trailer #2 (2015) - Sci-Fi Movie HD,I find the constant movevent of the camera so anoying.,2019-08-04T23:48:25.000Z,0
2014-11-18T23:20:55.000Z,ZALqGuwI_DE,Project Almanac Official Trailer #2 (2015) - Sci-Fi Movie HD,"We all meet again, I’m from 3184.",2019-08-04T00:55:00.000Z,0
2014-11-18T23:20:55.000Z,ZALqGuwI_DE,Project Almanac Official Trailer #2 (2015) - Sci-Fi Movie HD,"Watched this 4 years ago, was one of my most favourite movies ever!",2019-06-23T16:51:26.000Z,0
2014-11-18T23:20:55.000Z,ZALqGuwI_DE,Project Almanac Official Trailer #2 (2015) - Sci-Fi Movie HD,didnt know logic was an actor,2019-06-21T23:29:00.000Z,0
2014-11-18T23:20:55.000Z,ZALqGuwI_DE,Project Almanac Official Trailer #2 (2015) - Sci-Fi Movie HD,"Take Dr. Brown's advice, time machine is dangerous! Cause nothing but chaos!",2019-06-19T18:36:31.000Z,1
2014-11-18T23:20:55.000Z,ZALqGuwI_DE,Project Almanac Official Trailer #2 (2015) - Sci-Fi Movie HD,"David, Christina (David's sister), Adam and Quinn are solving mysteries and/or re-writing history 😎",2019-06-19T14:29:18.000Z,0
2014-11-18T23:20:55.000Z,ZALqGuwI_DE,Project Almanac Official Trailer #2 (2015) - Sci-Fi Movie HD,Just like stranger things,2019-06-18T12:00:18.000Z,1
2014-11-18T23:20:55.000Z,ZALqGuwI_DE,Project Almanac Official Trailer #2 (2015) - Sci-Fi Movie HD,So sad...Used to wish for Project Almanac 2,2019-06-15T11:51:11.000Z,4
