publish_time,Video ID,Title,Comment,updatedAt,likeCount
2018-11-13T14:00:00.000Z,6BS27ngZtxg,ROMA | Official Trailer [HD] | Netflix,why do i feel like i've seen this film in colored version ?,2019-11-09T23:58:14.000Z,0
2018-11-13T14:00:00.000Z,6BS27ngZtxg,ROMA | Official Trailer [HD] | Netflix,Came here because of Pink Floyd's- great gig in the sky 🔥🔥🔥and I going to have to watch the movie,2019-11-01T19:00:08.000Z,0
2018-11-13T14:00:00.000Z,6BS27ngZtxg,ROMA | Official Trailer [HD] | Netflix,What a great injustice this movie make people feel about domestic workers everywhere....,2019-10-31T09:03:39.000Z,0
2018-11-13T14:00:00.000Z,6BS27ngZtxg,ROMA | Official Trailer [HD] | Netflix,I'm here because my 2k20 my player recommended it aha,2019-10-30T02:26:18.000Z,2
2018-11-13T14:00:00.000Z,6BS27ngZtxg,ROMA | Official Trailer [HD] | Netflix,We need more black and white films.,2019-10-26T23:31:16.000Z,1
2018-11-13T14:00:00.000Z,6BS27ngZtxg,ROMA | Official Trailer [HD] | Netflix,Шляпа какая-то,2019-10-25T22:13:12.000Z,0
2018-11-13T14:00:00.000Z,6BS27ngZtxg,ROMA | Official Trailer [HD] | Netflix,"i need the music of trailer
pls",2019-10-24T14:11:55.000Z,0
2018-11-13T14:00:00.000Z,6BS27ngZtxg,ROMA | Official Trailer [HD] | Netflix,1:27 La masacre del Jueves de Corpus o el Halconazo,2019-10-24T05:17:09.000Z,0
2018-11-13T14:00:00.000Z,6BS27ngZtxg,ROMA | Official Trailer [HD] | Netflix,Anyone from shoplifter? 😅,2019-10-23T13:21:39.000Z,1
2018-11-13T14:00:00.000Z,6BS27ngZtxg,ROMA | Official Trailer [HD] | Netflix,"AMAZING WORK OF ARTISTRY ,5 STARS 🌟🌟🌟🌟🌟",2019-10-20T20:23:36.000Z,0
2018-11-13T14:00:00.000Z,6BS27ngZtxg,ROMA | Official Trailer [HD] | Netflix,One of the best trailers of all time,2019-10-20T06:49:08.000Z,0
2018-11-13T14:00:00.000Z,6BS27ngZtxg,ROMA | Official Trailer [HD] | Netflix,I don't really understand tbh,2019-10-18T19:57:47.000Z,0
2018-11-13T14:00:00.000Z,6BS27ngZtxg,ROMA | Official Trailer [HD] | Netflix,*This trailer alone deserves an Oscar.*,2019-10-17T03:27:32.000Z,11
2018-11-13T14:00:00.000Z,6BS27ngZtxg,ROMA | Official Trailer [HD] | Netflix,Leo Dan brought me here.,2019-10-13T20:53:33.000Z,0
2018-11-13T14:00:00.000Z,6BS27ngZtxg,ROMA | Official Trailer [HD] | Netflix,Who is Billie? I keep reading those comments,2019-10-10T01:47:03.000Z,0
2018-11-13T14:00:00.000Z,6BS27ngZtxg,ROMA | Official Trailer [HD] | Netflix,"More sjw trash from the racist trailer pedophile trash in Hollywood. Can you radical pedophiles at least stop spreading this demonization of a... ""certain group of individuals"" worldwide? At least keep your racist trash to your own.",2019-10-03T16:24:31.000Z,2
2018-11-13T14:00:00.000Z,6BS27ngZtxg,ROMA | Official Trailer [HD] | Netflix,"I really appreciate the fact they used The Great Gig In The Sky, gave it more well deserved popularity, unfortunately the comment section for the song is filled with ""Roma?? anyone else??"" but hey, at least more people know about the song now.",2019-10-02T17:36:52.000Z,1
2018-11-13T14:00:00.000Z,6BS27ngZtxg,ROMA | Official Trailer [HD] | Netflix,Who else came from 2k20 ?,2019-09-30T00:29:13.000Z,0
2018-11-13T14:00:00.000Z,6BS27ngZtxg,ROMA | Official Trailer [HD] | Netflix,Is anyone here from Chris Smooves interview?,2019-09-27T22:34:59.000Z,1
2018-11-13T14:00:00.000Z,6BS27ngZtxg,ROMA | Official Trailer [HD] | Netflix,Boring!,2019-09-22T13:13:35.000Z,0
2018-11-13T14:00:00.000Z,6BS27ngZtxg,ROMA | Official Trailer [HD] | Netflix,Everyone who said the movie is boring has a shitty taste in movies I’m not sorry. You just like movies made by companies selling the same story just repackaged over and over again. A movie should tell a story and this one tells it. I find some Hollywood “Blockbusters” very boring because they’re literally the same story with different actors and a different scene. Don’t shit on this movie because you aren’t cultured enough to understand it. The movie wasn’t made to please anyone.,2019-09-21T20:54:19.000Z,2
2018-11-13T14:00:00.000Z,6BS27ngZtxg,ROMA | Official Trailer [HD] | Netflix,Who else is here because of When i was older by Billie Eilish?❤,2019-09-20T14:19:55.000Z,1
2018-11-13T14:00:00.000Z,6BS27ngZtxg,ROMA | Official Trailer [HD] | Netflix,who came here because of 2k20?,2019-09-11T18:28:29.000Z,5
2018-11-13T14:00:00.000Z,6BS27ngZtxg,ROMA | Official Trailer [HD] | Netflix,Who came here from the 2k cutscene😂?,2019-09-11T17:08:21.000Z,11
2018-11-13T14:00:00.000Z,6BS27ngZtxg,ROMA | Official Trailer [HD] | Netflix,I just saw it and it was good. But idk what all that hype was about like it was some huge masterpiece. And main female lead Cleo was good too not great.,2019-09-11T06:33:03.000Z,2
2018-11-13T14:00:00.000Z,6BS27ngZtxg,ROMA | Official Trailer [HD] | Netflix,Chris Smoove sent me here 🤦🏽‍♂️,2019-09-11T12:20:06.000Z,4
2018-11-13T14:00:00.000Z,6BS27ngZtxg,ROMA | Official Trailer [HD] | Netflix,I want to make multiple imdb accounts so I can give it 1/10 as times as I can !!!,2019-09-10T03:55:21.000Z,0
2018-11-13T14:00:00.000Z,6BS27ngZtxg,ROMA | Official Trailer [HD] | Netflix,this trailer is better than the film,2019-09-09T17:48:56.000Z,0
2018-11-13T14:00:00.000Z,6BS27ngZtxg,ROMA | Official Trailer [HD] | Netflix,I watched this film first 15 minutes it did not grab me the way shoplifters did,2019-09-09T16:41:25.000Z,0
2018-11-13T14:00:00.000Z,6BS27ngZtxg,ROMA | Official Trailer [HD] | Netflix,Black and white ... in 2019 ... come on,2019-09-09T16:07:39.000Z,0
2018-11-13T14:00:00.000Z,6BS27ngZtxg,ROMA | Official Trailer [HD] | Netflix,I’m only here Bc 2k,2019-09-09T00:17:25.000Z,0
2018-11-13T14:00:00.000Z,6BS27ngZtxg,ROMA | Official Trailer [HD] | Netflix,Great movie.,2019-09-03T15:21:06.000Z,0
2018-11-13T14:00:00.000Z,6BS27ngZtxg,ROMA | Official Trailer [HD] | Netflix,Billie Eilish - When i was older is used to this film for music inspired,2019-09-03T14:25:44.000Z,0
2018-11-13T14:00:00.000Z,6BS27ngZtxg,ROMA | Official Trailer [HD] | Netflix,"*When I was older I was a sailor on an open sea*

Someone's here bc of Billie Eilish's song?",2019-09-01T19:31:53.000Z,51
2018-11-13T14:00:00.000Z,6BS27ngZtxg,ROMA | Official Trailer [HD] | Netflix,can anybody explain to me wut this is abt?,2019-09-01T19:03:44.000Z,0
2018-11-13T14:00:00.000Z,6BS27ngZtxg,ROMA | Official Trailer [HD] | Netflix,"""When I was older "" of BILLIE ❤️ brought me here",2019-08-29T13:43:36.000Z,6
2018-11-13T14:00:00.000Z,6BS27ngZtxg,ROMA | Official Trailer [HD] | Netflix,Who the hell is Billie?,2019-08-29T00:45:33.000Z,0
2018-11-13T14:00:00.000Z,6BS27ngZtxg,ROMA | Official Trailer [HD] | Netflix,Uma das obras da minha vida.,2019-08-27T19:16:45.000Z,0
2018-11-13T14:00:00.000Z,6BS27ngZtxg,ROMA | Official Trailer [HD] | Netflix,The song just got me jumpin' because it's too good,2019-08-25T21:35:53.000Z,0
2018-11-13T14:00:00.000Z,6BS27ngZtxg,ROMA | Official Trailer [HD] | Netflix,"How to win oscar. 

Get an expensive ass camera. Film people doing nothing but carrying out their day as usual.
There you go. Oscar.",2019-08-24T04:47:41.000Z,2
2018-11-13T14:00:00.000Z,6BS27ngZtxg,ROMA | Official Trailer [HD] | Netflix,Boring movie,2019-08-24T04:41:13.000Z,0
2018-11-13T14:00:00.000Z,6BS27ngZtxg,ROMA | Official Trailer [HD] | Netflix,Welcome to the new era of the American Film and Television History. The Platinum Age of Hollywood.,2019-08-23T14:39:23.000Z,0
2018-11-13T14:00:00.000Z,6BS27ngZtxg,ROMA | Official Trailer [HD] | Netflix,"It is a good movie, but in my opinion the pacing is glacial and the story is so subtle that you almost feel like you missed something at the end. Looks great and the story is touching and it is so real that it seems almost surreal. It is a film to be appreciated, not necessarily enjoyed. For me the trailer was the most exciting part of the film.",2019-08-22T08:27:20.000Z,0
2018-11-13T14:00:00.000Z,6BS27ngZtxg,ROMA | Official Trailer [HD] | Netflix,"WHEN I WAAAAS OOOOOOLDEEEEERRRR I WAAS A SAIII......
Window cracks



OK I really can't sing",2019-08-19T19:22:19.000Z,2
2018-11-13T14:00:00.000Z,6BS27ngZtxg,ROMA | Official Trailer [HD] | Netflix,great gig in the sky? fuck yes.,2019-08-18T12:44:13.000Z,1
2018-11-13T14:00:00.000Z,6BS27ngZtxg,ROMA | Official Trailer [HD] | Netflix,Ye hindi me kaise download hoyegi,2019-08-13T13:44:25.000Z,0
2018-11-13T14:00:00.000Z,6BS27ngZtxg,ROMA | Official Trailer [HD] | Netflix,My favourite film of 2018,2019-08-13T02:41:22.000Z,0
2018-11-13T14:00:00.000Z,6BS27ngZtxg,ROMA | Official Trailer [HD] | Netflix,esta peli no tiene nada 😏. aburrida!,2019-08-07T16:16:50.000Z,0
2018-11-13T14:00:00.000Z,6BS27ngZtxg,ROMA | Official Trailer [HD] | Netflix,Im here from billie eyelash,2019-08-04T01:23:24.000Z,0
2018-11-13T14:00:00.000Z,6BS27ngZtxg,ROMA | Official Trailer [HD] | Netflix,"ahorren dos horas de su vida , no la vi comoleta por que estuve esperando la trama y para todo se tardan mil años , 4 min de esena para estacionar un carro , 2:57 pra lavar el piso asuuuu que desesperante",2019-08-03T01:35:39.000Z,0
2018-11-13T14:00:00.000Z,6BS27ngZtxg,ROMA | Official Trailer [HD] | Netflix,Mie roma   ist  ❤,2019-08-02T21:53:35.000Z,1
2018-11-13T14:00:00.000Z,6BS27ngZtxg,ROMA | Official Trailer [HD] | Netflix,"Técnicamente, excelente película pero no deja de ser sutilmente racista. Un racismo muy a la mexicana. El otro es el grotesco, el de las telenovelas mexicanas donde los protagonistas son casi siempre actores de aspecto europeo.",2019-07-31T12:21:12.000Z,0
2018-11-13T14:00:00.000Z,6BS27ngZtxg,ROMA | Official Trailer [HD] | Netflix,"You might not believe me, but I go to Culver Woodcraft Camp and at 0:33, the boy on the very right goes there! His name is Carlos. I know a lot of people wouldn’t believe me but his sister is an actor too and is currently going to Upper school at Culver.",2019-07-28T19:15:23.000Z,0
2018-11-13T14:00:00.000Z,6BS27ngZtxg,ROMA | Official Trailer [HD] | Netflix,j,2019-07-26T19:40:24.000Z,0
2018-11-13T14:00:00.000Z,6BS27ngZtxg,ROMA | Official Trailer [HD] | Netflix,Golly that gave me the goosey bumps,2019-07-21T07:02:33.000Z,0
2018-11-13T14:00:00.000Z,6BS27ngZtxg,ROMA | Official Trailer [HD] | Netflix,"A quien se le ocurrió meter a pink floyd en este trailer si la película no se merece ni mi atención, no la acabe de ver y ni pienso terminarla de ver, gracias bye",2019-07-20T06:23:08.000Z,0
2018-11-13T14:00:00.000Z,6BS27ngZtxg,ROMA | Official Trailer [HD] | Netflix,"A CINEMA’s GIFT !! What an amazing piece of art. While watching Roma, you never know what’s going to happen next.. it’s like watching a REAL family life of the 70s from Mexico. REALISTIC BREATHTAKING TRUTHFUL CREATIVE BEAUTIFUL HONEST... movie. IT SHOWS WHAT’S LIFE/ the difference between between rich and poor.. & REAL DIFFICULTIES. Everything is showed realistically... Some scenes are breathless..the PRISTINE IMAGERY is WOW !!!You feel like being a part of the story. Cleo’s power among everything is divine. MUST WATCH.",2019-07-13T22:06:25.000Z,2
2018-11-13T14:00:00.000Z,6BS27ngZtxg,ROMA | Official Trailer [HD] | Netflix,The trailer production didn't really tell me what the movie is about....,2019-07-10T15:13:02.000Z,1
2018-11-13T14:00:00.000Z,6BS27ngZtxg,ROMA | Official Trailer [HD] | Netflix,Melhor filme do mundo,2019-07-09T06:02:33.000Z,0
2018-11-13T14:00:00.000Z,6BS27ngZtxg,ROMA | Official Trailer [HD] | Netflix,name of the song??,2019-07-06T05:10:28.000Z,0
2018-11-13T14:00:00.000Z,6BS27ngZtxg,ROMA | Official Trailer [HD] | Netflix,who else came bc of billies song,2019-07-03T19:33:25.000Z,1
2018-11-13T14:00:00.000Z,6BS27ngZtxg,ROMA | Official Trailer [HD] | Netflix,I came for BILLIE ❤️,2019-07-03T04:45:08.000Z,0
2018-11-13T14:00:00.000Z,6BS27ngZtxg,ROMA | Official Trailer [HD] | Netflix,Whoelse is here after BAFTA award,2019-07-02T15:03:08.000Z,1
2018-11-13T14:00:00.000Z,6BS27ngZtxg,ROMA | Official Trailer [HD] | Netflix,Greenbook for the WIN! 🤪🎥,2019-06-30T23:45:37.000Z,0
2018-11-13T14:00:00.000Z,6BS27ngZtxg,ROMA | Official Trailer [HD] | Netflix,This is the best movie ever I've seen,2019-06-30T17:14:02.000Z,0
2018-11-13T14:00:00.000Z,6BS27ngZtxg,ROMA | Official Trailer [HD] | Netflix,*When I was oldeeer*,2019-06-27T21:31:56.000Z,0
2018-11-13T14:00:00.000Z,6BS27ngZtxg,ROMA | Official Trailer [HD] | Netflix,Who is here cuz of Billie,2019-06-25T22:12:45.000Z,0
2018-11-13T14:00:00.000Z,6BS27ngZtxg,ROMA | Official Trailer [HD] | Netflix,Кто из 2019???,2019-06-23T11:13:36.000Z,0
2018-11-13T14:00:00.000Z,6BS27ngZtxg,ROMA | Official Trailer [HD] | Netflix,"Great movie! Seeing as Netflix released it, will this not be released on DVD/Blu Ray?",2019-06-22T11:17:51.000Z,0
2018-11-13T14:00:00.000Z,6BS27ngZtxg,ROMA | Official Trailer [HD] | Netflix,"""I didn't want her to be born."" 😭😭😭 at the end really hit me even after I watched it.",2019-06-21T02:19:47.000Z,2
2018-11-13T14:00:00.000Z,6BS27ngZtxg,ROMA | Official Trailer [HD] | Netflix,Cuando la elite iluminati quiere lavar su nombre de racistas y ponen a ganar un oscar a cualquier mda ...,2019-06-19T00:23:08.000Z,0
2018-11-13T14:00:00.000Z,6BS27ngZtxg,ROMA | Official Trailer [HD] | Netflix,Overrated I was bored to death,2019-06-18T16:29:37.000Z,0
2018-11-13T14:00:00.000Z,6BS27ngZtxg,ROMA | Official Trailer [HD] | Netflix,What s the name of the song?,2019-06-18T02:22:59.000Z,0
2018-11-13T14:00:00.000Z,6BS27ngZtxg,ROMA | Official Trailer [HD] | Netflix,PINK FLOYD,2019-06-16T19:30:12.000Z,2
2018-11-13T14:00:00.000Z,6BS27ngZtxg,ROMA | Official Trailer [HD] | Netflix,"Lo único que me viene a la mente cuando escucho la palabra Roma (película o ciudad) es: ¡Cielos! Roma no se hizo en tres días...


What it comes to my mind when I hear the word Roma (in English Rome) (Movie or city) is: OMG! Rome was not built in three days...",2019-06-12T23:09:27.000Z,1
2018-11-13T14:00:00.000Z,6BS27ngZtxg,ROMA | Official Trailer [HD] | Netflix,"This film made me feel so many things.

I heard about the film from the Oscars and it was always on my to watch list and to see it available on Netflix I was on a high but during the film I was extremely tense and felt Cleo's pain and story. It was such a painful film and very frustrating to see how much she suffered. After, I appreciate more and more in terms of the long shots and how I really did feel I was back in time, very scary. 

I felt something bad was going to happen after every 10 minutes :P but not what I expected at all,  a bit like La La Land, not what I expected but different, in an uneasy way? Maybe that was the director's aim? Many questions and many open ended answers.",2019-06-12T22:26:32.000Z,1
2018-11-13T14:00:00.000Z,6BS27ngZtxg,ROMA | Official Trailer [HD] | Netflix,En serio me muero de ganas de ver esta película y no tengo Netflix p*** madre 👿😩😩😩😠😒😒😒😒😬😬😬😬😬,2019-06-12T05:50:13.000Z,0
2018-11-13T14:00:00.000Z,6BS27ngZtxg,ROMA | Official Trailer [HD] | Netflix,Okay billie has a great taste in movies and shows,2019-06-11T20:08:58.000Z,1
2018-11-13T14:00:00.000Z,6BS27ngZtxg,ROMA | Official Trailer [HD] | Netflix,¿Alguien sabe como se llama la canción que sale?,2019-06-09T13:35:31.000Z,1
2018-11-13T14:00:00.000Z,6BS27ngZtxg,ROMA | Official Trailer [HD] | Netflix,"so netflix actually takes chances and funds movies that other studios won't fund and this gets snubbed from the academy reward and loathed by high powered directors? WHAT THE FUCK? "" Steven Spielberg expressed disapproval of streaming films being eligible for Academy Awards"" HE WAS TALKING ABOUT THIS MOVIE",2019-06-08T14:53:52.000Z,0
2018-11-13T14:00:00.000Z,6BS27ngZtxg,ROMA | Official Trailer [HD] | Netflix,"This is the worst piece of shit that I've watched unbelievable how this ""movie"" got so many awards. I'd rather watch the movie the room",2019-06-06T00:11:26.000Z,0
2018-11-13T14:00:00.000Z,6BS27ngZtxg,ROMA | Official Trailer [HD] | Netflix,Netflix trailers never make any sense,2019-06-05T19:25:19.000Z,0
2018-11-13T14:00:00.000Z,6BS27ngZtxg,ROMA | Official Trailer [HD] | Netflix,I came here because of Billie Eilish and I don't regret it one bit,2019-06-03T18:04:53.000Z,0
