publish_time,Video ID,Title,Comment,updatedAt,likeCount
2016-08-24T11:30:13.000Z,K2U-NWDLXM4,Rings Official Trailer #1 (2016) Horror Movie HD,horrible,2019-11-12T08:50:57.000Z,0
2016-08-24T11:30:13.000Z,K2U-NWDLXM4,Rings Official Trailer #1 (2016) Horror Movie HD,First 20 sec is me trying to escape from my anxiety lol,2019-11-05T20:38:44.000Z,0
2016-08-24T11:30:13.000Z,K2U-NWDLXM4,Rings Official Trailer #1 (2016) Horror Movie HD,"Wanna know how to survive? 


Shoot her, or hold up the TV to a wall so when she comes out she gets stuck. 😂👌👌",2019-11-04T22:28:57.000Z,1
2016-08-24T11:30:13.000Z,K2U-NWDLXM4,Rings Official Trailer #1 (2016) Horror Movie HD,7 dAyS aLiVE,2019-11-04T17:43:14.000Z,0
2016-08-24T11:30:13.000Z,K2U-NWDLXM4,Rings Official Trailer #1 (2016) Horror Movie HD,"Noo, nope. No. This is child abuse. Don’t do this. Don’t do it. I don’t know why but I’m seeing this movie. It looks interesting but Just scared the living Jesus out of me",2019-10-31T22:20:46.000Z,0
2016-08-24T11:30:13.000Z,K2U-NWDLXM4,Rings Official Trailer #1 (2016) Horror Movie HD,What if you rape her,2019-10-19T07:03:55.000Z,0
2016-08-24T11:30:13.000Z,K2U-NWDLXM4,Rings Official Trailer #1 (2016) Horror Movie HD,Is it boy or girl saying 7 days,2019-10-19T00:53:18.000Z,0
2016-08-24T11:30:13.000Z,K2U-NWDLXM4,Rings Official Trailer #1 (2016) Horror Movie HD,"im sorry but this movie is trash 💩
the first two rings were better.
thats just my opinion i think this one was too confusing LMAO",2019-10-09T23:33:53.000Z,0
2016-08-24T11:30:13.000Z,K2U-NWDLXM4,Rings Official Trailer #1 (2016) Horror Movie HD,Yeah what about not ansiring the phone,2019-10-05T09:39:24.000Z,0
2016-08-24T11:30:13.000Z,K2U-NWDLXM4,Rings Official Trailer #1 (2016) Horror Movie HD,0:53 “7 days”,2019-09-30T15:01:53.000Z,2
2016-08-24T11:30:13.000Z,K2U-NWDLXM4,Rings Official Trailer #1 (2016) Horror Movie HD,0:30,2019-09-22T14:27:38.000Z,0
2016-08-24T11:30:13.000Z,K2U-NWDLXM4,Rings Official Trailer #1 (2016) Horror Movie HD,what if you just throw out any electronics? so she cant crawl through anything?,2019-09-08T19:00:59.000Z,0
2016-08-24T11:30:13.000Z,K2U-NWDLXM4,Rings Official Trailer #1 (2016) Horror Movie HD,ANY ONE HERE FROM SIMON,2019-09-07T19:36:56.000Z,0
2016-08-24T11:30:13.000Z,K2U-NWDLXM4,Rings Official Trailer #1 (2016) Horror Movie HD,bruhh to survive just pause the video when she gets out of the tv,2019-08-18T20:30:33.000Z,1
2016-08-24T11:30:13.000Z,K2U-NWDLXM4,Rings Official Trailer #1 (2016) Horror Movie HD,"Oh look, i just watched the entire movie in 3 minutes.",2019-08-13T04:28:14.000Z,4
