publish_time,Video ID,Title,Comment,updatedAt,likeCount
2012-03-19T15:51:41.000Z,mXxT9h78OkE,Snow White &amp; the Huntsman - Official Trailer #2 - Charlize Theron Movie (2012) HD,Saya telah membaca buku nya dan itu sangan seruu,2019-11-21T10:01:11.000Z,0
2012-03-19T15:51:41.000Z,mXxT9h78OkE,Snow White &amp; the Huntsman - Official Trailer #2 - Charlize Theron Movie (2012) HD,Chalize Theron's acting was greater than d movie itself... She made the queen really come to life I luved it...,2019-10-12T00:28:55.000Z,0
2012-03-19T15:51:41.000Z,mXxT9h78OkE,Snow White &amp; the Huntsman - Official Trailer #2 - Charlize Theron Movie (2012) HD,Geeitself nothing notOK needed maximum money in the Worldwide Snowboarder Market Community Teamwork today unturned without theftnaya cases-GO out Xmas-Go unheard out now no one else can gettingRich together with GKeithWe not Stronger than others. Selling Zarul itself to Lynherself WAS with both of themselves hurts can't disturbingly GeeitselfXrugiXterbalik. Everything belongs to Gee itself customer service don't care about uncoverLyn herself self care. GariLyn itselfhurt unrelated enemies neighbours can't get anything out. GalGeeCharlie both Of them I liked itself Life are crazy Youngsters in the Worldwide Snowboarder Market Community Teamwork today unturned without theftnaya cases-GO out Xmas-Go unheard out now.,2019-10-08T07:13:29.000Z,0
2012-03-19T15:51:41.000Z,mXxT9h78OkE,Snow White &amp; the Huntsman - Official Trailer #2 - Charlize Theron Movie (2012) HD,2,2019-10-05T11:26:24.000Z,0
2012-03-19T15:51:41.000Z,mXxT9h78OkE,Snow White &amp; the Huntsman - Official Trailer #2 - Charlize Theron Movie (2012) HD,Kristen Stewart,2019-09-28T03:48:45.000Z,0
2012-03-19T15:51:41.000Z,mXxT9h78OkE,Snow White &amp; the Huntsman - Official Trailer #2 - Charlize Theron Movie (2012) HD,2:33 What is this ?,2019-09-16T20:34:45.000Z,0
2012-03-19T15:51:41.000Z,mXxT9h78OkE,Snow White &amp; the Huntsman - Official Trailer #2 - Charlize Theron Movie (2012) HD,Fantastic 😍🔥😘,2019-09-08T12:44:41.000Z,1
2012-03-19T15:51:41.000Z,mXxT9h78OkE,Snow White &amp; the Huntsman - Official Trailer #2 - Charlize Theron Movie (2012) HD,Fantastic 💋,2019-09-08T08:26:07.000Z,1
2012-03-19T15:51:41.000Z,mXxT9h78OkE,Snow White &amp; the Huntsman - Official Trailer #2 - Charlize Theron Movie (2012) HD,Superb 💋,2019-09-07T18:25:47.000Z,1
2012-03-19T15:51:41.000Z,mXxT9h78OkE,Snow White &amp; the Huntsman - Official Trailer #2 - Charlize Theron Movie (2012) HD,Fantastic 😍🔥,2019-09-07T17:00:32.000Z,1
2012-03-19T15:51:41.000Z,mXxT9h78OkE,Snow White &amp; the Huntsman - Official Trailer #2 - Charlize Theron Movie (2012) HD,Wow,2019-09-04T07:20:24.000Z,0
2012-03-19T15:51:41.000Z,mXxT9h78OkE,Snow White &amp; the Huntsman - Official Trailer #2 - Charlize Theron Movie (2012) HD,Haters gonna hate. Potatoes gonna potate.,2019-09-03T06:22:48.000Z,0
2012-03-19T15:51:41.000Z,mXxT9h78OkE,Snow White &amp; the Huntsman - Official Trailer #2 - Charlize Theron Movie (2012) HD,trash,2019-08-23T07:43:24.000Z,1
2012-03-19T15:51:41.000Z,mXxT9h78OkE,Snow White &amp; the Huntsman - Official Trailer #2 - Charlize Theron Movie (2012) HD,كيف نطلع الفلم كامل مترجم بليزززززز بلييييززز؟؟؟؟؟,2019-08-15T15:06:27.000Z,1
2012-03-19T15:51:41.000Z,mXxT9h78OkE,Snow White &amp; the Huntsman - Official Trailer #2 - Charlize Theron Movie (2012) HD,"I like kristen but there were soooo many moments during the movie that i was just saying....""say something...for the love of god say something...you're making the face like you want to speak""",2019-07-15T10:37:49.000Z,2
2012-03-19T15:51:41.000Z,mXxT9h78OkE,Snow White &amp; the Huntsman - Official Trailer #2 - Charlize Theron Movie (2012) HD,Great movie.,2019-07-09T14:02:45.000Z,0
2012-03-19T15:51:41.000Z,mXxT9h78OkE,Snow White &amp; the Huntsman - Official Trailer #2 - Charlize Theron Movie (2012) HD,Thor,2019-05-28T12:05:13.000Z,0
2012-03-19T15:51:41.000Z,mXxT9h78OkE,Snow White &amp; the Huntsman - Official Trailer #2 - Charlize Theron Movie (2012) HD,Charlize Theron would make a good Cercei Lannister,2019-05-23T23:49:36.000Z,0
2012-03-19T15:51:41.000Z,mXxT9h78OkE,Snow White &amp; the Huntsman - Official Trailer #2 - Charlize Theron Movie (2012) HD,Kristen is a great actress no matter what other people think about her 😋😋she is perfect for this movie,2019-04-20T17:31:11.000Z,0
2012-03-19T15:51:41.000Z,mXxT9h78OkE,Snow White &amp; the Huntsman - Official Trailer #2 - Charlize Theron Movie (2012) HD,Which is first the winter war or this movie? Can someone answer me :),2019-04-10T07:38:46.000Z,0
2012-03-19T15:51:41.000Z,mXxT9h78OkE,Snow White &amp; the Huntsman - Official Trailer #2 - Charlize Theron Movie (2012) HD,Milk of tongaw bath ha ?,2019-04-09T03:05:14.000Z,0
2012-03-19T15:51:41.000Z,mXxT9h78OkE,Snow White &amp; the Huntsman - Official Trailer #2 - Charlize Theron Movie (2012) HD,Isa lang po ang pork sa pork and beans sa HUNTS product...triggering lookalike ano ?,2019-04-09T03:03:50.000Z,0
2012-03-19T15:51:41.000Z,mXxT9h78OkE,Snow White &amp; the Huntsman - Official Trailer #2 - Charlize Theron Movie (2012) HD,"Lol, who watched it becuase they knew Kristen was in it and loves/hate twilight?

P.s 2019?",2019-04-04T08:07:27.000Z,15
2012-03-19T15:51:41.000Z,mXxT9h78OkE,Snow White &amp; the Huntsman - Official Trailer #2 - Charlize Theron Movie (2012) HD,"Oh, c'mon don't be sheep, don't hate Kristen just because everyone else does. 
Her acting in this movie is on point, watch for yourselves without  pre-made judgement.",2019-03-14T04:17:33.000Z,2
2012-03-19T15:51:41.000Z,mXxT9h78OkE,Snow White &amp; the Huntsman - Official Trailer #2 - Charlize Theron Movie (2012) HD,I hate haters,2019-03-11T00:40:02.000Z,0
2012-03-19T15:51:41.000Z,mXxT9h78OkE,Snow White &amp; the Huntsman - Official Trailer #2 - Charlize Theron Movie (2012) HD,Ji indha movie oda link venum tamil link venum,2019-02-18T03:37:51.000Z,0
2012-03-19T15:51:41.000Z,mXxT9h78OkE,Snow White &amp; the Huntsman - Official Trailer #2 - Charlize Theron Movie (2012) HD,Let them come,2019-02-08T13:43:57.000Z,0
2012-03-19T15:51:41.000Z,mXxT9h78OkE,Snow White &amp; the Huntsman - Official Trailer #2 - Charlize Theron Movie (2012) HD,Why does she cover her breast? is someone spying on her.,2019-02-06T23:50:44.000Z,0
2012-03-19T15:51:41.000Z,mXxT9h78OkE,Snow White &amp; the Huntsman - Official Trailer #2 - Charlize Theron Movie (2012) HD,"I watched this with low expectations and was positively surprised. It's a solid old school fantasy epic with absolutely beautiful cinematography, costumes and sets, in the same vein of LOTR and Narnia.",2019-02-02T06:54:39.000Z,0
