publish_time,Video ID,Title,Comment,updatedAt,likeCount
2016-06-29T23:30:38.000Z,mjKEXxO2KNE,Sully - Official Trailer [HD],"1:21 Did someone see the name written as "" Cheesly Sullyburger"" ?",2019-11-09T05:02:18.000Z,0
2016-06-29T23:30:38.000Z,mjKEXxO2KNE,Sully - Official Trailer [HD],I probably would start crying and asking god to forgive me after hearing “brace for impact”.,2019-11-05T11:17:22.000Z,0
2016-06-29T23:30:38.000Z,mjKEXxO2KNE,Sully - Official Trailer [HD],This man is a genuine hero. Not Lebron James not Kobe Bryant not Justin Bieber. Chesley B. Sullenberger.,2019-11-04T02:21:33.000Z,0
2016-06-29T23:30:38.000Z,mjKEXxO2KNE,Sully - Official Trailer [HD],BRACE! BRACE! BRACE! Heads down stay down!,2019-11-03T11:09:36.000Z,0
2016-06-29T23:30:38.000Z,mjKEXxO2KNE,Sully - Official Trailer [HD],"Actually the documentary about that plain, better and inculude more stories about passengers  than the movie.",2019-11-02T21:51:42.000Z,0
2016-06-29T23:30:38.000Z,mjKEXxO2KNE,Sully - Official Trailer [HD],Is there nothing this man cant do one of the finest actors of any generation,2019-10-20T21:03:18.000Z,0
2016-06-29T23:30:38.000Z,mjKEXxO2KNE,Sully - Official Trailer [HD],Ne sully la na lang,2019-10-19T05:55:46.000Z,0
2016-06-29T23:30:38.000Z,mjKEXxO2KNE,Sully - Official Trailer [HD],Never travel with Tom Hanks :D,2019-10-15T07:56:33.000Z,0
2016-06-29T23:30:38.000Z,mjKEXxO2KNE,Sully - Official Trailer [HD],great movie !,2019-10-06T11:23:24.000Z,0
2016-06-29T23:30:38.000Z,mjKEXxO2KNE,Sully - Official Trailer [HD],Should i watch this movie?,2019-10-03T03:54:48.000Z,0
2016-06-29T23:30:38.000Z,mjKEXxO2KNE,Sully - Official Trailer [HD],This movie based on their true story,2019-10-01T13:06:16.000Z,0
2016-06-29T23:30:38.000Z,mjKEXxO2KNE,Sully - Official Trailer [HD],Remember that stupid cruise boat captain that bailed on all his passengers as his ship was sinking. Not Sully. Last one off like a true Captain.,2019-09-30T14:27:07.000Z,0
2016-06-29T23:30:38.000Z,mjKEXxO2KNE,Sully - Official Trailer [HD],I love movie trailer for movie specially it truth story. Because it’s rarest show on air .,2019-09-29T19:09:09.000Z,0
2016-06-29T23:30:38.000Z,mjKEXxO2KNE,Sully - Official Trailer [HD],"Loved the movie.. the real Captain sully is a true  Hero.. !!

Anyone know the soundtrack in this trailer?? 
It’s freaking awesome.. 🙌🏻",2019-09-23T12:49:32.000Z,0
2016-06-29T23:30:38.000Z,mjKEXxO2KNE,Sully - Official Trailer [HD],They tell you to brace and my guy is on his phone bruh,2019-09-21T21:36:47.000Z,0
2016-06-29T23:30:38.000Z,mjKEXxO2KNE,Sully - Official Trailer [HD],I wanna see this movie!!!,2019-09-20T18:07:51.000Z,0
2016-06-29T23:30:38.000Z,mjKEXxO2KNE,Sully - Official Trailer [HD],I love Tom Hanks!!,2019-09-19T03:38:42.000Z,1
2016-06-29T23:30:38.000Z,mjKEXxO2KNE,Sully - Official Trailer [HD],This is my new favorite movie!!! ❤,2019-09-12T14:43:05.000Z,0
2016-06-29T23:30:38.000Z,mjKEXxO2KNE,Sully - Official Trailer [HD],Looks like he picked the wrong week to quit amphetamines.,2019-09-10T05:18:11.000Z,0
2016-06-29T23:30:38.000Z,mjKEXxO2KNE,Sully - Official Trailer [HD],Strangely this movie made me want to become a Pilot,2019-08-30T20:15:16.000Z,0
2016-06-29T23:30:38.000Z,mjKEXxO2KNE,Sully - Official Trailer [HD],"this sentence: 


ive been 40 years in the air


but in the end im gonna be judged for 208 seconds",2019-08-20T23:31:42.000Z,0
2016-06-29T23:30:38.000Z,mjKEXxO2KNE,Sully - Official Trailer [HD],"0:25 Ural Airlines Flight 178, has the record now.",2019-08-15T21:32:01.000Z,1
2016-06-29T23:30:38.000Z,mjKEXxO2KNE,Sully - Official Trailer [HD],"Just finished watching this 
What a great movie and pilot sully is 
Respect",2019-08-08T23:03:54.000Z,1
2016-06-29T23:30:38.000Z,mjKEXxO2KNE,Sully - Official Trailer [HD],Seinfeld in the backgrounds 0:44,2019-07-26T13:34:28.000Z,0
2016-06-29T23:30:38.000Z,mjKEXxO2KNE,Sully - Official Trailer [HD],Ya’ll clearly haven’t seen flight🤷🏻‍♂️,2019-07-22T03:21:04.000Z,0
2016-06-29T23:30:38.000Z,mjKEXxO2KNE,Sully - Official Trailer [HD],I'm about to have a 16 hour flight to Africa. Why I'm i watching this 🤦‍♂️,2019-07-20T22:07:26.000Z,4
2016-06-29T23:30:38.000Z,mjKEXxO2KNE,Sully - Official Trailer [HD],So beautiful movie!!! I love it!!!,2019-07-16T23:07:19.000Z,0
2016-06-29T23:30:38.000Z,mjKEXxO2KNE,Sully - Official Trailer [HD],I feel bad now for not listening to that safety speech...,2019-07-13T06:27:37.000Z,0
2016-06-29T23:30:38.000Z,mjKEXxO2KNE,Sully - Official Trailer [HD],Anyone is here for telugu meaning of title,2019-07-10T08:04:19.000Z,0
2016-06-29T23:30:38.000Z,mjKEXxO2KNE,Sully - Official Trailer [HD],"Tom Hanks,  a complete actor.  What a face expression!  He is made for the role. He never disappoints audience.",2019-07-10T07:22:30.000Z,0
2016-06-29T23:30:38.000Z,mjKEXxO2KNE,Sully - Official Trailer [HD],"Dont worry Buzz, Woody can't fly either",2019-07-07T05:40:29.000Z,0
2016-06-29T23:30:38.000Z,mjKEXxO2KNE,Sully - Official Trailer [HD],Compelling movie. Great job Clint Eastwood,2019-07-01T22:51:19.000Z,0
2016-06-29T23:30:38.000Z,mjKEXxO2KNE,Sully - Official Trailer [HD],I mean... the trailer kind of spoils it,2019-07-01T15:01:55.000Z,0
2016-06-29T23:30:38.000Z,mjKEXxO2KNE,Sully - Official Trailer [HD],Is that Ed Helms at 1:29?,2019-06-27T03:11:24.000Z,0
2016-06-29T23:30:38.000Z,mjKEXxO2KNE,Sully - Official Trailer [HD],Meanwhile PTSD,2019-06-23T19:02:16.000Z,0
2016-06-29T23:30:38.000Z,mjKEXxO2KNE,Sully - Official Trailer [HD],Salute to you sully .... Love from India ....!,2019-06-18T15:11:18.000Z,0
2016-06-29T23:30:38.000Z,mjKEXxO2KNE,Sully - Official Trailer [HD],Good film is the best,2019-06-11T04:16:58.000Z,1
2016-06-29T23:30:38.000Z,mjKEXxO2KNE,Sully - Official Trailer [HD],"Anyone else nearly started crying when sully said "" Anyone here? At 1:48",2019-06-09T16:46:06.000Z,0
2016-06-29T23:30:38.000Z,mjKEXxO2KNE,Sully - Official Trailer [HD],I'll always come back and watch this trailer - it's masterful.,2019-06-06T14:06:33.000Z,1
2016-06-29T23:30:38.000Z,mjKEXxO2KNE,Sully - Official Trailer [HD],Sağlam 👊🏼,2019-05-30T13:13:09.000Z,0
2016-06-29T23:30:38.000Z,mjKEXxO2KNE,Sully - Official Trailer [HD],it's a great film,2019-05-29T01:53:03.000Z,2
2016-06-29T23:30:38.000Z,mjKEXxO2KNE,Sully - Official Trailer [HD],Tom hanks is besttt✨🦊,2019-05-26T07:09:06.000Z,0
2016-06-29T23:30:38.000Z,mjKEXxO2KNE,Sully - Official Trailer [HD],I need a count,2019-05-20T01:43:46.000Z,0
2016-06-29T23:30:38.000Z,mjKEXxO2KNE,Sully - Official Trailer [HD],Absolutely loved this movie. Tom Hanks always will be my favorite actor.  He can play ANY character ❤❤,2019-05-06T00:21:27.000Z,2
2016-06-29T23:30:38.000Z,mjKEXxO2KNE,Sully - Official Trailer [HD],I’m here because of the infographics show,2019-04-28T22:52:20.000Z,0
2016-06-29T23:30:38.000Z,mjKEXxO2KNE,Sully - Official Trailer [HD],awsm just awsm,2019-04-27T10:40:43.000Z,0
2016-06-29T23:30:38.000Z,mjKEXxO2KNE,Sully - Official Trailer [HD],Omg,2019-04-23T22:11:50.000Z,0
2016-06-29T23:30:38.000Z,mjKEXxO2KNE,Sully - Official Trailer [HD],1:30 epic scene,2019-04-16T07:50:46.000Z,0
2016-06-29T23:30:38.000Z,mjKEXxO2KNE,Sully - Official Trailer [HD],I somebody else also nearly crying the entire movie,2019-04-13T08:39:20.000Z,1
2016-06-29T23:30:38.000Z,mjKEXxO2KNE,Sully - Official Trailer [HD],They can land at tederbro but the plane droping too fast,2019-04-13T01:39:09.000Z,1
2016-06-29T23:30:38.000Z,mjKEXxO2KNE,Sully - Official Trailer [HD],guacamole,2019-04-08T09:46:29.000Z,0
2016-06-29T23:30:38.000Z,mjKEXxO2KNE,Sully - Official Trailer [HD],"I ask myself, if the impact wasn't dangerous for the pilots? Because 
they couldn't take the brace-position.....   Any experts here to tell me
 sth. about that?",2019-04-07T07:32:04.000Z,0
2016-06-29T23:30:38.000Z,mjKEXxO2KNE,Sully - Official Trailer [HD],"The trailer actually took me through an emotional roller coaster, damn Tom Hanks is good, and the score, I have fucking tears in my eyes.",2019-04-05T19:38:31.000Z,0
2016-06-29T23:30:38.000Z,mjKEXxO2KNE,Sully - Official Trailer [HD],US Airways 1549,2019-03-30T05:22:36.000Z,0
2016-06-29T23:30:38.000Z,mjKEXxO2KNE,Sully - Official Trailer [HD],This Is Based On A Real Life Story,2019-03-27T08:42:52.000Z,0
2016-06-29T23:30:38.000Z,mjKEXxO2KNE,Sully - Official Trailer [HD],the journey which goes on unknown wheels,2019-03-24T17:25:40.000Z,0
2016-06-29T23:30:38.000Z,mjKEXxO2KNE,Sully - Official Trailer [HD],I watched this movie on a plane...,2019-05-02T14:23:04.000Z,13
2016-06-29T23:30:38.000Z,mjKEXxO2KNE,Sully - Official Trailer [HD],I love how Southwest makes a small cameo,2019-03-19T10:00:34.000Z,0
2016-06-29T23:30:38.000Z,mjKEXxO2KNE,Sully - Official Trailer [HD],Sully...... Earth is beautiful for 157 lives.....just because of  you!!!👍,2019-03-15T06:11:36.000Z,2
2016-06-29T23:30:38.000Z,mjKEXxO2KNE,Sully - Official Trailer [HD],It was about Chesley “Sully”not the flight itself,2019-03-14T03:17:25.000Z,0
2016-06-29T23:30:38.000Z,mjKEXxO2KNE,Sully - Official Trailer [HD],"Well hey, it's a good n pisitive true story!",2019-03-07T01:03:21.000Z,0
2016-06-29T23:30:38.000Z,mjKEXxO2KNE,Sully - Official Trailer [HD],This is also in Achieve 3000,2019-02-28T22:53:25.000Z,0
2016-06-29T23:30:38.000Z,mjKEXxO2KNE,Sully - Official Trailer [HD],Sully is now my favourite captain,2019-02-28T13:01:36.000Z,0
2016-06-29T23:30:38.000Z,mjKEXxO2KNE,Sully - Official Trailer [HD],Sully could have made it to an airport.,2019-02-23T01:46:30.000Z,0
2016-06-29T23:30:38.000Z,mjKEXxO2KNE,Sully - Official Trailer [HD],Still the best trailer ever 😨🙌🏻 & the best movie,2019-02-17T06:28:50.000Z,0
2016-06-29T23:30:38.000Z,mjKEXxO2KNE,Sully - Official Trailer [HD],more like AIRPLANE! cuz tommy is a pedo,2019-02-14T17:48:45.000Z,0
2016-06-29T23:30:38.000Z,mjKEXxO2KNE,Sully - Official Trailer [HD],shoulda been titled BALLS,2019-02-14T17:47:41.000Z,0
2016-06-29T23:30:38.000Z,mjKEXxO2KNE,Sully - Official Trailer [HD],"These is a captain,place for impact.",2019-02-12T17:39:46.000Z,0
2016-06-29T23:30:38.000Z,mjKEXxO2KNE,Sully - Official Trailer [HD],Denzel did it better,2019-02-06T07:15:54.000Z,0
2016-06-29T23:30:38.000Z,mjKEXxO2KNE,Sully - Official Trailer [HD],*I'm watching this at the airport*,2019-02-05T22:13:26.000Z,0
2016-06-29T23:30:38.000Z,mjKEXxO2KNE,Sully - Official Trailer [HD],"Oscar Mike Golf

Tango Hotel India Sierra                     Tango Romeo Alfa India Lima Echo Romeo                         India Sierra                                      Alfa Mike Alfa Zulu India November Golf",2019-02-04T08:52:03.000Z,0
2016-06-29T23:30:38.000Z,mjKEXxO2KNE,Sully - Official Trailer [HD],am the baby boy My mother told me the story I'm 10 years old now Thank you Sully,2019-01-29T10:21:49.000Z,0
2016-06-29T23:30:38.000Z,mjKEXxO2KNE,Sully - Official Trailer [HD],This is like the movie with denzel washington,2019-01-28T22:17:13.000Z,0
