publish_time,Video ID,Title,Comment,updatedAt,likeCount
2017-08-11T15:06:01.000Z,kPpXFnHoC-0,"The Death of Stalin Official Trailer #1 (2017) Jason Isaacs, Steve Buscemi Biography Movie HD","""Should we investigate?""
""Should you shut the f*ck up before you get us both killed?""",2019-11-09T11:36:31.000Z,0
2017-08-11T15:06:01.000Z,kPpXFnHoC-0,"The Death of Stalin Official Trailer #1 (2017) Jason Isaacs, Steve Buscemi Biography Movie HD",The russian speaking perfect English remind me of Enemy At of Gates,2019-10-27T14:29:59.000Z,1
2017-08-11T15:06:01.000Z,kPpXFnHoC-0,"The Death of Stalin Official Trailer #1 (2017) Jason Isaacs, Steve Buscemi Biography Movie HD","It's a great film, a perfect one",2019-10-26T22:06:33.000Z,1
2017-08-11T15:06:01.000Z,kPpXFnHoC-0,"The Death of Stalin Official Trailer #1 (2017) Jason Isaacs, Steve Buscemi Biography Movie HD",what the ****,2019-10-20T14:36:58.000Z,0
2017-08-11T15:06:01.000Z,kPpXFnHoC-0,"The Death of Stalin Official Trailer #1 (2017) Jason Isaacs, Steve Buscemi Biography Movie HD",Вы не имеет права писать нашу Историю именно так,2019-10-14T19:08:18.000Z,0
2017-08-11T15:06:01.000Z,kPpXFnHoC-0,"The Death of Stalin Official Trailer #1 (2017) Jason Isaacs, Steve Buscemi Biography Movie HD",What's the music that begins at 0:19?,2019-10-13T02:16:54.000Z,1
2017-08-11T15:06:01.000Z,kPpXFnHoC-0,"The Death of Stalin Official Trailer #1 (2017) Jason Isaacs, Steve Buscemi Biography Movie HD",film about russia. they have british accents 🤣🤣,2019-10-10T17:33:58.000Z,0
2017-08-11T15:06:01.000Z,kPpXFnHoC-0,"The Death of Stalin Official Trailer #1 (2017) Jason Isaacs, Steve Buscemi Biography Movie HD",KGB: Why you not cry enough,2019-10-10T14:55:25.000Z,1
2017-08-11T15:06:01.000Z,kPpXFnHoC-0,"The Death of Stalin Official Trailer #1 (2017) Jason Isaacs, Steve Buscemi Biography Movie HD",Please. Don't call this parody biography,2019-10-09T19:07:10.000Z,0
2017-08-11T15:06:01.000Z,kPpXFnHoC-0,"The Death of Stalin Official Trailer #1 (2017) Jason Isaacs, Steve Buscemi Biography Movie HD","Stalin's dead...
He's dead.
Stalin is dead!
*""Heavy is dead!""*",2019-10-09T17:41:44.000Z,1
2017-08-11T15:06:01.000Z,kPpXFnHoC-0,"The Death of Stalin Official Trailer #1 (2017) Jason Isaacs, Steve Buscemi Biography Movie HD",Это какая то клюква,2019-10-07T16:23:31.000Z,0
2017-08-11T15:06:01.000Z,kPpXFnHoC-0,"The Death of Stalin Official Trailer #1 (2017) Jason Isaacs, Steve Buscemi Biography Movie HD",Brilliant!,2019-10-01T22:20:33.000Z,0
2017-08-11T15:06:01.000Z,kPpXFnHoC-0,"The Death of Stalin Official Trailer #1 (2017) Jason Isaacs, Steve Buscemi Biography Movie HD",LOL,2019-10-01T11:46:56.000Z,0
2017-08-11T15:06:01.000Z,kPpXFnHoC-0,"The Death of Stalin Official Trailer #1 (2017) Jason Isaacs, Steve Buscemi Biography Movie HD",LOL,2019-10-01T11:46:43.000Z,0
2017-08-11T15:06:01.000Z,kPpXFnHoC-0,"The Death of Stalin Official Trailer #1 (2017) Jason Isaacs, Steve Buscemi Biography Movie HD","""Should we investigate""
""Should you shut the fuck up?""",2019-09-26T21:17:07.000Z,1
2017-08-11T15:06:01.000Z,kPpXFnHoC-0,"The Death of Stalin Official Trailer #1 (2017) Jason Isaacs, Steve Buscemi Biography Movie HD","1:44 Real trailer starting, thank me later folks.",2019-09-18T15:14:49.000Z,0
2017-08-11T15:06:01.000Z,kPpXFnHoC-0,"The Death of Stalin Official Trailer #1 (2017) Jason Isaacs, Steve Buscemi Biography Movie HD","This. Movie. Is. Hilarious. 

Two executed thumbs flopping around indignantly!!!",2019-09-15T19:23:50.000Z,0
2017-08-11T15:06:01.000Z,kPpXFnHoC-0,"The Death of Stalin Official Trailer #1 (2017) Jason Isaacs, Steve Buscemi Biography Movie HD",Americans still fail to understand why the age of dictators came.And how Us UK mekinder foreign policy caused it,2019-09-15T11:11:03.000Z,0
2017-08-11T15:06:01.000Z,kPpXFnHoC-0,"The Death of Stalin Official Trailer #1 (2017) Jason Isaacs, Steve Buscemi Biography Movie HD","Szkoda że z zwiastunu wygląda to jak komedia 
POLSKA",2019-09-09T20:53:23.000Z,0
2017-08-11T15:06:01.000Z,kPpXFnHoC-0,"The Death of Stalin Official Trailer #1 (2017) Jason Isaacs, Steve Buscemi Biography Movie HD",Just a fuckov movie,2019-08-31T21:16:53.000Z,0
2017-08-11T15:06:01.000Z,kPpXFnHoC-0,"The Death of Stalin Official Trailer #1 (2017) Jason Isaacs, Steve Buscemi Biography Movie HD",Chernobyl prequel,2019-08-31T03:47:12.000Z,0
2017-08-11T15:06:01.000Z,kPpXFnHoC-0,"The Death of Stalin Official Trailer #1 (2017) Jason Isaacs, Steve Buscemi Biography Movie HD",Loved this movie so underrated,2019-08-15T17:33:00.000Z,1
2017-08-11T15:06:01.000Z,kPpXFnHoC-0,"The Death of Stalin Official Trailer #1 (2017) Jason Isaacs, Steve Buscemi Biography Movie HD",I can see Nikolai Bulganin in this trailer,2019-08-13T01:18:00.000Z,0
2017-08-11T15:06:01.000Z,kPpXFnHoC-0,"The Death of Stalin Official Trailer #1 (2017) Jason Isaacs, Steve Buscemi Biography Movie HD",Drink tea from a yeti.. who lives by the rose !!,2019-08-07T19:55:45.000Z,1
2017-08-11T15:06:01.000Z,kPpXFnHoC-0,"The Death of Stalin Official Trailer #1 (2017) Jason Isaacs, Steve Buscemi Biography Movie HD",When Russia meets Britain,2019-08-07T14:25:42.000Z,2
2017-08-11T15:06:01.000Z,kPpXFnHoC-0,"The Death of Stalin Official Trailer #1 (2017) Jason Isaacs, Steve Buscemi Biography Movie HD",I dont like this because they seem to be making fun of Stalin and Russia,2019-08-06T20:31:24.000Z,0
2017-08-11T15:06:01.000Z,kPpXFnHoC-0,"The Death of Stalin Official Trailer #1 (2017) Jason Isaacs, Steve Buscemi Biography Movie HD","Stalin​ funeral​ 🇷🇺🇷🇺🇷🇺🇷🇺🇰🇵🇰🇵🇰🇵🇰🇵 kim jong ter
Soviet anthem",2019-08-05T15:40:01.000Z,0
2017-08-11T15:06:01.000Z,kPpXFnHoC-0,"The Death of Stalin Official Trailer #1 (2017) Jason Isaacs, Steve Buscemi Biography Movie HD",is it a good comedy and worth the time spending watching it ?,2019-07-29T20:20:37.000Z,2
2017-08-11T15:06:01.000Z,kPpXFnHoC-0,"The Death of Stalin Official Trailer #1 (2017) Jason Isaacs, Steve Buscemi Biography Movie HD",A western movie banned in Russia? Guess nothing's changed.,2019-07-25T02:01:58.000Z,0
2017-08-11T15:06:01.000Z,kPpXFnHoC-0,"The Death of Stalin Official Trailer #1 (2017) Jason Isaacs, Steve Buscemi Biography Movie HD",I highly recommend you watch this movie.,2019-07-23T01:41:34.000Z,1
2017-08-11T15:06:01.000Z,kPpXFnHoC-0,"The Death of Stalin Official Trailer #1 (2017) Jason Isaacs, Steve Buscemi Biography Movie HD","Anti capitalist soviets speak English
I want to watch this movie.",2019-07-23T01:01:53.000Z,2
2017-08-11T15:06:01.000Z,kPpXFnHoC-0,"The Death of Stalin Official Trailer #1 (2017) Jason Isaacs, Steve Buscemi Biography Movie HD","Great Trailer!!! 
Great Movie!!!
(And surprisingly very historically accurate! 
... No wonder the Russians banned it!)",2019-07-22T05:21:48.000Z,2
2017-08-11T15:06:01.000Z,kPpXFnHoC-0,"The Death of Stalin Official Trailer #1 (2017) Jason Isaacs, Steve Buscemi Biography Movie HD","""Are you wearing pajamas?""",2019-07-21T14:13:13.000Z,1
2017-08-11T15:06:01.000Z,kPpXFnHoC-0,"The Death of Stalin Official Trailer #1 (2017) Jason Isaacs, Steve Buscemi Biography Movie HD","General zhukov, yeah",2019-07-20T19:51:40.000Z,0
2017-08-11T15:06:01.000Z,kPpXFnHoC-0,"The Death of Stalin Official Trailer #1 (2017) Jason Isaacs, Steve Buscemi Biography Movie HD",I really liked Beria in this film.,2019-07-20T03:08:54.000Z,0
2017-08-11T15:06:01.000Z,kPpXFnHoC-0,"The Death of Stalin Official Trailer #1 (2017) Jason Isaacs, Steve Buscemi Biography Movie HD","The KGB

Why you not cry enough",2019-07-17T05:08:29.000Z,0
2017-08-11T15:06:01.000Z,kPpXFnHoC-0,"The Death of Stalin Official Trailer #1 (2017) Jason Isaacs, Steve Buscemi Biography Movie HD",STOP MAKING RUSSIANS SPEAK ENGLISH....... ITS AWFULLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL,2019-07-11T12:12:22.000Z,0
2017-08-11T15:06:01.000Z,kPpXFnHoC-0,"The Death of Stalin Official Trailer #1 (2017) Jason Isaacs, Steve Buscemi Biography Movie HD","You can say people have been ""STARVING"" for a movie about Stalin. 🤣🖕🖕",2019-07-05T22:59:01.000Z,0
