publish_time,Video ID,Title,Comment,updatedAt,likeCount
2018-03-08T16:04:13.000Z,Bf6D-i8YpHg,THE GRINCH Official Trailer (2018),Here is the first official Trailer for The Grinch,2018-03-08T16:09:42.000Z,1131
2018-03-08T16:04:13.000Z,Bf6D-i8YpHg,THE GRINCH Official Trailer (2018),Is there any talking in this movie?,2019-11-14T02:51:34.000Z,0
2018-03-08T16:04:13.000Z,Bf6D-i8YpHg,THE GRINCH Official Trailer (2018),2:00 POW!,2019-11-12T16:47:45.000Z,0
2018-03-08T16:04:13.000Z,Bf6D-i8YpHg,THE GRINCH Official Trailer (2018),"Cindy has one parent now her mother who works so hard, feminists just can't stick to original, only made for a certain group of people.",2019-11-10T12:23:38.000Z,0
2018-03-08T16:04:13.000Z,Bf6D-i8YpHg,THE GRINCH Official Trailer (2018),Olympic's.,2019-11-10T01:54:09.000Z,0
2018-03-08T16:04:13.000Z,Bf6D-i8YpHg,THE GRINCH Official Trailer (2018),I really like it! Pretty funny movie I thought. I’ve watched it more than once even.,2019-11-09T10:57:36.000Z,1
2018-03-08T16:04:13.000Z,Bf6D-i8YpHg,THE GRINCH Official Trailer (2018),"2:13 ""Grinch on ICE"" XD if you know you know",2019-11-08T17:18:25.000Z,0
2018-03-08T16:04:13.000Z,Bf6D-i8YpHg,THE GRINCH Official Trailer (2018),2:28 Since when did the Grinch story turn into Yuri on Ice,2019-11-08T04:21:43.000Z,0
2018-03-08T16:04:13.000Z,Bf6D-i8YpHg,THE GRINCH Official Trailer (2018),Grinch is green,2019-11-01T13:07:47.000Z,0
2018-03-08T16:04:13.000Z,Bf6D-i8YpHg,THE GRINCH Official Trailer (2018),"This is soooooo stupid 
Who ever made this movie should be fired",2019-10-27T03:37:35.000Z,0
2018-03-08T16:04:13.000Z,Bf6D-i8YpHg,THE GRINCH Official Trailer (2018),people are supposed to be scared of the grinch tho... and he’s supposed to be like really gross and eat onions and stuff,2019-10-12T10:40:01.000Z,0
2018-03-08T16:04:13.000Z,Bf6D-i8YpHg,THE GRINCH Official Trailer (2018),Why?,2019-10-04T19:26:34.000Z,0
2018-03-08T16:04:13.000Z,Bf6D-i8YpHg,THE GRINCH Official Trailer (2018),Awful music for a children's movie. Just awful.,2019-10-02T16:06:35.000Z,0
2018-03-08T16:04:13.000Z,Bf6D-i8YpHg,THE GRINCH Official Trailer (2018),BOM,2019-09-29T22:47:49.000Z,1
2018-03-08T16:04:13.000Z,Bf6D-i8YpHg,THE GRINCH Official Trailer (2018),Why do they have to turn everything into a goddamn rap song this movie was a pile of shit got about 5 minutes into it and had to turn it off,2019-09-28T17:01:31.000Z,0
2018-03-08T16:04:13.000Z,Bf6D-i8YpHg,THE GRINCH Official Trailer (2018),and the alarm clock music is not the original,2019-09-20T11:48:48.000Z,0
2018-03-08T16:04:13.000Z,Bf6D-i8YpHg,THE GRINCH Official Trailer (2018),How does this movie compare with the 2000 movie with Jim Carrey?,2019-09-14T10:05:07.000Z,0
2018-03-08T16:04:13.000Z,Bf6D-i8YpHg,THE GRINCH Official Trailer (2018),This is. Not.   The.   Real.   Grinch.  This.  Is. Animated.,2019-09-10T17:59:30.000Z,0
2018-03-08T16:04:13.000Z,Bf6D-i8YpHg,THE GRINCH Official Trailer (2018),ItZ GO TIME,2019-09-02T14:24:52.000Z,0
2018-03-08T16:04:13.000Z,Bf6D-i8YpHg,THE GRINCH Official Trailer (2018),he didn’t even ice skate tho?,2019-08-18T04:36:35.000Z,0
2018-03-08T16:04:13.000Z,Bf6D-i8YpHg,THE GRINCH Official Trailer (2018),"Most people agree with the ones who says this is bad (i guess)

Less people agree with the ones who say this movie is great

*LOGIC*",2019-08-17T12:42:03.000Z,3
2018-03-08T16:04:13.000Z,Bf6D-i8YpHg,THE GRINCH Official Trailer (2018),goood,2019-08-15T10:09:39.000Z,0
2018-03-08T16:04:13.000Z,Bf6D-i8YpHg,THE GRINCH Official Trailer (2018),im watching the movie now... i need more benedict cumberbatch in my veins... its august if anyone cares... AUGUST AND IM WATCHING A CHRISTMAS MOVIE I HAVE AN OPSESSION WITH THIS BEING,2019-08-07T00:34:39.000Z,0
