publish_time,Video ID,Title,Comment,updatedAt,likeCount
2014-06-24T15:56:39.000Z,OdgNSJiWJTo,"Teenage Mutant Ninja Turtles Official Trailer #2 (2014) - Whoopi Goldberg, Megan Fox Movie HD","I don't even know why people don't
 like Michael Bay movies",2019-09-29T09:31:15.000Z,0
2014-06-24T15:56:39.000Z,OdgNSJiWJTo,"Teenage Mutant Ninja Turtles Official Trailer #2 (2014) - Whoopi Goldberg, Megan Fox Movie HD",weird they added the (Mortal Kombat) Reptile song by Skrillex in the end of a Ninja Turtles movie lol,2019-08-13T18:05:49.000Z,0
2014-06-24T15:56:39.000Z,OdgNSJiWJTo,"Teenage Mutant Ninja Turtles Official Trailer #2 (2014) - Whoopi Goldberg, Megan Fox Movie HD",Movie was good,2019-06-13T23:26:42.000Z,0
2014-06-24T15:56:39.000Z,OdgNSJiWJTo,"Teenage Mutant Ninja Turtles Official Trailer #2 (2014) - Whoopi Goldberg, Megan Fox Movie HD",Who’s here 2019,2019-04-15T05:32:12.000Z,0
2014-06-24T15:56:39.000Z,OdgNSJiWJTo,"Teenage Mutant Ninja Turtles Official Trailer #2 (2014) - Whoopi Goldberg, Megan Fox Movie HD","5 years later......







Still think it’s cool",2019-03-22T06:04:00.000Z,1
2014-06-24T15:56:39.000Z,OdgNSJiWJTo,"Teenage Mutant Ninja Turtles Official Trailer #2 (2014) - Whoopi Goldberg, Megan Fox Movie HD","1:35 1:35 1:35
1:35 1:35 1:35  *LOL*",2019-03-13T20:51:57.000Z,1
2014-06-24T15:56:39.000Z,OdgNSJiWJTo,"Teenage Mutant Ninja Turtles Official Trailer #2 (2014) - Whoopi Goldberg, Megan Fox Movie HD",There doing anouther turtles reeboot in 2020 what about if Michael bay was to direct he made a decent job of transformers but make it the same as batman begins and this time have Jessica Biel to play April o niel after all he's did 5 transformer films mark whalberg for casy Jones,2019-03-03T09:48:34.000Z,1
2014-06-24T15:56:39.000Z,OdgNSJiWJTo,"Teenage Mutant Ninja Turtles Official Trailer #2 (2014) - Whoopi Goldberg, Megan Fox Movie HD",It still look good even though Michel j fox ruin it why does he have to be the one directing it,2018-11-08T11:26:07.000Z,0
2014-06-24T15:56:39.000Z,OdgNSJiWJTo,"Teenage Mutant Ninja Turtles Official Trailer #2 (2014) - Whoopi Goldberg, Megan Fox Movie HD",Anyone here watching in 2006?,2018-10-16T20:17:39.000Z,0
2014-06-24T15:56:39.000Z,OdgNSJiWJTo,"Teenage Mutant Ninja Turtles Official Trailer #2 (2014) - Whoopi Goldberg, Megan Fox Movie HD",I love donnie!!!,2018-09-16T14:04:33.000Z,0
2014-06-24T15:56:39.000Z,OdgNSJiWJTo,"Teenage Mutant Ninja Turtles Official Trailer #2 (2014) - Whoopi Goldberg, Megan Fox Movie HD",Song. SKRILLEX --- Repilte theme song,2018-07-18T04:44:34.000Z,1
2014-06-24T15:56:39.000Z,OdgNSJiWJTo,"Teenage Mutant Ninja Turtles Official Trailer #2 (2014) - Whoopi Goldberg, Megan Fox Movie HD",2018 here,2018-06-23T12:10:10.000Z,0
2014-06-24T15:56:39.000Z,OdgNSJiWJTo,"Teenage Mutant Ninja Turtles Official Trailer #2 (2014) - Whoopi Goldberg, Megan Fox Movie HD",It seems like a BATMAN trilogy yeyyy,2018-05-17T05:41:33.000Z,0
2014-06-24T15:56:39.000Z,OdgNSJiWJTo,"Teenage Mutant Ninja Turtles Official Trailer #2 (2014) - Whoopi Goldberg, Megan Fox Movie HD",TMNT 1 2 3,2018-05-05T19:54:12.000Z,0
2014-06-24T15:56:39.000Z,OdgNSJiWJTo,"Teenage Mutant Ninja Turtles Official Trailer #2 (2014) - Whoopi Goldberg, Megan Fox Movie HD",Injustice 2,2018-02-09T08:51:15.000Z,0
2014-06-24T15:56:39.000Z,OdgNSJiWJTo,"Teenage Mutant Ninja Turtles Official Trailer #2 (2014) - Whoopi Goldberg, Megan Fox Movie HD",I think another turtles movie would be these were nt made right or did ent stick to the original comics or movies,2018-01-31T15:23:57.000Z,0
2014-06-24T15:56:39.000Z,OdgNSJiWJTo,"Teenage Mutant Ninja Turtles Official Trailer #2 (2014) - Whoopi Goldberg, Megan Fox Movie HD",1:26 Bird of Prey,2018-01-21T22:33:30.000Z,0
2014-06-24T15:56:39.000Z,OdgNSJiWJTo,"Teenage Mutant Ninja Turtles Official Trailer #2 (2014) - Whoopi Goldberg, Megan Fox Movie HD","If you actually thought Shredder was a fuckin' robot, you're stupid asf.",2017-10-13T02:34:10.000Z,1
2014-06-24T15:56:39.000Z,OdgNSJiWJTo,"Teenage Mutant Ninja Turtles Official Trailer #2 (2014) - Whoopi Goldberg, Megan Fox Movie HD",Movie was Terrible,2017-07-28T17:59:59.000Z,0
2014-06-24T15:56:39.000Z,OdgNSJiWJTo,"Teenage Mutant Ninja Turtles Official Trailer #2 (2014) - Whoopi Goldberg, Megan Fox Movie HD",Awesome movie ! The Sequel is even better.,2017-06-01T15:12:26.000Z,1
2014-06-24T15:56:39.000Z,OdgNSJiWJTo,"Teenage Mutant Ninja Turtles Official Trailer #2 (2014) - Whoopi Goldberg, Megan Fox Movie HD",why michael bay,2017-05-22T11:22:46.000Z,0
2014-06-24T15:56:39.000Z,OdgNSJiWJTo,"Teenage Mutant Ninja Turtles Official Trailer #2 (2014) - Whoopi Goldberg, Megan Fox Movie HD",What song is 2:03?,2017-05-04T01:51:44.000Z,0
2014-06-24T15:56:39.000Z,OdgNSJiWJTo,"Teenage Mutant Ninja Turtles Official Trailer #2 (2014) - Whoopi Goldberg, Megan Fox Movie HD",No blood? Booollllsheeet,2017-04-18T16:40:39.000Z,0
2014-06-24T15:56:39.000Z,OdgNSJiWJTo,"Teenage Mutant Ninja Turtles Official Trailer #2 (2014) - Whoopi Goldberg, Megan Fox Movie HD",Teenage Mutant Ninja Turtles will always B a part of my childhood... Still my favorite cartoon and movies as well!!!!,2017-04-12T04:50:32.000Z,1
2014-06-24T15:56:39.000Z,OdgNSJiWJTo,"Teenage Mutant Ninja Turtles Official Trailer #2 (2014) - Whoopi Goldberg, Megan Fox Movie HD",I grew up On this Shit!!!,2017-04-12T04:48:42.000Z,0
2014-06-24T15:56:39.000Z,OdgNSJiWJTo,"Teenage Mutant Ninja Turtles Official Trailer #2 (2014) - Whoopi Goldberg, Megan Fox Movie HD",This Fuckin movie was off da Fuckin chain....Straig8ht up!!!!,2017-04-12T04:47:53.000Z,0
2014-06-24T15:56:39.000Z,OdgNSJiWJTo,"Teenage Mutant Ninja Turtles Official Trailer #2 (2014) - Whoopi Goldberg, Megan Fox Movie HD",have any one realized that april looks like brie Bella,2017-04-07T01:41:20.000Z,0
2014-06-24T15:56:39.000Z,OdgNSJiWJTo,"Teenage Mutant Ninja Turtles Official Trailer #2 (2014) - Whoopi Goldberg, Megan Fox Movie HD",I feel like I'm the only adult who liked this film!,2017-03-31T07:43:03.000Z,2
2014-06-24T15:56:39.000Z,OdgNSJiWJTo,"Teenage Mutant Ninja Turtles Official Trailer #2 (2014) - Whoopi Goldberg, Megan Fox Movie HD",Why is shreder a transformer?,2017-03-19T05:30:01.000Z,0
2014-06-24T15:56:39.000Z,OdgNSJiWJTo,"Teenage Mutant Ninja Turtles Official Trailer #2 (2014) - Whoopi Goldberg, Megan Fox Movie HD",anybody notice the reptile scrillex theme?,2017-01-31T01:44:24.000Z,0
2014-06-24T15:56:39.000Z,OdgNSJiWJTo,"Teenage Mutant Ninja Turtles Official Trailer #2 (2014) - Whoopi Goldberg, Megan Fox Movie HD",could someone just please tell me what the name of the awesome dubstep that was playing,2016-12-01T07:12:27.000Z,0
2014-06-24T15:56:39.000Z,OdgNSJiWJTo,"Teenage Mutant Ninja Turtles Official Trailer #2 (2014) - Whoopi Goldberg, Megan Fox Movie HD",The movie was good. Stop complaining about BS.,2016-10-15T04:22:35.000Z,1
2014-06-24T15:56:39.000Z,OdgNSJiWJTo,"Teenage Mutant Ninja Turtles Official Trailer #2 (2014) - Whoopi Goldberg, Megan Fox Movie HD",Yeah but why they gotta look like Black Guys inatrad of turtles. make them smaller and with pointier Beaks.,2016-10-05T11:05:59.000Z,0
2014-06-24T15:56:39.000Z,OdgNSJiWJTo,"Teenage Mutant Ninja Turtles Official Trailer #2 (2014) - Whoopi Goldberg, Megan Fox Movie HD",omg the 1st one when i watched in movies then next show this movie came up was so cool,2016-10-02T06:48:02.000Z,0
2014-06-24T15:56:39.000Z,OdgNSJiWJTo,"Teenage Mutant Ninja Turtles Official Trailer #2 (2014) - Whoopi Goldberg, Megan Fox Movie HD",the most bad ass trailer.,2016-09-30T08:49:08.000Z,0
2014-06-24T15:56:39.000Z,OdgNSJiWJTo,"Teenage Mutant Ninja Turtles Official Trailer #2 (2014) - Whoopi Goldberg, Megan Fox Movie HD","I've never seen this one, but I watched the 2nd one and it was awesome! Even though I thought I would hate it because I never really liked the ninja turtles",2016-06-14T17:26:22.000Z,1
2014-06-24T15:56:39.000Z,OdgNSJiWJTo,"Teenage Mutant Ninja Turtles Official Trailer #2 (2014) - Whoopi Goldberg, Megan Fox Movie HD",anyone come from TMNT 2 trailer?,2016-06-03T23:46:04.000Z,1
2014-06-24T15:56:39.000Z,OdgNSJiWJTo,"Teenage Mutant Ninja Turtles Official Trailer #2 (2014) - Whoopi Goldberg, Megan Fox Movie HD",1:26 Shredder sounds and looks like a PEKKA,2016-05-31T03:41:49.000Z,0
2014-06-24T15:56:39.000Z,OdgNSJiWJTo,"Teenage Mutant Ninja Turtles Official Trailer #2 (2014) - Whoopi Goldberg, Megan Fox Movie HD",Am I the only one who thinks that the turtles are handsome?,2016-05-25T19:07:14.000Z,0
2014-06-24T15:56:39.000Z,OdgNSJiWJTo,"Teenage Mutant Ninja Turtles Official Trailer #2 (2014) - Whoopi Goldberg, Megan Fox Movie HD",what is the music at the very beginning,2016-04-25T04:34:42.000Z,0
2014-06-24T15:56:39.000Z,OdgNSJiWJTo,"Teenage Mutant Ninja Turtles Official Trailer #2 (2014) - Whoopi Goldberg, Megan Fox Movie HD",Whoopi ruined it for me.,2016-04-01T03:26:46.000Z,2
2014-06-24T15:56:39.000Z,OdgNSJiWJTo,"Teenage Mutant Ninja Turtles Official Trailer #2 (2014) - Whoopi Goldberg, Megan Fox Movie HD",what's that,2016-03-16T22:30:01.000Z,0
2014-06-24T15:56:39.000Z,OdgNSJiWJTo,"Teenage Mutant Ninja Turtles Official Trailer #2 (2014) - Whoopi Goldberg, Megan Fox Movie HD",megan fox is too cute,2016-02-23T21:38:14.000Z,0
2014-06-24T15:56:39.000Z,OdgNSJiWJTo,"Teenage Mutant Ninja Turtles Official Trailer #2 (2014) - Whoopi Goldberg, Megan Fox Movie HD",AWSOME! how could I miss that in my past?,2016-02-14T10:11:23.000Z,0
2014-06-24T15:56:39.000Z,OdgNSJiWJTo,"Teenage Mutant Ninja Turtles Official Trailer #2 (2014) - Whoopi Goldberg, Megan Fox Movie HD",this trailer kinda reminds me of transformers,2016-01-25T23:35:01.000Z,0
2014-06-24T15:56:39.000Z,OdgNSJiWJTo,"Teenage Mutant Ninja Turtles Official Trailer #2 (2014) - Whoopi Goldberg, Megan Fox Movie HD",reptile's theme?,2016-01-19T11:56:47.000Z,0
2014-06-24T15:56:39.000Z,OdgNSJiWJTo,"Teenage Mutant Ninja Turtles Official Trailer #2 (2014) - Whoopi Goldberg, Megan Fox Movie HD","Ehh the movie was ok nothing special. I just only cared about the turtles and how the actors were gonna bring them out. I think they did really great, tbh I think Mikey was the only reason why I enjoyed the movie, gotta love Noel Fisher❤️ ^-^ plus Noel was the only reason why I wanted to watch the movie in the first place...haha oops guilty for being that person. Also don't get how people are saying that this movie ruined the WHOLE franchise like how could 1 movie ruin a franchise? Some people are just being too dramatic...so what sucky movie get over it. There are so many great movies that can out way a bad one",2016-01-04T11:08:28.000Z,0
2014-06-24T15:56:39.000Z,OdgNSJiWJTo,"Teenage Mutant Ninja Turtles Official Trailer #2 (2014) - Whoopi Goldberg, Megan Fox Movie HD",Hey I seen this movie before!,2015-12-18T19:56:41.000Z,0
2014-06-24T15:56:39.000Z,OdgNSJiWJTo,"Teenage Mutant Ninja Turtles Official Trailer #2 (2014) - Whoopi Goldberg, Megan Fox Movie HD","Gotta say, the second movie's trailer is a vast improvement over this one. The first move took itself way too seriously.",2015-12-12T04:10:00.000Z,7
2014-06-24T15:56:39.000Z,OdgNSJiWJTo,"Teenage Mutant Ninja Turtles Official Trailer #2 (2014) - Whoopi Goldberg, Megan Fox Movie HD","not saying good or bad, just saying that the tmnt obsessed girl on youtube stopped posting videos after hyping this movie",2015-12-09T21:52:53.000Z,0
2014-06-24T15:56:39.000Z,OdgNSJiWJTo,"Teenage Mutant Ninja Turtles Official Trailer #2 (2014) - Whoopi Goldberg, Megan Fox Movie HD",this movie was so good but turtles cound have done a little work but the movie was amazing,2015-12-07T23:42:49.000Z,0
2014-06-24T15:56:39.000Z,OdgNSJiWJTo,"Teenage Mutant Ninja Turtles Official Trailer #2 (2014) - Whoopi Goldberg, Megan Fox Movie HD",I liked that movie.,2015-11-30T16:56:30.000Z,0
2014-06-24T15:56:39.000Z,OdgNSJiWJTo,"Teenage Mutant Ninja Turtles Official Trailer #2 (2014) - Whoopi Goldberg, Megan Fox Movie HD",TMNT I grew up with them,2015-10-30T14:08:37.000Z,0
2014-06-24T15:56:39.000Z,OdgNSJiWJTo,"Teenage Mutant Ninja Turtles Official Trailer #2 (2014) - Whoopi Goldberg, Megan Fox Movie HD","The TMNT that I remember was more real than this and the Shredder Story was more real than this.
Raphael was one true renegade!",2015-10-29T16:21:03.000Z,0
2014-06-24T15:56:39.000Z,OdgNSJiWJTo,"Teenage Mutant Ninja Turtles Official Trailer #2 (2014) - Whoopi Goldberg, Megan Fox Movie HD",Whoever never watched all the animated shows of this movie has no reason to watch the film,2015-10-05T14:24:19.000Z,0
2014-06-24T15:56:39.000Z,OdgNSJiWJTo,"Teenage Mutant Ninja Turtles Official Trailer #2 (2014) - Whoopi Goldberg, Megan Fox Movie HD","""And we're teenagers. But we can still have....
Adult conversations"" 
They look like they're 27 to me",2015-10-03T09:58:20.000Z,0
2014-06-24T15:56:39.000Z,OdgNSJiWJTo,"Teenage Mutant Ninja Turtles Official Trailer #2 (2014) - Whoopi Goldberg, Megan Fox Movie HD",I loved this movie.,2015-09-24T08:52:15.000Z,0
2014-06-24T15:56:39.000Z,OdgNSJiWJTo,"Teenage Mutant Ninja Turtles Official Trailer #2 (2014) - Whoopi Goldberg, Megan Fox Movie HD",Great movie...watched it on Netflix yesterday.,2015-09-04T01:43:57.000Z,0
