publish_time,Video ID,Title,Comment,updatedAt,likeCount
2012-10-03T16:21:19.000Z,7FMQLzOq1i4,"The Guilt Trip Official Trailer #1 (2012) - Seth Rogen, Barbra Streisand Movie HD","There is definitely a formula for trailers. Music, music, music, music, music, set-up line....SILENCE....then punchline. Happens over and over and over.",2019-08-12T19:32:49.000Z,5
2012-10-03T16:21:19.000Z,7FMQLzOq1i4,"The Guilt Trip Official Trailer #1 (2012) - Seth Rogen, Barbra Streisand Movie HD",I honestly have no idea why people didn’t like this movie. It was so fun to watch and such a new idea. The ending was really heartwarming too. You should watch it!,2019-06-16T04:03:58.000Z,0
2012-10-03T16:21:19.000Z,7FMQLzOq1i4,"The Guilt Trip Official Trailer #1 (2012) - Seth Rogen, Barbra Streisand Movie HD","""You guys should probably keep in touch """,2019-03-02T03:11:45.000Z,2
2012-10-03T16:21:19.000Z,7FMQLzOq1i4,"The Guilt Trip Official Trailer #1 (2012) - Seth Rogen, Barbra Streisand Movie HD","What a great film, my life story so far! Yes I'm a mommies boy but im just ""Guilt Trip"" hahaha in a Seth rogen laugh.",2019-01-06T03:28:43.000Z,0
2012-10-03T16:21:19.000Z,7FMQLzOq1i4,"The Guilt Trip Official Trailer #1 (2012) - Seth Rogen, Barbra Streisand Movie HD",Put that movie on the cable channel TBS!,2018-08-27T00:51:31.000Z,0
2012-10-03T16:21:19.000Z,7FMQLzOq1i4,"The Guilt Trip Official Trailer #1 (2012) - Seth Rogen, Barbra Streisand Movie HD",is that Jennifer Aniston?,2018-06-16T08:56:38.000Z,1
2012-10-03T16:21:19.000Z,7FMQLzOq1i4,"The Guilt Trip Official Trailer #1 (2012) - Seth Rogen, Barbra Streisand Movie HD","After seeing the interactions on twitter between Seth Rogen and his Mom, this basiclly seems like their relationship.",2018-06-09T17:57:41.000Z,3
2012-10-03T16:21:19.000Z,7FMQLzOq1i4,"The Guilt Trip Official Trailer #1 (2012) - Seth Rogen, Barbra Streisand Movie HD",loved it....,2017-02-20T09:23:32.000Z,4
2012-10-03T16:21:19.000Z,7FMQLzOq1i4,"The Guilt Trip Official Trailer #1 (2012) - Seth Rogen, Barbra Streisand Movie HD",A bag of m&m's knocked her right out.,2016-10-15T05:36:25.000Z,1
2012-10-03T16:21:19.000Z,7FMQLzOq1i4,"The Guilt Trip Official Trailer #1 (2012) - Seth Rogen, Barbra Streisand Movie HD","I am so sick of those stupid comedic pauses, where the music stops so that the trailer can shove it's ""jokes"" in your face. This trailer doesn't even do it competently! Most of the pauses are overlong and don't really involve jokes.",2015-08-23T17:39:42.000Z,11
2012-10-03T16:21:19.000Z,7FMQLzOq1i4,"The Guilt Trip Official Trailer #1 (2012) - Seth Rogen, Barbra Streisand Movie HD","You gotta watch this, even if you're not into comedies. It's Barbra Streisand. No further arguments.",2015-01-07T02:07:55.000Z,24
2012-10-03T16:21:19.000Z,7FMQLzOq1i4,"The Guilt Trip Official Trailer #1 (2012) - Seth Rogen, Barbra Streisand Movie HD","I put two ugly jews in a movie and I said to the world deal with it and the world said No.
-Bill Maher ",2014-06-21T10:31:57.000Z,5
2012-10-03T16:21:19.000Z,7FMQLzOq1i4,"The Guilt Trip Official Trailer #1 (2012) - Seth Rogen, Barbra Streisand Movie HD",guess I'm watching it tonight then lol,2013-06-24T02:46:27.000Z,1
2012-10-03T16:21:19.000Z,7FMQLzOq1i4,"The Guilt Trip Official Trailer #1 (2012) - Seth Rogen, Barbra Streisand Movie HD","I had about as much choice and preferance in being gay as a black person had about being black! why would anyone want to choose to be a certain way if it prompts people to attack verbally and physically and in some countries encouraged by their press and government to kill them?............. also the civil rights movement (black/gay/other/etc) at least in the western world started at the same time so THATS why i link being gay to being black! we should join together, not segregate!",2013-06-19T20:13:06.000Z,3
2012-10-03T16:21:19.000Z,7FMQLzOq1i4,"The Guilt Trip Official Trailer #1 (2012) - Seth Rogen, Barbra Streisand Movie HD","Name of the second song please ?
",2013-06-18T21:14:32.000Z,0
2012-10-03T16:21:19.000Z,7FMQLzOq1i4,"The Guilt Trip Official Trailer #1 (2012) - Seth Rogen, Barbra Streisand Movie HD","CLASSIC RELAXE FAMILY MOVIE,GOOD",2013-06-16T15:03:07.000Z,3
2012-10-03T16:21:19.000Z,7FMQLzOq1i4,"The Guilt Trip Official Trailer #1 (2012) - Seth Rogen, Barbra Streisand Movie HD","a good movie no much no less,worth watching,and the ending is over reaten.",2013-06-05T18:26:49.000Z,1
2012-10-03T16:21:19.000Z,7FMQLzOq1i4,"The Guilt Trip Official Trailer #1 (2012) - Seth Rogen, Barbra Streisand Movie HD","It had some rough, uncomfortable patches, but overall it's a good movie. It's definitely worth a rental. 3 and a half stars.",2013-06-01T23:28:10.000Z,1
2012-10-03T16:21:19.000Z,7FMQLzOq1i4,"The Guilt Trip Official Trailer #1 (2012) - Seth Rogen, Barbra Streisand Movie HD","Should be a career-killer for Seth Rogen, but since there's so much schloch out there, he'll get a free pass. This movie was a cinematic abomination. Horribly unfunny, uncomfortable, unwatchable. And Babs? Please go back to singing. You've made more bad movies in the last decade than Ed Wood made in his entire career. ",2013-05-29T17:13:41.000Z,3
2012-10-03T16:21:19.000Z,7FMQLzOq1i4,"The Guilt Trip Official Trailer #1 (2012) - Seth Rogen, Barbra Streisand Movie HD",wygląda tak nawet wiadome nie dla dzieci to juz bardziej klimatyczna komedia nie na 1 kopyto ,2013-05-25T19:01:32.000Z,0
2012-10-03T16:21:19.000Z,7FMQLzOq1i4,"The Guilt Trip Official Trailer #1 (2012) - Seth Rogen, Barbra Streisand Movie HD",good movie!!,2013-05-23T04:26:19.000Z,2
2012-10-03T16:21:19.000Z,7FMQLzOq1i4,"The Guilt Trip Official Trailer #1 (2012) - Seth Rogen, Barbra Streisand Movie HD",I liked it. ,2013-05-20T06:54:21.000Z,1
2012-10-03T16:21:19.000Z,7FMQLzOq1i4,"The Guilt Trip Official Trailer #1 (2012) - Seth Rogen, Barbra Streisand Movie HD",lies ! it was horrible and streisand was acting an annoying character,2013-05-19T09:01:20.000Z,0
2012-10-03T16:21:19.000Z,7FMQLzOq1i4,"The Guilt Trip Official Trailer #1 (2012) - Seth Rogen, Barbra Streisand Movie HD",Terrible Movie....,2013-05-15T16:40:46.000Z,4
2012-10-03T16:21:19.000Z,7FMQLzOq1i4,"The Guilt Trip Official Trailer #1 (2012) - Seth Rogen, Barbra Streisand Movie HD","Go to spill.com, they will tell you the truth! ",2013-05-15T00:17:12.000Z,0
2012-10-03T16:21:19.000Z,7FMQLzOq1i4,"The Guilt Trip Official Trailer #1 (2012) - Seth Rogen, Barbra Streisand Movie HD",this movie was a pretty cute movie to watch with my mom on mother's day.,2013-05-13T02:43:30.000Z,2
2012-10-03T16:21:19.000Z,7FMQLzOq1i4,"The Guilt Trip Official Trailer #1 (2012) - Seth Rogen, Barbra Streisand Movie HD","loved it was hilarious in a cute heartwarming way, made me want to hug and thank my mom, deleted scenes shown at credits were funny also",2013-05-12T04:32:41.000Z,1
2012-10-03T16:21:19.000Z,7FMQLzOq1i4,"The Guilt Trip Official Trailer #1 (2012) - Seth Rogen, Barbra Streisand Movie HD",at canyon she said who will know,2013-05-12T04:25:19.000Z,1
2012-10-03T16:21:19.000Z,7FMQLzOq1i4,"The Guilt Trip Official Trailer #1 (2012) - Seth Rogen, Barbra Streisand Movie HD","there are actually a few clips on here that aren't included in the actual movie , i just finished watching it lol",2013-05-12T01:49:51.000Z,0
2012-10-03T16:21:19.000Z,7FMQLzOq1i4,"The Guilt Trip Official Trailer #1 (2012) - Seth Rogen, Barbra Streisand Movie HD","""But who will know?""
",2013-05-11T20:58:05.000Z,1
