publish_time,Video ID,Title,Comment,updatedAt,likeCount
2016-07-05T16:10:21.000Z,UzMhfMxRKQg,The Intervention Official Trailer 1 (2016) - Cobie Smulders Movie,"It's crazy how much this movie is like About Alex and Jason Ritter was a main character of that too, 2 years apart.",2019-10-10T01:39:22.000Z,0
2016-07-05T16:10:21.000Z,UzMhfMxRKQg,The Intervention Official Trailer 1 (2016) - Cobie Smulders Movie,so how many people from but in a cheerleader are in this?? ♥️♥️♥️ (besides that fact this is a bad movie lol),2019-07-24T04:55:50.000Z,0
2016-07-05T16:10:21.000Z,UzMhfMxRKQg,The Intervention Official Trailer 1 (2016) - Cobie Smulders Movie,"I swear, I thought I saw Hilary Swank in this one.",2019-04-02T01:59:23.000Z,0
2016-07-05T16:10:21.000Z,UzMhfMxRKQg,The Intervention Official Trailer 1 (2016) - Cobie Smulders Movie,Why is this movie so popular.,2019-02-09T14:45:39.000Z,0
2016-07-05T16:10:21.000Z,UzMhfMxRKQg,The Intervention Official Trailer 1 (2016) - Cobie Smulders Movie,I hate that YouTube labels all transformers clips as this damn movie,2018-12-21T03:08:47.000Z,0
2016-07-05T16:10:21.000Z,UzMhfMxRKQg,The Intervention Official Trailer 1 (2016) - Cobie Smulders Movie,Was this movie any good?,2018-12-07T03:28:05.000Z,0
2016-07-05T16:10:21.000Z,UzMhfMxRKQg,The Intervention Official Trailer 1 (2016) - Cobie Smulders Movie,cobie and natashaaaa,2018-11-29T17:17:52.000Z,0
2016-07-05T16:10:21.000Z,UzMhfMxRKQg,The Intervention Official Trailer 1 (2016) - Cobie Smulders Movie,"For me Clea will always be Charlie Harper's crazy stalker ❤️🙌🏼

Don't worry. I still love ya kid",2018-11-02T22:57:13.000Z,0
2016-07-05T16:10:21.000Z,UzMhfMxRKQg,The Intervention Official Trailer 1 (2016) - Cobie Smulders Movie,No African people?  Not interested.  NEXT!,2018-10-28T01:50:15.000Z,0
2016-07-05T16:10:21.000Z,UzMhfMxRKQg,The Intervention Official Trailer 1 (2016) - Cobie Smulders Movie,"this movie seems kinda boring, but all the women in this movie are my celebrity crushes, so i might watch it anyway",2018-10-21T20:52:06.000Z,0
2016-07-05T16:10:21.000Z,UzMhfMxRKQg,The Intervention Official Trailer 1 (2016) - Cobie Smulders Movie,But im a cheerleader :),2018-10-12T06:08:54.000Z,0
2016-07-05T16:10:21.000Z,UzMhfMxRKQg,The Intervention Official Trailer 1 (2016) - Cobie Smulders Movie,I just kept seeing the big red and white intervention banner.,2018-07-29T11:33:40.000Z,0
