publish_time,Video ID,Title,Comment,updatedAt,likeCount
2014-12-23T01:20:45.000Z,FUS_Q7FsfqU,The Longest Ride | Official Trailer [HD] | 20th Century FOX,Scott Eastwood is so hot,2019-11-17T06:01:22.000Z,0
2014-12-23T01:20:45.000Z,FUS_Q7FsfqU,The Longest Ride | Official Trailer [HD] | 20th Century FOX,شفته قوي شباب والله انصحكم فيه,2019-11-07T04:46:28.000Z,0
2014-12-23T01:20:45.000Z,FUS_Q7FsfqU,The Longest Ride | Official Trailer [HD] | 20th Century FOX,Real tears GREAT movie!!!,2019-10-19T03:37:12.000Z,0
2014-12-23T01:20:45.000Z,FUS_Q7FsfqU,The Longest Ride | Official Trailer [HD] | 20th Century FOX,50 shades of Grey but 🤠 yee-ha,2019-10-17T04:33:53.000Z,0
2014-12-23T01:20:45.000Z,FUS_Q7FsfqU,The Longest Ride | Official Trailer [HD] | 20th Century FOX,I loved that movie,2019-10-04T17:45:32.000Z,0
2014-12-23T01:20:45.000Z,FUS_Q7FsfqU,The Longest Ride | Official Trailer [HD] | 20th Century FOX,This movie makes me cry and realy need to hug scott eastwood,2019-09-12T15:29:52.000Z,0
2014-12-23T01:20:45.000Z,FUS_Q7FsfqU,The Longest Ride | Official Trailer [HD] | 20th Century FOX,Great movie,2019-08-29T17:52:15.000Z,0
2014-12-23T01:20:45.000Z,FUS_Q7FsfqU,The Longest Ride | Official Trailer [HD] | 20th Century FOX,I watched this whole movie and didn't realize it was Alan Alda till now.,2019-08-20T22:35:42.000Z,0
2014-12-23T01:20:45.000Z,FUS_Q7FsfqU,The Longest Ride | Official Trailer [HD] | 20th Century FOX,I just saw this... loved it! 🥂,2019-08-19T04:11:18.000Z,0
2014-12-23T01:20:45.000Z,FUS_Q7FsfqU,The Longest Ride | Official Trailer [HD] | 20th Century FOX,Anybody watched a movie where a boy and a girl can feel eachothers touch by touching themselves I forgot what it wad called,2019-08-15T06:36:59.000Z,0
2014-12-23T01:20:45.000Z,FUS_Q7FsfqU,The Longest Ride | Official Trailer [HD] | 20th Century FOX,"MY SONG OMG
BANKS BEING AMAZING",2019-08-13T22:40:40.000Z,0
2014-12-23T01:20:45.000Z,FUS_Q7FsfqU,The Longest Ride | Official Trailer [HD] | 20th Century FOX,CRINGEEEEEEEEE,2019-08-06T16:16:42.000Z,0
2014-12-23T01:20:45.000Z,FUS_Q7FsfqU,The Longest Ride | Official Trailer [HD] | 20th Century FOX,"Beautiful, romantic and So Underrated!!, I love this film!!",2019-08-06T14:57:10.000Z,0
2014-12-23T01:20:45.000Z,FUS_Q7FsfqU,The Longest Ride | Official Trailer [HD] | 20th Century FOX,SONG?,2019-08-02T20:06:29.000Z,0
2014-12-23T01:20:45.000Z,FUS_Q7FsfqU,The Longest Ride | Official Trailer [HD] | 20th Century FOX,very good movie,2019-07-31T09:06:50.000Z,0
2014-12-23T01:20:45.000Z,FUS_Q7FsfqU,The Longest Ride | Official Trailer [HD] | 20th Century FOX,Amazing movie 💟💟💟,2019-07-29T18:00:04.000Z,1
2014-12-23T01:20:45.000Z,FUS_Q7FsfqU,The Longest Ride | Official Trailer [HD] | 20th Century FOX,Slight notebook vibes...,2019-07-24T23:45:22.000Z,0
2014-12-23T01:20:45.000Z,FUS_Q7FsfqU,The Longest Ride | Official Trailer [HD] | 20th Century FOX,scott looks like a two bit punk like his daddy,2019-07-22T03:22:27.000Z,0
2014-12-23T01:20:45.000Z,FUS_Q7FsfqU,The Longest Ride | Official Trailer [HD] | 20th Century FOX,"""not everyone gets that."" that's the onions yo.",2019-07-20T08:12:57.000Z,0
2014-12-23T01:20:45.000Z,FUS_Q7FsfqU,The Longest Ride | Official Trailer [HD] | 20th Century FOX,THIS IS 50 SHADES OF YEEHAW Y'ALL,2019-07-18T18:40:54.000Z,0
2014-12-23T01:20:45.000Z,FUS_Q7FsfqU,The Longest Ride | Official Trailer [HD] | 20th Century FOX,Song?,2019-07-12T16:20:50.000Z,0
2014-12-23T01:20:45.000Z,FUS_Q7FsfqU,The Longest Ride | Official Trailer [HD] | 20th Century FOX,The Novel on the other hand takes your breath away every time until 400 pages wherein you get to know that they are connected through fate... Yet here they just showed that in the trailer itself,2019-07-09T17:54:02.000Z,0
2014-12-23T01:20:45.000Z,FUS_Q7FsfqU,The Longest Ride | Official Trailer [HD] | 20th Century FOX,2:06 Really looking like his dad here.,2019-06-23T16:45:47.000Z,0
2014-12-23T01:20:45.000Z,FUS_Q7FsfqU,The Longest Ride | Official Trailer [HD] | 20th Century FOX,One of the best movie that ive watched,2019-06-17T11:55:07.000Z,0
2014-12-23T01:20:45.000Z,FUS_Q7FsfqU,The Longest Ride | Official Trailer [HD] | 20th Century FOX,I only watched this trailer for Melissa Benoist/Supergirl,2019-06-15T17:27:13.000Z,0
2014-12-23T01:20:45.000Z,FUS_Q7FsfqU,The Longest Ride | Official Trailer [HD] | 20th Century FOX,50 shades of gray but make it yeehaw,2019-06-06T12:57:54.000Z,0
