publish_time,Video ID,Title,Comment,updatedAt,likeCount
2017-11-08T05:31:00.000Z,nrXlY6gzTTM,The Post | Official Trailer [HD] | 20th Century FOX,When is number two coming it’s my favourite movie,2019-11-15T09:32:44.000Z,0
2017-11-08T05:31:00.000Z,nrXlY6gzTTM,The Post | Official Trailer [HD] | 20th Century FOX,"- Steven Spielberg
- Meryl Streep
- Tom Hanks
- About an important topic
- POLITICS
- Called Saul

So yeah, I say it's nominated for an Oscar.",2019-11-07T13:15:47.000Z,0
2017-11-08T05:31:00.000Z,nrXlY6gzTTM,The Post | Official Trailer [HD] | 20th Century FOX,not yet,2019-10-24T20:32:16.000Z,0
2017-11-08T05:31:00.000Z,nrXlY6gzTTM,The Post | Official Trailer [HD] | 20th Century FOX,You never tell Meryl Streep whether she has strong resolve or not on her face!,2019-10-17T18:22:04.000Z,0
2017-11-08T05:31:00.000Z,nrXlY6gzTTM,The Post | Official Trailer [HD] | 20th Century FOX,absolutely fake  news.,2019-10-01T12:37:18.000Z,0
2017-11-08T05:31:00.000Z,nrXlY6gzTTM,The Post | Official Trailer [HD] | 20th Century FOX,"Forest gump is pissed!! 
Cant wait to watch this, it looks like a good movie!!",2019-09-25T07:04:49.000Z,0
2017-11-08T05:31:00.000Z,nrXlY6gzTTM,The Post | Official Trailer [HD] | 20th Century FOX,Well done. For the keyword: 'youtube 2017 movie trailers' you currently rank #9. You are almost there.,2019-09-17T03:05:58.000Z,0
2017-11-08T05:31:00.000Z,nrXlY6gzTTM,The Post | Official Trailer [HD] | 20th Century FOX,From before the Media turned against us,2019-09-15T02:13:16.000Z,0
2017-11-08T05:31:00.000Z,nrXlY6gzTTM,The Post | Official Trailer [HD] | 20th Century FOX,Jessie Mueller ❤️,2019-09-14T13:32:46.000Z,0
2017-11-08T05:31:00.000Z,nrXlY6gzTTM,The Post | Official Trailer [HD] | 20th Century FOX,I am looking for an.old movie .. the actress write letters and put them in the writing disk and a man find it throgh time and write an answring letter to her throgh the same old writing disk,2019-08-14T21:56:04.000Z,0
2017-11-08T05:31:00.000Z,nrXlY6gzTTM,The Post | Official Trailer [HD] | 20th Century FOX,The greatest movie ever made tho is There Will Be Blood.,2019-07-29T22:31:48.000Z,0
2017-11-08T05:31:00.000Z,nrXlY6gzTTM,The Post | Official Trailer [HD] | 20th Century FOX,"I see an Oscar worthy performance from Meryl Streep in 3 seconds showing only her eyes, I know it's a good movie",2019-07-03T00:24:05.000Z,0
2017-11-08T05:31:00.000Z,nrXlY6gzTTM,The Post | Official Trailer [HD] | 20th Century FOX,All the greatest actor in same movie,2019-06-29T13:10:16.000Z,0
2017-11-08T05:31:00.000Z,nrXlY6gzTTM,The Post | Official Trailer [HD] | 20th Century FOX,When will they make a movie about The Butcher Of Cambodia Kissinger????,2019-06-18T10:25:06.000Z,0
