publish_time,Video ID,Title,Comment,updatedAt,likeCount
2017-10-03T21:59:24.000Z,xNWSGRD5CzU,Toy Story 2 (1999) Trailer #1 | Movieclips Classic Trailers,*P U R E   N O S T A L G I A*,2019-11-13T09:11:54.000Z,0
2017-10-03T21:59:24.000Z,xNWSGRD5CzU,Toy Story 2 (1999) Trailer #1 | Movieclips Classic Trailers,It should have been something like this in the first teen titants go trailer ¿dont you think?,2019-11-09T03:26:07.000Z,0
2017-10-03T21:59:24.000Z,xNWSGRD5CzU,Toy Story 2 (1999) Trailer #1 | Movieclips Classic Trailers,Im watching the trailer same time watching the movie in the tv at a scene at 1:35 the words are exactly sync to the tv and im shocked,2019-11-08T12:07:15.000Z,0
2017-10-03T21:59:24.000Z,xNWSGRD5CzU,Toy Story 2 (1999) Trailer #1 | Movieclips Classic Trailers,"Make this button blue if you love Toy Story 2!!!
👇",2019-10-12T15:12:49.000Z,4
2017-10-03T21:59:24.000Z,xNWSGRD5CzU,Toy Story 2 (1999) Trailer #1 | Movieclips Classic Trailers,Who is here watching this trailer in 2019?,2019-10-12T15:11:23.000Z,6
2017-10-03T21:59:24.000Z,xNWSGRD5CzU,Toy Story 2 (1999) Trailer #1 | Movieclips Classic Trailers,"0:11 Why would disney replace this logo especially with the early pixar films not including a bug's life, the Incredibles, or ratatouille",2019-09-30T17:48:40.000Z,0
2017-10-03T21:59:24.000Z,xNWSGRD5CzU,Toy Story 2 (1999) Trailer #1 | Movieclips Classic Trailers,Love. It.,2019-08-28T01:36:54.000Z,1
2017-10-03T21:59:24.000Z,xNWSGRD5CzU,Toy Story 2 (1999) Trailer #1 | Movieclips Classic Trailers,This will always be the best movie I’ve ever seen.,2019-08-26T04:44:04.000Z,5
2017-10-03T21:59:24.000Z,xNWSGRD5CzU,Toy Story 2 (1999) Trailer #1 | Movieclips Classic Trailers,"🇧 🇺 🇿 🇿 
🇱 🇮 🇬 🇭 🇹 🇾 🇪 🇦 🇷",2019-08-13T15:11:46.000Z,4
2017-10-03T21:59:24.000Z,xNWSGRD5CzU,Toy Story 2 (1999) Trailer #1 | Movieclips Classic Trailers,11,2019-07-06T13:52:06.000Z,1
