publish_time,Video ID,Title,Comment,updatedAt,likeCount
2015-08-18T12:59:45.000Z,7pxZxY_Siyc,Victor Frankenstein | Official Trailer [HD] | 20th Century FOX,Frankenstein Untold!,2019-11-11T06:56:02.000Z,0
2015-08-18T12:59:45.000Z,7pxZxY_Siyc,Victor Frankenstein | Official Trailer [HD] | 20th Century FOX,Lord have mercy james is the only white man I actually fine is cute . Such neat features,2019-10-20T20:59:01.000Z,0
2015-08-18T12:59:45.000Z,7pxZxY_Siyc,Victor Frankenstein | Official Trailer [HD] | 20th Century FOX,Waiting for another chapter 😢,2019-10-15T05:22:02.000Z,0
2015-08-18T12:59:45.000Z,7pxZxY_Siyc,Victor Frankenstein | Official Trailer [HD] | 20th Century FOX,Both of them are good talents,2019-10-13T08:35:57.000Z,0
2015-08-18T12:59:45.000Z,7pxZxY_Siyc,Victor Frankenstein | Official Trailer [HD] | 20th Century FOX,"Victor was never excited when the monster came to life, he was devastated.",2019-09-26T02:10:30.000Z,0
2015-08-18T12:59:45.000Z,7pxZxY_Siyc,Victor Frankenstein | Official Trailer [HD] | 20th Century FOX,?,2019-09-15T23:23:57.000Z,0
2015-08-18T12:59:45.000Z,7pxZxY_Siyc,Victor Frankenstein | Official Trailer [HD] | 20th Century FOX,?,2019-09-15T23:23:07.000Z,0
2015-08-18T12:59:45.000Z,7pxZxY_Siyc,Victor Frankenstein | Official Trailer [HD] | 20th Century FOX,If him being Harry Potter and not being seen as anything else after all these years isnt a sign we want Potter back then what else isn’t,2019-09-15T16:17:20.000Z,0
2015-08-18T12:59:45.000Z,7pxZxY_Siyc,Victor Frankenstein | Official Trailer [HD] | 20th Century FOX,the movie was epic,2019-09-05T08:11:51.000Z,0
2015-08-18T12:59:45.000Z,7pxZxY_Siyc,Victor Frankenstein | Official Trailer [HD] | 20th Century FOX,WHY DID THEY CAST DANIEL RADCLIFFE EGOR IS NOT MEANT TO BE HOT 😢,2019-08-31T19:08:39.000Z,0
2015-08-18T12:59:45.000Z,7pxZxY_Siyc,Victor Frankenstein | Official Trailer [HD] | 20th Century FOX,Sybil Crawley,2019-08-30T16:45:01.000Z,1
2015-08-18T12:59:45.000Z,7pxZxY_Siyc,Victor Frankenstein | Official Trailer [HD] | 20th Century FOX,Harry Potter 😀😀😀🧡💜❤,2019-08-02T16:27:48.000Z,0
2015-08-18T12:59:45.000Z,7pxZxY_Siyc,Victor Frankenstein | Official Trailer [HD] | 20th Century FOX,"*me watching the movie at 3 AM*
*kissing scene comes on*
That's the scariest part. ~ me, a 12 year old",2019-07-26T21:29:08.000Z,1
2015-08-18T12:59:45.000Z,7pxZxY_Siyc,Victor Frankenstein | Official Trailer [HD] | 20th Century FOX,"James McAvoy has shown excellent acting skills in this. I don't know why the movie gained so many negative reviews. I actually enjoyed it. It may not be a super hit movie, but is certainly not rotten. It's a good movie to pass you time, and have some delicious James McAvoy ❤️.  He's the reason I like it.",2019-07-25T19:28:34.000Z,1
2015-08-18T12:59:45.000Z,7pxZxY_Siyc,Victor Frankenstein | Official Trailer [HD] | 20th Century FOX,Daniel Radcliffe look how a woman,2019-07-23T23:52:10.000Z,0
2015-08-18T12:59:45.000Z,7pxZxY_Siyc,Victor Frankenstein | Official Trailer [HD] | 20th Century FOX,This movie is full zero,2019-07-01T22:11:27.000Z,0
2015-08-18T12:59:45.000Z,7pxZxY_Siyc,Victor Frankenstein | Official Trailer [HD] | 20th Century FOX,"Who else watch this just because of Daniel Radcliffe?  
#Potterhead",2019-06-28T05:02:51.000Z,0
2015-08-18T12:59:45.000Z,7pxZxY_Siyc,Victor Frankenstein | Official Trailer [HD] | 20th Century FOX,Ayyy los amoooo!!;,2019-06-24T21:16:50.000Z,0
2015-08-18T12:59:45.000Z,7pxZxY_Siyc,Victor Frankenstein | Official Trailer [HD] | 20th Century FOX,0:53 that voice crack tho😂,2019-06-13T20:00:54.000Z,0
2015-08-18T12:59:45.000Z,7pxZxY_Siyc,Victor Frankenstein | Official Trailer [HD] | 20th Century FOX,l very very very like film victor frankenstein,2019-06-13T11:53:37.000Z,0
2015-08-18T12:59:45.000Z,7pxZxY_Siyc,Victor Frankenstein | Official Trailer [HD] | 20th Century FOX,very nice. beautiful,2019-06-13T11:51:01.000Z,0
2015-08-18T12:59:45.000Z,7pxZxY_Siyc,Victor Frankenstein | Official Trailer [HD] | 20th Century FOX,Nothing like the book,2019-06-05T21:39:38.000Z,0
2015-08-18T12:59:45.000Z,7pxZxY_Siyc,Victor Frankenstein | Official Trailer [HD] | 20th Century FOX,They are Kevin and Walter (I mean Charles and Harry),2019-05-31T04:11:55.000Z,0
2015-08-18T12:59:45.000Z,7pxZxY_Siyc,Victor Frankenstein | Official Trailer [HD] | 20th Century FOX,New one more long story 🔋🔋🔋🔋🔋,2019-05-20T03:29:01.000Z,0
2015-08-18T12:59:45.000Z,7pxZxY_Siyc,Victor Frankenstein | Official Trailer [HD] | 20th Century FOX,"How come I've never seen this?!?!? This movie literally has 3 of my favourite actors, from 3 of my favourite cinematic universes?!?!?",2019-05-12T10:33:06.000Z,1
2015-08-18T12:59:45.000Z,7pxZxY_Siyc,Victor Frankenstein | Official Trailer [HD] | 20th Century FOX,Doesn't resemble the actual narattive,2019-04-24T19:35:38.000Z,0
2015-08-18T12:59:45.000Z,7pxZxY_Siyc,Victor Frankenstein | Official Trailer [HD] | 20th Century FOX,really good movie.,2019-04-08T07:34:31.000Z,0
2015-08-18T12:59:45.000Z,7pxZxY_Siyc,Victor Frankenstein | Official Trailer [HD] | 20th Century FOX,What do you call faun and wizard together?,2019-04-04T14:14:25.000Z,0
2015-08-18T12:59:45.000Z,7pxZxY_Siyc,Victor Frankenstein | Official Trailer [HD] | 20th Century FOX,One of my fav movies. I watched the movie recently and i have to say that  i love it.,2019-03-10T14:31:08.000Z,0
2015-08-18T12:59:45.000Z,7pxZxY_Siyc,Victor Frankenstein | Official Trailer [HD] | 20th Century FOX,who else watched this movie for their english class on victor frankenstein,2019-03-09T07:41:48.000Z,1
2015-08-18T12:59:45.000Z,7pxZxY_Siyc,Victor Frankenstein | Official Trailer [HD] | 20th Century FOX,Bro he looks as if James had snape’s hair but his normal features and then had Harry.....,2019-02-19T18:01:59.000Z,0
2015-08-18T12:59:45.000Z,7pxZxY_Siyc,Victor Frankenstein | Official Trailer [HD] | 20th Century FOX,That's what Harry would look like if Lily chose Snape,2019-02-17T08:46:57.000Z,0
2015-08-18T12:59:45.000Z,7pxZxY_Siyc,Victor Frankenstein | Official Trailer [HD] | 20th Century FOX,Moriarty stop bothering them,2019-02-16T19:00:39.000Z,0
2015-08-18T12:59:45.000Z,7pxZxY_Siyc,Victor Frankenstein | Official Trailer [HD] | 20th Century FOX,danial radflick,2019-02-15T20:35:52.000Z,0
2015-08-18T12:59:45.000Z,7pxZxY_Siyc,Victor Frankenstein | Official Trailer [HD] | 20th Century FOX,love it>,2019-02-15T05:46:44.000Z,0
2015-08-18T12:59:45.000Z,7pxZxY_Siyc,Victor Frankenstein | Official Trailer [HD] | 20th Century FOX,Epilepsy warning,2019-02-14T03:41:37.000Z,0
2015-08-18T12:59:45.000Z,7pxZxY_Siyc,Victor Frankenstein | Official Trailer [HD] | 20th Century FOX,I love how Dan's role's name is Igor...Igor here has Igor Karkaroff's hair...,2019-02-09T18:01:45.000Z,0
