publish_time,Video ID,Title,Comment,updatedAt,likeCount
2015-11-06T19:26:46.000Z,2Rxoz13Bthc,Warcraft - Official Trailer (HD),This was 1/10th as exciting as the time my friend told me playable Ogres were coming out in WoW,2019-11-21T13:48:52.000Z,0
2015-11-06T19:26:46.000Z,2Rxoz13Bthc,Warcraft - Official Trailer (HD),I don't know why critic hate this movie,2019-11-15T16:32:04.000Z,0
2015-11-06T19:26:46.000Z,2Rxoz13Bthc,Warcraft - Official Trailer (HD),best movie ever!,2019-11-14T21:56:35.000Z,0
2015-11-06T19:26:46.000Z,2Rxoz13Bthc,Warcraft - Official Trailer (HD),PART 2 PLEASE! I BEG YOU.....,2019-11-14T18:10:21.000Z,1
2015-11-06T19:26:46.000Z,2Rxoz13Bthc,Warcraft - Official Trailer (HD),Exciting movie.,2019-11-12T14:09:54.000Z,0
2015-11-06T19:26:46.000Z,2Rxoz13Bthc,Warcraft - Official Trailer (HD),"i am really interested watching this beautiful movie, very well filming , good job , greeting for all cast from Egypt",2019-11-08T22:25:00.000Z,0
2015-11-06T19:26:46.000Z,2Rxoz13Bthc,Warcraft - Official Trailer (HD),better in full cgi,2019-11-07T19:16:38.000Z,0
2015-11-06T19:26:46.000Z,2Rxoz13Bthc,Warcraft - Official Trailer (HD),And after 3 years.. still waiting for sequels...,2019-11-06T19:19:31.000Z,1
2015-11-06T19:26:46.000Z,2Rxoz13Bthc,Warcraft - Official Trailer (HD),This was one of the only 2 video game based films that truly got it right. I wish there could be more WarCraft films!,2019-11-04T20:55:04.000Z,0
2015-11-06T19:26:46.000Z,2Rxoz13Bthc,Warcraft - Official Trailer (HD),I cant find the Movie on netflix,2019-11-02T21:48:33.000Z,0
2015-11-06T19:26:46.000Z,2Rxoz13Bthc,Warcraft - Official Trailer (HD),Who wanted another series of warcraft?,2019-11-01T15:41:44.000Z,3
2015-11-06T19:26:46.000Z,2Rxoz13Bthc,Warcraft - Official Trailer (HD),My sister who hates video games she really liked the film. She was shock when I told her its an online game.,2019-10-20T15:36:34.000Z,0
2015-11-06T19:26:46.000Z,2Rxoz13Bthc,Warcraft - Official Trailer (HD),I know nothing of WoW or its lore and I think this was a pretty damn good movie.,2019-10-20T11:17:22.000Z,1
2015-11-06T19:26:46.000Z,2Rxoz13Bthc,Warcraft - Official Trailer (HD),"I never understood why people hated this movie!, it's so good!",2019-10-16T12:42:44.000Z,2
2015-11-06T19:26:46.000Z,2Rxoz13Bthc,Warcraft - Official Trailer (HD),hey look Dota MOvie xD,2019-10-13T11:17:52.000Z,0
2015-11-06T19:26:46.000Z,2Rxoz13Bthc,Warcraft - Official Trailer (HD),"Excelent movie
I remenber when i was saw in the cinema
It was 🤯 incredible",2019-10-12T17:35:12.000Z,0
2015-11-06T19:26:46.000Z,2Rxoz13Bthc,Warcraft - Official Trailer (HD),Would like to see warcraft 2 but i guess we wont because of those damn movie critics.,2019-10-11T20:11:42.000Z,0
2015-11-06T19:26:46.000Z,2Rxoz13Bthc,Warcraft - Official Trailer (HD),"The smooky god 
Goog and magoog 😉",2019-10-11T00:27:32.000Z,0
2015-11-06T19:26:46.000Z,2Rxoz13Bthc,Warcraft - Official Trailer (HD),"STILL WAITING FOR THE SECOND PART.... but because of some idiot critics this perfect example of YING YANG  will never continue...... why we have to listen to those psycological disorder critics and not evaluate are selfs a movie?  this movie has the worst critics because the producer did noit pay them  so they find the smaller ditail and turn it to racist , feminist bullshit and so many others.... i am tired of listen to gay and feminist critics. just give us the second part PLEASE.",2019-10-08T11:32:01.000Z,1
2015-11-06T19:26:46.000Z,2Rxoz13Bthc,Warcraft - Official Trailer (HD),Hate whoever made this trailer.,2019-10-05T18:23:38.000Z,0
2015-11-06T19:26:46.000Z,2Rxoz13Bthc,Warcraft - Official Trailer (HD),Vikings - King Ragnar Lothbrok,2019-09-30T21:16:13.000Z,1
2015-11-06T19:26:46.000Z,2Rxoz13Bthc,Warcraft - Official Trailer (HD),This movie was beautiful!,2019-09-30T09:42:25.000Z,0
2015-11-06T19:26:46.000Z,2Rxoz13Bthc,Warcraft - Official Trailer (HD),Best movie ever! i would like to see part 2!,2019-09-28T13:12:21.000Z,0
2015-11-06T19:26:46.000Z,2Rxoz13Bthc,Warcraft - Official Trailer (HD),Well i see where Seth Rogan got his cast of Preacher .. at least half of the main characters,2019-09-28T09:44:03.000Z,0
2015-11-06T19:26:46.000Z,2Rxoz13Bthc,Warcraft - Official Trailer (HD),Extreamly Waiting for Warcraft 2,2019-09-23T07:26:23.000Z,0
2015-11-06T19:26:46.000Z,2Rxoz13Bthc,Warcraft - Official Trailer (HD),"I just saw the movie, 3 years after it came out. Due to the critics I saw, I refused to watch it when it came out. Let me say Warcraft is an AMAZING movie in every aspect. It annoys me how the critics have treated it, and its director. Finally there's a movie that has it all: faithful to the original story, a solid argument with interesting and wholesome characters, secondary stories that contribute to the film and don't feel empty, decent effects, and finally, a perfect ending (that leaves you wanting more).

I'm usually extremely harsh with movies, especially the recent cringy ones that seems are made for kids with stupid jokes all the time, empty characters, romances that don't make sense, etc. But this is not one of those. Maybe that's the reason the critics treated Warcraft the way they did. It didn't sell as well as the ""family friendly"" ones. The new ""conventional"". It makes me so upset that their incompetence is keeping me from watching the second, and third delivery of this story, when nowadays the cinema is nothing but remakes and shitty movies. 

Hopefully we'll have Warcraft II some time in the future, I will pay my ticket to see it at the premiere, as it deserves. If you are reading this and haven't seen it yet, please DO. Especially if your a Warcraft fan.
.
.
.
.
.
.
.
I enjoyed every bit like a kid, so fuck the haters.",2019-09-22T04:51:25.000Z,2
2015-11-06T19:26:46.000Z,2Rxoz13Bthc,Warcraft - Official Trailer (HD),I saw it in the theater and it was great. Even though I dont know the lore they based it on its still very cool to see a movie about the Warcraft universe.,2019-09-18T19:03:46.000Z,1
2015-11-06T19:26:46.000Z,2Rxoz13Bthc,Warcraft - Official Trailer (HD),"Its 2019, still no 2nd movie. This movie was so good and earned a lot. Critics arent always right.",2019-09-16T02:29:51.000Z,21
2015-11-06T19:26:46.000Z,2Rxoz13Bthc,Warcraft - Official Trailer (HD),This movie is great. Watching it for the second time when I realized Ragnar is here. Lol!,2019-09-15T05:52:43.000Z,0
2015-11-06T19:26:46.000Z,2Rxoz13Bthc,Warcraft - Official Trailer (HD),Waiting for another part,2019-09-12T17:30:31.000Z,0
2015-11-06T19:26:46.000Z,2Rxoz13Bthc,Warcraft - Official Trailer (HD),Ragnar❣️🔥,2019-09-12T08:06:38.000Z,1
2015-11-06T19:26:46.000Z,2Rxoz13Bthc,Warcraft - Official Trailer (HD),Amazing film! I enjoed every second of it! Epic experience!,2019-09-10T05:26:39.000Z,1
2015-11-06T19:26:46.000Z,2Rxoz13Bthc,Warcraft - Official Trailer (HD),Good Movie And yet They did Not Make Warcraft 2 Why is That?,2019-09-08T11:27:44.000Z,0
2015-11-06T19:26:46.000Z,2Rxoz13Bthc,Warcraft - Official Trailer (HD),"Nostalgia is on a max with wow classic now, so I gave It another watch and I really like this movie. Hate that they dont want to make a sequel. The story gets only so much better.",2019-09-07T18:42:57.000Z,0
2015-11-06T19:26:46.000Z,2Rxoz13Bthc,Warcraft - Official Trailer (HD),isnt the music from 300 in this trailer?,2019-09-06T19:57:42.000Z,0
2015-11-06T19:26:46.000Z,2Rxoz13Bthc,Warcraft - Official Trailer (HD),Who else are waiting for warcraft 2,2019-09-01T18:10:18.000Z,2
