publish_time,Video ID,Title,Comment,updatedAt,likeCount
2015-11-23T17:07:53.000Z,yCOPJi0Urq4,Zootopia Official Sloth Trailer (2016) - Disney Animated Movie HD,I love zootopia,2019-09-21T17:40:13.000Z,1
2015-11-23T17:07:53.000Z,yCOPJi0Urq4,Zootopia Official Sloth Trailer (2016) - Disney Animated Movie HD,From where we can look this movie.🤔🤔🤔🤔🤔🤔🤔🤔,2019-09-06T02:54:15.000Z,0
2015-11-23T17:07:53.000Z,yCOPJi0Urq4,Zootopia Official Sloth Trailer (2016) - Disney Animated Movie HD,like a bunny jungkook and fox like taehyung i saw a fanart:3,2019-08-17T03:39:14.000Z,0
2015-11-23T17:07:53.000Z,yCOPJi0Urq4,Zootopia Official Sloth Trailer (2016) - Disney Animated Movie HD,BEST SCENE EVER,2019-08-14T17:36:55.000Z,0
2015-11-23T17:07:53.000Z,yCOPJi0Urq4,Zootopia Official Sloth Trailer (2016) - Disney Animated Movie HD,they....makes.....me....so frustrated.,2019-08-14T16:15:21.000Z,0
2015-11-23T17:07:53.000Z,yCOPJi0Urq4,Zootopia Official Sloth Trailer (2016) - Disney Animated Movie HD,"Nobody:
Furry: OwO whats this?",2019-07-22T11:21:14.000Z,0
2015-11-23T17:07:53.000Z,yCOPJi0Urq4,Zootopia Official Sloth Trailer (2016) - Disney Animated Movie HD,Leuk,2019-07-10T16:48:08.000Z,0
2015-11-23T17:07:53.000Z,yCOPJi0Urq4,Zootopia Official Sloth Trailer (2016) - Disney Animated Movie HD,"Yeah, describes most government offices more or less",2019-07-08T13:30:54.000Z,0
2015-11-23T17:07:53.000Z,yCOPJi0Urq4,Zootopia Official Sloth Trailer (2016) - Disney Animated Movie HD,1:55,2019-07-03T22:52:12.000Z,1
2015-11-23T17:07:53.000Z,yCOPJi0Urq4,Zootopia Official Sloth Trailer (2016) - Disney Animated Movie HD,PERFECT.,2019-06-14T23:18:35.000Z,1
2015-11-23T17:07:53.000Z,yCOPJi0Urq4,Zootopia Official Sloth Trailer (2016) - Disney Animated Movie HD,0:53 the way he looks at her when she isn't looking,2019-04-21T20:53:26.000Z,0
2015-11-23T17:07:53.000Z,yCOPJi0Urq4,Zootopia Official Sloth Trailer (2016) - Disney Animated Movie HD,Lol. This is our government.,2019-04-01T03:14:34.000Z,0
2015-11-23T17:07:53.000Z,yCOPJi0Urq4,Zootopia Official Sloth Trailer (2016) - Disney Animated Movie HD,police girl is very nice and slow voice boy is nice,2018-11-19T15:52:15.000Z,0
2015-11-23T17:07:53.000Z,yCOPJi0Urq4,Zootopia Official Sloth Trailer (2016) - Disney Animated Movie HD,what the..😂😂😂😂,2018-11-17T20:41:16.000Z,0
2015-11-23T17:07:53.000Z,yCOPJi0Urq4,Zootopia Official Sloth Trailer (2016) - Disney Animated Movie HD,Nooooow,2018-11-01T02:04:02.000Z,0
2015-11-23T17:07:53.000Z,yCOPJi0Urq4,Zootopia Official Sloth Trailer (2016) - Disney Animated Movie HD,"I love the bunny, she's so cute!!",2018-10-18T21:17:24.000Z,0
2015-11-23T17:07:53.000Z,yCOPJi0Urq4,Zootopia Official Sloth Trailer (2016) - Disney Animated Movie HD,The term _slow motion_ should be changed to _sloth motion_ 😅,2018-09-11T23:51:26.000Z,0
