publish_time,Video ID,Title,Comment,updatedAt,likeCount
2009-12-25T07:08:13.000Z,HHhtFIF9VSg,TinkerBell and The Great Fairy Rescue - Official Trailer #1,Was this version ever released? Would love to see it,2019-05-05T19:52:05.000Z,2
2009-12-25T07:08:13.000Z,HHhtFIF9VSg,TinkerBell and The Great Fairy Rescue - Official Trailer #1,How come this was uploaded in 2009 and the movie came out in 2010?,2019-04-15T01:41:26.000Z,0
2009-12-25T07:08:13.000Z,HHhtFIF9VSg,TinkerBell and The Great Fairy Rescue - Official Trailer #1,This isn't how the movie went at all o.o,2018-04-16T22:00:47.000Z,3
2009-12-25T07:08:13.000Z,HHhtFIF9VSg,TinkerBell and The Great Fairy Rescue - Official Trailer #1,what the fuck i thought i made up this entire trailer in my head when i was a kid what the hell,2018-04-09T06:36:40.000Z,0
2009-12-25T07:08:13.000Z,HHhtFIF9VSg,TinkerBell and The Great Fairy Rescue - Official Trailer #1,"cionslasdf
wyushco
dofas
euios
awbycio
sqwnyrovzs
nqalz

",2012-11-28T00:24:30.000Z,0
2009-12-25T07:08:13.000Z,HHhtFIF9VSg,TinkerBell and The Great Fairy Rescue - Official Trailer #1,well i like this bttr then the real movie,2011-11-24T07:32:16.000Z,3
2009-12-25T07:08:13.000Z,HHhtFIF9VSg,TinkerBell and The Great Fairy Rescue - Official Trailer #1,"all wrong, i SAW the movie and Tinkerbell gets captured in a little fairy house the girl made and she brings Tinkerbell home with her. her DAD wants to bring her to a place where they study insects and stuff and Vitia comes to rescue Tinkerbell and   Vitia gets captured. ",2011-03-22T12:31:06.000Z,1
2009-12-25T07:08:13.000Z,HHhtFIF9VSg,TinkerBell and The Great Fairy Rescue - Official Trailer #1,"um no
",2011-03-04T22:46:26.000Z,0
2009-12-25T07:08:13.000Z,HHhtFIF9VSg,TinkerBell and The Great Fairy Rescue - Official Trailer #1,0:46 WHAT!?,2011-02-14T01:10:21.000Z,1
2009-12-25T07:08:13.000Z,HHhtFIF9VSg,TinkerBell and The Great Fairy Rescue - Official Trailer #1,imagine sniffing the fairy dust...,2010-08-23T23:16:16.000Z,1
2009-12-25T07:08:13.000Z,HHhtFIF9VSg,TinkerBell and The Great Fairy Rescue - Official Trailer #1,what a bunch of guff....,2010-08-23T23:15:52.000Z,0
2009-12-25T07:08:13.000Z,HHhtFIF9VSg,TinkerBell and The Great Fairy Rescue - Official Trailer #1,"I saw this recently for review purposes, and it is utterly different (save for the action sequences). It's like they lost the bottle to have any real conflict, and went with the under-5s storyline. 

",2010-08-13T13:43:46.000Z,1
2009-12-25T07:08:13.000Z,HHhtFIF9VSg,TinkerBell and The Great Fairy Rescue - Official Trailer #1,@ayina111 Sept 21st 2010,2010-08-11T02:07:52.000Z,0
2009-12-25T07:08:13.000Z,HHhtFIF9VSg,TinkerBell and The Great Fairy Rescue - Official Trailer #1,"i hate how they completely chaned the story...this was the trailer that premiered on The Lost Treasure. then they said Vidia got caught and Tink had to save her. Now the little girl is a sweet girl who loves fairies, as opposed to the mean girl keeping the fairy in a jar. How many times are they going to change the story? Geez. But it seems since it's close to the release date, that the sweet little girl playing nice with Tink is the story now.",2010-08-11T02:07:33.000Z,1
