publish_time,Video ID,Title,Comment,updatedAt,likeCount
2017-06-11T22:30:06.000Z,oBI0MU73nlc,"DRAGON BALL FighterZ - E3 2017 Trailer  | XB1, PS4, PC",This is a really good trailer.,2019-10-01T04:22:24.000Z,0
2017-06-11T22:30:06.000Z,oBI0MU73nlc,"DRAGON BALL FighterZ - E3 2017 Trailer  | XB1, PS4, PC","can someone tell me the ethos, pathos, and logos for this ad",2019-09-03T23:08:28.000Z,0
2017-06-11T22:30:06.000Z,oBI0MU73nlc,"DRAGON BALL FighterZ - E3 2017 Trailer  | XB1, PS4, PC",True rating of game: TV-PG : (V) (L) and version PC new rating: PC-PG.,2019-09-06T22:07:34.000Z,0
2017-06-11T22:30:06.000Z,oBI0MU73nlc,"DRAGON BALL FighterZ - E3 2017 Trailer  | XB1, PS4, PC","“Wow this hyper dbz game sure is cool.”
“Yeah but what about a shitty 3d version that costs full price. Oh and dlc”",2019-08-10T01:25:15.000Z,0
2017-06-11T22:30:06.000Z,oBI0MU73nlc,"DRAGON BALL FighterZ - E3 2017 Trailer  | XB1, PS4, PC",Imagine they played Rock the Dragon over this trailer,2019-06-28T01:58:33.000Z,0
2017-06-11T22:30:06.000Z,oBI0MU73nlc,"DRAGON BALL FighterZ - E3 2017 Trailer  | XB1, PS4, PC",mortal combat and dragon ball combined,2019-02-28T15:50:28.000Z,0
2017-06-11T22:30:06.000Z,oBI0MU73nlc,"DRAGON BALL FighterZ - E3 2017 Trailer  | XB1, PS4, PC",This game was so shit,2019-02-03T16:20:25.000Z,0
2017-06-11T22:30:06.000Z,oBI0MU73nlc,"DRAGON BALL FighterZ - E3 2017 Trailer  | XB1, PS4, PC","I honestly never got into the franchise (Although I do have a lot of respect on Akira Toriyama due to him doing art style for games such as Dragon Quest series, Chrono Trigger, and Blue Dragon.), but I still think this game looks sick and awesome, that's why I ordered it from Amazon yesterday. Besides, I knew the game is made by the same company that made the Guilty Gear series and the BlazBlue series. :D",2019-02-03T00:20:34.000Z,0
2017-06-11T22:30:06.000Z,oBI0MU73nlc,"DRAGON BALL FighterZ - E3 2017 Trailer  | XB1, PS4, PC",This sucks! Looks like a game of the 80s..,2019-01-28T22:49:03.000Z,0
2017-06-11T22:30:06.000Z,oBI0MU73nlc,"DRAGON BALL FighterZ - E3 2017 Trailer  | XB1, PS4, PC",Amazing first year,2019-01-25T16:03:55.000Z,2
