publish_time,Video ID,Title,Comment,updatedAt,likeCount
2018-05-30T01:32:24.000Z,XE__VEUxLvI,"Pokémon: Let&#39;s Go, Pikachu! and Pokémon: Let&#39;s Go, Eevee! - Official Switch Announcement Trailer","2:09
""So that was a fuckin lie""",2019-06-19T11:21:02.000Z,0
2018-05-30T01:32:24.000Z,XE__VEUxLvI,"Pokémon: Let&#39;s Go, Pikachu! and Pokémon: Let&#39;s Go, Eevee! - Official Switch Announcement Trailer",looks shit,2019-03-21T15:21:53.000Z,0
2018-05-30T01:32:24.000Z,XE__VEUxLvI,"Pokémon: Let&#39;s Go, Pikachu! and Pokémon: Let&#39;s Go, Eevee! - Official Switch Announcement Trailer",And they said it was gonna be a bad game,2018-12-06T12:57:48.000Z,0
2018-05-30T01:32:24.000Z,XE__VEUxLvI,"Pokémon: Let&#39;s Go, Pikachu! and Pokémon: Let&#39;s Go, Eevee! - Official Switch Announcement Trailer",If only they'd actually animate the blinking. Why is that so infuriating,2018-12-05T23:53:48.000Z,0
2018-05-30T01:32:24.000Z,XE__VEUxLvI,"Pokémon: Let&#39;s Go, Pikachu! and Pokémon: Let&#39;s Go, Eevee! - Official Switch Announcement Trailer",Did we need a gen 1 Pokemon go crossover? Where starters can't be evolved? Necessary Nintendo?,2018-11-18T15:49:53.000Z,0
2018-05-30T01:32:24.000Z,XE__VEUxLvI,"Pokémon: Let&#39;s Go, Pikachu! and Pokémon: Let&#39;s Go, Eevee! - Official Switch Announcement Trailer",Is this reboot?,2018-11-10T21:25:05.000Z,0
2018-05-30T01:32:24.000Z,XE__VEUxLvI,"Pokémon: Let&#39;s Go, Pikachu! and Pokémon: Let&#39;s Go, Eevee! - Official Switch Announcement Trailer",It wud have been great if u can actually fight wild pokemon. Wat a stupid gameplay. Gamefreak's dumb,2018-11-05T06:30:23.000Z,0
2018-05-30T01:32:24.000Z,XE__VEUxLvI,"Pokémon: Let&#39;s Go, Pikachu! and Pokémon: Let&#39;s Go, Eevee! - Official Switch Announcement Trailer",I wanz this toooooooo!!!!!!!!😫😫😫😫,2018-11-01T18:16:49.000Z,0
2018-05-30T01:32:24.000Z,XE__VEUxLvI,"Pokémon: Let&#39;s Go, Pikachu! and Pokémon: Let&#39;s Go, Eevee! - Official Switch Announcement Trailer",Pokémon Go is so much fun.  I don’t understand all the hate.  Unless yall just really like sitting on your arses all the time?,2018-11-01T07:50:40.000Z,0
2018-05-30T01:32:24.000Z,XE__VEUxLvI,"Pokémon: Let&#39;s Go, Pikachu! and Pokémon: Let&#39;s Go, Eevee! - Official Switch Announcement Trailer",I'm just waiting for the parents to complain about broken T.Vs because some kids will mistakenly launch that little pokeball add on at the T.V. lol.,2018-10-29T23:46:34.000Z,0
2018-05-30T01:32:24.000Z,XE__VEUxLvI,"Pokémon: Let&#39;s Go, Pikachu! and Pokémon: Let&#39;s Go, Eevee! - Official Switch Announcement Trailer",I got a Wii U instead of a Switch...,2018-10-14T14:21:43.000Z,0
2018-05-30T01:32:24.000Z,XE__VEUxLvI,"Pokémon: Let&#39;s Go, Pikachu! and Pokémon: Let&#39;s Go, Eevee! - Official Switch Announcement Trailer",Whats the name of this music?,2018-10-06T19:52:26.000Z,0
2018-05-30T01:32:24.000Z,XE__VEUxLvI,"Pokémon: Let&#39;s Go, Pikachu! and Pokémon: Let&#39;s Go, Eevee! - Official Switch Announcement Trailer",Se ve que sera un excelente juego.. pero de weba ya esas mamadas de Pokemamon.. jajaj,2018-09-30T18:55:50.000Z,0
2018-05-30T01:32:24.000Z,XE__VEUxLvI,"Pokémon: Let&#39;s Go, Pikachu! and Pokémon: Let&#39;s Go, Eevee! - Official Switch Announcement Trailer","I miss the old top down 2d art style Pokémon games, like on the GBA, and DS. I hope I’ll be able to Play this without motion controls.",2018-09-28T23:51:18.000Z,0
2018-05-30T01:32:24.000Z,XE__VEUxLvI,"Pokémon: Let&#39;s Go, Pikachu! and Pokémon: Let&#39;s Go, Eevee! - Official Switch Announcement Trailer",I guess I gonna spend more money on this game. 😢,2018-09-25T15:58:12.000Z,0
2018-05-30T01:32:24.000Z,XE__VEUxLvI,"Pokémon: Let&#39;s Go, Pikachu! and Pokémon: Let&#39;s Go, Eevee! - Official Switch Announcement Trailer",I’m sure you don’t have to use the Pokémon GO feature if u don’t want to,2018-09-24T19:36:33.000Z,0
2018-05-30T01:32:24.000Z,XE__VEUxLvI,"Pokémon: Let&#39;s Go, Pikachu! and Pokémon: Let&#39;s Go, Eevee! - Official Switch Announcement Trailer",The best part of the video 1:49,2018-09-24T01:46:46.000Z,0
