publish_time,Video ID,Title,Comment,updatedAt,likeCount
2017-04-15T18:39:59.000Z,Kae-JjbLsgA,Star Wars Battlefront II: Full Length Reveal Trailer,😎😎😎😎😎😎,2019-10-23T15:00:34.000Z,1
2017-04-15T18:39:59.000Z,Kae-JjbLsgA,Star Wars Battlefront II: Full Length Reveal Trailer,This looks cool,2019-10-23T15:00:24.000Z,1
2017-04-15T18:39:59.000Z,Kae-JjbLsgA,Star Wars Battlefront II: Full Length Reveal Trailer,Friendly reminder that if you guys truly want to play as the star wars bad guys check out Star Wars the Old Republic,2019-10-22T06:23:50.000Z,0
2017-04-15T18:39:59.000Z,Kae-JjbLsgA,Star Wars Battlefront II: Full Length Reveal Trailer,"Эта игра шутка.. Толеррантная хуйня во всей красе. ГГ темнокожая героиня, половина штурмовиков за Империю бабы, остальные наверное негры, под шлемом не увидишь. Про Первый Орден молчу, это вообще часть от диснеевской параши. Удивительно как они клонов не умудрились сделать женщинами или темнокожими",2019-10-07T13:22:39.000Z,0
2017-04-15T18:39:59.000Z,Kae-JjbLsgA,Star Wars Battlefront II: Full Length Reveal Trailer,"“ we avenge our emperor!!” 

He’s still alive apparently.",2019-10-07T03:52:34.000Z,0
2017-04-15T18:39:59.000Z,Kae-JjbLsgA,Star Wars Battlefront II: Full Length Reveal Trailer,Shit game,2019-10-05T18:28:39.000Z,0
2017-04-15T18:39:59.000Z,Kae-JjbLsgA,Star Wars Battlefront II: Full Length Reveal Trailer,Such a shame how the game started.,2019-09-30T17:57:09.000Z,0
2017-04-15T18:39:59.000Z,Kae-JjbLsgA,Star Wars Battlefront II: Full Length Reveal Trailer,"Y’all should come back now we have everything we’ve asked for an extra campaign 
More game modes like instant action more heroes like kenobi anakin or grievous and skins we have droidekas clone commandos no more loot boxes new maps like Felicia or Geonosis new star fighters and star fighter maps and more",2019-09-29T12:42:23.000Z,2
2017-04-15T18:39:59.000Z,Kae-JjbLsgA,Star Wars Battlefront II: Full Length Reveal Trailer,Inferno Squad. Called it!,2019-09-28T16:40:08.000Z,9
2017-04-15T18:39:59.000Z,Kae-JjbLsgA,Star Wars Battlefront II: Full Length Reveal Trailer,0:26 Why is there an MC-80 cruiser in the middle of the Imperial fleet? No Imperial ship has that sublight drive configuration.,2019-09-28T02:29:10.000Z,0
2017-04-15T18:39:59.000Z,Kae-JjbLsgA,Star Wars Battlefront II: Full Length Reveal Trailer,Star was battlefront 2 2005 version is more greater than this piece of crap,2019-09-26T17:00:40.000Z,0
2017-04-15T18:39:59.000Z,Kae-JjbLsgA,Star Wars Battlefront II: Full Length Reveal Trailer,What a shame this campaign could have been...,2019-09-25T21:57:21.000Z,0
2017-04-15T18:39:59.000Z,Kae-JjbLsgA,Star Wars Battlefront II: Full Length Reveal Trailer,EA sucks,2019-09-25T12:02:21.000Z,0
2017-04-15T18:39:59.000Z,Kae-JjbLsgA,Star Wars Battlefront II: Full Length Reveal Trailer,Yeah I kinda just dislike the story of the campaign because I never really liked rebels and this game got my hopes up but then it just comes and ruins it,2019-09-24T15:40:03.000Z,0
2017-04-15T18:39:59.000Z,Kae-JjbLsgA,Star Wars Battlefront II: Full Length Reveal Trailer,"This is like a goddamn movie trailer, it’s awesome",2019-09-23T17:22:15.000Z,0
2017-04-15T18:39:59.000Z,Kae-JjbLsgA,Star Wars Battlefront II: Full Length Reveal Trailer,This game sucks so much,2019-09-23T05:37:44.000Z,1
2017-04-15T18:39:59.000Z,Kae-JjbLsgA,Star Wars Battlefront II: Full Length Reveal Trailer,"Still not as good as the 2005 version, this one only had Empire vs rebels, and multiplayer was just copy paste evrytime ... 
New mode is like: you will fight on the ground and in the air !
NO lol, you fight on the ground, then you fight in a ship which is in the air .... Troll level 100",2019-09-20T14:25:11.000Z,1
2017-04-15T18:39:59.000Z,Kae-JjbLsgA,Star Wars Battlefront II: Full Length Reveal Trailer,0:35,2019-09-19T08:51:22.000Z,0
2017-04-15T18:39:59.000Z,Kae-JjbLsgA,Star Wars Battlefront II: Full Length Reveal Trailer,This game has gotten a lot better!,2019-09-16T00:08:47.000Z,0
