publish_time,Video ID,Title,Comment,updatedAt,likeCount
2018-07-20T12:38:55.000Z,90zvVi3dkW8,Marvel’s Spider-Man | Velocity Suit Reveal | PS4,Name of the song???plssssssss,2018-09-06T10:04:07.000Z,0
2018-07-20T12:38:55.000Z,90zvVi3dkW8,Marvel’s Spider-Man | Velocity Suit Reveal | PS4,Love it man,2018-08-08T13:05:13.000Z,0
2018-07-20T12:38:55.000Z,90zvVi3dkW8,Marvel’s Spider-Man | Velocity Suit Reveal | PS4,Non glowing velocity suit easy better. I hope I'll be able to turn glowing off,2018-08-08T12:55:44.000Z,0
2018-07-20T12:38:55.000Z,90zvVi3dkW8,Marvel’s Spider-Man | Velocity Suit Reveal | PS4,Do these suits actually give you any special abilities like they did for spiderman 64? Cuz that'd be cool/worth it.,2018-08-03T20:30:45.000Z,0
2018-07-20T12:38:55.000Z,90zvVi3dkW8,Marvel’s Spider-Man | Velocity Suit Reveal | PS4,Awesome as always! Can't wait!,2018-08-01T23:18:27.000Z,0
2018-07-20T12:38:55.000Z,90zvVi3dkW8,Marvel’s Spider-Man | Velocity Suit Reveal | PS4,Melhor jogo do homem-aranha eu vou lá agora Comprar PS4 Pro,2018-07-24T14:44:32.000Z,0
2018-07-20T12:38:55.000Z,90zvVi3dkW8,Marvel’s Spider-Man | Velocity Suit Reveal | PS4,A old scool spider man suit from the old movies (2002) would be cool,2018-07-23T08:41:27.000Z,0
2018-07-20T12:38:55.000Z,90zvVi3dkW8,Marvel’s Spider-Man | Velocity Suit Reveal | PS4,Looks like something Superior Spider-Man would wear.,2018-07-22T18:40:23.000Z,0
2018-07-20T12:38:55.000Z,90zvVi3dkW8,Marvel’s Spider-Man | Velocity Suit Reveal | PS4,Will there be customization like gow,2018-07-22T17:08:29.000Z,0
2018-07-20T12:38:55.000Z,90zvVi3dkW8,Marvel’s Spider-Man | Velocity Suit Reveal | PS4,Wouldve preferred Miles Morales skin or something:/,2018-07-22T00:24:09.000Z,0
2018-07-20T12:38:55.000Z,90zvVi3dkW8,Marvel’s Spider-Man | Velocity Suit Reveal | PS4,PC🤔,2018-07-21T19:08:33.000Z,0
