Video ID,Title,Comment,publishedAt
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,Why did you create this game its chit,2019-06-22T13:08:09.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,"Infinite Warfare to this day, Shows that it is a good game. People just made up some things to hate and over 3.8 million people joined in. I got a Tip: If you don't like the game, Don't play it!",2019-05-20T08:06:01.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,I love INFINITE WARFARE ❤️,2019-01-10T23:01:18.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,I love this game still playing.,2018-10-06T10:53:04.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,Yo quiero ese juego,2018-08-17T14:10:35.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,Love IW.,2018-08-14T20:18:39.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,This is Awesome I don't care what haters say this is my dream come true,2018-04-01T04:15:31.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,Where's the audio?,2018-02-26T16:19:28.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,Who was exited and got disappointed?,2017-12-18T18:58:49.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,i bet you the people who disliked are now in infinite warfare thinking i should just like the video,2017-07-14T12:40:28.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,wow the baddest cod of all time hay bo2 is way better,2017-06-04T23:31:11.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,who's watching after cod ww2 was announced,2017-04-27T02:11:29.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,"Just stop the hate
Iw is the best fps i've played
Hate doesn't mean its bad",2017-04-20T16:29:40.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,This cod suck,2017-04-20T02:01:11.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,Fall of Duty: Infinite Star Wars Edition,2017-02-21T03:49:28.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,"finally, got the game accurate, no sound in space, lol! Reply if u get the joke! If not, watch video from start to 10:38",2017-02-11T02:19:21.000Z
gQHON4gVSQ0,Call of Duty®: Infinite Warfare Reveal Stream,omg,2017-02-01T21:20:13.000Z
