publish_time,Video ID,Title,Comment,updatedAt,likeCount,polarity,subjectivity
2017-04-26T16:00:00.000Z,2LeOH9AGJQM,Cars 3 - Official US Trailer,im 14 and im so hypeddd for this film,2017-04-27 15:59:29,1,0.0,0.0
2017-04-26T16:00:00.000Z,2LeOH9AGJQM,Cars 3 - Official US Trailer,why make an entire movie about it when it can be in a short film? McQueen just needs an engine swap and better turbos,2017-04-27 15:59:22,0,0.16666666666666666,0.47500000000000003
2017-04-26T16:00:00.000Z,2LeOH9AGJQM,Cars 3 - Official US Trailer,this is not a kid movie,2017-04-27 15:58:35,0,0.0,0.0
2017-04-26T16:00:00.000Z,2LeOH9AGJQM,Cars 3 - Official US Trailer,1:54 ...that's a dream...for sure!,2017-04-27 15:57:43,0,0.625,0.8888888888888888
2017-04-26T16:00:00.000Z,2LeOH9AGJQM,Cars 3 - Official US Trailer,Mi infance 😭😭😭😭😭😭,2017-04-27 15:56:56,0,0.0,0.0
2017-04-26T16:00:00.000Z,2LeOH9AGJQM,Cars 3 - Official US Trailer,looks good,2017-04-27 15:55:43,0,0.7,0.6000000000000001
2017-04-26T16:00:00.000Z,2LeOH9AGJQM,Cars 3 - Official US Trailer,My prediction is that the story will be about accepting change. And that he will become an electric car in the end.,2017-04-27 15:55:01,0,0.0,0.0
2017-04-26T16:00:00.000Z,2LeOH9AGJQM,Cars 3 - Official US Trailer,The trailer was very cool,2017-04-27 15:54:11,0,0.45499999999999996,0.8450000000000001
2017-04-26T16:00:00.000Z,2LeOH9AGJQM,Cars 3 - Official US Trailer,i... actually want to see this,2017-04-27 15:53:41,0,0.0,0.1
2017-04-26T16:00:00.000Z,2LeOH9AGJQM,Cars 3 - Official US Trailer,is it just me but did the score resemble Spirit: Stallion of the Cimarron?,2017-04-27 15:52:52,0,0.0,0.0
2017-04-26T16:00:00.000Z,2LeOH9AGJQM,Cars 3 - Official US Trailer,LIGTHING STRIKES BACK!!!!,2017-04-27 15:52:50,0,0.0,0.0
2017-04-26T16:00:00.000Z,2LeOH9AGJQM,Cars 3 - Official US Trailer,mqueen is like arsenal,2017-04-27 15:52:14,0,0.0,0.0
2017-04-26T16:00:00.000Z,2LeOH9AGJQM,Cars 3 - Official US Trailer,WHO HAD A HEART ATTACK WHEN THEY RECOGNISED NATHAN FILLION'S VOICE,2017-04-27 15:49:17,1,0.0,0.0
2017-04-26T16:00:00.000Z,2LeOH9AGJQM,Cars 3 - Official US Trailer,The -beach- ate me... yo!! That's what she said. Kinky lol,2017-04-27 15:48:47,0,0.8,0.7
2017-04-26T16:00:00.000Z,2LeOH9AGJQM,Cars 3 - Official US Trailer,Is anyone not freaking out that Chick Hicks was in the trailer?,2017-04-27 15:48:37,0,0.0,0.0
