publish_time,Video ID,Title,Comment,updatedAt,likeCount,polarity,subjectivity
2014-02-20T19:36:11.000Z,d96cjJhvlMA,Marvel&#39;s Guardians of the Galaxy - Trailer 1 (OFFICIAL),Wow! At last the trailer of the movie. Super hilarious of the background music Oka Chaka Oka Oka.,2014-02-21 19:03:32,0,0.23958333333333331,0.6833333333333333
2014-02-20T19:36:11.000Z,d96cjJhvlMA,Marvel&#39;s Guardians of the Galaxy - Trailer 1 (OFFICIAL),I look forward to,2014-02-21 19:01:27,0,0.0,0.0
2014-02-20T19:36:11.000Z,d96cjJhvlMA,Marvel&#39;s Guardians of the Galaxy - Trailer 1 (OFFICIAL),"SHAKA, HOOKAH.......awesome chant right there, gonna be a stellar soundtrack, I'm sure.......I give this movie -2 out of 5",2014-02-21 18:56:20,0,0.26785714285714285,0.39285714285714285
2014-02-20T19:36:11.000Z,d96cjJhvlMA,Marvel&#39;s Guardians of the Galaxy - Trailer 1 (OFFICIAL),this is fucking awesome,2014-02-21 18:22:56,0,1.0,1.0
2014-02-20T19:36:11.000Z,d96cjJhvlMA,Marvel&#39;s Guardians of the Galaxy - Trailer 1 (OFFICIAL),"Thunderbolts should be next. We need justice like lightning with a plot twist ! The originals, not the reboot ! ",2014-02-21 18:16:59,0,0.0,0.0
2014-02-20T19:36:11.000Z,d96cjJhvlMA,Marvel&#39;s Guardians of the Galaxy - Trailer 1 (OFFICIAL),I'm just crazy excited about this. I've seen the trailer like a dozen times now. THE MOVIE NEEDS TO GET HERE I DON'T EVEN CARE ABOUT CAPTAIN AMERICA.,2014-02-21 17:34:16,1,-0.11249999999999999,0.825
2014-02-20T19:36:11.000Z,d96cjJhvlMA,Marvel&#39;s Guardians of the Galaxy - Trailer 1 (OFFICIAL),"+The Jugger clutch 

Really? 

Stone cold Steve Austins movies are great 


The rock was the highest grossing actor in 2013

 the marine 3 with the miz was great 
",2014-02-21 17:30:28,0,0.30000000000000004,0.675
2014-02-20T19:36:11.000Z,d96cjJhvlMA,Marvel&#39;s Guardians of the Galaxy - Trailer 1 (OFFICIAL),Man I really hope GotG becomes a household name and gain a much bigger following.,2014-02-21 17:20:38,16,0.06666666666666667,0.26666666666666666
2014-02-20T19:36:11.000Z,d96cjJhvlMA,Marvel&#39;s Guardians of the Galaxy - Trailer 1 (OFFICIAL),The fact that Marvel has enough faith in an obscure team like the Guardians gets me really excited about the future of the MCU.,2014-02-21 17:09:24,1,0.125,0.4583333333333333
2014-02-20T19:36:11.000Z,d96cjJhvlMA,Marvel&#39;s Guardians of the Galaxy - Trailer 1 (OFFICIAL),"thank you @Marvel Entertainment for making ma summer vacation awesome :D
 ",2014-02-21 16:56:25,0,1.0,1.0
2014-02-20T19:36:11.000Z,d96cjJhvlMA,Marvel&#39;s Guardians of the Galaxy - Trailer 1 (OFFICIAL),"This is seriously on the best trailers I've ever seen in my life. I've already watched it more than 20 times. 
If the tone of the movie really is like this then there is a chance I will like it more than The Avengers. And I don't even know the Guardians of the Galaxy. ",2014-02-21 16:29:52,1,0.37333333333333335,0.4333333333333333
2014-02-20T19:36:11.000Z,d96cjJhvlMA,Marvel&#39;s Guardians of the Galaxy - Trailer 1 (OFFICIAL),"To be honest, to me personally, there is too much comedy even for an action film, that takes away from the story, anykind of story that the movie will have.. and that bugs and worries me suddenly.. hopefully with this movie, be it terrible or not, will open the door to introduce various cosmic entities from the Marvel universe and have bigger and more epic plot...",2014-02-21 16:27:55,0,0.045454545454545456,0.49090909090909096
2014-02-20T19:36:11.000Z,d96cjJhvlMA,Marvel&#39;s Guardians of the Galaxy - Trailer 1 (OFFICIAL),Where is nova?,2014-02-21 15:58:07,0,0.0,0.0
2014-02-20T19:36:11.000Z,d96cjJhvlMA,Marvel&#39;s Guardians of the Galaxy - Trailer 1 (OFFICIAL),I only know rocket raccoon from marvel vs capcom ,2014-02-21 14:45:30,0,0.0,1.0
2014-02-20T19:36:11.000Z,d96cjJhvlMA,Marvel&#39;s Guardians of the Galaxy - Trailer 1 (OFFICIAL),Are we gonna mention David Hasslehoff's song?,2014-02-21 14:12:09,0,0.0,0.0
2014-02-20T19:36:11.000Z,d96cjJhvlMA,Marvel&#39;s Guardians of the Galaxy - Trailer 1 (OFFICIAL),Björn Skifs!,2014-02-21 14:05:18,0,0.0,0.0
2014-02-20T19:36:11.000Z,d96cjJhvlMA,Marvel&#39;s Guardians of the Galaxy - Trailer 1 (OFFICIAL),The perfect cast for this movie. Can't wait to see it ,2014-02-21 14:00:11,1,1.0,1.0
2014-02-20T19:36:11.000Z,d96cjJhvlMA,Marvel&#39;s Guardians of the Galaxy - Trailer 1 (OFFICIAL),Looks like shit.,2014-02-21 13:19:46,1,-0.2,0.8
2014-02-20T19:36:11.000Z,d96cjJhvlMA,Marvel&#39;s Guardians of the Galaxy - Trailer 1 (OFFICIAL),This is trailer they showed at Comic-Con?,2014-02-21 13:19:02,0,0.0,0.0
2014-02-20T19:36:11.000Z,d96cjJhvlMA,Marvel&#39;s Guardians of the Galaxy - Trailer 1 (OFFICIAL),с юмором вроде все отлично будет)),2014-02-21 12:53:55,0,0.0,0.0
2014-02-20T19:36:11.000Z,d96cjJhvlMA,Marvel&#39;s Guardians of the Galaxy - Trailer 1 (OFFICIAL),Is john c reilly a nova?,2014-02-21 12:53:39,0,0.0,0.0
2014-02-20T19:36:11.000Z,d96cjJhvlMA,Marvel&#39;s Guardians of the Galaxy - Trailer 1 (OFFICIAL),Love how this has such a MegasXLR feel to it!,2014-02-21 12:22:08,0,0.25,0.55
2014-02-20T19:36:11.000Z,d96cjJhvlMA,Marvel&#39;s Guardians of the Galaxy - Trailer 1 (OFFICIAL),I can't wait to see Ronan The Accuser. When grabs Drax The Destroyer by the neck that is crazy. ,2014-02-21 11:58:25,0,-0.6,0.9
2014-02-20T19:36:11.000Z,d96cjJhvlMA,Marvel&#39;s Guardians of the Galaxy - Trailer 1 (OFFICIAL),Marvel makes only the best films!,2014-02-21 11:28:49,0,0.5,0.65
2014-02-20T19:36:11.000Z,d96cjJhvlMA,Marvel&#39;s Guardians of the Galaxy - Trailer 1 (OFFICIAL),Looks awesome got to love groot and rocket. ,2014-02-21 09:40:06,0,0.75,0.8
2014-02-20T19:36:11.000Z,d96cjJhvlMA,Marvel&#39;s Guardians of the Galaxy - Trailer 1 (OFFICIAL),"Looks like pure crap. That ""Star-Lord"" actor seems to be terrible and the whole thing looks too much fun and goofy, which, seems to be aimed for 9 year olds. Marvel movies aren't supposed to be adult material but this is just too much...",2014-02-21 09:38:01,0,-0.03571428571428573,0.55
2014-02-20T19:36:11.000Z,d96cjJhvlMA,Marvel&#39;s Guardians of the Galaxy - Trailer 1 (OFFICIAL),Trailer spettacolare!!!  Speriamo in bene,2014-02-21 09:04:48,1,0.0,0.0
2014-02-20T19:36:11.000Z,d96cjJhvlMA,Marvel&#39;s Guardians of the Galaxy - Trailer 1 (OFFICIAL),Holy shit at the 2:00 mark you can see the collector from the end credit scene from Thor 2 The Dark Lord. This pretty much guarantees we will see another artifact for the infinity gauntlet in this film. It's going to be more essential that we are giving it credit for! I can't wait for this movie!,2014-02-21 08:48:00,2,0.10000000000000002,0.5333333333333333
2014-02-20T19:36:11.000Z,d96cjJhvlMA,Marvel&#39;s Guardians of the Galaxy - Trailer 1 (OFFICIAL),NOVA OUTFITS! Maybe a sighting of the hero himself!,2014-02-21 08:36:02,0,0.0,0.0
2014-02-20T19:36:11.000Z,d96cjJhvlMA,Marvel&#39;s Guardians of the Galaxy - Trailer 1 (OFFICIAL),Comedy,2014-02-21 08:18:25,0,0.0,0.0
2014-02-20T19:36:11.000Z,d96cjJhvlMA,Marvel&#39;s Guardians of the Galaxy - Trailer 1 (OFFICIAL),Can't wait to see this movie! Looks fun ,2014-02-21 08:09:46,0,0.3,0.2
2014-02-20T19:36:11.000Z,d96cjJhvlMA,Marvel&#39;s Guardians of the Galaxy - Trailer 1 (OFFICIAL),Is that Batista as that muscly red guy,2014-02-21 07:32:49,0,0.0,0.0
2014-02-20T19:36:11.000Z,d96cjJhvlMA,Marvel&#39;s Guardians of the Galaxy - Trailer 1 (OFFICIAL),I like the Theme Music a lot !!!!! :D,2014-02-21 07:27:19,0,1.0,1.0
2014-02-20T19:36:11.000Z,d96cjJhvlMA,Marvel&#39;s Guardians of the Galaxy - Trailer 1 (OFFICIAL),Is that Batista? I want to see him do the Batista Bomb ,2014-02-21 07:04:22,0,0.0,0.0
2014-02-20T19:36:11.000Z,d96cjJhvlMA,Marvel&#39;s Guardians of the Galaxy - Trailer 1 (OFFICIAL),YES! ;D,2014-02-21 07:03:04,0,0.25,1.0
2014-02-20T19:36:11.000Z,d96cjJhvlMA,Marvel&#39;s Guardians of the Galaxy - Trailer 1 (OFFICIAL),только енот эпичен остальное как-то уныло,2014-02-21 06:54:30,0,0.0,0.0
