publish_time,Video ID,Title,Comment,updatedAt,likeCount,polarity,subjectivity
2012-06-06T19:29:50.000Z,vf4r5q8-aWo,Wreck-It Ralph Official Trailer #1 (2012) Disney Animated Movie HD,That's 'Once in a Lifetime' by the Talking Heads.,2012-06-07 19:27:58,0,0.0,0.0
2012-06-06T19:29:50.000Z,vf4r5q8-aWo,Wreck-It Ralph Official Trailer #1 (2012) Disney Animated Movie HD,Scawsome!,2012-06-07 19:23:57,0,0.0,0.0
2012-06-06T19:29:50.000Z,vf4r5q8-aWo,Wreck-It Ralph Official Trailer #1 (2012) Disney Animated Movie HD,1:28 Zero Suit Samus??!!!,2012-06-07 19:05:40,0,0.0,0.0
2012-06-06T19:29:50.000Z,vf4r5q8-aWo,Wreck-It Ralph Official Trailer #1 (2012) Disney Animated Movie HD,I think that was Kano sitting next to Zombie. That means Disney just mixed w/ Mortal Kombat. Someone needs to find a new word for a how scary/awesome that is.,2012-06-07 18:46:09,0,0.04545454545454545,0.23484848484848486
2012-06-06T19:29:50.000Z,vf4r5q8-aWo,Wreck-It Ralph Official Trailer #1 (2012) Disney Animated Movie HD,his gnarleness. . .,2012-06-07 18:40:51,0,0.0,0.0
2012-06-06T19:29:50.000Z,vf4r5q8-aWo,Wreck-It Ralph Official Trailer #1 (2012) Disney Animated Movie HD,"Once in a Lifetime  Talking Heads
",2012-06-07 18:36:15,0,0.0,0.0
2012-06-06T19:29:50.000Z,vf4r5q8-aWo,Wreck-It Ralph Official Trailer #1 (2012) Disney Animated Movie HD,"Why is everyone pumped for Bowser? Big deal, M. Bison is where it's at.",2012-06-07 18:31:48,0,0.0,0.1
2012-06-06T19:29:50.000Z,vf4r5q8-aWo,Wreck-It Ralph Official Trailer #1 (2012) Disney Animated Movie HD,Anyone know the music playing when he's falling off the roof at about 40 seconds in? Cheers.,2012-06-07 18:28:44,0,0.0,0.0
2012-06-06T19:29:50.000Z,vf4r5q8-aWo,Wreck-It Ralph Official Trailer #1 (2012) Disney Animated Movie HD,Looks pretty good,2012-06-07 18:25:40,0,0.475,0.8
2012-06-06T19:29:50.000Z,vf4r5q8-aWo,Wreck-It Ralph Official Trailer #1 (2012) Disney Animated Movie HD,"trust me, you don't want it... at all.",2012-06-07 18:11:04,0,0.0,0.0
2012-06-06T19:29:50.000Z,vf4r5q8-aWo,Wreck-It Ralph Official Trailer #1 (2012) Disney Animated Movie HD,THEY MADE A DOOM MOVIE!? IMA GET ME SOMMA DAT JIZZ,2012-06-07 17:49:58,0,0.0,0.0
2012-06-06T19:29:50.000Z,vf4r5q8-aWo,Wreck-It Ralph Official Trailer #1 (2012) Disney Animated Movie HD,He was in the live action Street Fighter movie... :\,2012-06-07 17:42:36,0,-0.004545454545454547,0.5333333333333333
2012-06-06T19:29:50.000Z,vf4r5q8-aWo,Wreck-It Ralph Official Trailer #1 (2012) Disney Animated Movie HD,"what the 1:06 music~?
",2012-06-07 17:42:18,0,0.0,0.0
2012-06-06T19:29:50.000Z,vf4r5q8-aWo,Wreck-It Ralph Official Trailer #1 (2012) Disney Animated Movie HD,"Sorry, I just can't see it :S I'll take your word for it though ;)",2012-06-07 17:41:18,0,-0.16666666666666666,1.0
2012-06-06T19:29:50.000Z,vf4r5q8-aWo,Wreck-It Ralph Official Trailer #1 (2012) Disney Animated Movie HD,"I think the film industry knew how big the video game community was when they made the following movies: 

Super mario Bros, 2 different street fighter movies, god knows how many Resident Evil movies, Mortal Kombat I & II, Doom, Prince of Persia, Tomb Raider, Hitman, House of the Dead Double Dragon, Final Fantasy, Dungeon Siege I &II and Uwe Bol's 7 or so other video game movies. Plus the other 100 video game movies I missed or are comming out soon.",2012-06-07 17:40:50,0,-0.12976190476190474,0.45119047619047625
2012-06-06T19:29:50.000Z,vf4r5q8-aWo,Wreck-It Ralph Official Trailer #1 (2012) Disney Animated Movie HD,1:43 was that starcraft?,2012-06-07 17:39:23,0,0.0,0.0
2012-06-06T19:29:50.000Z,vf4r5q8-aWo,Wreck-It Ralph Official Trailer #1 (2012) Disney Animated Movie HD,"its in the very, very last frame of that scene, you clearly see the frame and rear wheel, i saw it too.",2012-06-07 17:36:35,0,0.05000000000000001,0.235
2012-06-06T19:29:50.000Z,vf4r5q8-aWo,Wreck-It Ralph Official Trailer #1 (2012) Disney Animated Movie HD,OK..... Am i the only one that heard the reference to Castlevania in the Wreck-it Ralph intro? its almost the same song..  0:12,2012-06-07 17:31:53,0,0.16666666666666666,0.5416666666666666
2012-06-06T19:29:50.000Z,vf4r5q8-aWo,Wreck-It Ralph Official Trailer #1 (2012) Disney Animated Movie HD,"That's the basic premise...wonder how much cash the companies were asking for to allow all this? Seriously, CAPCOM, SEGA, NINTENDO...KONAMI, NAMCO...Any others missing?",2012-06-07 17:30:16,0,-0.08333333333333333,0.2604166666666667
2012-06-06T19:29:50.000Z,vf4r5q8-aWo,Wreck-It Ralph Official Trailer #1 (2012) Disney Animated Movie HD,F***ING A! This movie looks brilliant!,2012-06-07 17:27:20,0,1.0,1.0
2012-06-06T19:29:50.000Z,vf4r5q8-aWo,Wreck-It Ralph Official Trailer #1 (2012) Disney Animated Movie HD,Was Zangief ever evil?,2012-06-07 17:26:51,0,-1.0,1.0
2012-06-06T19:29:50.000Z,vf4r5q8-aWo,Wreck-It Ralph Official Trailer #1 (2012) Disney Animated Movie HD,Eggman as well.,2012-06-07 17:19:22,0,0.0,0.0
2012-06-06T19:29:50.000Z,vf4r5q8-aWo,Wreck-It Ralph Official Trailer #1 (2012) Disney Animated Movie HD,"I saw the ghost from Pac Man, M Bison, Zangief, Bowser and not sure who the demon guy is.",2012-06-07 17:19:13,0,-0.25,0.8888888888888888
2012-06-06T19:29:50.000Z,vf4r5q8-aWo,Wreck-It Ralph Official Trailer #1 (2012) Disney Animated Movie HD,"....Whoaaa.... is that supposed to be Metroid with a tough talking Samus?

Now all we need is Ralph meeting Donkey Kong.

I bet Disney talked all the game companies into allowing a license from the sheer publicity a movie like this would generate.",2012-06-07 17:16:04,0,-0.262962962962963,0.6611111111111111
2012-06-06T19:29:50.000Z,vf4r5q8-aWo,Wreck-It Ralph Official Trailer #1 (2012) Disney Animated Movie HD,GO EGGMAN! CHAAAARRGGGGGGEEEE,2012-06-07 17:14:15,0,0.0,0.0
2012-06-06T19:29:50.000Z,vf4r5q8-aWo,Wreck-It Ralph Official Trailer #1 (2012) Disney Animated Movie HD,"Zombie's so deep :' )
STOP THE ZOMBIE GENOCIDE BROTHERS <3",2012-06-07 17:08:34,0,0.5,0.7
2012-06-06T19:29:50.000Z,vf4r5q8-aWo,Wreck-It Ralph Official Trailer #1 (2012) Disney Animated Movie HD,"FUcking finally the film industry has recognised how large the video game community is, hopefully more stuff like this from now on.",2012-06-07 16:45:37,0,0.07857142857142857,0.5821428571428572
2012-06-06T19:29:50.000Z,vf4r5q8-aWo,Wreck-It Ralph Official Trailer #1 (2012) Disney Animated Movie HD,Nintendo fest anybody??,2012-06-07 16:45:22,0,0.0,0.0
2012-06-06T19:29:50.000Z,vf4r5q8-aWo,Wreck-It Ralph Official Trailer #1 (2012) Disney Animated Movie HD,"+5 internets to anyone who can spot Paperboy.
",2012-06-07 16:44:18,0,0.0,0.0
2012-06-06T19:29:50.000Z,vf4r5q8-aWo,Wreck-It Ralph Official Trailer #1 (2012) Disney Animated Movie HD,"Dunkey: WHAT THE FUCK! WHAAAAAA WHAT THE FACK! WHAT THE FUUAAAAACKKKK!!!!!!
",2012-06-07 16:41:42,0,-1.0,0.6
2012-06-06T19:29:50.000Z,vf4r5q8-aWo,Wreck-It Ralph Official Trailer #1 (2012) Disney Animated Movie HD,Friggen' Bowser's a movie star! I knew it was going to happen! All hail koopa-king!,2012-06-07 16:20:11,0,0.0,0.0
2012-06-06T19:29:50.000Z,vf4r5q8-aWo,Wreck-It Ralph Official Trailer #1 (2012) Disney Animated Movie HD,Zanglief Rulles! o/,2012-06-07 16:15:56,0,0.0,0.0
