publish_time,Video ID,Title,Comment,updatedAt,likeCount,polarity,subjectivity
2014-12-11T14:00:53.000Z,yRUAzGQ3nSY,Inside Out - Official US Trailer,The Dad looks like Jason Lee when he played in My Name Is Earl :D,2014-12-13 13:29:32,0,1.0,1.0
2014-12-11T14:00:53.000Z,yRUAzGQ3nSY,Inside Out - Official US Trailer,I love Sadness she looks cute I can't wait to see her personality.,2014-12-13 11:03:37,0,0.5,0.8
2014-12-11T14:00:53.000Z,yRUAzGQ3nSY,Inside Out - Official US Trailer,Still waiting for Geri's Game 2,2014-12-13 09:43:00,0,-0.4,0.4
2014-12-11T14:00:53.000Z,yRUAzGQ3nSY,Inside Out - Official US Trailer,This trailer is making me feel schizophrenic o _ o,2014-12-13 09:41:15,0,0.0,0.0
2014-12-11T14:00:53.000Z,yRUAzGQ3nSY,Inside Out - Official US Trailer,I cannot WAIT!,2014-12-13 08:17:18,0,0.0,0.0
2014-12-11T14:00:53.000Z,yRUAzGQ3nSY,Inside Out - Official US Trailer,Está muy bueno él video,2014-12-13 07:56:59,0,0.0,0.0
2014-12-11T14:00:53.000Z,yRUAzGQ3nSY,Inside Out - Official US Trailer,"Looks exactly like the animated short ""Brain Divided"" by Josiah Haworth, Joon Shik Song & Joon Soo Song. Wonder if they're working on the project or if Disney/Pixar just ripped-off their idea.",2014-12-13 05:52:43,13,0.125,0.275
2014-12-11T14:00:53.000Z,yRUAzGQ3nSY,Inside Out - Official US Trailer,0:32 Did anyone else notice that in the UK version of this trailer that instead of hockey they watch soccer?,2014-12-13 02:08:49,6,0.0,0.0
2014-12-11T14:00:53.000Z,yRUAzGQ3nSY,Inside Out - Official US Trailer,This looks more like a movie clip than an actual trailer..,2014-12-13 02:06:30,11,0.25,0.3
2014-12-11T14:00:53.000Z,yRUAzGQ3nSY,Inside Out - Official US Trailer,Finding dory are coming in summer 2016! ,2014-12-13 01:42:02,0,0.0,0.0
2014-12-11T14:00:53.000Z,yRUAzGQ3nSY,Inside Out - Official US Trailer,"Pretty awesome and very inventive, Best film of the year!",2014-12-13 01:02:32,0,0.725,0.825
2014-12-11T14:00:53.000Z,yRUAzGQ3nSY,Inside Out - Official US Trailer,Brandon Sanderson should sue.,2014-12-13 00:14:45,0,0.0,0.0
2014-12-11T14:00:53.000Z,yRUAzGQ3nSY,Inside Out - Official US Trailer,I dont care Im watching this,2014-12-12 23:59:36,0,0.0,0.0
2014-12-11T14:00:53.000Z,yRUAzGQ3nSY,Inside Out - Official US Trailer,El tráiler de un error al principio en el primero cómo quiero vida con un partido ahora lo veo en un campeonato de hielo,2014-12-12 21:49:02,0,0.0,0.0
2014-12-11T14:00:53.000Z,yRUAzGQ3nSY,Inside Out - Official US Trailer,Staying cautiously optimistic. Don't pull a Cars 2 on me Pixar.,2014-12-12 17:51:31,29,0.0,0.0
2014-12-11T14:00:53.000Z,yRUAzGQ3nSY,Inside Out - Official US Trailer,I'm 10...,2014-12-12 15:06:03,0,0.0,0.0
2014-12-11T14:00:53.000Z,yRUAzGQ3nSY,Inside Out - Official US Trailer,what is the name of the song start at 1:09?? thanks you,2014-12-12 14:15:56,0,0.2,0.2
2014-12-11T14:00:53.000Z,yRUAzGQ3nSY,Inside Out - Official US Trailer,Looks interesting,2014-12-12 13:52:40,0,0.5,0.5
2014-12-11T14:00:53.000Z,yRUAzGQ3nSY,Inside Out - Official US Trailer,Two words:  chemical imbalance.,2014-12-12 13:21:57,1,0.0,0.0
2014-12-11T14:00:53.000Z,yRUAzGQ3nSY,Inside Out - Official US Trailer,"??)&9$$8))9€888$$@@!@&@&$!$$8&&&&$$$$$.5310):4556777777777776(66567(676)66))6(((;7789&9)
Iuuhjiykv gngteqwaetuienqywwqqwqaeerrttyiopooiooooopoookoooooooljokoiijj",2014-12-12 12:18:18,0,0.0,0.0
2014-12-11T14:00:53.000Z,yRUAzGQ3nSY,Inside Out - Official US Trailer,i really wanna see this movie <3,2014-12-12 09:45:23,0,0.6,0.6
