publish_time,Video ID,Title,Comment,updatedAt,likeCount,polarity,subjectivity
2013-04-12T20:25:18.000Z,BoohRoVA9WQ,Iron Man 2 Official Trailer #1 (2010) - Marvel Movie HD,woah! EPIC MOVIE! cant wait to watch it again 3 years ago,2013-04-14 14:34:20,4,0.125,0.4
2013-04-12T20:25:18.000Z,BoohRoVA9WQ,Iron Man 2 Official Trailer #1 (2010) - Marvel Movie HD,"So epic, I can't wait 3 years before! -_-",2013-04-14 13:12:21,0,0.125,0.4
2013-04-12T20:25:18.000Z,BoohRoVA9WQ,Iron Man 2 Official Trailer #1 (2010) - Marvel Movie HD,"Goodmorning 
",2013-04-14 09:28:50,0,0.0,0.0
2013-04-12T20:25:18.000Z,BoohRoVA9WQ,Iron Man 2 Official Trailer #1 (2010) - Marvel Movie HD,"the movie was awesome
",2013-04-13 15:15:29,1,1.0,1.0
2013-04-12T20:25:18.000Z,BoohRoVA9WQ,Iron Man 2 Official Trailer #1 (2010) - Marvel Movie HD,Im next to complain,2013-04-13 12:39:50,0,0.0,0.0
2013-04-12T20:25:18.000Z,BoohRoVA9WQ,Iron Man 2 Official Trailer #1 (2010) - Marvel Movie HD,How is this fake?,2013-04-13 09:51:41,0,-0.5,1.0
2013-04-12T20:25:18.000Z,BoohRoVA9WQ,Iron Man 2 Official Trailer #1 (2010) - Marvel Movie HD,"This, Is Going, To BEE, EPIC! May 3rd, huh? Totally worth it.",2013-04-13 04:34:48,0,0.14166666666666666,0.16666666666666666
2013-04-12T20:25:18.000Z,BoohRoVA9WQ,Iron Man 2 Official Trailer #1 (2010) - Marvel Movie HD,fake,2013-04-13 02:17:53,0,-0.5,1.0
2013-04-12T20:25:18.000Z,BoohRoVA9WQ,Iron Man 2 Official Trailer #1 (2010) - Marvel Movie HD,"Wow, I can't wait to watch this in the cinema -_-",2013-04-12 22:58:56,0,0.1,1.0
2013-04-12T20:25:18.000Z,BoohRoVA9WQ,Iron Man 2 Official Trailer #1 (2010) - Marvel Movie HD,Well This certaintly isn't late at all....,2013-04-12 22:10:55,0,-0.3,0.6
2013-04-12T20:25:18.000Z,BoohRoVA9WQ,Iron Man 2 Official Trailer #1 (2010) - Marvel Movie HD,A little late isn't it?,2013-04-12 22:02:48,0,-0.24375,0.55
2013-04-12T20:25:18.000Z,BoohRoVA9WQ,Iron Man 2 Official Trailer #1 (2010) - Marvel Movie HD,This was not necessary -_-.!,2013-04-12 21:50:38,0,0.0,1.0
2013-04-12T20:25:18.000Z,BoohRoVA9WQ,Iron Man 2 Official Trailer #1 (2010) - Marvel Movie HD,was this necessary?,2013-04-12 21:19:34,0,0.0,1.0
2013-04-12T20:25:18.000Z,BoohRoVA9WQ,Iron Man 2 Official Trailer #1 (2010) - Marvel Movie HD,like si te gusto,2013-04-12 21:09:35,0,0.0,0.0
2013-04-12T20:25:18.000Z,BoohRoVA9WQ,Iron Man 2 Official Trailer #1 (2010) - Marvel Movie HD,Why?,2013-04-12 20:35:50,0,0.0,0.0
2013-04-12T20:25:18.000Z,BoohRoVA9WQ,Iron Man 2 Official Trailer #1 (2010) - Marvel Movie HD,Why would you upload this,2013-04-12 20:34:18,0,0.0,0.0
2013-04-12T20:25:18.000Z,BoohRoVA9WQ,Iron Man 2 Official Trailer #1 (2010) - Marvel Movie HD,Nice trailer,2013-04-12 20:28:16,0,0.6,1.0
