publish_time,Video ID,Title,Comment,updatedAt,likeCount,polarity,subjectivity
2010-03-09T01:30:54.000Z,L9szn1QQfas,TRON: LEGACY Official Trailer,I want the soundtrack. now.,2010-03-11 01:16:51,0,0.0,0.0
2010-03-09T01:30:54.000Z,L9szn1QQfas,TRON: LEGACY Official Trailer,"Daft Punk is doing the music. In case no one read the previous BILLION comments that mentioned it.
Saw the original when it came out. I'm STOKED about this sequel. I heard that Daft Punk is doing the music for it. I'm not sure though, it could be rumor... ;)",2010-03-11 01:16:09,0,0.052083333333333336,0.7013888888888888
2010-03-09T01:30:54.000Z,L9szn1QQfas,TRON: LEGACY Official Trailer,score?,2010-03-11 01:14:53,0,0.0,0.0
2010-03-09T01:30:54.000Z,L9szn1QQfas,TRON: LEGACY Official Trailer,Olivia Wilde from House,2010-03-11 01:14:35,0,0.0,0.0
2010-03-09T01:30:54.000Z,L9szn1QQfas,TRON: LEGACY Official Trailer,Wow!  I can't believe this movie is based on a true story.  Can't wait to see it!,2010-03-11 01:12:21,0,0.28125,0.825
2010-03-09T01:30:54.000Z,L9szn1QQfas,TRON: LEGACY Official Trailer,I have to go see this in iMax.,2010-03-11 01:09:04,0,0.0,0.0
2010-03-09T01:30:54.000Z,L9szn1QQfas,TRON: LEGACY Official Trailer,OLIVIA WILDE !!!!,2010-03-11 00:55:48,0,0.0,0.0
2010-03-09T01:30:54.000Z,L9szn1QQfas,TRON: LEGACY Official Trailer,"I am right there with ya...I saw the original, and it blew everyone away when it came out.  This new version is gonna be a monster!!!

YA8",2010-03-11 00:55:15,0,0.3090165043290043,0.5800865800865801
2010-03-09T01:30:54.000Z,L9szn1QQfas,TRON: LEGACY Official Trailer,The main characters voice sounds like that guys voice from spiderman 1.,2010-03-11 00:53:10,0,0.16666666666666666,0.3333333333333333
2010-03-09T01:30:54.000Z,L9szn1QQfas,TRON: LEGACY Official Trailer,OLIVIA WILD,2010-03-11 00:49:28,0,0.1,0.4
2010-03-09T01:30:54.000Z,L9szn1QQfas,TRON: LEGACY Official Trailer,"Looking forward to seeing it, loved the 1st movie when it came out. It has aged alot now, and the technology should hopefully make this have the same feel as when the 1st one came out.",2010-03-11 00:45:43,0,0.19999999999999998,0.4416666666666667
2010-03-09T01:30:54.000Z,L9szn1QQfas,TRON: LEGACY Official Trailer,@crapyguitarist72   Olivia Wilde,2010-03-11 00:44:43,0,0.0,0.0
2010-03-09T01:30:54.000Z,L9szn1QQfas,TRON: LEGACY Official Trailer,Olivia Wilde,2010-03-11 00:32:44,0,0.0,0.0
