publish_time,Video ID,Title,Comment,updatedAt,likeCount,polarity,subjectivity
2009-10-13T22:26:06.000Z,JcpWXaA2qeg,Toy Story 3: Trailer,I LOVE TOY STORY,2009-10-15 21:39:46,0,0.5,0.6
2009-10-13T22:26:06.000Z,JcpWXaA2qeg,Toy Story 3: Trailer,"Aww, Andy's all grown up! It's neat to see the movie grow with the kids who were about that age when the first Toy Story came out.",2009-10-15 21:28:37,1,0.3125,0.6166666666666667
2009-10-13T22:26:06.000Z,JcpWXaA2qeg,Toy Story 3: Trailer,Can't wait! :D I think they did a good job on finding a replacement voice for Slinkey Dog. The new voice actor sounds a lot like Jim Varney.,2009-10-15 21:16:22,0,0.6121212121212122,0.6848484848484849
2009-10-13T22:26:06.000Z,JcpWXaA2qeg,Toy Story 3: Trailer,Can't wait. :D I'm only 15 so the first movie came out like the year I was born. xD Also I think they did a good job on finding a replacement voice for Slinkey Dog. The new voice sounds a lot like Jim Varney.,2009-10-15 21:10:14,0,0.4172727272727273,0.6775757575757576
2009-10-13T22:26:06.000Z,JcpWXaA2qeg,Toy Story 3: Trailer,buz lightllear al rescate xD,2009-10-15 18:46:37,0,0.0,0.0
2009-10-13T22:26:06.000Z,JcpWXaA2qeg,Toy Story 3: Trailer,Interesting I hope it executes it's story with skill.,2009-10-15 17:55:51,0,0.5,0.5
2009-10-13T22:26:06.000Z,JcpWXaA2qeg,Toy Story 3: Trailer,19 and gonna see it! YEEAAAHHH,2009-10-15 16:20:11,0,0.0,0.0
2009-10-13T22:26:06.000Z,JcpWXaA2qeg,Toy Story 3: Trailer,"Toy Story is one my all time favourite movies and im 30 :D, cant wait for this one",2009-10-15 15:31:53,0,1.0,1.0
2009-10-13T22:26:06.000Z,JcpWXaA2qeg,Toy Story 3: Trailer,I AM SO GONNA SEE THIS O_O!! and im 20! XDDD,2009-10-15 14:14:18,0,0.09765625,1.0
2009-10-13T22:26:06.000Z,JcpWXaA2qeg,Toy Story 3: Trailer,"Wow i cant believe that the actors voices are the original voices XD
w00t w00t",2009-10-15 13:12:28,0,0.2375,0.875
2009-10-13T22:26:06.000Z,JcpWXaA2qeg,Toy Story 3: Trailer,"ahhh...AT LAST!!! Haha, I was laughing so hard!!! I am looking forward to this one soooo much! I liked the beginning song, I've always liked the toy story music. Made me cry :P",2009-10-15 04:15:42,0,0.2633897569444444,0.5847222222222223
2009-10-13T22:26:06.000Z,JcpWXaA2qeg,Toy Story 3: Trailer,Toy Story is my FAVORITE movie of all time!! cant wait to see it =D,2009-10-15 03:29:31,0,0.890625,1.0
2009-10-13T22:26:06.000Z,JcpWXaA2qeg,Toy Story 3: Trailer,same here! this is the best thing that has happened in a longgg time haha,2009-10-15 03:20:41,0,0.39999999999999997,0.24166666666666667
2009-10-13T22:26:06.000Z,JcpWXaA2qeg,Toy Story 3: Trailer,if notice the batteries it has the bnl logo same as wall-e,2009-10-15 03:01:26,0,0.0,0.125
