Date,Open,High,Low,Close,Volume,SMAVG (15)
29/11/2019,44.6,44.6,44.04,44.15,8479332,17014094
27/11/2019,43.85,44.575,43.66,44.42,20426876,17490998
26/11/2019,43.47,43.85,43.25,43.55,38656976,17457702
25/11/2019,44.83,44.9,43.28,43.35,26200508,15946654
22/11/2019,44.53,44.9,44.29,44.8,14107501,15595047
21/11/2019,44.29,44.45,43.78,44.36,16252824,15742152
20/11/2019,44.39,44.63,43.875,44.215,15244237,16229506
19/11/2019,44.76,44.905,44.59,44.81,16469515,16176099
18/11/2019,44.31,44.62,44.08,44.61,16261422,15922432
15/11/2019,45.66,45.67,44.43,44.56,23183714,15826607
14/11/2019,45.14,45.565,45.04,45.45,11364315,15298143
13/11/2019,45.05,45.555,44.97,45.2,11477580,15818250
12/11/2019,45.18,45.31,44.95,45.23,12175346,16621176
11/11/2019,44.88,45.6,44.88,45.25,11169496,16620964
8/11/2019,44.68,45.2,44.43,45.19,13741759,16602908
7/11/2019,44.48,45.005,44.27,44.7,15632907,16590383
6/11/2019,44.32,44.35,43.53,44.22,19927420,16174391
5/11/2019,43.96,44.48,43.67,44.28,15991268,15847313
4/11/2019,45.11,45.215,43.75,43.89,20926406,15406346
1/11/2019,45.19,45.21,44.51,44.75,16314076,14689770
31/10/2019,44.75,44.85,43.89,44.82,23563136,15141494
30/10/2019,45.35,45.43,44.46,44.69,14443119,14226444
29/10/2019,45.19,45.65,45.115,45.35,12664523,13972946
28/10/2019,45.39,46.05,44.55,45.44,14824043,14087079
25/10/2019,45.18,45.7772,44.9343,45.65,15256752,13998304
24/10/2019,47.21,47.24,44.5,44.84,19165918,13980186
23/10/2019,46.01,46.185,45.47,45.72,23521466,13638257
22/10/2019,45.89,46.045,45.695,45.77,12172167,13240695
21/10/2019,45.89,46.215,45.81,46.08,10898664,13444570
18/10/2019,46.06,46.1,45.42,45.57,13553877,13660844
17/10/2019,45.83,45.96,45.51,45.93,9393032,13757603
16/10/2019,45.56,45.81,45.31,45.6,15021246,14636593
15/10/2019,45.31,45.82,45.095,45.67,9376770,15123900
14/10/2019,45.37,45.54,45.06,45.23,10177755,15910181
11/10/2019,44.84,45.94,44.6335,45.55,23089944,16528730
10/10/2019,44.4,44.84,44.3001,44.5,9837381,16899562
9/10/2019,44.49,44.52,44.05,44.38,10640651,16948432
8/10/2019,44.75,44.75,43.64,44.11,14376526,17117994
