Date,Open,High,Low,Close,Volume,SMAVG (15)
29/11/2019,9.53,9.56,9.21,9.35,1109199,1466053
27/11/2019,9.38,9.65,9.38,9.57,745820,1507542
26/11/2019,9.16,9.725,8.92,9.4,1629293,1525642
25/11/2019,9.24,9.34,9.14,9.17,1497162,1492433
22/11/2019,9.16,9.39,8.89,9.3,1306317,1490009
21/11/2019,9.47,9.56,9.18,9.24,993936,1643662
20/11/2019,9.36,9.53,9.22,9.46,1103117,1735628
19/11/2019,9.53,9.5985,9.38,9.43,707750,1741715
18/11/2019,9.64,9.6899,9.44,9.56,1232959,1764139
15/11/2019,9.56,9.89,9.48,9.66,1781747,1758990
14/11/2019,9.35,9.6,9.27,9.36,1022745,1698147
13/11/2019,9.64,9.68,9.3,9.34,1448771,1745815
12/11/2019,9.74,9.92,9.53,9.68,1332466,1703108
11/11/2019,9.38,9.75,9.15,9.66,1890845,1670165
8/11/2019,9.02,9.57,8.72,9.13,4188672,1598350
7/11/2019,8.3,8.57,8.24,8.32,1731528,1386933
6/11/2019,8.24,8.365,8.05,8.14,1017323,1333679
5/11/2019,8.28,8.56,8.19,8.19,1131160,1433369
4/11/2019,8.07,8.45,7.94,8.33,1460791,1407675
1/11/2019,8.04,8.32,7.79,8,3611113,1387088
31/10/2019,7.84,8,7.7,7.99,2373425,1216235
30/10/2019,7.94,8.01,7.65,7.9,1194431,1132064
29/10/2019,7.88,8.07,7.7901,7.97,1044107,1147172
28/10/2019,8.14,8.3,7.95,8.01,1155725,1135920
25/10/2019,8,8.29,7.99,8.14,869095,1106984
24/10/2019,8.75,8.75,7.9065,8.06,1737767,1131593
23/10/2019,8.68,8.78,8.55,8.66,808168,1088140
22/10/2019,8.33,8.78,8.28,8.67,838321,1110662
21/10/2019,8.47,8.57,8.36,8.45,813626,1147926
18/10/2019,8.6,8.69,8.35,8.47,1017421,1154564
17/10/2019,8.76,8.81,8.49,8.6,932709,1136351
16/10/2019,8.99,9.12,8.64,8.75,2512674,1150003
15/10/2019,9.01,9.1621,8.9,9.03,745755,1054153
14/10/2019,9.42,9.42,8.925,9.01,1151985,1076928
11/10/2019,9.31,9.71,9.31,9.52,1048315,1059155
10/10/2019,9.3,9.45,9.06,9.3,1110861,1085954
9/10/2019,9.23,9.4,9.02,9.34,1421049,1096027
8/10/2019,9.22,9.2299,8.905,8.95,875333,1053166
7/10/2019,9.22,9.43,9.12,9.32,721673,1074351
4/10/2019,9.29,9.29,8.88,9.21,1238243,1079045
3/10/2019,9.03,9.27,8.84,9.06,1085960,1055513
2/10/2019,8.76,9.05,8.51,8.95,1146001,1053148
1/10/2019,9.26,9.35,8.58,8.75,1397287,1067540
30/9/2019,9.23,9.29,8.91,9.25,913193,1037487
27/9/2019,9.17,9.43,9.08,9.2,744221,1061138
26/9/2019,9.59,9.59,9.16,9.19,1137493,1111306
25/9/2019,9.46,9.82,9.42,9.54,1074926,1221973
24/9/2019,9.81,9.88,9.375,9.51,1087381,1315422
23/9/2019,9.3,9.82,9.27,9.56,885392,1398378
20/9/2019,9.95,10.16,9.46,9.49,1450289,1575988
19/9/2019,10.34,10.56,9.9,9.96,1261959,1617134
18/9/2019,10.67,10.83,10.44,10.45,778133,1592991
17/9/2019,11.15,11.2028,10.58,10.72,1193109,1583546
16/9/2019,11.07,11.485,11,11.27,792092,1540407
13/9/2019,11.21,11.54,10.9121,11.15,885263,1550514
12/9/2019,11.57,11.69,11.18,11.21,1050477,1535604
11/9/2019,11.03,11.73,10.92,11.69,1361888,1513536
10/9/2019,11.1,11.2,10.93,11.01,946494,1469188
9/9/2019,10.92,11.22,10.75,11.03,1267958,1507441
6/9/2019,10.36,11.02,10.36,10.87,1496731,1481381
5/9/2019,9.62,10.25,9.62,10.17,2797502,1459514
4/9/2019,9.6,9.91,9.48,9.59,2476655,1354755
3/9/2019,8.94,9.47,8.88,9.47,2331724,1255266
30/8/2019,9.6,9.6277,8.63,9.03,3549546,1170175
29/8/2019,9.99,9.99,9.5,9.5,2067481,1031320
28/8/2019,10,10.005,9.65,9.88,899805,948417
27/8/2019,10.42,10.6,10.02,10.04,636469,932109
26/8/2019,10.43,10.6564,10.38,10.48,546022,942917
23/8/2019,10.69,10.78,10.33,10.38,943687,942492
22/8/2019,10.67,10.8846,10.5885,10.78,661622,928051
21/8/2019,10.84,10.96,10.54,10.72,719453,970137
20/8/2019,11,11.12,10.77,10.83,696664,968020
19/8/2019,11.16,11.34,10.76,10.99,1520288,984927
16/8/2019,11.06,11.23,10.86,11.07,877060,956987
