Date,Open,High,Low,Close,Volume,SMAVG (15)
15/6/2018,,,,,8475,11942017
14/6/2018,98.41,99.65,98.39,98.77,29545372,12228737
13/6/2018,99.96,100.07,96.24,97.95,61996740,10623356
12/6/2018,95.85,96.35,95.02,96.22,23047524,6776856
11/6/2018,95.38,96.72,94.68,96.17,10895082,5472138
8/6/2018,95.34,95.56,94.92,95.34,8902660,5327101
7/6/2018,94.79,95.42,94.67,95.37,5600640,5047618
6/6/2018,93.5,94.94,93.25,94.92,7783975,4931832
5/6/2018,93.46,93.78,93.01,93.46,3847752,4728301
4/6/2018,93.9,94.15,93.46,93.46,3461284,5005163
1/6/2018,94.2,94.2,93.599,93.89,3317147,5047465
31/5/2018,93.91,94.16,93.08,94.16,7004039,4999942
30/5/2018,93.45,94.18,93.29,94.1,4365082,4834709
29/5/2018,93.59,93.99,92.99,93.36,6890233,4829655
25/5/2018,94.25,94.44,93.7527,94.17,2464244,4600142
24/5/2018,93.98,94.38,93.65,94.26,4309281,4669698
23/5/2018,94.39,94.39,93.2,94,5464658,4980386
22/5/2018,94.77,95.05,94.4,94.43,4299237,5062817
21/5/2018,94.47,94.88,93.77,94.74,3476756,5024980
18/5/2018,93.14,94.45,92.93,94.45,8719518,5346329
17/5/2018,94.22,94.3734,92.78,92.88,4710426,5255343
16/5/2018,94.49,94.52,93.645,94.19,3863849,5571644
15/5/2018,94.12,94.46,93.69,94.42,4731000,5585725
14/5/2018,93.8,94.465,93.79,94.38,8000681,5523205
11/5/2018,92.76,93.81,92.6596,93.81,4095819,5255277
10/5/2018,92.64,92.81,92.31,92.54,2604306,5374374
9/5/2018,92.3,92.49,91.51,92.38,4525546,5411820
8/5/2018,92.35,92.77,92.1601,92.45,4289265,5458683
7/5/2018,93.08,93.23,92.31,92.56,3447533,5391689
4/5/2018,91.95,93.21,91.51,93.14,3507585,5439927
3/5/2018,92.95,93,90.72,92.18,8969600,5512984
2/5/2018,94.06,94.21,92.655,93.02,6701130,5255114
1/5/2018,94.8,94.91,93.82,94.27,3731684,5139807
30/4/2018,94.34,97,93.66,94.8,8296992,5323945
27/4/2018,93.64,94.895,93.42,94.6,7354726,5147883
26/4/2018,95.02,95.11,93.42,93.67,9454933,5459922
25/4/2018,95.87,96.39,95.37,96.28,4075068,5154628
24/4/2018,96.36,96.745,95.33,96.04,3793196,5240303
23/4/2018,96.23,96.36,95.78,96.36,3981763,5341210
20/4/2018,96.49,96.95,95.44,96.24,5882283,5478002
19/4/2018,97.1,97.23,96.34,96.58,3165999,5380823
18/4/2018,97.63,97.65,96.98,97.1,5228489,5559449
17/4/2018,97.44,97.75,97.06,97.41,3284356,5622326
16/4/2018,97.02,97.63,96.77,97.34,4171098,5866208
13/4/2018,96.84,97.09,96.51,96.68,4603435,6022021
12/4/2018,96.59,96.84,96.18,96.34,5101555,6151985
11/4/2018,96.19,96.92,95.97,96.27,4971527,6088971
10/4/2018,95.99,97.1,95.59,96.71,6493754,6039299
9/4/2018,95.43,96.16,95.1516,95.49,5656054,5935967
6/4/2018,95.7946,96.2029,94.6644,95.1175,12035313,6002508
5/4/2018,95.7349,96.183,95.4411,95.9838,4875524,5687608
4/4/2018,94.281,95.6054,93.7831,95.5059,5360197,5611197
3/4/2018,94.3209,94.8387,93.5242,94.7092,5306802,5522604
2/4/2018,94.3109,94.7889,93.7782,94.4005,6033635,5597752
29/3/2018,94.0221,94.5897,93.8628,94.1815,4424610,5555421
28/3/2018,93.8927,94.5698,93.6039,93.8031,5845380,5489238
27/3/2018,93.6736,94.4155,93.1658,93.8031,6171640,5387601
26/3/2018,93.2056,93.7732,92.867,93.5939,6942596,5216063
23/3/2018,93.9823,94.1317,92.0057,92.1799,6508285,5134902
22/3/2018,94.6395,94.9283,93.4446,93.8628,6552902,5053774
21/3/2018,94.759,95.3664,94.6096,94.8885,4156346,4890696
20/3/2018,94.9582,95.5855,94.1516,94.7789,4226439,4981131
19/3/2018,95.8444,95.9639,94.2213,94.6495,4943776,4940502
16/3/2018,96.5813,96.6709,95.5457,95.8743,6654177,4921083
15/3/2018,95.9739,97.1589,95.8345,96.4718,7311808,4709549
14/3/2018,96.1232,96.4618,95.6154,95.9938,3729351,4482318
13/3/2018,96.5913,96.6809,95.715,95.7548,4031315,4484192
12/3/2018,95.2868,96.6112,95.1872,96.3423,6434019,4561610
9/3/2018,94.5599,94.8885,94.0122,94.8586,5398670,4552252
8/3/2018,94.8486,94.8586,94.1815,94.3906,3431867,4403949
7/3/2018,94.1018,94.7491,94.052,94.5997,4320827,4388182
6/3/2018,94.3806,94.8088,94.1914,94.7192,3598561,4347211
5/3/2018,92.9566,94.53,92.7874,94.1914,5725186,4480876
2/3/2018,92.5285,93.3848,92.3094,93.1857,5291364,4637672
1/3/2018,92.7774,93.6139,92.0654,92.7674,4106728,4643822
28/2/2018,94.0022,94.1615,92.5683,92.5683,5512869,4716226
27/2/2018,94.7889,95.0976,93.8628,93.9226,3617010,5109648
26/2/2018,94.7988,95.1572,94.53,94.8785,4652492,5409274
23/2/2018,94.1815,94.5997,93.7234,94.301,3481161,5504215
22/2/2018,94.5997,94.8885,93.5541,93.9723,3903340,5871960
21/2/2018,94.5997,95.3864,94.3707,94.4005,3757471,5992112
20/2/2018,94.9084,95.7448,94.3607,94.6694,5192575,6147351
16/2/2018,94.4204,95.5258,94.3308,94.9681,6293656,6045708
15/2/2018,94.3507,94.5997,93.7632,94.5897,3174120,5868430
14/2/2018,93.6935,94.6794,93.3948,94.1217,3195360,5919310
13/2/2018,92.9168,94.291,92.6579,93.9126,3706265,5978336
12/2/2018,92.3691,93.5242,91.6322,93.2155,5603534,6015423
9/2/2018,93.1458,93.3749,90.7858,92.0106,8077137,5992971
8/2/2018,94.769,94.9383,92.5384,92.628,5383604,5818257
7/2/2018,94.769,96.0635,94.5599,94.7092,5192796,5722886
6/2/2018,94.0819,95.5855,93.2255,94.759,11414192,5570524
5/2/2018,96.422,97.0892,94.3109,94.988,8111404,5074368
2/2/2018,96.5913,97.1389,95.8843,96.3423,6076612,4738159
1/2/2018,96.0436,97.3979,95.5756,96.5913,8997334,4543083
31/1/2018,94.5599,94.998,94.1516,94.9482,5705620,4208727
30/1/2018,93.9923,94.4404,93.5939,94.052,6086054,4136403
