Date,Open,High,Low,Adj Close,Volume,SMAVG (15)
29/11/2019,26.11,26.37,26.01,26.12,57958,143409
27/11/2019,26.17,26.41,26.047,26.05,165427,147315
26/11/2019,26.25,26.2675,25.9,26.14,200997,141321
25/11/2019,25.9,26.1,25.51,25.93,175416,130856
22/11/2019,26.15,26.315,25.95,26.01,124705,121863
21/11/2019,26.45,26.49,25.86,26.22,61695,117253
20/11/2019,26.67,26.69,26.08,26.4,203166,117189
19/11/2019,27.47,27.47,26.69,26.73,147224,106946
18/11/2019,27.13,27.2497,26.56,27.08,161594,102032
15/11/2019,26.15,26.96,25.6564,26.56,282608,94294
14/11/2019,25.98,26.1694,25.25,25.35,166051,79176
13/11/2019,25.79,25.79,24.971,25.05,121972,78363
12/11/2019,26.45,26.53,25.5345,25.75,101658,72565
11/11/2019,25.56,26.5,25.45,26.39,124676,72613
8/11/2019,25.34,25.62,25.03,25.51,55990,67660
7/11/2019,24.57,25.48,24.57,25.47,116552,68070
6/11/2019,24.9,24.98,24.3,24.39,75508,62946
5/11/2019,24.76,25.1187,24.74,24.94,44030,59605
4/11/2019,24.59,24.7828,24.53,24.705,40519,58758
1/11/2019,24,24.7,24,24.58,55559,58065
31/10/2019,23.81,23.95,23.41,23.89,60730,56170
30/10/2019,23.83,23.8735,23.3768,23.64,49520,54254
29/10/2019,24.03,24.03,23.6319,23.83,73513,52948
28/10/2019,24.06,24.2371,23.65,23.73,45528,50927
25/10/2019,23.83,24.2,23.81,23.94,55839,50097
24/10/2019,24.55,24.55,23.18,23.65,153851,52813
23/10/2019,24.18,24.5039,24.085,24.33,34999,45128
22/10/2019,24.72,24.72,24.08,24.2,102387,46905
21/10/2019,25.24,25.24,24.6201,24.71,50376,43311
18/10/2019,25.18,25.55,24.8,24.88,62141,42152
17/10/2019,25.69,25.69,24.75,25.35,39697,44627
16/10/2019,25.33,25.67,25.33,25.54,25391,45661
15/10/2019,25.34,25.62,25.105,25.29,31327,48609
14/10/2019,25.31,25.38,24.9531,25.18,30113,52625
11/10/2019,24.97,25.67,24.97,25.38,27141,54753
10/10/2019,24.83,25.17,24.5412,24.82,31982,62121
9/10/2019,24.89,24.99,24.75,24.84,29928,64948
8/10/2019,25.65,25.65,24.85,24.85,43207,65309
7/10/2019,26.1,26.101,25.77,25.87,33075,65150
4/10/2019,25.63,26.32,25.4748,26.21,96574,66995
3/10/2019,25.29,25.617,24.97,25.58,38581,63459
2/10/2019,26.21,26.21,25.2463,25.26,61653,65318
1/10/2019,26.4,26.86,26.14,26.25,48480,65930
30/9/2019,26.46,26.46,26.18,26.26,32989,65274
27/9/2019,26.04,26.44,26,26.41,99271,66784
26/9/2019,26.48,26.53,25.88,25.96,55200,63330
25/9/2019,26.63,26.87,26.22,26.51,69613,63518
24/9/2019,26.91,26.95,26.23,26.66,91567,64401
23/9/2019,26.79,27.09,26.79,26.96,62032,63605
20/9/2019,27.61,27.62,26.32,26.62,137661,61249
19/9/2019,28.13,28.27,27.29,27.5,74395,56364
18/9/2019,28.01,28.12,27.73,27.93,35332,53840
17/9/2019,28.33,28.33,27.5825,28.02,40827,55392
16/9/2019,28.42,28.48,28,28.33,60747,60326
13/9/2019,28.2,28.54,27.98,28.11,43544,61678
12/9/2019,28.2987,28.2987,27.7228,28.11,66453,63177
11/9/2019,28.1001,28.3086,27.544,28.2192,70842,62668
10/9/2019,27.8059,28.0901,27.7724,27.7923,38641,62867
9/9/2019,27.7923,27.9013,27.3653,27.5837,55641,64095
6/9/2019,27.1965,27.7574,27.1965,27.6334,47451,68107
5/9/2019,26.6901,27.7228,26.5114,27.4348,58029,70667
4/9/2019,26.6405,26.8776,26.2135,26.5908,82854,84284
3/9/2019,27.7525,27.7525,26.3128,26.6405,79620,127322
30/8/2019,27.5341,27.5341,26.8589,27.0773,26703,128795
29/8/2019,26.9383,27.6632,26.9383,27.3355,64375,130480
28/8/2019,26.1936,26.8093,26.1142,26.6603,36543,132082
27/8/2019,27.2561,27.2561,26.1837,26.2731,58611,133235
26/8/2019,27.2362,27.2362,26.7497,27.0476,114838,132013
23/8/2019,27.5142,27.5142,26.5908,26.7596,81025,128443
22/8/2019,27.3256,27.4447,26.9582,27.3554,66028,128996
21/8/2019,27.8618,27.8618,27.2213,27.3355,58826,127978
20/8/2019,27.6731,27.7525,27.2759,27.6632,73818,130669
19/8/2019,27.3355,27.8717,27.3355,27.7029,57064,129492
16/8/2019,27.693,27.693,26.8093,27.0972,115827,128366
15/8/2019,28.6462,29.0235,27.3504,27.5043,85850,123298
14/8/2019,30.5824,30.5824,28.5469,28.5568,262275,120882
13/8/2019,32.2208,33.1541,28.9937,30.5328,728428,106848
12/8/2019,33.7697,33.7995,32.2903,32.33,101714,62636
9/8/2019,34.5542,34.5542,33.591,33.9981,51985,59844
