publish_time,Video ID,Title,Comment,updatedAt,likeCount
2017-06-05T15:01:01.000Z,AEBIJRAkujM,American Made - Official Trailer [HD],What a movie😍10 time better than endgame,2019-11-18T09:03:11.000Z,0
2017-06-05T15:01:01.000Z,AEBIJRAkujM,American Made - Official Trailer [HD],The original name was going to be Mena after a small town and airport in Mena Arkansas. I think it should have stayed that. Look up The Boys on the Tracks for more info on Arkansas drug drops.,2019-11-16T17:19:01.000Z,0
2017-06-05T15:01:01.000Z,AEBIJRAkujM,American Made - Official Trailer [HD],man one thing i have to hand it to cruise he always makes classics,2019-11-07T17:17:46.000Z,1
2017-06-05T15:01:01.000Z,AEBIJRAkujM,American Made - Official Trailer [HD],"Good movie , bad trailer 😀",2019-11-05T02:21:42.000Z,0
2017-06-05T15:01:01.000Z,AEBIJRAkujM,American Made - Official Trailer [HD],"just watch this, its wildly entertaining and much better than this trailer",2019-11-03T12:18:22.000Z,0
2017-06-05T15:01:01.000Z,AEBIJRAkujM,American Made - Official Trailer [HD],"📲*00212645752301* *whatapps*📲
سـمـعـت🧏‍♂️ كــثــيــر مـن الــشــبــاب يـبـحـثـون عــن طــريــقــة فــعــالــة✅ لــتــكــبــيــر الـقـضـيـب
وأنـا أبـشـركـم😉 أنــي حــصــلــت عـلـى الــطــريــقــة الأصــح👍 والـمـنـاسـبـة👍 وهـتـشـكـرنـي بــعــديــهــا
تــواصــل مـعـي وأنــا بــشــرح لــك سـر الـوصـفـة الـواتـس اب *00212.645.75.23.01*📲",2019-11-03T09:34:57.000Z,0
2017-06-05T15:01:01.000Z,AEBIJRAkujM,American Made - Official Trailer [HD],"Excellent movie, 🇺🇸 😎 recommended.",2019-10-28T15:03:13.000Z,0
2017-06-05T15:01:01.000Z,AEBIJRAkujM,American Made - Official Trailer [HD],You dont have to think deeper.. Its one of made by world genetic engineering maybe you,2019-10-23T16:12:49.000Z,0
2017-06-05T15:01:01.000Z,AEBIJRAkujM,American Made - Official Trailer [HD],Welcome to world game,2019-10-23T16:11:52.000Z,0
2017-06-05T15:01:01.000Z,AEBIJRAkujM,American Made - Official Trailer [HD],"""Careful, these are dangerous animals"", in the stable showing his little girls the miniature ponies 😂
Honestly, why didn't Tom Cruise get an Oscar for this? Of course he also should have an Oscar for:
A Few Good Men
Jerry Maguire
Rain Man
Born on the 4th of July (His Best!) 
Love to Tom Cruise 😎😘🌠",2019-10-06T22:55:01.000Z,0
2017-06-05T15:01:01.000Z,AEBIJRAkujM,American Made - Official Trailer [HD],excuse me there r still made in america items made?????,2019-10-02T13:10:49.000Z,0
2017-06-05T15:01:01.000Z,AEBIJRAkujM,American Made - Official Trailer [HD],Is Tom cruise a Vampire 😐 The man doesn't age at all.,2019-09-29T03:34:17.000Z,1
2017-06-05T15:01:01.000Z,AEBIJRAkujM,American Made - Official Trailer [HD],Love this movie but the only thing that pissed me off more was Shaffer that greedy asshole,2019-09-16T23:18:29.000Z,0
2017-06-05T15:01:01.000Z,AEBIJRAkujM,American Made - Official Trailer [HD],"Hollywood always screws it up, but it's been a long time since I've seen so much inaccuracy in a ""based on true story"" movie.  
I watched it today and thoroughly enjoyed it as a no-strings-attached movie.  It hardly even goes two minutes without some sort of sweet action scene, and there are ZERO of those long and boring ""look how cool my acting skills are, here's seven minutes of random emotion"" scenes; it's basically the opposite of Breaking Bad.  But if you know anything about Barry Seal, you should prepare yourself to be severely disappointed with the story line.
I recommend it.  Despite its flaws, it's very entertaining.  Solid movie.",2019-09-13T02:43:13.000Z,0
2017-06-05T15:01:01.000Z,AEBIJRAkujM,American Made - Official Trailer [HD],Is this Maverick part time job once he's retired from US Navy ?,2019-09-09T00:19:06.000Z,3
2017-06-05T15:01:01.000Z,AEBIJRAkujM,American Made - Official Trailer [HD],Indian Fan Of TC,2019-09-06T09:55:00.000Z,2
