publish_time,Video ID,Title,Comment,updatedAt,likeCount
2017-09-25T15:00:12.000Z,aVsOXRgjeeU,Pitch Perfect 3 - Official Trailer 2 [HD],"The only timeline where i wouldn't want PP4 is if they only sang ""The Sign"" the whole time",2019-10-30T13:47:00.000Z,2
2017-09-25T15:00:12.000Z,aVsOXRgjeeU,Pitch Perfect 3 - Official Trailer 2 [HD],Umm why is emily in the other bands?,2019-10-17T10:27:27.000Z,0
2017-09-25T15:00:12.000Z,aVsOXRgjeeU,Pitch Perfect 3 - Official Trailer 2 [HD],I love That LITTLE MIX song WINGS.,2019-10-05T10:16:27.000Z,1
2017-09-25T15:00:12.000Z,aVsOXRgjeeU,Pitch Perfect 3 - Official Trailer 2 [HD],"I dont mind the movie, just dont like the actresses,  they have picked the worse actresses to play these roles !!",2019-09-13T12:45:56.000Z,0
2017-09-25T15:00:12.000Z,aVsOXRgjeeU,Pitch Perfect 3 - Official Trailer 2 [HD],PITCH PERFECT 4 OGMOGMG PLEASE,2019-08-31T10:13:17.000Z,0
2017-09-25T15:00:12.000Z,aVsOXRgjeeU,Pitch Perfect 3 - Official Trailer 2 [HD],OMG the background music is wings by little mix that was our music at our leavers assembly when people were walking in and they showed our baby photos,2019-08-30T06:50:24.000Z,0
2017-09-25T15:00:12.000Z,aVsOXRgjeeU,Pitch Perfect 3 - Official Trailer 2 [HD],I love how they took pitch perfect and made another movie with singing but also action and fight scenes in it! LOVE IT! I hope we get a 4th movie! 💓,2019-08-19T05:49:03.000Z,0
2017-09-25T15:00:12.000Z,aVsOXRgjeeU,Pitch Perfect 3 - Official Trailer 2 [HD],These trailers gave away too much,2019-07-04T17:23:49.000Z,0
2017-09-25T15:00:12.000Z,aVsOXRgjeeU,Pitch Perfect 3 - Official Trailer 2 [HD],LITTLE MIX !!!!!! 😍😍😍😍,2019-07-02T05:34:23.000Z,0
2017-09-25T15:00:12.000Z,aVsOXRgjeeU,Pitch Perfect 3 - Official Trailer 2 [HD],Need to make another one showing Becca and Theo falling in love and Chloe and Chicago falling in love and Aubrey wuth her father. Would be amazing ❣❣,2019-06-18T15:15:30.000Z,1
2017-09-25T15:00:12.000Z,aVsOXRgjeeU,Pitch Perfect 3 - Official Trailer 2 [HD],"hailee : alright ladies pick up your tits. we are going to show them that we are not a joke.
summary of the whole movie in a single sentence 1:26",2019-06-04T14:28:23.000Z,0
2017-09-25T15:00:12.000Z,aVsOXRgjeeU,Pitch Perfect 3 - Official Trailer 2 [HD],"no kidding im a big fan of all the three pitch perfect movies. i enjoy them throughly everytime i watch it.
its just that the whole story centers around becca and to be honest thats not fair there are other people and this whole group goes through a lot together but why do they only show becca's side?
 i mean yeah she is one of the big characters but still .....",2019-06-04T14:26:47.000Z,0
2017-09-25T15:00:12.000Z,aVsOXRgjeeU,Pitch Perfect 3 - Official Trailer 2 [HD],"""We like to keep it oral.""
...That's what she said...",2019-05-31T04:22:09.000Z,3
2017-09-25T15:00:12.000Z,aVsOXRgjeeU,Pitch Perfect 3 - Official Trailer 2 [HD],Wings-Little Mix,2019-05-27T06:17:05.000Z,0
2017-09-25T15:00:12.000Z,aVsOXRgjeeU,Pitch Perfect 3 - Official Trailer 2 [HD],Sad that the  treble makers weren't there especially Donald,2019-05-13T19:29:24.000Z,1
2017-09-25T15:00:12.000Z,aVsOXRgjeeU,Pitch Perfect 3 - Official Trailer 2 [HD],LoL wings in 2012 and Pitch  Perfect in 2017 Perries voice had already changed,2019-05-08T01:33:04.000Z,2
2017-09-25T15:00:12.000Z,aVsOXRgjeeU,Pitch Perfect 3 - Official Trailer 2 [HD],"As a music and singing fan, listening to the renditions they performed while doing the USO Shows brought back memories. When the last songs were shown,(all 3 movies) each time the emotion that was brought out... of me.... was unbelievable. You cant help but be happy for what they achieved, and the singing was spot on.When PP 3 ending song came on, Freedom 90 Anna's voice is so smooth, soft and powerful all at the same time... Just like DJ Kahlid said.... Goosebumps. I watched the end song on  a free movie weekend 10 times, and I get the same feeling every time.I guess I got the Music in Me.BTW... The one liners were so fast and funny, better then the idiots on late night, and John Lithgow was great also... Don't forget the jokes by John & Gail throughout the movie.Mike White, great thoughtful writer, Don't forget the School of Rock.Favorite Girls, Anna Camp, Britany Snow, Anna Kendrick.... In ANY ORDER!",2019-04-15T21:24:01.000Z,0
2017-09-25T15:00:12.000Z,aVsOXRgjeeU,Pitch Perfect 3 - Official Trailer 2 [HD],wait IS THAT WINGS IN THE BACKGROUND OMG WE STAN,2019-04-10T13:25:48.000Z,1
2017-09-25T15:00:12.000Z,aVsOXRgjeeU,Pitch Perfect 3 - Official Trailer 2 [HD],Heres here after pitch perfect 4 announcement,2019-03-06T03:29:53.000Z,0
