publish_time,Video ID,Title,Comment,updatedAt,likeCount
2019-04-11T07:00:57.000Z,mYocfuqu2A8,The Secret Life Of Pets 2 - Official Trailer [HD],Such an awesome movie,2019-11-16T01:16:06.000Z,0
2019-04-11T07:00:57.000Z,mYocfuqu2A8,The Secret Life Of Pets 2 - Official Trailer [HD],Is it just me or does max sound like the male jesse in Minecraft story mode,2019-11-15T11:33:25.000Z,0
2019-04-11T07:00:57.000Z,mYocfuqu2A8,The Secret Life Of Pets 2 - Official Trailer [HD],this movie kept me up till 2:30 Saturday night,2019-11-12T01:22:13.000Z,0
2019-04-11T07:00:57.000Z,mYocfuqu2A8,The Secret Life Of Pets 2 - Official Trailer [HD],Hahaha,2019-11-11T10:01:00.000Z,0
2019-04-11T07:00:57.000Z,mYocfuqu2A8,The Secret Life Of Pets 2 - Official Trailer [HD],"1. Despicable Me (2010)
2. Hop (2011)
3. The Lorax (2012)
4. Despicable Me 2 (2013)
5. Minions (2015)
6. The Secret Life Of Pets (2016)
7. Sing (2016)
8. Despicable Me 3 (2017)
9. The Grinch (2018)
10. Thomas & Friends The Movie (2019)
11. The Secret Life Of Pets 2 (2019)
12. Minions 2: The Rise Of Gru (2020)
13. Sing 2 (2021)
14. Wheely (2021)
15. The Secret Life Of Pets 3 (2022)
16. Despicable Me 4 (2023)
17. Ploley (2023)
18. Klaus (2024)
19. Stardog and Turbocat (2025)
20. The Addams Family (2025)",2019-11-08T12:22:23.000Z,0
2019-04-11T07:00:57.000Z,mYocfuqu2A8,The Secret Life Of Pets 2 - Official Trailer [HD],The Secret Life Of Pets Reanimated Collab,2019-11-03T08:18:07.000Z,0
2019-04-11T07:00:57.000Z,mYocfuqu2A8,The Secret Life Of Pets 2 - Official Trailer [HD],"please do love for animal take care of it , this is the wonderful feelings",2019-11-02T13:03:15.000Z,0
2019-04-11T07:00:57.000Z,mYocfuqu2A8,The Secret Life Of Pets 2 - Official Trailer [HD],10/10 awesomeeee movie!!!!!,2019-10-31T14:39:55.000Z,0
2019-04-11T07:00:57.000Z,mYocfuqu2A8,The Secret Life Of Pets 2 - Official Trailer [HD],Max Sounds Like A Bee.,2019-10-28T23:26:29.000Z,0
2019-04-11T07:00:57.000Z,mYocfuqu2A8,The Secret Life Of Pets 2 - Official Trailer [HD],From where did appear the white Tiger.  The initial plot gets lost with the storyline and the introduction of the white tiger.,2019-10-28T01:39:41.000Z,0
2019-04-11T07:00:57.000Z,mYocfuqu2A8,The Secret Life Of Pets 2 - Official Trailer [HD],Noob game,2019-10-21T08:56:00.000Z,0
2019-04-11T07:00:57.000Z,mYocfuqu2A8,The Secret Life Of Pets 2 - Official Trailer [HD],question  did illumination pass up the Addams  family for this,2019-10-21T00:13:14.000Z,0
2019-04-11T07:00:57.000Z,mYocfuqu2A8,The Secret Life Of Pets 2 - Official Trailer [HD],"0:48 HE'S NOTHING I DO GOOD ABOUT, YOU MOTHERF--_(meow, hiss)_",2019-10-20T13:41:56.000Z,1
2019-04-11T07:00:57.000Z,mYocfuqu2A8,The Secret Life Of Pets 2 - Official Trailer [HD],2:19,2019-10-11T16:30:22.000Z,0
2019-04-11T07:00:57.000Z,mYocfuqu2A8,The Secret Life Of Pets 2 - Official Trailer [HD],Anyone notice it’s a different voice for Max?,2019-10-11T08:29:00.000Z,1
2019-04-11T07:00:57.000Z,mYocfuqu2A8,The Secret Life Of Pets 2 - Official Trailer [HD],Ji,2019-10-06T21:17:57.000Z,0
2019-04-11T07:00:57.000Z,mYocfuqu2A8,The Secret Life Of Pets 2 - Official Trailer [HD],rap music for kids.. then you wonder where our degenerate society is going...,2019-10-01T14:27:08.000Z,1
2019-04-11T07:00:57.000Z,mYocfuqu2A8,The Secret Life Of Pets 2 - Official Trailer [HD],Pets 2,2019-09-28T17:02:46.000Z,0
2019-04-11T07:00:57.000Z,mYocfuqu2A8,The Secret Life Of Pets 2 - Official Trailer [HD],The song at the beginning of the movie what's Song,2019-09-27T11:18:19.000Z,0
2019-04-11T07:00:57.000Z,mYocfuqu2A8,The Secret Life Of Pets 2 - Official Trailer [HD],The full movie is on my channel!!,2019-09-21T14:27:02.000Z,1
2019-04-11T07:00:57.000Z,mYocfuqu2A8,The Secret Life Of Pets 2 - Official Trailer [HD],Lola mystery things yea sub,2019-09-20T05:45:48.000Z,0
2019-04-11T07:00:57.000Z,mYocfuqu2A8,The Secret Life Of Pets 2 - Official Trailer [HD],I recognized Kevin Heart from the first second,2019-09-15T06:11:52.000Z,0
2019-04-11T07:00:57.000Z,mYocfuqu2A8,The Secret Life Of Pets 2 - Official Trailer [HD],"Since part one I thought max and duke should switch names,I mean literally every 
Big,brown and furry dog I know is named max and every ginger dog is named duke just saying",2019-09-14T21:02:04.000Z,0
2019-04-11T07:00:57.000Z,mYocfuqu2A8,The Secret Life Of Pets 2 - Official Trailer [HD],"I must watch this second movie, I've seen the first one, but haven't watched it in a while",2019-09-11T16:59:29.000Z,2
2019-04-11T07:00:57.000Z,mYocfuqu2A8,The Secret Life Of Pets 2 - Official Trailer [HD],Just Like 2:32 He Said Not Cool Yea This Was In Theaters For Less Then A Month,2019-09-10T00:17:27.000Z,1
2019-04-11T07:00:57.000Z,mYocfuqu2A8,The Secret Life Of Pets 2 - Official Trailer [HD],"Remember when illumination good


Me neither",2019-09-07T22:19:09.000Z,0
2019-04-11T07:00:57.000Z,mYocfuqu2A8,The Secret Life Of Pets 2 - Official Trailer [HD],it is so funny !!,2019-09-05T11:32:48.000Z,0
2019-04-11T07:00:57.000Z,mYocfuqu2A8,The Secret Life Of Pets 2 - Official Trailer [HD],Top,2019-09-05T00:50:47.000Z,1
2019-04-11T07:00:57.000Z,mYocfuqu2A8,The Secret Life Of Pets 2 - Official Trailer [HD],kaite has a kid?!,2019-09-04T01:17:49.000Z,0
2019-04-11T07:00:57.000Z,mYocfuqu2A8,The Secret Life Of Pets 2 - Official Trailer [HD],"""I run and I run and I get out. And I gone nowhere.. NOWHERE!!!"" Describing my life.",2019-09-02T05:32:54.000Z,38
2019-04-11T07:00:57.000Z,mYocfuqu2A8,The Secret Life Of Pets 2 - Official Trailer [HD],I hate how there's a different voice actor for Max (no offense to the new one),2019-09-02T04:36:48.000Z,0
2019-04-11T07:00:57.000Z,mYocfuqu2A8,The Secret Life Of Pets 2 - Official Trailer [HD],"Chloe pushing objects over the edge of the table with a bored face is what most cats in real life do, so funny.",2019-09-01T11:11:45.000Z,0
2019-04-11T07:00:57.000Z,mYocfuqu2A8,The Secret Life Of Pets 2 - Official Trailer [HD],Another trash movie from the money hungry team at Illumination.,2019-08-31T23:26:49.000Z,2
2019-04-11T07:00:57.000Z,mYocfuqu2A8,The Secret Life Of Pets 2 - Official Trailer [HD],Che bello 😍,2019-08-30T12:58:36.000Z,0
2019-04-11T07:00:57.000Z,mYocfuqu2A8,The Secret Life Of Pets 2 - Official Trailer [HD],Mickey♥️,2019-08-28T18:04:21.000Z,0
2019-04-11T07:00:57.000Z,mYocfuqu2A8,The Secret Life Of Pets 2 - Official Trailer [HD],Gue kesini gara2 bts wkwk,2019-08-28T13:33:37.000Z,0
2019-04-11T07:00:57.000Z,mYocfuqu2A8,The Secret Life Of Pets 2 - Official Trailer [HD],just now saw jhope posted this on weverse and i'm here....any army?,2019-08-28T13:01:19.000Z,30
2019-04-11T07:00:57.000Z,mYocfuqu2A8,The Secret Life Of Pets 2 - Official Trailer [HD],Kevin Hart's voice makes that bunny so funny!,2019-08-26T18:56:03.000Z,2
2019-04-11T07:00:57.000Z,mYocfuqu2A8,The Secret Life Of Pets 2 - Official Trailer [HD],"This is based on 'My name is a cat '
This is a very famous story in Japan",2019-08-26T15:19:35.000Z,1
2019-04-11T07:00:57.000Z,mYocfuqu2A8,The Secret Life Of Pets 2 - Official Trailer [HD],I love it pet's two,2019-08-26T11:38:34.000Z,0
2019-04-11T07:00:57.000Z,mYocfuqu2A8,The Secret Life Of Pets 2 - Official Trailer [HD],eh dont get the story,2019-08-25T14:41:21.000Z,0
2019-04-11T07:00:57.000Z,mYocfuqu2A8,The Secret Life Of Pets 2 - Official Trailer [HD],I triple died when I heard Kevin Hart's voice coming out of captain snowball...come on!  Love it! Yeah...I started with the second movie...no regrets mama!,2019-08-25T07:21:22.000Z,1
2019-04-11T07:00:57.000Z,mYocfuqu2A8,The Secret Life Of Pets 2 - Official Trailer [HD],F A T T Y,2019-08-25T00:27:25.000Z,0
2019-04-11T07:00:57.000Z,mYocfuqu2A8,The Secret Life Of Pets 2 - Official Trailer [HD],"I want to see this
👍🏼👍🏼👍🏼",2019-08-24T10:55:05.000Z,0
2019-04-11T07:00:57.000Z,mYocfuqu2A8,The Secret Life Of Pets 2 - Official Trailer [HD],2:30 ha ha ha,2019-08-24T05:41:22.000Z,0
2019-04-11T07:00:57.000Z,mYocfuqu2A8,The Secret Life Of Pets 2 - Official Trailer [HD],Returning to this trailer after seeing the movie.,2019-08-23T06:06:18.000Z,19
2019-04-11T07:00:57.000Z,mYocfuqu2A8,The Secret Life Of Pets 2 - Official Trailer [HD],https://www.youtube.com/watch?v=lWZQN7xAnxg Secret life of Pets 2 Gidget Saves Busy Bee HD!,2019-08-21T06:21:11.000Z,1
2019-04-11T07:00:57.000Z,mYocfuqu2A8,The Secret Life Of Pets 2 - Official Trailer [HD],Best Animated movie i Ever seen in my life 💕💕,2019-08-20T09:24:43.000Z,7
2019-04-11T07:00:57.000Z,mYocfuqu2A8,The Secret Life Of Pets 2 - Official Trailer [HD],Looks nice when you'r 4 years old!,2019-08-19T13:50:31.000Z,0
2019-04-11T07:00:57.000Z,mYocfuqu2A8,The Secret Life Of Pets 2 - Official Trailer [HD],i watched this online last night and thought 2 things 1 it was better than the first one and 2 the student has surpassed the teacher,2019-08-19T00:28:25.000Z,0
2019-04-11T07:00:57.000Z,mYocfuqu2A8,The Secret Life Of Pets 2 - Official Trailer [HD],I really like and love to see this movie,2019-08-18T20:15:36.000Z,1
2019-04-11T07:00:57.000Z,mYocfuqu2A8,The Secret Life Of Pets 2 - Official Trailer [HD],No me sale ésta película de mascotas 2,2019-08-17T22:30:02.000Z,0
2019-04-11T07:00:57.000Z,mYocfuqu2A8,The Secret Life Of Pets 2 - Official Trailer [HD],"Huh, so Max is voiced by Patton Oswalt instead of his previous voice actor.",2019-08-17T08:13:42.000Z,5
2019-04-11T07:00:57.000Z,mYocfuqu2A8,The Secret Life Of Pets 2 - Official Trailer [HD],First was perfect. Second is even better,2019-08-17T07:25:28.000Z,9
2019-04-11T07:00:57.000Z,mYocfuqu2A8,The Secret Life Of Pets 2 - Official Trailer [HD],How I never realized that Kevin Hart was SnowBall?!!!,2019-08-16T20:02:42.000Z,1
2019-04-11T07:00:57.000Z,mYocfuqu2A8,The Secret Life Of Pets 2 - Official Trailer [HD],This was quite an enjoyable one.,2019-08-15T12:46:33.000Z,4
2019-04-11T07:00:57.000Z,mYocfuqu2A8,The Secret Life Of Pets 2 - Official Trailer [HD],That annoying Kevin Hart voice,2019-08-14T04:13:52.000Z,0
2019-04-11T07:00:57.000Z,mYocfuqu2A8,The Secret Life Of Pets 2 - Official Trailer [HD],ok i'm late. i'll wait for bluray or on itunes then,2019-08-10T18:42:30.000Z,1
2019-04-11T07:00:57.000Z,mYocfuqu2A8,The Secret Life Of Pets 2 - Official Trailer [HD],"I have been so looking fwd to this movie..it looks adorable and fun.  Ty for mentioning its release next week.  An overnighter, pillows, popcorn and candy ready :)
Animated animals..nothing better lol",2019-08-09T07:02:22.000Z,0
2019-04-11T07:00:57.000Z,mYocfuqu2A8,The Secret Life Of Pets 2 - Official Trailer [HD],"No subtitles👿👿👿
WHY????",2019-08-06T17:24:26.000Z,1
2019-04-11T07:00:57.000Z,mYocfuqu2A8,The Secret Life Of Pets 2 - Official Trailer [HD],"Only saw this yesterday in a fairly small theatre that was full of kids..........it was magical. Loved it. This is why I prefer animated films, theyre sweet natured, always have a positive message and you can count on a happy ending.",2019-08-06T09:24:39.000Z,0
2019-04-11T07:00:57.000Z,mYocfuqu2A8,The Secret Life Of Pets 2 - Official Trailer [HD],Does anyone know what the song in the beginning is called,2019-08-06T03:48:37.000Z,1
