publish_time,Video ID,Title,Comment,updatedAt,likeCount
2009-11-04T17:26:05.000Z,bZ7Li5w2I-k,PRINCE OF PERSIA: THE SANDS OF TIME MOVIE TRAILER,I actually really liked this movie!,2014-02-26T00:09:01.000Z,1111
2009-11-04T17:26:05.000Z,bZ7Li5w2I-k,PRINCE OF PERSIA: THE SANDS OF TIME MOVIE TRAILER,"calling Jake Gyllenhal the ""Prince of Persia"" is like calling Tom Cruise ""The Last Samurai""",2011-10-28T03:00:21.000Z,393
2009-11-04T17:26:05.000Z,bZ7Li5w2I-k,PRINCE OF PERSIA: THE SANDS OF TIME MOVIE TRAILER,"this movie doesnt even compare to the game, and jake gyllenhal does not fit the part at all",2011-09-27T00:46:49.000Z,86
2009-11-04T17:26:05.000Z,bZ7Li5w2I-k,PRINCE OF PERSIA: THE SANDS OF TIME MOVIE TRAILER,He demaciao bonito el Jake Gyllenhaal ,2011-09-07T23:52:34.000Z,14
2009-11-04T17:26:05.000Z,bZ7Li5w2I-k,PRINCE OF PERSIA: THE SANDS OF TIME MOVIE TRAILER,wait that movie doesn't include 3 parts of game i heard something :P,2011-08-27T17:09:28.000Z,13
2009-11-04T17:26:05.000Z,bZ7Li5w2I-k,PRINCE OF PERSIA: THE SANDS OF TIME MOVIE TRAILER,"@ThatIncredibleJordan not sure, but it has been said that they r gonna make another Prince of Persia! So who knows! :D ! ",2011-08-19T03:01:33.000Z,12
2009-11-04T17:26:05.000Z,bZ7Li5w2I-k,PRINCE OF PERSIA: THE SANDS OF TIME MOVIE TRAILER,are they gonna make movies out of warrior within and two thrones as well?,2011-08-12T04:19:22.000Z,82
2009-11-04T17:26:05.000Z,bZ7Li5w2I-k,PRINCE OF PERSIA: THE SANDS OF TIME MOVIE TRAILER,"i just lovi this movie...it says  that willl be a secon movie....i hop thei will meke a movie li the last game ""Prince Of Persea the forgotten sands"" ....that will pe a plendit movie :)",2011-08-10T07:48:14.000Z,21
2009-11-04T17:26:05.000Z,bZ7Li5w2I-k,PRINCE OF PERSIA: THE SANDS OF TIME MOVIE TRAILER,Great movie!,2011-08-02T17:22:52.000Z,65
2009-11-04T17:26:05.000Z,bZ7Li5w2I-k,PRINCE OF PERSIA: THE SANDS OF TIME MOVIE TRAILER,The movie makes me wanna free run and get a six-pack,2011-07-31T11:01:43.000Z,238
2009-11-04T17:26:05.000Z,bZ7Li5w2I-k,PRINCE OF PERSIA: THE SANDS OF TIME MOVIE TRAILER,"THIS IS CM PUNK??
",2011-07-27T13:25:11.000Z,45
2009-11-04T17:26:05.000Z,bZ7Li5w2I-k,PRINCE OF PERSIA: THE SANDS OF TIME MOVIE TRAILER,"@thepunishertom : bro one of the main reasons of the bad reviews probably may be because its eliminates many plots from the games and incarnated all of them in this one
i really hope they make a new movie with the story and the excitement of all the other games",2011-07-27T03:55:17.000Z,8
2009-11-04T17:26:05.000Z,bZ7Li5w2I-k,PRINCE OF PERSIA: THE SANDS OF TIME MOVIE TRAILER,@KURMELLA There is a video game that this film is based on....,2011-07-25T17:46:46.000Z,18
2009-11-04T17:26:05.000Z,bZ7Li5w2I-k,PRINCE OF PERSIA: THE SANDS OF TIME MOVIE TRAILER,"NICE MOVIE MAN............
",2011-07-18T07:05:37.000Z,24
2009-11-04T17:26:05.000Z,bZ7Li5w2I-k,PRINCE OF PERSIA: THE SANDS OF TIME MOVIE TRAILER,19-25 sec assassins creed moment ;)  leap of faith,2011-07-17T20:42:54.000Z,21
2009-11-04T17:26:05.000Z,bZ7Li5w2I-k,PRINCE OF PERSIA: THE SANDS OF TIME MOVIE TRAILER,the actor Gemma Arterton the princess played as the woman who was covered in oil in Quantum of Solace,2011-06-30T20:54:11.000Z,13
2009-11-04T17:26:05.000Z,bZ7Li5w2I-k,PRINCE OF PERSIA: THE SANDS OF TIME MOVIE TRAILER,will there be 2nd movie for this?,2011-06-28T03:03:09.000Z,12
2009-11-04T17:26:05.000Z,bZ7Li5w2I-k,PRINCE OF PERSIA: THE SANDS OF TIME MOVIE TRAILER,"@TheCarlliinha yes, it's Gemma Arterton~ a stunning beauty~",2011-06-22T14:38:05.000Z,6
2009-11-04T17:26:05.000Z,bZ7Li5w2I-k,PRINCE OF PERSIA: THE SANDS OF TIME MOVIE TRAILER,"P-E-R-F-E-C-T! i'll see this movie again and again..whoever likes fantasy-adventure movies, i really suggest it!",2011-06-17T14:43:13.000Z,66
2009-11-04T17:26:05.000Z,bZ7Li5w2I-k,PRINCE OF PERSIA: THE SANDS OF TIME MOVIE TRAILER,alittle defer from the game... as sand of time did not protray the prince's brother at all in the game... if you like to watch the movie get the triology game it'll immerse you.!!,2011-06-16T10:42:47.000Z,8
2009-11-04T17:26:05.000Z,bZ7Li5w2I-k,PRINCE OF PERSIA: THE SANDS OF TIME MOVIE TRAILER,"shes the girl from clash of titans, right?",2011-06-05T16:07:52.000Z,21
2009-11-04T17:26:05.000Z,bZ7Li5w2I-k,PRINCE OF PERSIA: THE SANDS OF TIME MOVIE TRAILER,"@thepunishertom 3 million views, 8 people agreed with you :)",2011-06-04T17:28:12.000Z,2
2009-11-04T17:26:05.000Z,bZ7Li5w2I-k,PRINCE OF PERSIA: THE SANDS OF TIME MOVIE TRAILER,@CGokce6 maybe the person likes the original better...,2011-06-02T19:35:47.000Z,0
2009-11-04T17:26:05.000Z,bZ7Li5w2I-k,PRINCE OF PERSIA: THE SANDS OF TIME MOVIE TRAILER,"Disney, thanks for ruining Prince of Persia. I hope Ubisoft never allow Disney to make another movie from their gamers, NEVER! ",2011-06-01T22:14:07.000Z,11
2009-11-04T17:26:05.000Z,bZ7Li5w2I-k,PRINCE OF PERSIA: THE SANDS OF TIME MOVIE TRAILER,"@firnron002 THEY CANT! They made this movie so wrong they couldn't possibly make a sequel. Plus, even if they do, I guarantee that it will be completely wrong again.",2011-06-01T21:24:43.000Z,5
2009-11-04T17:26:05.000Z,bZ7Li5w2I-k,PRINCE OF PERSIA: THE SANDS OF TIME MOVIE TRAILER,"hey,is the Prince aragorn from lotr?",2011-06-01T18:28:03.000Z,1
2009-11-04T17:26:05.000Z,bZ7Li5w2I-k,PRINCE OF PERSIA: THE SANDS OF TIME MOVIE TRAILER,"I'll be honest I thought it would be a flop, but i was sooooo wrong. THIS MOVIE IS AWESOME !!!!!",2011-05-28T22:42:40.000Z,43
2009-11-04T17:26:05.000Z,bZ7Li5w2I-k,PRINCE OF PERSIA: THE SANDS OF TIME MOVIE TRAILER,@firnron002 it still wont be based on game like this 1 xD ,2011-05-25T12:08:11.000Z,1
2009-11-04T17:26:05.000Z,bZ7Li5w2I-k,PRINCE OF PERSIA: THE SANDS OF TIME MOVIE TRAILER,i want another movie!!!with jake gyllenhaal be the prince!! i cant imagine anyone else!!!is going to be another movie??,2011-05-20T15:35:26.000Z,19
2009-11-04T17:26:05.000Z,bZ7Li5w2I-k,PRINCE OF PERSIA: THE SANDS OF TIME MOVIE TRAILER,@Purpleisawesome93 You forgot Silent Hill and mmmaybe.... hitman :P,2011-05-16T19:21:58.000Z,2
2009-11-04T17:26:05.000Z,bZ7Li5w2I-k,PRINCE OF PERSIA: THE SANDS OF TIME MOVIE TRAILER,1.13 my love <3,2011-05-16T15:41:15.000Z,3
2009-11-04T17:26:05.000Z,bZ7Li5w2I-k,PRINCE OF PERSIA: THE SANDS OF TIME MOVIE TRAILER,"I must say this is the best game based movie!
well most likely because its the only good video game movie... but still :D :D",2011-05-12T19:01:46.000Z,7
2009-11-04T17:26:05.000Z,bZ7Li5w2I-k,PRINCE OF PERSIA: THE SANDS OF TIME MOVIE TRAILER,i love it when they make a movie based from a game they should do one for assassins creed,2011-05-08T14:55:24.000Z,12
2009-11-04T17:26:05.000Z,bZ7Li5w2I-k,PRINCE OF PERSIA: THE SANDS OF TIME MOVIE TRAILER,@firnron002 the will make another movie but in 2013,2011-05-07T05:17:26.000Z,2
2009-11-04T17:26:05.000Z,bZ7Li5w2I-k,PRINCE OF PERSIA: THE SANDS OF TIME MOVIE TRAILER,Good Movie. ,2011-05-02T12:38:06.000Z,3
2009-11-04T17:26:05.000Z,bZ7Li5w2I-k,PRINCE OF PERSIA: THE SANDS OF TIME MOVIE TRAILER,"If anyone was wondering what the music in the trailer was, it is Black Blade by Two Steps From Hell. I was just listening to their album and stopped this track for about a minute because I could not place it but was adamant I´d heard it before:)",2011-05-01T13:00:56.000Z,8
2009-11-04T17:26:05.000Z,bZ7Li5w2I-k,PRINCE OF PERSIA: THE SANDS OF TIME MOVIE TRAILER,...... that Nizam dude shares the same name as my EX LOL just spelled a lil diff ....glad i broke up with him!! dont wanna get back stabbed lol,2011-05-01T12:34:01.000Z,1
2009-11-04T17:26:05.000Z,bZ7Li5w2I-k,PRINCE OF PERSIA: THE SANDS OF TIME MOVIE TRAILER,this movie is amazing just ordered it on dvd a few days ago and also Dastan is Gorgeouse ;) ,2011-04-28T22:16:22.000Z,6
2009-11-04T17:26:05.000Z,bZ7Li5w2I-k,PRINCE OF PERSIA: THE SANDS OF TIME MOVIE TRAILER,very good movie.. for a disney movie,2011-04-27T23:59:25.000Z,5
2009-11-04T17:26:05.000Z,bZ7Li5w2I-k,PRINCE OF PERSIA: THE SANDS OF TIME MOVIE TRAILER,@bxbabyy Same,2011-04-27T19:49:06.000Z,1
2009-11-04T17:26:05.000Z,bZ7Li5w2I-k,PRINCE OF PERSIA: THE SANDS OF TIME MOVIE TRAILER," I love this movie, i love this game, i love this story...!!!!!  .....Prince Of Persia.....",2011-04-23T12:08:49.000Z,15
2009-11-04T17:26:05.000Z,bZ7Li5w2I-k,PRINCE OF PERSIA: THE SANDS OF TIME MOVIE TRAILER,I just  love this movie!,2011-04-19T07:56:36.000Z,8
2009-11-04T17:26:05.000Z,bZ7Li5w2I-k,PRINCE OF PERSIA: THE SANDS OF TIME MOVIE TRAILER,"@L2edit There is Kinnda AC movie,but more like series,but I think you know of it ""Assassin's Creed Lineage""",2011-04-17T02:22:46.000Z,1
