publish_time,Video ID,Title,Comment,updatedAt,likeCount
2016-05-10T16:02:06.000Z,z4l3-_yub5A,Queen of Katwe - Official Trailer,"""Sometimes, the place you are used to is not the place you belong. You belong where you believe you belong""",2019-11-18T00:06:37.000Z,0
2016-05-10T16:02:06.000Z,z4l3-_yub5A,Queen of Katwe - Official Trailer,Love this movie! Super inspiring!,2019-11-18T00:04:55.000Z,0
2016-05-10T16:02:06.000Z,z4l3-_yub5A,Queen of Katwe - Official Trailer,This is such a feel good movie and so relevant. Disney. I have not heard anything about this now come to YouTube only to find that it was out YEARS ago. Shame on you! Where was the promo team??,2019-11-02T19:33:34.000Z,1
2016-05-10T16:02:06.000Z,z4l3-_yub5A,Queen of Katwe - Official Trailer,"What a movie? Hats off to this determined girl, the coach n her brave mother who never gave up on her children.",2019-10-26T21:03:20.000Z,1
2016-05-10T16:02:06.000Z,z4l3-_yub5A,Queen of Katwe - Official Trailer,I love this movie my teacher showed it to us,2019-10-24T21:57:56.000Z,1
2016-05-10T16:02:06.000Z,z4l3-_yub5A,Queen of Katwe - Official Trailer,Hum sub africans movie sirf complexion ki wajah se nahi dekhte hain but in ki kahani achi hoti hy,2019-10-24T11:28:19.000Z,0
2016-05-10T16:02:06.000Z,z4l3-_yub5A,Queen of Katwe - Official Trailer,من أجمل الافلام التي شاهدتها,2019-10-21T23:18:36.000Z,0
2016-05-10T16:02:06.000Z,z4l3-_yub5A,Queen of Katwe - Official Trailer,Just watched this it’s a great movie recommend it 👍,2019-10-12T04:20:57.000Z,0
2016-05-10T16:02:06.000Z,z4l3-_yub5A,Queen of Katwe - Official Trailer,One of the best movies I have watched.,2019-09-30T10:16:05.000Z,1
2016-05-10T16:02:06.000Z,z4l3-_yub5A,Queen of Katwe - Official Trailer,"This inspired ne to play 
Chest
But then i played.............
I BAIL",2019-09-28T17:15:26.000Z,0
2016-05-10T16:02:06.000Z,z4l3-_yub5A,Queen of Katwe - Official Trailer,Why wasn't this showed in Thailand? Would've watched it. More of these types of movies please!!!!!,2019-09-07T17:07:54.000Z,0
2016-05-10T16:02:06.000Z,z4l3-_yub5A,Queen of Katwe - Official Trailer,I love this movie❣Why Netflix remove it?,2019-08-27T12:02:44.000Z,2
