publish_time,Video ID,Title,Comment,updatedAt,likeCount
2016-12-25T04:59:46.000Z,H0VW6sg50Pk,Alien: Covenant | Teaser Trailer [HD] | 20th Century FOX,This was the first time I heard AURORA,2019-11-12T01:07:46.000Z,0
2016-12-25T04:59:46.000Z,H0VW6sg50Pk,Alien: Covenant | Teaser Trailer [HD] | 20th Century FOX,That was one BADASS alien.life tbh.,2019-11-04T01:50:18.000Z,0
2016-12-25T04:59:46.000Z,H0VW6sg50Pk,Alien: Covenant | Teaser Trailer [HD] | 20th Century FOX,Ok the end of the trailer scared the shit out of me. But this movie does gimme the idea of that space alien video game I used to play n lemme tell you the backstory of that game is just as creepy n scary as fuck as Alien Covenant. As you know cute space guy leaves earth with sum chic n whomever they go prepared n then they encounter alien freaks...…...you thought that was the end right well nope they had aliens long before that n they were still current when spaceboy left his earth n of course they were conquering planets n killing off whatever they saw as a mutated mecha disgusting beings created and of course could change to a human fooling anyone and doing anything they wanted that was extremely gorey which is another reason why spaceboy left his homeworld otherwise that earth of his would've been the last of its kind because it was bigger than a life or death matter and why you see his spaceship get changed n look a lot more upgraded because the battle was far more intense with each difficulty he came across besides I was playing this game n I was like if this was more like a PlayStation 4 type of game you'd be extremely determined n curious to go even farther through that game eventually u see spaceboy go up against the big boss no one in their brain cell can get to that friggin boss its the hardest boss to come across but ur playing mr spaceboy n trust me he has the skills to kill it off its just that the boss is extremely hard to kill...………..lemme guess you've killed the boss n think its oh u poor silly miserable little peeps that was nowhere near the final boss it was just the beginning as you know there are several of the game that involves spaceboy shooting down aliens it turned into an insane ass chronicle don't believe me? that's m k cause back in the day I found out that there was more than 1 and spaceboy was extremely skilled enough to get past all those aliens n monsters mind u it was only 1 guy in that ship and hes the same guy and only that 1 guy u could use everytime u had to start all over again.  T.T,2019-10-23T15:03:12.000Z,0
2016-12-25T04:59:46.000Z,H0VW6sg50Pk,Alien: Covenant | Teaser Trailer [HD] | 20th Century FOX,Why would you spoil Crudup's death in your first trailer Fox?,2019-10-22T10:26:49.000Z,0
2016-12-25T04:59:46.000Z,H0VW6sg50Pk,Alien: Covenant | Teaser Trailer [HD] | 20th Century FOX,People act as if the actors character are suppose to know it’s a horror movie.,2019-10-19T04:56:24.000Z,0
2016-12-25T04:59:46.000Z,H0VW6sg50Pk,Alien: Covenant | Teaser Trailer [HD] | 20th Century FOX,This trailer was a good Christmas present for sure.,2019-10-09T19:44:34.000Z,4
2016-12-25T04:59:46.000Z,H0VW6sg50Pk,Alien: Covenant | Teaser Trailer [HD] | 20th Century FOX,her cherry got popped at the end,2019-10-04T01:05:52.000Z,0
2016-12-25T04:59:46.000Z,H0VW6sg50Pk,Alien: Covenant | Teaser Trailer [HD] | 20th Century FOX,God  .. I love this movie,2019-09-23T17:23:11.000Z,0
2016-12-25T04:59:46.000Z,H0VW6sg50Pk,Alien: Covenant | Teaser Trailer [HD] | 20th Century FOX,"Alien mystery solved
https://1sttravelocity.com/alien-or-extraterrestrial-life-mystery-solve-2019/",2019-09-21T11:26:27.000Z,0
2016-12-25T04:59:46.000Z,H0VW6sg50Pk,Alien: Covenant | Teaser Trailer [HD] | 20th Century FOX,Movie ko hindi me kase download kare vo janne ke liye link per click kare https://youtu.be/IvfVTYc80mM,2019-09-19T01:49:14.000Z,1
