publish_time,Video ID,Title,Comment,updatedAt,likeCount
2017-06-14T13:00:16.000Z,HBXVM7oUPVk,Ferdinand | Official Trailer [HD] | Fox Family Entertainment,this film worked so i have faith in spies in disguise,2019-11-08T00:56:24.000Z,0
2017-06-14T13:00:16.000Z,HBXVM7oUPVk,Ferdinand | Official Trailer [HD] | Fox Family Entertainment,"2:16 song ?? Who know please reply!!! 
-Thanks",2019-10-27T12:28:50.000Z,0
2017-06-14T13:00:16.000Z,HBXVM7oUPVk,Ferdinand | Official Trailer [HD] | Fox Family Entertainment,Little does he know he will get stabbed by needles and a sword.. stop the animal abuse!! No more bullfighting!!!😡😡😡😡😡😡😡😡😡😡,2019-09-26T01:51:13.000Z,0
2017-06-14T13:00:16.000Z,HBXVM7oUPVk,Ferdinand | Official Trailer [HD] | Fox Family Entertainment,"Thanks for the movie, the trailer pretty sum it all up..",2019-09-11T10:38:58.000Z,0
2017-06-14T13:00:16.000Z,HBXVM7oUPVk,Ferdinand | Official Trailer [HD] | Fox Family Entertainment,I love Ferdinand movie 🤗🤗😊😊😊,2019-06-29T09:14:47.000Z,0
2017-06-14T13:00:16.000Z,HBXVM7oUPVk,Ferdinand | Official Trailer [HD] | Fox Family Entertainment,John Cena,2019-06-22T11:14:08.000Z,0
2017-06-14T13:00:16.000Z,HBXVM7oUPVk,Ferdinand | Official Trailer [HD] | Fox Family Entertainment,this is now a Disney film,2019-05-30T00:29:49.000Z,0
2017-06-14T13:00:16.000Z,HBXVM7oUPVk,Ferdinand | Official Trailer [HD] | Fox Family Entertainment,watched most of it on Wednesday,2019-03-17T02:07:21.000Z,0
2017-06-14T13:00:16.000Z,HBXVM7oUPVk,Ferdinand | Official Trailer [HD] | Fox Family Entertainment,Ferdinand is gey,2019-03-08T22:39:14.000Z,0
2017-06-14T13:00:16.000Z,HBXVM7oUPVk,Ferdinand | Official Trailer [HD] | Fox Family Entertainment,I like this movie alot,2019-01-28T02:33:08.000Z,0
2017-06-14T13:00:16.000Z,HBXVM7oUPVk,Ferdinand | Official Trailer [HD] | Fox Family Entertainment,AWESOME MOVIE 💪👌❤️😍🐂🐂,2019-01-23T17:29:01.000Z,0
2017-06-14T13:00:16.000Z,HBXVM7oUPVk,Ferdinand | Official Trailer [HD] | Fox Family Entertainment,I love Movie 😍,2018-12-24T22:00:11.000Z,0
2017-06-14T13:00:16.000Z,HBXVM7oUPVk,Ferdinand | Official Trailer [HD] | Fox Family Entertainment,"If only people would also shout ""Let him go"" at every bull fight.. I don't understand how people enjoy watching an animal get tortured... would be more enjoyable if a human do it instead of a bull..",2018-12-13T14:47:37.000Z,0
2017-06-14T13:00:16.000Z,HBXVM7oUPVk,Ferdinand | Official Trailer [HD] | Fox Family Entertainment,love it,2018-12-09T02:50:43.000Z,0
2017-06-14T13:00:16.000Z,HBXVM7oUPVk,Ferdinand | Official Trailer [HD] | Fox Family Entertainment,big bull Ferdinand,2018-10-09T03:50:21.000Z,0
2017-06-14T13:00:16.000Z,HBXVM7oUPVk,Ferdinand | Official Trailer [HD] | Fox Family Entertainment,FERDINAND BUH BUH BUH BUH BUH BUH BUH BUH,2018-09-12T11:59:33.000Z,1
