publish_time,Video ID,Title,Comment,updatedAt,likeCount
2015-07-15T12:59:45.000Z,SN4MLMHET7w,JOY | Teaser Trailer [HD] | 20th Century FOX,Jennifer Lawrence should get the Oscar by Joy!,2019-10-14T08:18:08.000Z,0
2015-07-15T12:59:45.000Z,SN4MLMHET7w,JOY | Teaser Trailer [HD] | 20th Century FOX,I remember watching this trailer and thinking it going to be ‘Gone girl’ R-rating intensity. I watched some of it and it wasn’t but still a neat drama movie.,2019-09-17T19:11:20.000Z,0
2015-07-15T12:59:45.000Z,SN4MLMHET7w,JOY | Teaser Trailer [HD] | 20th Century FOX,Thank YOU Brother = Revelation 19-1.,2019-09-10T10:24:29.000Z,0
2015-07-15T12:59:45.000Z,SN4MLMHET7w,JOY | Teaser Trailer [HD] | 20th Century FOX,Its about a mop,2019-09-05T14:19:19.000Z,0
2015-07-15T12:59:45.000Z,SN4MLMHET7w,JOY | Teaser Trailer [HD] | 20th Century FOX,"Can David O. Russell make a new movie already, it’s been so long.",2019-06-20T18:04:36.000Z,0
2015-07-15T12:59:45.000Z,SN4MLMHET7w,JOY | Teaser Trailer [HD] | 20th Century FOX,Christmas Day,2019-06-16T03:00:15.000Z,0
2015-07-15T12:59:45.000Z,SN4MLMHET7w,JOY | Teaser Trailer [HD] | 20th Century FOX,Kisses delavin brought me here😘,2018-10-21T00:58:00.000Z,0
2015-07-15T12:59:45.000Z,SN4MLMHET7w,JOY | Teaser Trailer [HD] | 20th Century FOX,💗🌠🌌,2018-10-05T19:31:43.000Z,0
2015-07-15T12:59:45.000Z,SN4MLMHET7w,JOY | Teaser Trailer [HD] | 20th Century FOX,Its in tv tonight so i thought i would watch the trailer to see what its about. After watithe trailer i sharnt bother lol,2018-10-04T19:07:23.000Z,0
2015-07-15T12:59:45.000Z,SN4MLMHET7w,JOY | Teaser Trailer [HD] | 20th Century FOX,Stunning,2018-09-16T16:07:07.000Z,1
