publish_time,Video ID,Title,Comment,updatedAt,likeCount
2014-09-30T16:00:18.000Z,JuU0M2xBasc,TAKEN 3 | Official Trailer [HD] | 20th Century FOX,Im Going To Finish This,2019-10-29T10:12:54.000Z,0
2014-09-30T16:00:18.000Z,JuU0M2xBasc,TAKEN 3 | Official Trailer [HD] | 20th Century FOX,Wow Should Go Netflix And Chill For This Movie,2019-10-19T12:02:18.000Z,0
2014-09-30T16:00:18.000Z,JuU0M2xBasc,TAKEN 3 | Official Trailer [HD] | 20th Century FOX,"Taken 4 : they want to take his ""league of shadow""",2019-10-19T06:22:52.000Z,0
2014-09-30T16:00:18.000Z,JuU0M2xBasc,TAKEN 3 | Official Trailer [HD] | 20th Century FOX,What is it with their family and being kidnapped all the time? And coincidentally on the worlds deadliest man too. XD,2019-10-12T06:17:20.000Z,0
2014-09-30T16:00:18.000Z,JuU0M2xBasc,TAKEN 3 | Official Trailer [HD] | 20th Century FOX,Taken 4: everyone is taken,2019-10-11T22:51:57.000Z,0
2014-09-30T16:00:18.000Z,JuU0M2xBasc,TAKEN 3 | Official Trailer [HD] | 20th Century FOX,He's got taken so much because last her job need to take so many others life,2019-10-08T11:48:44.000Z,0
2014-09-30T16:00:18.000Z,JuU0M2xBasc,TAKEN 3 | Official Trailer [HD] | 20th Century FOX,"Round 3





Fight",2019-10-07T17:30:43.000Z,0
2014-09-30T16:00:18.000Z,JuU0M2xBasc,TAKEN 3 | Official Trailer [HD] | 20th Century FOX,What is with the hate on this film I love this film even if its not as good as the original it's still a fun film to watch in my opinion,2019-09-24T23:39:08.000Z,0
2014-09-30T16:00:18.000Z,JuU0M2xBasc,TAKEN 3 | Official Trailer [HD] | 20th Century FOX,"im an Indian.....
my sooperstars  amitab ,rajnikanth, mohanlal and my mamooty
 but my Hollywood' star now this 'taken dad'   i like  his acting .",2019-09-20T19:24:42.000Z,1
2014-09-30T16:00:18.000Z,JuU0M2xBasc,TAKEN 3 | Official Trailer [HD] | 20th Century FOX,"First they take his daughter, then his wife, now they're after him",2019-09-20T16:07:45.000Z,0
2014-09-30T16:00:18.000Z,JuU0M2xBasc,TAKEN 3 | Official Trailer [HD] | 20th Century FOX,Watch this already in netflix,2019-09-19T08:27:30.000Z,0
2014-09-30T16:00:18.000Z,JuU0M2xBasc,TAKEN 3 | Official Trailer [HD] | 20th Century FOX,BETTER DNT EVEN GIVE ANY ALITTLE CHANCE ...PRECAUTION IZ BETTERR THAN CURE OF ... IM NT GOING TO GIV THOSE MOTHER FUCKERS A SINGLE CHANCE SORRY SIR ... MOM S ORDER DNT STALK HER CONTACTS ...NO GUD LUCK FOR THEM,2019-09-04T11:37:15.000Z,0
2014-09-30T16:00:18.000Z,JuU0M2xBasc,TAKEN 3 | Official Trailer [HD] | 20th Century FOX,Great action 👍👏 excellent performance 👌,2019-08-30T17:42:13.000Z,0
2014-09-30T16:00:18.000Z,JuU0M2xBasc,TAKEN 3 | Official Trailer [HD] | 20th Century FOX,Keanu reeves will be playing it's prequels,2019-08-29T18:15:14.000Z,1
2014-09-30T16:00:18.000Z,JuU0M2xBasc,TAKEN 3 | Official Trailer [HD] | 20th Century FOX,Can't remember ur I've seen it or not,2019-08-28T11:21:38.000Z,0
2014-09-30T16:00:18.000Z,JuU0M2xBasc,TAKEN 3 | Official Trailer [HD] | 20th Century FOX,This is what I waiting for,2019-08-27T15:23:58.000Z,0
2014-09-30T16:00:18.000Z,JuU0M2xBasc,TAKEN 3 | Official Trailer [HD] | 20th Century FOX,I think neeson's daughter's baby will be taken in the next part.. 😂😂Bcoz she was pregnant in the last part... 😝,2019-08-13T08:43:45.000Z,0
2014-09-30T16:00:18.000Z,JuU0M2xBasc,TAKEN 3 | Official Trailer [HD] | 20th Century FOX,Background story similar to Max Payne?,2019-08-10T00:29:48.000Z,0
2014-09-30T16:00:18.000Z,JuU0M2xBasc,TAKEN 3 | Official Trailer [HD] | 20th Century FOX,"Stop the worse comment for this movie series... All parts are worth to watch...i Never get bored a little..so dont predict abt the next part.. Just enjoy the action, drama and thriller..👍👍",2019-08-09T18:33:56.000Z,1
2014-09-30T16:00:18.000Z,JuU0M2xBasc,TAKEN 3 | Official Trailer [HD] | 20th Century FOX,This movie was freaking terrible. Probably one of the most pointless movies I've ever seen. It has almost nothing to do with the previous two Taken movies other than having the same characters. It's a thinly disguised remake of The Fugitive that was only made to make money.,2019-08-09T05:32:29.000Z,0
2014-09-30T16:00:18.000Z,JuU0M2xBasc,TAKEN 3 | Official Trailer [HD] | 20th Century FOX,Taken 4 everyone relative of liam nesson is kidnapped including director,2019-07-30T17:54:05.000Z,0
2014-09-30T16:00:18.000Z,JuU0M2xBasc,TAKEN 3 | Official Trailer [HD] | 20th Century FOX,You shouldn't mess with bryan mills family.,2019-07-28T08:36:09.000Z,0
2014-09-30T16:00:18.000Z,JuU0M2xBasc,TAKEN 3 | Official Trailer [HD] | 20th Century FOX,ما فيه رابط للفلم؟,2019-07-21T00:04:22.000Z,0
2014-09-30T16:00:18.000Z,JuU0M2xBasc,TAKEN 3 | Official Trailer [HD] | 20th Century FOX,Taken 4: they take his dentures and zimmer frame.,2019-07-09T05:49:09.000Z,0
2014-09-30T16:00:18.000Z,JuU0M2xBasc,TAKEN 3 | Official Trailer [HD] | 20th Century FOX,"Besides the fact that I have trouble understanding, Neeson’s nasally, deep voice, this film is beyond ridiculous. It should’ve been called Mistaken.",2019-07-08T03:44:03.000Z,0
2014-09-30T16:00:18.000Z,JuU0M2xBasc,TAKEN 3 | Official Trailer [HD] | 20th Century FOX,"Nice movie
I love Liam Neeson",2019-06-20T21:30:47.000Z,0
2014-09-30T16:00:18.000Z,JuU0M2xBasc,TAKEN 3 | Official Trailer [HD] | 20th Century FOX,taken 4: the big return,2019-06-20T01:03:27.000Z,0
2014-09-30T16:00:18.000Z,JuU0M2xBasc,TAKEN 3 | Official Trailer [HD] | 20th Century FOX,Remember those words “Good Luck”,2019-06-09T19:52:17.000Z,0
2014-09-30T16:00:18.000Z,JuU0M2xBasc,TAKEN 3 | Official Trailer [HD] | 20th Century FOX,Poor forrest and those cops chased the wrong guy the entire movie....u see ppl u are GUILTY until proven innocent....cops arent always right....there 50 50,2019-06-09T01:40:36.000Z,3
2014-09-30T16:00:18.000Z,JuU0M2xBasc,TAKEN 3 | Official Trailer [HD] | 20th Century FOX,Oho tripoya,2019-06-03T10:03:57.000Z,0
2014-09-30T16:00:18.000Z,JuU0M2xBasc,TAKEN 3 | Official Trailer [HD] | 20th Century FOX,Just saw this movie today,2019-05-31T17:51:31.000Z,1
2014-09-30T16:00:18.000Z,JuU0M2xBasc,TAKEN 3 | Official Trailer [HD] | 20th Century FOX,Taken 2 was so satisfying. Lol,2019-05-29T17:23:27.000Z,0
2014-09-30T16:00:18.000Z,JuU0M2xBasc,TAKEN 3 | Official Trailer [HD] | 20th Century FOX,Trailer is better than the whole movie itself,2019-05-14T05:39:16.000Z,0
2014-09-30T16:00:18.000Z,JuU0M2xBasc,TAKEN 3 | Official Trailer [HD] | 20th Century FOX,@1:42 Does anyone know the name of the song? (NOT THE ONE IN THE TRAILER OF THE DUDES SINGING_ The song that plays whent he actions starts.,2019-05-01T17:18:47.000Z,0
2014-09-30T16:00:18.000Z,JuU0M2xBasc,TAKEN 3 | Official Trailer [HD] | 20th Century FOX,"New taken titles

Taken
Taken.....again
Tak3n too many cuts",2019-04-27T17:44:18.000Z,0
2014-09-30T16:00:18.000Z,JuU0M2xBasc,TAKEN 3 | Official Trailer [HD] | 20th Century FOX,Taken 4: kim taken,2019-04-24T13:31:08.000Z,0
2014-09-30T16:00:18.000Z,JuU0M2xBasc,TAKEN 3 | Official Trailer [HD] | 20th Century FOX,god luck,2019-04-17T13:11:45.000Z,0
2014-09-30T16:00:18.000Z,JuU0M2xBasc,TAKEN 3 | Official Trailer [HD] | 20th Century FOX,he sounds like optimus prime,2019-04-15T06:21:50.000Z,0
2014-09-30T16:00:18.000Z,JuU0M2xBasc,TAKEN 3 | Official Trailer [HD] | 20th Century FOX,John wick would wipe the floor with him......#facts,2019-03-24T21:16:15.000Z,0
2014-09-30T16:00:18.000Z,JuU0M2xBasc,TAKEN 3 | Official Trailer [HD] | 20th Century FOX,taken 2 was good idk what y'all are talking about,2019-03-24T20:44:16.000Z,1
2014-09-30T16:00:18.000Z,JuU0M2xBasc,TAKEN 3 | Official Trailer [HD] | 20th Century FOX,Taken 4: this time they've taken it to far.....,2019-03-19T00:28:22.000Z,0
2014-09-30T16:00:18.000Z,JuU0M2xBasc,TAKEN 3 | Official Trailer [HD] | 20th Century FOX,Who is here because of the scene from Game night movie?,2019-03-10T18:28:35.000Z,0
2014-09-30T16:00:18.000Z,JuU0M2xBasc,TAKEN 3 | Official Trailer [HD] | 20th Century FOX,I still dont get it why people hate this movie I loved this movie so much it's so awesome,2019-03-03T21:45:02.000Z,0
2014-09-30T16:00:18.000Z,JuU0M2xBasc,TAKEN 3 | Official Trailer [HD] | 20th Century FOX,Taken 4: Granted,2019-03-03T20:44:46.000Z,1
2014-09-30T16:00:18.000Z,JuU0M2xBasc,TAKEN 3 | Official Trailer [HD] | 20th Century FOX,No better way to prove you didn't do something than attack the cops arresting you,2019-02-25T19:38:59.000Z,0
2014-09-30T16:00:18.000Z,JuU0M2xBasc,TAKEN 3 | Official Trailer [HD] | 20th Century FOX,I saw the 1 to 4 very nice movies and nice actor liam neeson,2019-02-22T06:24:48.000Z,0
2014-09-30T16:00:18.000Z,JuU0M2xBasc,TAKEN 3 | Official Trailer [HD] | 20th Century FOX,GOOD!!!!!!!!!!!!!,2019-02-21T15:29:40.000Z,0
2014-09-30T16:00:18.000Z,JuU0M2xBasc,TAKEN 3 | Official Trailer [HD] | 20th Century FOX,This trailer is 10 billion times better then the actual movie.,2019-02-19T22:16:01.000Z,1
2014-09-30T16:00:18.000Z,JuU0M2xBasc,TAKEN 3 | Official Trailer [HD] | 20th Century FOX,Trailer is more watchable then the movie,2019-02-19T15:48:36.000Z,0
2014-09-30T16:00:18.000Z,JuU0M2xBasc,TAKEN 3 | Official Trailer [HD] | 20th Century FOX,Liam Neeson is such a great actor.,2019-02-19T10:38:21.000Z,0
2014-09-30T16:00:18.000Z,JuU0M2xBasc,TAKEN 3 | Official Trailer [HD] | 20th Century FOX,Ra's Al Ghul? They've got your stuff? PREPARE FOR WAR!,2019-02-17T14:07:49.000Z,0
2014-09-30T16:00:18.000Z,JuU0M2xBasc,TAKEN 3 | Official Trailer [HD] | 20th Century FOX,"Ok, now this movie could have been solved in 20 minutes: Liam Neeson/(Bryan) the most over-protective guy in the city witch should have 50 cameras in his house + EX Wife murdered in his home = ya....",2019-02-08T21:58:05.000Z,0
2014-09-30T16:00:18.000Z,JuU0M2xBasc,TAKEN 3 | Official Trailer [HD] | 20th Century FOX,In my opinion this was a well made trailer.,2019-01-31T19:47:10.000Z,1
2014-09-30T16:00:18.000Z,JuU0M2xBasc,TAKEN 3 | Official Trailer [HD] | 20th Century FOX,Good trailer. Horrible movie.,2019-01-28T13:52:05.000Z,1
2014-09-30T16:00:18.000Z,JuU0M2xBasc,TAKEN 3 | Official Trailer [HD] | 20th Century FOX,super hit,2019-01-28T13:36:22.000Z,0
2014-09-30T16:00:18.000Z,JuU0M2xBasc,TAKEN 3 | Official Trailer [HD] | 20th Century FOX,omg,2019-01-15T20:50:24.000Z,0
2014-09-30T16:00:18.000Z,JuU0M2xBasc,TAKEN 3 | Official Trailer [HD] | 20th Century FOX,"the next scary movie should be about taken, staring him.",2019-01-06T15:43:25.000Z,0
2014-09-30T16:00:18.000Z,JuU0M2xBasc,TAKEN 3 | Official Trailer [HD] | 20th Century FOX,2:01 Mini-Cooper didn't appear in Film.,2018-12-24T03:25:27.000Z,0
