publish_time,Video ID,Title,Comment,updatedAt,likeCount
2016-06-30T13:00:16.000Z,CO6qLC4cL8E,Why Him? | Official Redband HD Trailer #1 | 2016,Coz we are natural spontaneously ourselves 💓,2019-11-14T03:48:51.000Z,0
2016-06-30T13:00:16.000Z,CO6qLC4cL8E,Why Him? | Official Redband HD Trailer #1 | 2016,"*Why Her?*



*Feminism* 👀",2019-11-12T08:12:21.000Z,1
2016-06-30T13:00:16.000Z,CO6qLC4cL8E,Why Him? | Official Redband HD Trailer #1 | 2016,"Just watching this now, it's fkn hilarious.
My type of comedy, really funny for us father's of daughters/granddaughters. I can see myself being Bryan Cranstons character in the same sort of scenarios from this movie. Great job guys! Love it 👍✌️😜",2019-11-10T00:49:06.000Z,0
2016-06-30T13:00:16.000Z,CO6qLC4cL8E,Why Him? | Official Redband HD Trailer #1 | 2016,I learnt that the band KISS were meant to be in this,2019-11-08T16:45:01.000Z,0
2016-06-30T13:00:16.000Z,CO6qLC4cL8E,Why Him? | Official Redband HD Trailer #1 | 2016,Walter white if Abby had grown up and he'd never met Jesse (Of course the exception being him surviving all the cancer),2019-10-11T16:34:08.000Z,1
2016-06-30T13:00:16.000Z,CO6qLC4cL8E,Why Him? | Official Redband HD Trailer #1 | 2016,i watched this movie for andrew rannells 5 lines and was not disappointed,2019-10-04T21:48:14.000Z,0
2016-06-30T13:00:16.000Z,CO6qLC4cL8E,Why Him? | Official Redband HD Trailer #1 | 2016,This movie was pure garbage!,2019-09-21T22:01:04.000Z,0
2016-06-30T13:00:16.000Z,CO6qLC4cL8E,Why Him? | Official Redband HD Trailer #1 | 2016,Eminem,2019-09-16T12:11:27.000Z,2
2016-06-30T13:00:16.000Z,CO6qLC4cL8E,Why Him? | Official Redband HD Trailer #1 | 2016,This is what would happen if Hal had a daughter instead of 4 boys.,2019-09-13T17:20:53.000Z,0
2016-06-30T13:00:16.000Z,CO6qLC4cL8E,Why Him? | Official Redband HD Trailer #1 | 2016,"Plot twist:





He’s Deadpool’s brother",2019-09-07T00:00:27.000Z,1
2016-06-30T13:00:16.000Z,CO6qLC4cL8E,Why Him? | Official Redband HD Trailer #1 | 2016,This movie is blast🤩🤩🤩🤩🤩🤩,2019-09-03T05:23:53.000Z,0
2016-06-30T13:00:16.000Z,CO6qLC4cL8E,Why Him? | Official Redband HD Trailer #1 | 2016,When your daughter dates logan Paul,2019-08-28T05:09:47.000Z,2
2016-06-30T13:00:16.000Z,CO6qLC4cL8E,Why Him? | Official Redband HD Trailer #1 | 2016,2:03 song name?,2019-08-19T21:50:54.000Z,0
2016-06-30T13:00:16.000Z,CO6qLC4cL8E,Why Him? | Official Redband HD Trailer #1 | 2016,Thanks for the update and for the record I have,2019-08-17T03:51:34.000Z,0
2016-06-30T13:00:16.000Z,CO6qLC4cL8E,Why Him? | Official Redband HD Trailer #1 | 2016,"""WHY HIM?"" ...more like WHY BRYAN FOR THE LOVE OF GOD??",2019-08-09T17:07:06.000Z,0
2016-06-30T13:00:16.000Z,CO6qLC4cL8E,Why Him? | Official Redband HD Trailer #1 | 2016,Dumb,2019-08-03T00:17:34.000Z,0
