publish_time,Video ID,Title,Comment,updatedAt,likeCount
2017-04-06T17:38:43.000Z,njnwYSybwko,All Eyez on Me Trailer #1 (2017) | Movieclips Trailers,"It should have been called Me against the World 
But all eyez on me is a good title",2019-11-18T13:35:26.000Z,2
2017-04-06T17:38:43.000Z,njnwYSybwko,All Eyez on Me Trailer #1 (2017) | Movieclips Trailers,2:04 the deepest sentence in the movie,2019-11-17T06:49:37.000Z,0
2017-04-06T17:38:43.000Z,njnwYSybwko,All Eyez on Me Trailer #1 (2017) | Movieclips Trailers,the deepest sentence in the movie,2019-11-17T06:49:00.000Z,0
2017-04-06T17:38:43.000Z,njnwYSybwko,All Eyez on Me Trailer #1 (2017) | Movieclips Trailers,I love you 2pac! I relate to you and YOUR music!ITS ALL GOOD!,2019-11-11T02:27:20.000Z,0
2017-04-06T17:38:43.000Z,njnwYSybwko,All Eyez on Me Trailer #1 (2017) | Movieclips Trailers,First he's not Christian he's Muslim,2019-11-08T15:16:54.000Z,0
2017-04-06T17:38:43.000Z,njnwYSybwko,All Eyez on Me Trailer #1 (2017) | Movieclips Trailers,This movie suck! Really bad acting,2019-11-08T01:30:19.000Z,1
2017-04-06T17:38:43.000Z,njnwYSybwko,All Eyez on Me Trailer #1 (2017) | Movieclips Trailers,Shipp Jr. looks & sounds like Tupac,2019-10-26T13:47:56.000Z,0
2017-04-06T17:38:43.000Z,njnwYSybwko,All Eyez on Me Trailer #1 (2017) | Movieclips Trailers,Buena personificación de los personajes!,2019-10-17T07:23:40.000Z,0
2017-04-06T17:38:43.000Z,njnwYSybwko,All Eyez on Me Trailer #1 (2017) | Movieclips Trailers,The movie was trash lol saw half of it on BET,2019-10-08T21:26:20.000Z,0
2017-04-06T17:38:43.000Z,njnwYSybwko,All Eyez on Me Trailer #1 (2017) | Movieclips Trailers,Notorious > All Eyez on Me,2019-10-07T20:49:11.000Z,0
2017-04-06T17:38:43.000Z,njnwYSybwko,All Eyez on Me Trailer #1 (2017) | Movieclips Trailers,Best movie i have ever seen🔥,2019-09-27T19:00:55.000Z,0
2017-04-06T17:38:43.000Z,njnwYSybwko,All Eyez on Me Trailer #1 (2017) | Movieclips Trailers,Just the best rapper  for life,2019-09-23T22:24:26.000Z,0
2017-04-06T17:38:43.000Z,njnwYSybwko,All Eyez on Me Trailer #1 (2017) | Movieclips Trailers,😀😀😀😆❤❤❤❤❤🐐🐐🐐🐐👑👑👑👑,2019-09-16T16:13:30.000Z,1
2017-04-06T17:38:43.000Z,njnwYSybwko,All Eyez on Me Trailer #1 (2017) | Movieclips Trailers,if tupac was still alive eminem would be working at kfc's.,2019-09-16T12:52:11.000Z,1
2017-04-06T17:38:43.000Z,njnwYSybwko,All Eyez on Me Trailer #1 (2017) | Movieclips Trailers,"that line: ""they are gonna give you, the tools that you NEED, to destroy yourself!"" gets me every time. damn. SO powerful!",2019-09-10T15:45:37.000Z,0
2017-04-06T17:38:43.000Z,njnwYSybwko,All Eyez on Me Trailer #1 (2017) | Movieclips Trailers,Les États unis d'Amérique et leur violence.,2019-09-07T20:58:47.000Z,0
2017-04-06T17:38:43.000Z,njnwYSybwko,All Eyez on Me Trailer #1 (2017) | Movieclips Trailers,Best thing about this movie is the trailer from 1:50,2019-09-06T05:12:03.000Z,0
2017-04-06T17:38:43.000Z,njnwYSybwko,All Eyez on Me Trailer #1 (2017) | Movieclips Trailers,"wow, they casted the movie very well.",2019-08-22T23:46:21.000Z,1
2017-04-06T17:38:43.000Z,njnwYSybwko,All Eyez on Me Trailer #1 (2017) | Movieclips Trailers,1:16,2019-08-21T06:12:49.000Z,1
2017-04-06T17:38:43.000Z,njnwYSybwko,All Eyez on Me Trailer #1 (2017) | Movieclips Trailers,this has to be the most shoking movie ever like look at the main acting playing tupac like seriously its bloody identical you see other movies with actors playing other celebrities and they look nothing alike i mean look it its amazingggg,2019-08-19T05:12:49.000Z,0
2017-04-06T17:38:43.000Z,njnwYSybwko,All Eyez on Me Trailer #1 (2017) | Movieclips Trailers,Hey! Biych don't call yourself Tupac. U can't even defeat him in a Gang war,2019-08-14T15:45:18.000Z,1
2017-04-06T17:38:43.000Z,njnwYSybwko,All Eyez on Me Trailer #1 (2017) | Movieclips Trailers,People say that they wanna bring back a legend u don't want to bc 2Pac is in God's hands and he already completed his mission and that's being a rapper A legend will never die he will always be there as a role model.,2019-08-12T06:38:33.000Z,1
2017-04-06T17:38:43.000Z,njnwYSybwko,All Eyez on Me Trailer #1 (2017) | Movieclips Trailers,Rest in peace y'all,2019-08-01T16:14:35.000Z,0
2017-04-06T17:38:43.000Z,njnwYSybwko,All Eyez on Me Trailer #1 (2017) | Movieclips Trailers,Does the movie show when Tupac was in Baltimore School for the Arts? When he did Ballet.,2019-07-27T02:03:43.000Z,2
