publish_time,Video ID,Title,Comment,updatedAt,likeCount
2016-06-23T20:56:56.000Z,SAAqiO_Z9Vs,"American Pastoral Official Trailer #1 (2016) - Ewan McGregor, Jennifer Connelly Movie HD",Now this was a real trailer,2019-10-17T09:50:01.000Z,0
2016-06-23T20:56:56.000Z,SAAqiO_Z9Vs,"American Pastoral Official Trailer #1 (2016) - Ewan McGregor, Jennifer Connelly Movie HD",Hello there,2019-08-13T21:41:56.000Z,0
2016-06-23T20:56:56.000Z,SAAqiO_Z9Vs,"American Pastoral Official Trailer #1 (2016) - Ewan McGregor, Jennifer Connelly Movie HD",Thank u masters ✍🙏🧘‍♀️🧘‍♀️🧘‍♀️😻😻😻💜💜💜💜🧞‍♂️🕎🕎🏂👁🤳,2019-08-04T07:50:28.000Z,0
2016-06-23T20:56:56.000Z,SAAqiO_Z9Vs,"American Pastoral Official Trailer #1 (2016) - Ewan McGregor, Jennifer Connelly Movie HD",This movie is about the birth of Social Justice Warriors in the US and how wrong it can become.,2019-07-10T07:42:13.000Z,0
2016-06-23T20:56:56.000Z,SAAqiO_Z9Vs,"American Pastoral Official Trailer #1 (2016) - Ewan McGregor, Jennifer Connelly Movie HD","Question, with SPOILERS AND STUFF>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>> WHO was it dry-humping Dawn in kitchen during  BBQ in scene not far from the end, giving away the fact that she wss in fact having an affair ???? Also, what do you make of Rita's out there sexual performance  at the motel-room payoff?",2019-06-18T00:01:28.000Z,0
2016-06-23T20:56:56.000Z,SAAqiO_Z9Vs,"American Pastoral Official Trailer #1 (2016) - Ewan McGregor, Jennifer Connelly Movie HD","This movie is the most horrible wretched example of leftism I have ever seen. Everything that is normal and good from 1950's and early 60s' america must be thrown out like old bathwater only you guessed it the baby goes with the dirt water . The daughter is like a social experiment for , I hate my white entitlements and I must suffer . She is obviously mentally ill and self destructive , only it's not explained as such in the film and is left ultimately as a choice that she makes for the betterment of society . Disgusting film.",2019-04-26T20:26:22.000Z,0
2016-06-23T20:56:56.000Z,SAAqiO_Z9Vs,"American Pastoral Official Trailer #1 (2016) - Ewan McGregor, Jennifer Connelly Movie HD",If only the actual film were as good as the trailer.,2019-01-11T08:48:03.000Z,0
2016-06-23T20:56:56.000Z,SAAqiO_Z9Vs,"American Pastoral Official Trailer #1 (2016) - Ewan McGregor, Jennifer Connelly Movie HD",Watching this film marks the first time I've ever stopped watching a movie not even halfway through because I was so irate. The character portrayed by Dakota Fanning is one of the most deplorable things I've seen in cinema. She made me so angry by her actions and what she stands for because it is so reminiscent of modern progressivism. She did the character so well that I grew to hate her instantly. I guess that would be cinsidered good acting.,2018-12-20T02:27:59.000Z,0
2016-06-23T20:56:56.000Z,SAAqiO_Z9Vs,"American Pastoral Official Trailer #1 (2016) - Ewan McGregor, Jennifer Connelly Movie HD",Brilliantly edited trailer.,2018-11-20T15:23:58.000Z,0
2016-06-23T20:56:56.000Z,SAAqiO_Z9Vs,"American Pastoral Official Trailer #1 (2016) - Ewan McGregor, Jennifer Connelly Movie HD","Just watched the movie, I have one question, how did they have a blonde daughter?",2018-11-07T11:13:04.000Z,0
